UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PBDS,PBDS CANDIDATE,PBDS CANDIDATE SEX,PBDS CANDIDATE AGE,PBDS VOTE,PBDS  CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE NAME,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P.136_N. 11,SARAWAK,P.136,SERIAN,N. 11,TARAT,TARAT,BN - PBB,,12153,448,73.69,8955,191,8764,PBB,ROBERT JACOB RIDU,MALE,,3950,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,BANGIK AK KANDONG,MALE,,105,LOST DEPOSIT,INDEPENDENT - ROOSTER,RAHUN AK DABAK,MALE,,3502,,INDEPENDENT - UMBRELLA,NARAYANAN SACHIDANANDAN,MALE,,574,LOST DEPOSIT,INDEPENDENT - KEY,CHAI MOK SHIN,MALE,,633,LOST DEPOSIT,,,,,,
P.136_N. 12,SARAWAK,P.136,SERIAN,N. 12,TEBAKANG,TEBAKANG,SNAP,,14163,1097,71.47,10123,262,9861,,,,,,,SNAP,MICHAEL BEN AK PANGGI,MALE,48,4046,,PBDS,LAINUS AK ANDREW LUAK,MALE,40,2949,,,,,,,,INDEPENDENT - SCISSORS,NELSON KUNDI NGARENG,MALE,,359,LOST DEPOSIT,INDEPENDENT - BUS,FREDERICK BAYOI MANGGI,MALE,40,2507,,,,,,,,,,,,,,,,,,,
P.137_N. 13,SARAWAK,P.137,SIMUNJAN,N. 13,SEMERA,SEMERA,BN - PBB,,7890,760,69.2,5460,127,5333,PBB,WAN WAHAB B WAN SANUSI,MALE,33,2426,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,WAN ALKAP B. TUNAKU ESIN,MALE,,1666,,INDEPENDENT - FISH,TAN GUEK LIANG,MALE,,1198,,INDEPENDENT - OIL PALM,SALLEH B ZEN,MALE,,43,LOST DEPOSIT,,,,,,,,,,,,
P.137_N. 14,SARAWAK,P.137,SIMUNJAN,N. 14,GEDONG,GEDONG,BN - PBB,,6809,1464,68.62,4672,81,4591,PBB,TAWAN AK MASAN,MALE,,2675,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,BUJANG BIN BRAHIM @ BUJANG BIN HAJI IBRAHIM,MALE,,297,LOST DEPOSIT,INDEPENDENT - CANDLE,AHMAD B. DERAHMAN @ JARAIE B. DRAHMAN,MALE,,1211,,INDEPENDENT - AEROPLANE,MATHEW AING AK NUAN,MALE,,205,LOST DEPOSIT,INDEPENDENT - UMBRELLA,JUNAIDI B. SOLHASSAN,MALE,,203,LOST DEPOSIT,,,,,,
P.138_N. 15,SARAWAK,P.138,BATANG LUPAR,N. 15,LINGGA,LINGGA,PBDS,,11275,1395,72.7,8197,108,8089,,,,,,,SNAP,JACOB AK. IMANG,MALE,,3167,,PBDS,DANIEL TAJEM AK MIRI,MALE,47,4562,,,,,,,,INDEPENDENT - CLOCK,MURSIDI @ MOHD MORSHIDI B. HAJI UMI,MALE,,122,LOST DEPOSIT,INDEPENDENT - BUS,WAN AKIL B. TUANKU MAHMUD,MALE,,116,LOST DEPOSIT,INDEPENDENT - KEY,DONALD LAWAN,MALE,40,122,LOST DEPOSIT,,,,,,,,,,,,
P.138_N. 16,SARAWAK,P.138,BATANG LUPAR,N. 16,SRI AMAN,SRI AMAN,BN - SUPP,,13073,1440,66.02,8631,206,8425,SUPP,HOLLIS AK TINI,MALE,,4101,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,SHAMSUDDIN B. ABDULLAH,MALE,,136,LOST DEPOSIT,INDEPENDENT - CLOCK,ABG. HJ. TAHA B. DT. ABG. HJ. ZAIN,MALE,,1527,,INDEPENDENT - KEY,NGUI PIEW SENG,MALE,,2661,,,,,,,,,,,,,
P.139_N. 17,SARAWAK,P.139,LUBOK ANTU,N. 17,ENGKILILI,ENGKILILI,INDEPENDENT - ROOSTER,,6501,418,77.02,5007,74,4933,,,,,,,SNAP,WILSON ALLIE AK BANYIE,MALE,,1043,,PBDS,JONATHAN NARWIN AK. JINGGONG,MALE,,984,,,,,,,,INDEPENDENT - CHAIR,SIMON DEMBAB AK MAJA,MALE,,495,LOST DEPOSIT,INDEPENDENT - KEY,RICHARD TAWAN AK SEDU,MALE,,921,,INDEPENDENT - OIL PALM,KUA SINGA HOW,MALE,,29,LOST DEPOSIT,INDEPENDENT - ROOSTER,SING CHO NANG,MALE,,1461,,,,,,,
P.139_N. 18,SARAWAK,P.139,LUBOK ANTU,N. 18,BATANG AIR,BATANG AIR,SNAP,,5415,8,72.45,3923,80,3843,,,,,,,SNAP,SYLVESTER LANGIT AK. UMING,MALE,,1421,,PBDS,DAVID AK. JEMUT,MALE,,1413,,,,,,,,INDEPENDENT - KEY,BENEDICT BUJANG AK. TEMBAK,MALE,,1009,,,,,,,,,,,,,,,,,,,,,,,,,
P.140_N. 19,SARAWAK,P.140,BETONG,N. 19,SARIBAS,SARIBAS,BN - PBB,,10028,1226,65.77,6595,116,6479,PBB,HAJI ZAINUDDIN BIN HAJI SATEM,MALE,53,3119,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,MOHD. PARHI BIN HJ. BUJANG,MALE,,1893,,INDEPENDENT - FISH,ABG. MADZHI BIN ABG. HJ. DAHLAN,MALE,,1467,,,,,,,,,,,,,,,,,,,
P.140_N. 20,SARAWAK,P.140,BETONG,N. 20,LAYAR,LAYAR,BN - PBB,,9009,3727,71.65,6455,76,6379,PBB,ALFRED JABU ANAK NUMPANG,MALE,43,5053,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,RAZALI B .SABANG @ MOHAMAED RAZALI,MALE,,1326,,,,,,,,,,,,,,,,,,,,,,,,,
