COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
BN,UMNO,2,14,16
BN,MCA,1,6,7
BN,MIC,,2,2
PH,PKR,2,14,16
PH,DAP,1,10,11
PH,AMANAH,1,8,9
PN,PAS,,5,5
PN,GERAKAN,,1,1
PN,MIPP,,1,1
PN,WAWASAN,,4,4
PN,PPBM,1,23,24
,PSM,,1,1
,POAM,1,,1
,BERJASA,,1,1
,INDEPENDENTS,,4,4
GRAND TOTAL,,9,94,103
