UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1,PERLIS,P.1,KANGAR,BN - UMNO,SHAARI BIN JUSOH,MALE,,
P.2,PERLIS,P.2,ARAU,BN - UMNO,SYED HASSAN BIN SYED MOHAMAD,MALE,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,BN - UMNO,SANUSI JUNID,MALE,35,
P.4,KEDAH,P.4,KUBANG PASU,BN - UMNO,DR MAHATHIR B. MOHAMAD,MALE,53,
P.5,KEDAH,P.5,PADANG TERAP,BN - UMNO,SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,53,
P.6,KEDAH,P.6,KUALA KEDAH,BN - UMNO,SENU BIN ABDUL RAHMAN,MALE,59,
P.7,KEDAH,P.7,ALOR SETAR,BN - MCA,OO GIN SUN,MALE,45,
P.8,KEDAH,P.8,KOTA SETAR,PAS,DATUK HJ. ABU BAKAR BIN UMAR,MALE,,
P.9,KEDAH,P.9,ULU MUDA,BN - UMNO,HASHIM BIN ENDUT,MALE,,
P.10,KEDAH,P.10,BALING,PAS,USTAZ NAKHAI,MALE,,
P.11,KEDAH,P.11,JERAI,BN - UMNO,ISMAIL BIN ARSHAD,MALE,,
P.12,KEDAH,P.12,KUALA MUDA,BN - UMNO,KHIR JOHARI,MALE,55,
P.13,KEDAH,P.13,SUNGAI PETANI,BN - UMNO,WAN ZAINAB BINTI M.A. BAKAR,FEMALE,,
P.14,KEDAH,P.14,PADANG SERAI,BN - MCA,LIM KIAM HOON,MALE,,
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,BN - UMNO,ABDUL KADIR BIN HJ. SHEIKH FADZIR,MALE,39,
P.16,KELANTAN,P.16,TUMPAT,BN - UMNO,TENGKU NOOR ASIAH BINTI TENGKU AHMAD,FEMALE,48,
P.17,KELANTAN,P.17,PENGKALAN CHEPA,PAS,USTAZ NIK AZIZ,MALE,47,
P.18,KELANTAN,P.18,PASIR MAS,BN - UMNO,CHE GU MAN,MALE,,
P.19,KELANTAN,P.19,KOTA BAHARU,BN - UMNO,TENGKU AHMAD RITHAUDDEEN,MALE,50,
P.20,KELANTAN,P.20,BACHOK,PAS,CHE GU HAJI MOHD. ZAIN,MALE,,
P.21,KELANTAN,P.21,RANTAU PANJANG,BN - UMNO,IBRAHIM MUHAMMAD,MALE,,
P.22,KELANTAN,P.22,NILAM PURI,BN - UMNO,CHEGU MAT HAJI ALI,MALE,,
P.23,KELANTAN,P.23,TANAH MERAH,BN - UMNO,HUSSEIN BIN MAHMOOD,MALE,,
P.24,KELANTAN,P.24,MACHANG,BN - UMNO,KASSIM AHMED,MALE,,
P.25,KELANTAN,P.25,PASIR PUTEH,BN - UMNO,WAN NAJIB WAN MOHAMAD,MALE,43,
P.26,KELANTAN,P.26,KUALA KERAI,BN - UMNO,DR. NIK HUSSAIN,MALE,42,
P.27,KELANTAN,P.27,ULU KELANTAN,BN - UMNO,TENGKU RAZALEIGH HAMZAH,MALE,41,
P.28,TRENGGANU,P.28,BESUT,BN - UMNO,HAJI ZAKARIA BIN HAJI ABDUL RAHMAN,MALE,34,
P.29,TRENGGANU,P.29,ULU NERUS,BN - UMNO,DATUK ABDULLAH BIN ABDUL RAHMAN @ DATUK BIJAYA DI RAJA,MALE,,
P.30,TRENGGANU,P.30,ULU TRENGGANU,BN - UMNO,ALIAS BIN ALI,MALE,39,
P.31,TRENGGANU,P.31,KUALA NERUS,BN - UMNO,DATO' NIK HASSAN BIN ABDUL RAHMAN,MALE,49,Y
