UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.11_N.18,KEDAH,P.11,JERAI,N.18,YAN,BN - UMNO,,18195,3738,75.1,13665,713,12952,BN - UMNO,ABDULLAH BIN HAJI ISMAIL,MALE,,8345,,,,,,,,PAS,CHE ME BIN AHMAD,MALE,,4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.19,KEDAH,P.12,KUALA MUDA,N.19,JENIANG,BN - UMNO,,16489,5313,77.79,12827,685,12142,BN - UMNO,ZAINOL ABIDIN BIN JOHARI,MALE,,8444,,,,,,,,PAS,ABDUL KADIR BIN ABDUL MUTALIB,MALE,,3131,,PSRM,AHMAD BIN ABDULLAH,MALE,,567,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.20,KEDAH,P.12,KUALA MUDA,N.20,MERBOK,BN - UMNO,,17865,4756,78.29,13988,656,13332,BN - UMNO,HASHIM BIN HAJI OSMAN,MALE,,9044,,,,,,,,PAS,USTAZ GHAZALI,MALE,,4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13_N.21,KEDAH,P.13,SUNGAI PETANI,N.21,TIKAM BATU,BN - GERAKAN,,32364,3172,77.59,25113,1281,23832,BN - GERAKAN,ONG CHOW SONG,,,9862,,DAP,ONG AUN BOON,,,3399,,PAS,BAKAR BIN HAJI AMHMUD,MALE,,6690,,SDP,AHMAD KAMAL BIN OTHMAN,MALE,,54,LOST DEPOSIT,,,,,,,INDEPENDENT,BENG HENG SEONG,,,3686,,INDEPENDENT,WILLIAM JANSZ,MALE,,141,LOST DEPOSIT,,,,,,
P.13_N.22,KEDAH,P.13,SUNGAI PETANI,N.22,KUALA KETIL,BN - MIC,,13491,3556,76.57,10331,417,9914,BN - MIC,SUBRAMANIAM S/O ANNASAMY PILLAI,MALE,,6735,,,,,,,,PAS,MAT HASSAN ABDUL,MALE,,3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_N.23,KEDAH,P.14,PADANG SERAI,N.23,LUNAS,BN - MCA,,18565,4193,80.18,14887,757,14130,BN - MCA,FANG CHOK SEONG,,,8910,,,,,,,,PAS,HAJI ARIFFIN BIN HAJI KECHIK,MALE,,4717,,KITA,KANAN S/O KUJUMBU,MALE,,503,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.14_N.24,KEDAH,P.14,PADANG SERAI,N.24,MERBAU PULAS,BN - UMNO,,10879,2541,76.71,8346,487,7859,BN - UMNO,MUSTAFFA BIN KASSIM,MALE,,5084,,,,,,,,PAS,USTAZ KHATIB,MALE,,2543,,KITA,ANNAMALAY S/O VADAPPAH,MALE,,232,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.15_N.25,KEDAH,P.15,KULIM-BANDAR BAHARU,N.25,KULIM,BN - MCA,,16665,6816,73.01,12167,623,11544,BN - MCA,LEONG MAN KAI,,,9180,,,,,,,,PAS,ABDUL AZIZ BIN HAJI KASSIM,MALE,,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15_N.26,KEDAH,P.15,KULIM-BANDAR BAHARU,N.26,SERDANG,BN - UMNO,,15151,2747,75.36,11418,649,10769,BN - UMNO,HAJI MOHAMED MUSLIM BIN HAJI OTHMAN,MALE,,6758,,,,,,,,PAS,USTAZ GHAZALI NAJIB,MALE,,4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.1,TRENGGANU,P.28,BESUT,N.1,KUALA BESUT,BN - UMNO,,7713,875,80.15,6182,283,5899,BN - UMNO,ZAKARIA BIN MUDA,MALE,,3387,,,,,,,,PAS,USTAZ HUSIN BIN JUSOH,MALE,,2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
