UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.33_N.23,TRENGGANU,P.33,DUNGUN,N.23,SURA,BN - UMNO,,8265,8,69.41,5737,379,5358,BN - UMNO,MUSTAPHA MAJEED,MALE,,2440,,,,,,,,PAS,USTAZ OMAR SHUKRI,MALE,,2432,,PSRM,ABDUL MALEK BIN ABDULLAH,MALE,,486,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.24,TRENGGANU,P.33,DUNGUN,N.24,JERANGAU,BN - UMNO,,4670,1284,73.31,3424,186,3238,BN - UMNO,MUDA BIN ABDULLAH,MALE,,2261,,,,,,,,PAS,ABDUL WAHAB BIN YUNUS,MALE,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.25,TRENGGANU,P.34,KEMAMAN,N.25,PAKA,BN - UMNO,,5982,528,75.61,4523,310,4213,BN - UMNO,ISMAIL HAITAMI BIN SALLEH,MALE,,2045,,,,,,,,PAS,ABDULLAH BIN MOHAMAD,MALE,,1517,,PSRM,SHAIKH AHMAD BIN ALI,MALE,,651,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.26,TRENGGANU,P.34,KEMAMAN,N.26,KEMASIK,BN - UMNO,,7192,1541,74.83,5382,383,4999,BN - UMNO,WAN ADNAN BIN ISMAIL,MALE,,3270,,,,,,,,PAS,AWANG BIN JUSOH,MALE,,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.27,TRENGGANU,P.34,KEMAMAN,N.27,BUKIT BANDI,BN - UMNO,,8204,2039,75.32,6179,478,5701,BN - UMNO,ISMAIL ALFALAH SALLEH,MALE,,3870,,,,,,,,PAS,ABD. HAMID BIN YAHYA,MALE,,1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.28,TRENGGANU,P.34,KEMAMAN,N.28,CHUKAI,BN - UMNO,Y,9494,,,,,,BN - UMNO,DATO' WAN MOKHTAR BIN AHMAD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.1,PULAU PINANG,P.35,KEPALA BATAS,N.1,PENAGA,BN - UMNO,,9483,1962,94.73,8983,483,8500,BN - UMNO,HAJI HASSAN BIN HAJI MOHD. NOH,MALE,,5231,,,,,,,,PAS,ISMAIL BIN HAMID,MALE,,3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.2,PULAU PINANG,P.35,KEPALA BATAS,N.2,BERTAM,BN - UMNO,,8415,1357,75.61,6363,430,5933,BN - UMNO,ABDUL RAHMAN BIN HAJI ABBAS,MALE,,3645,,,,,,,,PAS,SAID BIN TAIB,MALE,,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.3,PULAU PINANG,P.35,KEPALA BATAS,N.3,TASEK GELUGOR,BN - UMNO,,8371,845,83.01,6949,351,6598,BN - UMNO,MD. NOOR BIN AHMAD,MALE,,2811,,DAP,TAN BAN SIANG,,,1966,,PAS,HAJI ISHAK BIN YAAKOB,MALE,,1384,,KITA,MUSTAPHA BIN HUSSEIN,MALE,,437,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.36_N.4,PULAU PINANG,P.36,MATA KUCHING,N.4,BAGAN AJAM,BN - UMNO,,12020,2774,80.18,9638,530,9108,BN - UMNO,CEK GU IBRAHIM BIN AB. RAZAK,MALE,,5941,,,,,,,,PAS,AHMAD ABDUL RAHMAN,MALE,,3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.36_N.5,PULAU PINANG,P.36,MATA KUCHING,N.5,BAGAN JERMAL,BN - MCA,,18282,1336,78.55,14360,541,13819,BN - MCA,DR SAK CHENG LUM,,,5640,,,,,,,,,,,,,,SDP,CHUA BAN HOCK,,,4304,,,,,,,,INDEPENDENT,PHEE JOO TEIK,,,3875,,,,,,,,,,,,,
P.36_N.6,PULAU PINANG,P.36,MATA KUCHING,N.6,BAGAN DALAM,BN - MIC,,17123,63,79.55,13622,489,13133,BN - MIC,T. SUBBIAH,MALE,,5747,,DAP,N. SHANMUGAM,MALE,,5684,,PAS,ABDUL HAMID BIN ABDULLAH,MALE,,845,LOST DEPOSIT,SDP,LOH KIM HENG,,,857,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.7,PULAU PINANG,P.37,PERMATANG PAUH,N.7,SUNGAI DUA,PAS,,8258,704,81.56,6735,353,6382,BN - UMNO,HINDON BINTI HASHIM,FEMALE,,2839,,,,,,,,PAS,HAJI ZABIDI BIN HAJI ALI,MALE,,3543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.8,PULAU PINANG,P.37,PERMATANG PAUH,N.8,KUBANG SEMANG,BN - UMNO,,9813,712,83.04,8149,437,7712,BN - UMNO,HAJI MOHAMAD NOR BIN BAKAR,MALE,,4212,,,,,,,,PAS,ISMAIL BIN YUSOFF,MALE,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.9,PULAU PINANG,P.37,PERMATANG PAUH,N.9,PENANTI,BN - UMNO,,9445,419,77.96,7363,416,6947,BN - UMNO,ABDULLAH BIN MOHAMAD @ MAHMUD,MALE,,3488,,,,,,,,PAS,MD. JAMIL BIN HASSAN,MALE,,3069,,KITA,JAAFAR BIN AHMAD,MALE,,390,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.10,PULAU PINANG,P.38,BUKIT MERTAJAM,N.10,BUKIT TENGAH,BN - GERAKAN,,12063,564,79.71,9615,404,9211,BN - GERAKAN,LIANG THAU SANG,,,3728,,DAP,ONG CHIN SIONG,,,3164,,PAS,HAJI MUSA BIN HAJI MOHD. YATIM,MALE,,2319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.11,PULAU PINANG,P.38,BUKIT MERTAJAM,N.11,PEKAN BUKIT MERTAJAM,DAP,,18212,3061,80.18,14603,459,14144,BN - MCA,OH TECK AUN,,,5451,,DAP,SEOW HUN KHIM,,,8512,,,,,,,,KITA,V. APAROO,MALE,,181,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.12,PULAU PINANG,P.38,BUKIT MERTAJAM,N.12,MACHANG BUBOK,BN - GERAKAN,,10968,519,82.34,9031,400,8631,BN - GERAKAN,LIM HENG TEE,,,3301,,DAP,OOI CHEW FONG,,,2782,,PAS,HUSSEIN BIN ISMAIL,MALE,,2318,,KITA,GURDIAL SINGH,MALE,,130,LOST DEPOSIT,,,,,,,INDEPENDENT,USTAZ ISMAIL HELMY,MALE,,100,LOST DEPOSIT,,,,,,,,,,,,
P.39_N.13,PULAU PINANG,P.39,NIBONG TEBAL,N.13,BUKIT TAMBUN,BN - MCA,,8451,1066,81.86,6918,354,6564,BN - MCA,NG SWEE CHING,,,3815,,DAP,KOAY BOON SENG,,,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.14,PULAU PINANG,P.39,NIBONG TEBAL,N.14,SUNGAI BAKAP,BN - GERAKAN,,9980,319,79.16,7900,452,7448,BN - GERAKAN,TEOH KOOI SNEAH,,,2583,,DAP,TEOW SANG SENG,,,356,LOST DEPOSIT,PAS,SHAIK ADAM,MALE,,513,LOST DEPOSIT,SDP,KHOR EWE TIEN,,,99,LOST DEPOSIT,,,,,,,INDEPENDENT,KHOO SOO KHENG,MALE,,2264,,INDEPENDENT,YUSOFF BIN SULAIMAN,MALE,,1633,,,,,,,
P.39_N.15,PULAU PINANG,P.39,NIBONG TEBAL,N.15,SUNGAI ACHEH,BN - UMNO,,12036,2502,77.03,9271,289,8982,BN - UMNO,AHMAD BIN SALEH,MALE,,5294,,DAP,MD. NOOR BIN SHAARI,MALE,,2792,,PAS,AHMAD BIN WAHI,MALE,,507,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,HAJI HANAFIAH,MALE,,389,LOST DEPOSIT,,,,,,,,,,,,
P.40_N.16,PULAU PINANG,P.40,BALIK PULAU,N.16,TELOK BAHANG,BN - UMNO,,11843,1865,75.54,8946,459,8487,BN - UMNO,AHMAD RADHI BIN PACHEE,MALE,,4413,,,,,,,,PAS,IBRAHIM BIN SAAD,MALE,,207,LOST DEPOSIT,PSRM,OSMAN BIN DIN,MALE,,2548,,,,,,,,INDEPENDENT,ABDUL RAHMAN BIN HAJI JUNUS,MALE,,1319,,,,,,,,,,,,,
P.40_N.17,PULAU PINANG,P.40,BALIK PULAU,N.17,SUNGAI NIBONG,BN - GERAKAN,,16612,2562,75.07,12470,481,11989,BN - GERAKAN,DR TAN CHONG TEIK,,,6636,,,,,,,,PAS,HUSSAIN BIN DRANI,MALE,,1279,LOST DEPOSIT,PSRM,MOHIDEEN ABDUL KADER,MALE,,4074,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_N.18,PULAU PINANG,P.40,BALIK PULAU,N.18,BAYAN LEPAS,BN - UMNO,,13721,4014,78.03,10706,360,10346,BN - UMNO,KHALID AHMAD,MALE,,6900,,,,,,,,PAS,OMAR BIN HASSAN,MALE,,560,LOST DEPOSIT,PSRM,OTHMAN BIN TAIB,MALE,,2886,,,,,,,,,,,,,,,,,,,,,,,,,
P.41_N.19,PULAU PINANG,P.41,BUKIT BENDERA,N.19,TANJONG BUNGA,BN - GERAKAN,,19154,5173,77.53,14850,427,14423,BN - GERAKAN,KHOR GARK KIM,MALE,,9637,,DAP,KHOO SOO HOE,,,4464,,,,,,,,SDP,GOPAL NAIR,MALE,,322,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.41_N.20,PULAU PINANG,P.41,BUKIT BENDERA,N.20,AYER ITAM,DAP,,18903,1222,78.83,14901,320,14581,BN - MCA,DAVID CHOONG EWE LEONG,MALE,,6421,,DAP,PETER DASON,MALE,,7643,,,,,,,,SDP,OH KENG SENG,MALE,,517,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.41_N.21,PULAU PINANG,P.41,BUKIT BENDERA,N.21,PAYA TERUBONG,DAP,,17803,270,79.42,14139,379,13760,BN - GERAKAN,LAU KOK CHEW,,,5255,,DAP,CHIN NUOK SOO,,,5525,,,,,,,,SDP,LIM CHENG TEIK,,,2320,,,,,,,,INDEPENDENT,KHOO HUAT HIN,MALE,,660,LOST DEPOSIT,,,,,,,,,,,,
P.42_N.22,PULAU PINANG,P.42,TANJONG,N.22,PADANG KOTA,BN - GERAKAN,,15733,914,77.57,12205,414,11791,BN - GERAKAN,DR LIM CHONG EU,MALE,,6137,,DAP,WONG HOONG KEAT,,,5223,,,,,,,,SDP,DR T.B.A. PETER,MALE,,108,LOST DEPOSIT,,,,,,,INDEPENDENT,GAN KAH PENG,MALE,,323,LOST DEPOSIT,,,,,,,,,,,,
P.42_N.23,PULAU PINANG,P.42,TANJONG,N.23,KAMPONG KOLAM,DAP,,17638,8014,79.58,14036,991,13045,,,,,,,DAP,OOI EAN KWONG,,,10239,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MAH CHEOK TAT,MALE,,2225,,INDEPENDENT,LEE TEIK HOOI,,,581,LOST DEPOSIT,,,,,,
P.42_N.24,PULAU PINANG,P.42,TANJONG,N.24,PENGKALAN KOTA,INDEPENDENT,,18559,5102,81.51,15127,553,14574,BN - MCA,TAN CHIN BEE,,,2552,,DAP,OOI SOO TOE,,,3460,,,,,,,,,,,,,,,,,,,,INDEPENDENT,CHOOI YEW CHOY,MALE,,8562,,,,,,,,,,,,,
P.43_N.25,PULAU PINANG,P.43,JELUTONG,N.25,DATOK KERAMAT,BN - GERAKAN,,17505,5852,76.81,13445,507,12938,BN - GERAKAN,TEH EWE LIM,,,9002,,DAP,KHOO TENG KOK,,,786,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT,LIM KAH PIN,MALE,,3150,,,,,,,,,,,,,
P.43_N.26,PULAU PINANG,P.43,JELUTONG,N.26,SUNGAI PINANG,BN - GERAKAN,,20801,2445,79.68,16575,706,15869,BN - GERAKAN,DR ONG HEAN TEE,,,7594,,DAP,CHAI BEO COME,,,5149,,,,,,,,,,,,,,,,,,,,INDEPENDENT,N. PATKUNAM,,,2349,,INDEPENDENT,TAN CHONG HOOI,MALE,,777,LOST DEPOSIT,,,,,,
P.43_N.27,PULAU PINANG,P.43,JELUTONG,N.27,BUKIT GELUGOR,DAP,,21942,574,78.53,17232,460,16772,BN - GERAKAN,TAN GIM HWA,,,7202,,DAP,KARPAL SINGH,MALE,,7776,,,,,,,,SDP,YEAP GHIM GUAN,MALE,,946,LOST DEPOSIT,,,,,,,INDEPENDENT,A.R. KARIM,,,848,LOST DEPOSIT,,,,,,,,,,,,
P.44_N.1,PERAK,P.44,GERIK,N.1,TEMENGOR,BN - UMNO,,9745,2899,76.45,7450,265,7185,BN - UMNO,SHAMSUDDIN BIN DIN,MALE,,4591,,DAP,MAT YUNOS BIN ABD. MUNIR,MALE,,902,,PAS,ABDUL RAHIM BIN ABDULLAH,MALE,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.44_N.2,PERAK,P.44,GERIK,N.2,KENERING,BN - UMNO,,11246,2683,79.69,8962,263,8699,BN - UMNO,WAN MOHAMED BIN WAN TEH,MALE,,4692,,DAP,MOHD. YUSOF BIN OTHMAN,MALE,,1998,,PAS,ZAINOL BIN OTHMAN,MALE,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.45_N.3,PERAK,P.45,LARUT,N.3,SELAMA,BN - UMNO,,10022,2927,79.3,7948,335,7613,BN - UMNO,HAJI ABD. AZIZ BIN HAJI AHMAD,MALE,,5208,,DAP,M. MUSTAFA ZAKARIA,MALE,,124,LOST DEPOSIT,PAS,AHMAD BIN YUSOH,MALE,,2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.45_N.4,PERAK,P.45,LARUT,N.4,BATU KURAU,BN - UMNO,,11975,3890,78.34,9382,335,9047,BN - UMNO,ABDUL MANAN BIN MOHD. ALI,MALE,,6416,,DAP,CHE ROSE BIN HAJI ABDULLAH,MALE,,105,LOST DEPOSIT,PAS,HAJI PUTEH BIN HAJI ABD. LATIFF,MALE,,2526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.46_N.5,PERAK,P.46,PARIT BUNTAR,N.5,SIMPANG LIMA,BN - UMNO,,16328,2351,76.06,12419,668,11751,BN - UMNO,ISMAIL ABD. RAUF,MALE,,6445,,DAP,HAJI SAMSUDIN BIN HAJI JOHARI,MALE,,1013,LOST DEPOSIT,PAS,HARUN HASHIM,MALE,,4094,,,,,,,,,,,,,,INDEPENDENT,SHAARANI BIN HAJI MOHAMED,MALE,,199,LOST DEPOSIT,,,,,,,,,,,,
P.46_N.6,PERAK,P.46,PARIT BUNTAR,N.6,KUALA KURAU,PAS,,18663,203,77.3,14427,806,13621,BN - UMNO,HAJI AHMAD TALHAH BIN HAJI ARPAN,MALE,,4929,,DAP,HAJI AHMAD BIN BAKAR,MALE,,3560,,PAS,ABDUL RAHMAN HAJI MOKTAR,MALE,,5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.47_N.7,PERAK,P.47,BAGAN SERAI,N.7,ALOR PONGSU,BN - UMNO,,19856,4226,74,14694,928,13766,BN - UMNO,MOHAMED BIN ABAS,MALE,,8039,,DAP,JELANI BIN SAMAN,MALE,,1914,,PAS,USTAZ WAHAB NOOR,MALE,,3813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.47_N.8,PERAK,P.47,BAGAN SERAI,N.8,GUNONG SEMANGGOL,BN - UMNO,,14007,1839,76.02,10648,465,10183,BN - UMNO,ZAINAL ABIDIN BIN ZIN,MALE,,5939,,DAP,IDHAM AFFANDI BIN AHMAD,MALE,,144,LOST DEPOSIT,PAS,BAHARUDDIN HAJI ABD. LATIFF,MALE,,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.48_N.9,PERAK,P.48,SUNGAI SIPUT,N.9,LINTANG,BN - UMNO,Y,12980,,,,,,BN - UMNO,MOHAMED BASHIR H. M. BAHARI,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.48_N.10,PERAK,P.48,SUNGAI SIPUT,N.10,JALONG,BN - GERAKAN,,14942,152,80.36,12008,528,11480,BN - GERAKAN,DR LIM KENG YAIK,MALE,,5762,,DAP,NGAN SIONG HING,,,5610,,,,,,,,UPP,LEE HENG,,,108,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.49_N.11,PERAK,P.49,TAIPING,N.11,KAMUNTING,BN - UMNO,,16355,3261,70.84,11586,461,11125,BN - UMNO,AHMAD BIN NAWI,MALE,,6370,,DAP,ZAINAL ABIDIN BIN AHMAD,MALE,,3109,,PAS,HAJI SALAHUDIN (HAJI AWANG) BIN AWANG ISMAIL,MALE,,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.49_N.12,PERAK,P.49,TAIPING,N.12,KELIAN PAUH,DAP,,30799,4141,78.56,24196,771,23425,BN - MCA,DR NG AH THONG,,,9257,,DAP,LIM ENG CHUAN,,,13398,,PAS,MAI BIN MAT,MALE,,770,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.50_N.13,PERAK,P.50,MATANG,N.13,CHANGKAT JERING,BN - GERAKAN,,18278,3936,77.55,14175,559,13616,BN - GERAKAN,ANG CHIN WAH,,,7806,,DAP,YAHAYA BIN HAJI YAACOB,MALE,,3870,,PAS,AHMAD BIN HAJI ABDULLAH,MALE,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.50_N.14,PERAK,P.50,MATANG,N.14,BUKIT GANTANG,BN - UMNO,,13689,3066,75.9,10391,381,10010,BN - UMNO,AHMAD BIN MANSOR,MALE,,5842,,DAP,KAMARUDDIN BIN MD. NOH,MALE,,1392,,PAS,MAT RODZI BIN HAJI ZAKARIA,MALE,,2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.51_N.15,PERAK,P.51,PADANG RENGAS,N.15,LENGGONG,BN - UMNO,,12209,4465,78.46,9580,358,9222,BN - UMNO,SAIDIN BIN HAJI MAT PIAH,MALE,,6112,,DAP,HAJI AHMAD BIN HAJI SIDIK,MALE,,1463,,PAS,ALIAS BIN ABDUL HAMID,MALE,,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.51_N.16,PERAK,P.51,PADANG RENGAS,N.16,LUBOK MERBAU,BN - UMNO,,12018,1096,76.93,9245,508,8737,BN - UMNO,MIOR ARIS BIN MIOR ABU BAKAR,MALE,,4751,,DAP,ABDUL KARIM BIN LAN,MALE,,331,LOST DEPOSIT,PAS,MOHAMAD BIN HAJI JUNID,MALE,,3655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.52_N.17,PERAK,P.52,KUALA KANGSAR,N.17,BUKIT CHANDAN,BN - MCA,,16379,2178,72.67,11902,424,11478,BN - MCA,WONG YEE KAO,,,5380,,DAP,KUAN BOON HOOI,,,3202,,PAS,HASHIM BIN HAJI MAD NOR @ HAJI NOR,MALE,,2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.52_N.18,PERAK,P.52,KUALA KANGSAR,N.18,MANONG,BN - UMNO,,7579,926,78.18,5925,228,5697,BN - UMNO,SHAFIE BIN MAT SAMAN,MALE,,2965,,DAP,AHMAD BIN MOHD. NASIR,MALE,,693,LOST DEPOSIT,PAS,ZABIDIN BIN ALANG OTHMAN,MALE,,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.53_N.19,PERAK,P.53,KINTA,N.19,CHEMOR,BN - PPP,,32471,3914,72.76,23625,257,23368,BN - PPP,YAP BOON EN,,,13641,,DAP,MOHD. FADLAN BIN YAHAYA,MALE,,9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.53_N.20,PERAK,P.53,KINTA,N.20,GOPENG,DAP,,25190,903,79.77,20094,857,19237,BN - PPP,CHUNG KOY FAH,,,8641,,DAP,P. PATTO,MALE,,9544,,PAS,RAJA IDRIS BIN RAJA HASSAN,MALE,,1052,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.54_N.21,PERAK,P.54,IPOH,N.21,GUNTONG,DAP,,30457,1966,75.28,22930,502,22428,BN - PPP,M. SINGARAM,MALE,,10231,,DAP,MOHD. SALLEH BIN NAKHODA ITAM,MALE,,12197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.54_N.22,PERAK,P.54,IPOH,N.22,KEPAYANG,DAP,,32951,10434,79.67,26255,765,25490,BN - MIC,R. JEGATHEESA,MALE,,7414,,DAP,LIM CHO HOCK,,,17848,,,,,,,,,,,,,,,,,,,,INDEPENDENT,NG THOR FUNG,,,228,LOST DEPOSIT,,,,,,,,,,,,
P.55_N.23,PERAK,P.55,MENGLEMBU,N.23,PASIR PUTEH,DAP,,34542,6169,78.24,27026,1023,26003,BN - MCA,WU LIAN HWA,,,9917,,DAP,CHIANG HENG KAI,,,16086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.55_N.24,PERAK,P.55,MENGLEMBU,N.24,KUALA PARI,DAP,,26897,5435,78.73,21175,1036,20139,BN - MCA,TAN TIEW BOCK,,,7352,,DAP,LIM NYIT SIN,,,12787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.56_N.25,PERAK,P.56,BERUAS,N.25,PENGKALAN BAHARU,BN - UMNO,,11005,2610,79.11,8706,464,8242,BN - UMNO,ABD. MALIK BIN HAJI AHMAD,MALE,,4888,,DAP,KHATIRGAMER A/L NAGALINGAM,MALE,,2278,,PAS,JAAFAR BIN PUTEH,MALE,,799,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,ISMAIL BIN AHMAD,MALE,,277,LOST DEPOSIT,,,,,,,,,,,,
P.56_N.26,PERAK,P.56,BERUAS,N.26,PANTAI REMIS,DAP,,16104,3000,78.13,12582,414,12168,BN - PPP,PARAMJIK SINGH,MALE,,4338,,DAP,HEONG HENG KENG,MALE,,7338,,PAS,MOHAMED BIN DARUS,MALE,,492,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.57_N.27,PERAK,P.57,PARIT,N.27,BELANJA,BN - UMNO,,15904,2509,79.39,12627,453,12174,BN - UMNO,AHMAD AZIZUDDIN BIN HAJI ZAINAL ABIDIN,MALE,,6178,,DAP,ABAS BIN MAT SAID,MALE,,3669,,PAS,HASSAN SHAARI BIN ALANG PINTAL,MALE,,2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.57_N.28,PERAK,P.57,PARIT,N.28,BOTA,BN - UMNO,,15763,2225,78.82,12425,539,11886,BN - UMNO,ROKIAH BINTI KAYAT,FEMALE,,5577,,DAP,NGAH BIN MAT BAKI,MALE,,2957,,PAS,MAHMUD BIN ZAINAL ABIDIN,MALE,,3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.58_N.29,PERAK,P.58,BATU GAJAH,N.29,TANJONG TUALANG,BN - MCA,,19536,1502,72.99,14260,824,13436,BN - MCA,CHEONG KAI FU,,,7284,,DAP,SUM CHEOK LENG,,,5782,,PAS,MOHAMAD RAMLI BIN MOHD SALLEH,MALE,,370,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.58_N.30,PERAK,P.58,BATU GAJAH,N.30,KAMPAR,DAP,,22299,5011,78.36,17474,969,16505,BN - MCA,LIM TONG KWAI,,,4320,,DAP,LEE KAK HOI,,,9331,,,,,,,,,,,,,,,,,,,,INDEPENDENT,CHAN HENG WOH,,,2854,,,,,,,,,,,,,
P.59_N.31,PERAK,P.59,BATANG PADANG,N.31,TAPAH,BN - MCA,,14106,1724,79.26,11181,519,10662,BN - MCA,LIM YOON YOOK,MALE,,5993,,DAP,IBRAHIM BIN SINGGEH,MALE,,4269,,PAS,HAJI MAHFUD BIN HAJI ANWAR,MALE,,400,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.59_N.32,PERAK,P.59,BATANG PADANG,N.32,CHENDERIANG,BN - UMNO,,11808,2834,75.81,8952,374,8578,BN - UMNO,ABDUL WAHAB BIN ABU BAKAR,MALE,,5706,,DAP,KALIMUTHU A/L RANGGAYAH,MALE,,2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.60_N.33,PERAK,P.60,LUMUT,N.33,SITIAWAN,BN - MIC,,18314,1091,78.34,14349,521,13828,BN - MIC,S. RAJA SEGRAN,MALE,,6604,,DAP,TING CHEK MING,,,5513,,PAS,HAJI IBRAHIM BIN HAJI HASAN,MALE,,820,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,C. SC. SELLAPAN,MALE,,891,LOST DEPOSIT,,,,,,,,,,,,
P.60_N.34,PERAK,P.60,LUMUT,N.34,PANGKOR,BN - GERAKAN,,15349,841,76.96,11814,315,11499,BN - GERAKAN,CHERNG CHIEN CHANG,,,5953,,DAP,PHUNG AH SEE @ PHUNG TEIK HUA,,,5112,,PAS,MOHAMED SALLEH BIN MOHD. GAUS,MALE,,434,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.61_N.35,PERAK,P.61,HILIR PERAK,N.35,KAMPONG GAJAH,BN - UMNO,,14535,5015,72.27,10504,538,9966,BN - UMNO,RAMLI BIN NGAH TALIB,MALE,,7251,,DAP,ZAINAL ABIDIN BIN MD. NUSI,MALE,,360,LOST DEPOSIT,PAS,ISHAK BIN HAJI ABDUL HAMID,MALE,,2236,,,,,,,,PEKEMAS,CHEK BIN ALI,MALE,,119,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
