UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,WARISAN PLUS,WARISAN PLUS CANDIDATE,WARISAN PLUS CANDIDATE GENDER,WARISAN PLUS CANDIDATE AGE,WARISAN PLUS CANDIDATE VOTE,WARISAN PLUS CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE GENDER,PBS CANDIDATE AGE,PBS CANDIDATE VOTE,PBS CANDIDATE LOST DEPOSIT,PCS,PCS CANDIDATE,PCS CANDIDATE GENDER,PCS CANDIDATE AGE,PCS CANDIDATE VOTE,PCS CANDIDATE LOST DEPOSIT,LDP,LDP CANDIDATE,LDP CANDIDATE GENDER,LDP CANDIDATE AGE,LDP CANDIDATE VOTE,LDP CANDIDATE LOST DEPOSIT,PGRS,PGRS CANDIDATE,PGRS CANDIDATE GENDER,PGRS CANDIDATE AGE,PGRS CANDIDATE VOTE,PGRS CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE GENDER,USNO CANDIDATE AGE,USNO CANDIDATE VOTE,USNO CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDPEDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE,INDEPENDENT 4 CANDIDATE LOST DEPOSIT
P.172_N.19,SABAH,P.172,KOTA KINABALU,N.19,LIKAS,WARISAN PLUS - DAP,,14934,7517,63.97,9554,16,71,9467,MCA,DR CHANG KEE YING,FEMALE,32,656,LOST DEPOSIT,,,,,,,DAP,TAN LEE FATT,MALE,44,8173,,,,,,,,PCS,LU SIAU WEE,MALE,37,164,LOST DEPOSIT,LDP,SIM FUI,MALE,39,276,LOST DEPOSIT,,,,,,,USNO,DANIEL ISAAC HOONG,MALE,36,81,LOST DEPOSIT,PPRS,CHONG CHEE VUI,MALE,,22,LOST DEPOSIT,,,,,,,INDEPENDENT - TREE,CHIA CHUI KET MELANIE,FEMALE,63,95,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.172_N.20,SABAH,P.172,KOTA KINABALU,N.20,API-API,WARISAN PLUS - PKR,,19149,5347,61.96,11865,30,336,11499,,,,,,,,,,,,,PKR,CHRISTINA LIEW,FEMALE,68,7796,,PBS,DR YEE MOH CHAI,MALE,65,2449,,PCS,PANG YUK MING,MALE,54,431,LOST DEPOSIT,LDP,CHIN SU PHIN,MALE,62,317,LOST DEPOSIT,PGRS,CHONG TZE KIUN,MALE,,97,LOST DEPOSIT,,,,,,,PPRS,LO YAU FOH,MALE,61,280,LOST DEPOSIT,,,,,,,INDEPENDENT - TELEPHONE,MARCEL JUDE,MALE,,16,LOST DEPOSIT,INDEPENDENT - CHAIR,NG CHUN SUA,MALE,50,41,LOST DEPOSIT,INDEPENDENT - TREE,SIM SIE HONG,MALE,55,72,LOST DEPOSIT,,,,,,
P.172_N.21,SABAH,P.172,KOTA KINABALU,N.21,LUYANG,WARISAN PLUS - DAP,,25775,14521,67.14,17306,44,135,17127,,,,,,,SAPP,GEE TIEN SIONG,MALE,,989,LOST DEPOSIT,DAP,PHOONG JIN ZHE,MALE,31,15510,,,,,,,,PCS,WILSON CHANG KHAI SIM,MALE,,190,LOST DEPOSIT,LDP,DATUK ANTHONY LINGGIAN @ CHONG YUK KEN JP,MALE,68,279,LOST DEPOSIT,PGRS,HIEW KING CHEU,MALE,68,62,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,CHIN LING LING,FEMALE,49,97,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.173_N.22,SABAH,P.173,PUTATAN,N.22,TANJUNG ARU,WARISAN PLUS - WARISAN,,14941,3147,66.12,9879,171,287,9421,UMNO,MOHD REDUAN AKLEE,MALE,,2538,,,,,,,,WARISAN,JUNZ WONG,MALE,,5685,,PBS,IR. EDWARD YONG OUI FAH,MALE,,647,LOST DEPOSIT,PCS,NORAN ADDY BIN SUKIRAN,MALE,,241,LOST DEPOSIT,LDP,IBRAHIM BIN OKK MOHD LAIMAN DIKI,MALE,,179,LOST DEPOSIT,PGRS,RIZAWANI FIONA HENG,FEMALE,40,25,LOST DEPOSIT,USNO,SHAFFIC BIN RISAIB SHAH,MALE,,88,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TREE,JAN CHOW YEE FAH,FEMALE,,18,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.173_N.23,SABAH,P.173,PUTATAN,N.23,PETAGAS,WARISAN PLUS - WARISAN,,13763,261,69.33,9542,265,210,9067,,,,,,,PPBM,ARSIT BIN SEDI@SIDIK,MALE,,3864,,WARISAN,AWANG AHMAD SAH,MALE,61,4125,,,,,,,,PCS,AHMAD FARID BIN SAINURI,MALE,,355,LOST DEPOSIT,LDP,JECKY LETTONG @ THADDEUS JACK,MALE,,118,LOST DEPOSIT,PGRS,MOHAMAD BIN KULAT,MALE,,33,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,PAUL NOINTIEN,MALE,,572,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.173_N.24,SABAH,P.173,PUTATAN,N.24,TANJUNG KERAMAT,BN - UMNO,,14350,1124,65.99,9470,368,224,8878,UMNO,IR. SHAHELMEY YAHYA,MALE,47,4594,,,,,,,,PAN,ROSDY BIN WASLI,MALE,45,3470,,,,,,,,PCS,IRA UZAIR,FEMALE,,363,LOST DEPOSIT,LDP,FAEZAH IBNU,FEMALE,39,329,LOST DEPOSIT,,,,,,,USNO,MOHD.SALLEH BIN LAMSIN,MALE,66,122,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.174_N.25,SABAH,P.174,PENAMPANG,N.25,KAPAYAN,WARISAN PLUS - DAP,,30034,13163,65.84,19773,44,282,19447,MCA,LU YEN TUNG,MALE,56,1889,LOST DEPOSIT,,,,,,,DAP,JANNIE LASIMBANG,FEMALE,58,15052,,PBS,DR. EDWIN @ JACK BOSI,MALE,,803,LOST DEPOSIT,PCS,CHUA JUAN SHIUH,MALE,,325,LOST DEPOSIT,LDP,YONG WUI CHUNG,MALE,,428,LOST DEPOSIT,PGRS,STEPHEN JACOB JIMBANGAN,MALE,,892,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,CHEW SHUNG SENG,MALE,45,58,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.174_N.26,SABAH,P.174,PENAMPANG,N.26,MOYOG,WARISAN PLUS - WARISAN,,19465,5935,70.06,13637,33,177,13427,,,,,,,STAR,JOE SULEIMAN,MALE,59,2502,,WARISAN,DARELL LEIKING,MALE,49,8437,,PBS,JOHN CHRYSO BIN MASABAL,MALE,,1175,LOST DEPOSIT,PCS,WILLIAM SAMPIL,MALE,66,975,LOST DEPOSIT,LDP,MARCEL ANNOL,MALE,63,185,LOST DEPOSIT,,,,,,,,,,,,,PPRS,VINSON LOIJON @ PATRICK,MALE,,82,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,ROBERT RICHARD FOO,MALE,43,71,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.175_N.27,SABAH,P.175,PAPAR,N.27,LIMBAHAU,WARISAN PLUS - WARISAN,,12739,2523,72.67,9258,25,140,9093,,,,,,,,,,,,,WARISAN,JUIL NUATIM,MALE,,5194,,PBS,DATUK JOHNNY MOSITUN,MALE,63,2671,,PCS,AUBREY G SHAM,MALE,,249,LOST DEPOSIT,LDP,CORNELIUS FREDERICK @ MICHAEL FJ SULIP,MALE,,473,LOST DEPOSIT,PGRS,EVELYN JUNE CHARLIE,FEMALE,44,34,LOST DEPOSIT,USNO,SUSANNA JAINIM JARIS,FEMALE,,54,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - CHAIR,LAURENCE ONJUMAN,MALE,64,354,LOST DEPOSIT,INDEPENDENT - KEY,PIUS BIN LOKIOM,MALE,,64,LOST DEPOSIT,,,,,,,,,,,,
P.175_N.28,SABAH,P.175,PAPAR,N.28,KAWANG,PN - PPBM,,14932,5094,74.28,11091,36,181,10874,,,,,,,PPBM,DATUK GULAMHAIDAR @ YUSOF BIN KHAN BAHADAR,MALE,,7747,,WARISAN,MUSLI BIN SAPAN @ MUSHAFIEN,MALE,64,2653,,,,,,,,PCS,ABDUL RAHIM HJ. LASSIM,MALE,,192,LOST DEPOSIT,LDP,JANRYWINE J LUSIN,MALE,42,119,LOST DEPOSIT,,,,,,,USNO,AWANG ARIP BIN NASIB @ AG ARIF BIN NASIP,MALE,,163,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.175_N.29,SABAH,P.175,PAPAR,N.29,PANTAI MANIS,BN - UMNO,,14322,686,73.31,10500,45,132,10323,UMNO,MOHD TAMIN @ TAMIN BIN ZAINAL,MALE,50,5116,,,,,,,,WARISAN,YAHIYA BIN AG KAHAR,MALE,61,4430,,,,,,,,PCS,FAUZI BIN IBRAHIM,MALE,,499,LOST DEPOSIT,LDP,MAZRECA JOHN,FEMALE,,127,LOST DEPOSIT,,,,,,,USNO,AG DAMIT @ AG SAHZAIN PG ABD RAZAK,MALE,,151,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.176_N.30,SABAH,P.176,KIMANIS,N.30,BONGAWAN,WARISAN PLUS - WARISAN,,16735,1802,77.94,13044,30,236,12778,UMNO,HJ AG SYAIRIN,MALE,59,3548,,,,,,,,WARISAN,DAUD BIN YUSOF,MALE,59,5400,,,,,,,,PCS,ANIFAH AMAN,MALE,67,3598,,LDP,MOHD AZREE BIN ABD GHANI,MALE,29,232,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.176_N.31,SABAH,P.176,KIMANIS,N.31,MEMBAKUT,PN - PPBM,,13617,3421,77.99,10620,19,119,10482,,,,,,,PPBM,MOHD ARIFIN BIN MOHD ARIF,MALE,57,6363,,WARISAN,MOHD. KAMARUDDIN BIN ABD. HAMID,MALE,43,2942,,,,,,,,PCS,SAAT BIN AG. DAMIT,MALE,,526,LOST DEPOSIT,,,,,,,,,,,,,USNO,SENIATI BIN ABD GHANI,MALE,,63,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - FISH,AG DURAMIN TAFA,MALE,51,588,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.177_N.32,SABAH,P.177,BEAUFORT,N.32,KLIAS,PN - PPBM,,16905,3901,68.41,11564,34,327,11203,,,,,,,PPBM,DATUK ISNIN HJ.ALIASNIH,MALE,,6711,,PKR,ABDUL RAHMAN BIN MD YAKUB,MALE,58,2810,,,,,,,,PCS,ABDULLAH BIN OKIN,MALE,,1419,,,,,,,,PGRS,MAKSIT BIN SAIDI,MALE,,55,LOST DEPOSIT,USNO,AMSIR BIN DANI,MALE,,122,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TREE,JISMIT BIN JAPONG,MALE,,86,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.177_N.33,SABAH,P.177,BEAUFORT,N.33,KUALA PENYU,PN - PPBM,,16396,3273,78.24,12829,25,215,12589,,,,,,,PPBM,LIMUS BIN JURY,MALE,59,6256,,UPKO,NELSON W. ANGANG,MALE,,2983,,,,,,,,PCS,CECILIA JOMPIUH,FEMALE,,181,LOST DEPOSIT,LDP,JEPRI BIN MAPAT,MALE,,138,LOST DEPOSIT,PGRS,PARIJIK @ FREDZEX BIN BAGANG,MALE,,84,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD FADZLEE LEE ABDULLAH @ CHUN LEE,MALE,,2947,,,,,,,,,,,,,,,,,,,
P.178_N.34,SABAH,P.178,SIPITANG,N.34,LUMADAN,PBS,,15044,364,73.19,11010,148,298,10564,UMNO,KAMARLIN BIN OMBI,MALE,,3286,,,,,,,,WARISAN,AG. KU ZAIDI BIN PG. WAHAB,MALE,,2859,,PBS,RUSLAN MUHARAM,MALE,58,3650,,PCS,MALIK BIN UNSAT @ JAHARI,MALE,61,231,LOST DEPOSIT,,,,,,,PGRS,SAHLIH BIN SIRIN,MALE,,44,LOST DEPOSIT,USNO,ALI DAD FAZAL ELAHI,MALE,57,254,LOST DEPOSIT,PPRS,JOHARI BIN MOHD DUN,MALE,,135,LOST DEPOSIT,HR,DAYANG AEZZY BINTI LIMAN,FEMALE,24,59,LOST DEPOSIT,INDEPENDENT - CHAIR,MOHD SAIDI BIN MANAN,MALE,,46,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.178_N.35,SABAH,P.178,SIPITANG,N.35,SINDUMIN,WARISAN PLUS - WARISAN,,16762,424,67.41,11300,31,208,11061,UMNO,SANI BIN MIASIN,MALE,,4991,,,,,,,,WARISAN,DATUK DR YUSOF,MALE,,5415,,,,,,,,PCS,JAEBEH @ JAYBEE BIN BUAYA @ BUAYIE,MALE,,114,LOST DEPOSIT,LDP,DANIEL GAING @ GEORGE DANIEL,MALE,,142,LOST DEPOSIT,PGRS,ARIFIN BIN HARITH,MALE,,34,LOST DEPOSIT,USNO,MANSHUR @ MANSHOR BIN OKK MOHD YASSIN,MALE,,365,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.179_N.36,SABAH,P.179,RANAU,N.36,KUNDASANG,PBS,,14986,1422,68.20,10220,21,205,9994,,,,,,,,,,,,,WARISAN,SIRIMAN HJ. BASIR,MALE,,2910,,PBS,DR. JOACHIM GUNSALAM,MALE,62,4332,,PCS,EWON BIN EBIN,MALE,66,2384,,LDP,JEAFRY GOH KAUTAH,MALE,,293,LOST DEPOSIT,PGRS,OSMAN MARAJIN,MALE,,75,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.179_N.37,SABAH,P.179,RANAU,N.37,KARANAAN,PN - PPBM,,13425,4814,68.69,9221,35,100,9086,,,,,,,PPBM,DATUK MASIDI BIN MANJUN @ MASDI,MALE,69,6696,,WARISAN,AWASI GANIE @ YASIN BIN ABDUL GHANI,MALE,,1882,,,,,,,,PCS,HADZRUL MASNIN,MALE,,434,LOST DEPOSIT,,,,,,,,,,,,,USNO,MD TAJUDDIN BIN SADI,MALE,,74,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.179_N.38,SABAH,P.179,RANAU,N.38,PAGINATAN,PN - STAR,,15410,1323,70.75,10903,47,244,10612,UMNO,JEMADI @ JUNAIDI BIN SAHAT,MALE,,2460,,STAR,ABIDIN BIN MADINGKIR,MALE,,3783,,UPKO,GEORGINA GEORGE,FEMALE,,1245,LOST DEPOSIT,PBS,ARTHUR SEN SIONG CHOO @ SIN SIONG CHOI,MALE,,1588,,PCS,AMRU BIN ABD KADIR,MALE,,905,LOST DEPOSIT,LDP,LIONG SUN MIN @ SUN MIN BIN LIMATOK,MALE,,118,LOST DEPOSIT,PGRS,BENSIN @ BINSIN BIN DANI,MALE,,52,LOST DEPOSIT,USNO,KAMIL BIN KASIBUN,MALE,,112,LOST DEPOSIT,ANAK NEGERI,DATUK HENRYNUS AMIN,MALE,,349,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.180_N.39,SABAH,P.180,KENINGAU,N.39,TAMBUNAN,PN - STAR,,16511,6792,70.96,11717,55,107,11555,,,,,,,STAR,DATUK DR. JEFFREY G. KITINGAN,MALE,72,8691,,UPKO,LAURENTIUS NAYAN AMBU,MALE,64,1899,,PBS,SILVERIUS BRUNO,MALE,,439,LOST DEPOSIT,PCS,DAMIAN MARCUS PODTUNG,MALE,,326,LOST DEPOSIT,,,,,,,PGRS,NORDIN BIN JAINI @ ZAINI,MALE,,140,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,JIMMY PALIKAT,MALE,42,60,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.180_N.40,SABAH,P.180,KENINGAU,N.40,BINGKOR,PN - STAR,,17828,5070,67.12,11966,67,128,11771,,,,,,,STAR,ROBERT TAWIK,MALE,,7891,,DAP,PETER SAILI,MALE,70,2821,,PBS,PETER JINO ALLION,MALE,,298,LOST DEPOSIT,PCS,ALPHONSUS BIN FELIX,MALE,,447,LOST DEPOSIT,LDP,JULIUS FAVIANUS,MALE,,210,LOST DEPOSIT,,,,,,,USNO,ENGAH BIN SINTAN @ DAHLAN BIN ABDULLAH,MALE,,104,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.180_N.41,SABAH,P.180,KENINGAU,N.41,LIAWAN,PN - STAR,,17446,641,69.01,12040,65,144,11831,,,,,,,STAR,ANNUAR AYUB @ BANAND,MALE,,4628,,WARISAN,RASININ BIN KOUTIS @ KAUTIS,MALE,,3987,,PBS,DANIEL KINSIK,MALE,,1084,LOST DEPOSIT,PCS,MAZLAN BIN ABDUL LATIFF,MALE,,209,LOST DEPOSIT,LDP,YATIN KUKUNG,MALE,,45,LOST DEPOSIT,,,,,,,USNO,LEONG CHAU CHU,FEMALE,,43,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,DATUK JAKE NOINTIN,MALE,,1835,,,,,,,,,,,,,,,,,,,
P.181_N.42,SABAH,P.181,TENOM,N.42,MELALAP,WARISAN PLUS - WARISAN,,13993,1719,75.79,10605,22,130,10453,UMNO,JAMAWI JAAFAR,MALE,46,3526,,,,,,,,WARISAN,PETER ANTHONY,MALE,49,5245,,PBS,DATUK SERI RADIN MALLEH,MALE,70,1359,,PCS,APIANG BIN SAUSUN,MALE,,268,LOST DEPOSIT,LDP,MASDIN BIN TUMAS,MALE,,23,LOST DEPOSIT,,,,,,,USNO,SAZALI BIN JUSTI,MALE,,32,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.181_N.43,SABAH,P.181,TENOM,N.43,KEMABONG,INDEPENDENT - MANGOSTEEN,,15086,1012,74.61,11256,16,288,10952,UMNO,RAIME BIN UNGGI,MALE,50,2966,,,,,,,,UPKO,LUCAS UMBUL,MALE,60,3202,,,,,,,,PCS,TAY JIN KIONG @ ALFRED,MALE,,229,LOST DEPOSIT,LDP,JUSTER BIN PETER,MALE,,268,LOST DEPOSIT,,,,,,,USNO,RAINUS BIN SAGULAU,MALE,,73,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - MANGOSTEEN,RUBIN BIN BALANG,MALE,,4214,,,,,,,,,,,,,,,,,,,
P.182_N.44,SABAH,P.182,PENSIANGAN,N.44,TULID,PN - STAR,,8910,544,77.42,6898,16,106,6776,PBRS,MATUSIN BOWIE,MALE,51,1723,,STAR,FLOVIA NG,FEMALE,,2267,,WARISAN,MUDI BIN DUBING,MALE,,1589,,PBS,SUMAN YASAMBUN,MALE,62,720,LOST DEPOSIT,PCS,MATUSIN BIN TIMAM,MALE,56,356,LOST DEPOSIT,LDP,DAHALAN @ ULIN BIN ABDULLAH @ AMIL,MALE,,52,LOST DEPOSIT,,,,,,,USNO,MOHAMAD KHAIRY BIN ABDULLAH,MALE,,69,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.182_N.45,SABAH,P.182,PENSIANGAN,N.45,SOOK,PN - STAR,,10397,1232,74.47,7743,14,120,7609,PBRS,BONEPES BEEN,MALE,46,1535,,STAR,ELLRON BIN ANGIN,MALE,62,3554,,PKR,RAYMOND AHUAR,MALE,,2322,,,,,,,,PCS,REBECCA TAIMIN,FEMALE,41,88,LOST DEPOSIT,LDP,ANING BIN ANSAWANG,MALE,62,110,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.182_N.46,SABAH,P.182,PENSIANGAN,N.46,NABAWAN,PN - PPBM,,12475,2238,68.71,8571,8,182,8381,,,,,,,PPBM,DATUK ABD. GHANI MOHD. YASSIN,MALE,59,4688,,UPKO,ALBERT AGUIR,MALE,,2450,,,,,,,,PCS,AMPALUS @ ROBERT SANARON,MALE,,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANOE,MAIKOL BIN AMPUAS,MALE,,128,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.183_N.47,SABAH,P.183,BELURAN,N.47,TELUPID,PBS,,7862,685,69.59,5471,19,94,5358,UMNO,ABDUL WAHAB BIN ABDUL GHANI,MALE,55,1389,,,,,,,,UPKO,FELIX JOSEPH SITIN,MALE,,1581,,PBS,JONNYBONE J KURUM,MALE,,2266,,PCS,JINGKOI BIN LUNA,MALE,,68,LOST DEPOSIT,LDP,TAKUN B. LADAS @ MOHD JOHAN SUALAN MADINAL,MALE,,54,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.183_N.48,SABAH,P.183,BELURAN,N.48,SUGUT,BN - UMNO,,11712,1664,65.64,7688,17,228,7443,UMNO,DATUK JAMES RATIB,MALE,54,4308,,,,,,,,WARISAN,NORSABRINA BINTI JAPAR,FEMALE,,2644,,,,,,,,PCS,RAIMON LANJAT,MALE,,124,LOST DEPOSIT,LDP,RAZAK ALLEXSIUS KONTUNI,MALE,,178,LOST DEPOSIT,,,,,,,USNO,JUBIN BIN TULAWI,MALE,,38,LOST DEPOSIT,PPRS,KAMARUDDIN BIN JAMIL,MALE,,86,LOST DEPOSIT,,,,,,,INDEPENDENT - BOOK,UNDANG BIN JALANG,MALE,,65,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.183_N.49,SABAH,P.183,BELURAN,N.49,LABUK,PN - PPBM,,8952,1208,66.50,5953,18,77,5858,,,,,,,PPBM,SAMAD BIN JAMBRI,MALE,47,2701,,UPKO,DENNIS T. RANTAU,MALE,,1493,,,,,,,,PCS,FIDELIS K. MICHAEL,MALE,,115,LOST DEPOSIT,,,,,,,,,,,,,USNO,SH. SUHAIMI BIN SH. MIASIN,MALE,,108,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,ABDUL RAHMAN BIN KONGKAWANG,MALE,,1441,,,,,,,,,,,,,,,,,,,
P.184_N.50,SABAH,P.184,LIBARAN,N.50,GUM-GUM,WARISAN PLUS - WARISAN,,12474,269,65.79,8207,18,180,8009,UMNO,SUHAIMI BIN NASIR,MALE,52,2871,,,,,,,,WARISAN,ARUNARNSIN BIN TAIB,MALE,54,3140,,,,,,,,PCS,UNDANG BIN TUMPONG,MALE,,172,LOST DEPOSIT,LDP,JAINUDIN BIN BERAHIM,MALE,,113,LOST DEPOSIT,,,,,,,,,,,,,PPRS,RIDUAN BIN SAMPAI,MALE,,23,LOST DEPOSIT,,,,,,,INDEPENDENT - ELEPHANT,YUNUS BIN NURDIN,MALE,,1690,,,,,,,,,,,,,,,,,,,
P.184_N.51,SABAH,P.184,LIBARAN,N.51,SUNGAI MANILA,BN - UMNO,,12761,1417,66.65,8505,39,221,8245,UMNO,MOKRAN BIN INGKAT,MALE,54,4585,,,,,,,,WARISAN,MAHMUD BIN SUDIN,MALE,58,3168,,,,,,,,PCS,SAHIDZAN BIN AG SALLEH,MALE,,191,LOST DEPOSIT,LDP,M D ANUAR BIN MA YUSUF,MALE,,100,LOST DEPOSIT,,,,,,,USNO,K ZULKIPLI @ K ZULKIFLI BIN HARRITH,MALE,,111,LOST DEPOSIT,PPRS,MOHD ARSHAD BIN ABDUL,MALE,,90,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.184_N.52,SABAH,P.184,LIBARAN,N.52,SUNGAI SIBUGA,BN - UMNO,,23308,1538,63.36,14769,111,340,14318,UMNO,HJ MOHAMAD HAMSAN,MALE,,7545,,,,,,,,WARISAN,ARMANI BINTI MAHIRUDDIN,FEMALE,54,6007,,,,,,,,PCS,IRWANSHAH BIN MUSTAPA,MALE,,526,LOST DEPOSIT,LDP,KEMELLIA BINTI HASAN,FEMALE,,126,LOST DEPOSIT,,,,,,,,,,,,,PPRS,MOHD JAIN BIN ALIUDDIN,MALE,,114,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.185_N.53,SABAH,P.185,BATU SAPI,N.53,SEKONG,WARISAN PLUS - WARISAN,,17054,1599,65.13,11108,31,297,10780,UMNO,HAZULIZAH MOHD DANI,FEMALE,35,4338,,,,,,,,WARISAN,CIKGU ALIAS BIN SANI,MALE,,5937,,,,,,,,PCS,SITTI NURUL AIN SAHIDAH BT PITTING,FEMALE,27,253,LOST DEPOSIT,LDP,MOHD FAZIL BIN AJAK,MALE,,102,LOST DEPOSIT,,,,,,,USNO,SARAN BIN JUMDAIL,MALE,,63,LOST DEPOSIT,PPRS,ABIDIN BIN SUKOR,MALE,57,87,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.185_N.54,SABAH,P.185,BATU SAPI,N.54,KARAMUNTING,WARISAN PLUS - WARISAN,,15896,2479,63.71,10127,219,218,9690,MCA,CHEW KOK WOH,MALE,59,3215,,,,,,,,WARISAN,HIEW VUN ZIN,MALE,41,5694,,PBS,KONG NYUK THOU,MALE,49,235,LOST DEPOSIT,PCS,LOO MUN YEW,MALE,,81,LOST DEPOSIT,LDP,HA CHEUN HOO,MALE,40,129,LOST DEPOSIT,,,,,,,USNO,ADAM CHAL,MALE,,306,LOST DEPOSIT,PPRS,LEE TIANG YONG @ LEE CHEE UI,MALE,,30,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
