UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),CHINESE (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - EARLY VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2020)
P.175_N.27,SABAH,P.175,PAPAR,N.27,LIMBAHAU,"12,739",22,70,8,0.2,99.98,0.02,0,9.62,25.23,22.51,20.85,13.6,5.65,1.72,0.82,48.72,51.28,SEMI URBAN
P.175_N.28,SABAH,P.175,PAPAR,N.28,KAWANG,"14,932",81,16,3,0.1,95.25,0,4.75,14.35,27.13,22.22,19.19,11.28,3.92,1.33,0.58,50.22,49.78,SEMI URBAN
P.175_N.29,SABAH,P.175,PAPAR,N.29,PANTAI MANIS,"14,322",88,5,7,0.1,98.83,0.01,1.16,11.27,24.05,23.57,19.92,13.18,5.52,1.6,0.89,48.62,51.38,SEMI URBAN
P.176_N.30,SABAH,P.176,KIMANIS,N.30,BONGAWAN,"16,735",66,30,3,0.1,99.99,0.01,0,11.89,26.61,22.56,19.65,11.88,4.73,1.63,1.05,49.72,50.28,RURAL
P.176_N.31,SABAH,P.176,KIMANIS,N.31,MEMBAKUT,"13,617",69,27,4,0.1,99.94,0,0.06,13.22,26.31,22.58,18.71,11.27,4.55,1.89,1.47,49.93,50.07,RURAL
P.177_N.32,SABAH,P.177,BEAUFORT,N.32,KLIAS,"16,905",71,18,11,0.2,98.96,0.01,1.04,11.1,22.98,22.35,21.37,13.72,5.54,2.04,0.9,49.77,50.23,SEMI URBAN
P.177_N.33,SABAH,P.177,BEAUFORT,N.33,KUALA PENYU,"16,396",56,37,7,0.1,99.91,0,0.09,10.36,23.99,22.6,21.93,13.35,5.37,1.87,0.53,50.4,49.6,RURAL
P.178_N.34,SABAH,P.178,SIPITANG,N.34,LUMADAN,"15,044",90,6,4,0.1,100,0,0,12.18,26.91,21.71,18.96,12.38,4.88,2.01,0.97,49.33,50.67,RURAL
P.178_N.35,SABAH,P.178,SIPITANG,N.35,SINDUMIN,"16,762",66,29,4,0.2,99.22,0.01,0.77,11.34,26.05,21.36,20.81,13.27,4.37,1.87,0.93,50.73,49.27,SEMI URBAN
P.179_N.36,SABAH,P.179,RANAU,N.36,KUNDASANG,"14,986",48,52,0.3,0.05,100,0,0,12.06,31.58,20.26,16.6,10.06,4.68,2.91,1.85,49.89,50.11,RURAL
P.179_N.37,SABAH,P.179,RANAU,N.37,KARANAAN,"13,425",53,44,4.2,0.1,98.75,0,1.25,9.65,24.93,22.97,21.3,12.92,4.93,2.12,1.18,50.2,49.8,RURAL
