UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.16,KEDAH,P.16,KULIM-BANDAR BAHARU,,BN - UMNO,42084,13614,69.76,29359,,887,28472,UMNO,DATO' ABDUL KADIR BIN HJ. SHEIK FADZIR,MALE,47,21043,,PAS,ABDUL RAMAN BIN ABDUL RAZAK @ HASSAN BIN ABDUL RAZAK,MALE,,7429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.17,KELANTAN,P.17,TUMPAT,,BN - UMNO,44661,1710,73.24,32711,,901,31810,UMNO,HAJI DUSUKI BIN HAJI AHMAD,MALE,,16760,,PAS,HASSAN BIN SALLEH,MALE,,15050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.18,KELANTAN,P.18,PENGKALAN CHEPA,,PAS,42785,4175,73.66,31514,,687,30827,HAMIM,ISMAIL BIN HJ. CHE IBRAHIM @ WAN ISMAIL BIN HJ. IBRAHIM,MALE,,13326,,PAS,ABDULLAH BIN HAJI ARSHAD,MALE,52,17501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.19,KELANTAN,P.19,KOTA BAHARU,,BN - UMNO,52613,5033,68.96,36282,,695,35587,UMNO,TENGKU AHMAD RITHAUDDEEN BIN TENGKU ISMAIL,MALE,58,20310,,PAS,CHE HASSAN BIN HJ. ABDULLAH,MALE,,15277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.20,KELANTAN,P.20,PASIR MAS,,BN - UMNO,38423,3808,73.85,28375,,761,27614,UMNO,IBRAHIM BIN ALI,MALE,35,15711,,PAS,HAJI ZAKARIA B. ISMAIL,MALE,,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21,KELANTAN,P.21,RANTAU PANJANG,,BN - UMNO,34604,1412,73.99,25603,,623,24980,UMNO,HJ. MOHAMED BIN YAACOB,MALE,60,13196,,PAS,MOHD. YUSOF BIN HAJI ABDULLAH,MALE,,11784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.22,KELANTAN,P.22,NILAM PURI,,BN - UMNO,33990,552,76.49,25999,,729,25270,UMNO,MOHAMED BIN HAJI ALI,MALE,,12911,,PAS,WAN DAUD BIN WAN JUSOH,MALE,,12359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.23,KELANTAN,P.23,BACHOK,,BN - HAMIM,41992,270,80.08,33627,,663,32964,HAMIM,MOHD. ZAIN B. ABDULLAH,MALE,,16617,,PAS,NIK ABDUL AZIZ BIN NIK MAT,MALE,55,16347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24,KELANTAN,P.24,PASIR PUTEH,,BN - UMNO,32842,2769,77.18,25348,,669,24679,UMNO,WAN OMAR BIN WAN MAJID,MALE,,13724,,PAS,W. MUSTAFFA BIN ABD. GHANI,MALE,,10955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.25,KELANTAN,P.25,KOK LANAS,,BN - UMNO,32990,3124,77.44,25546,,472,25074,UMNO,DATO' ABDULLAH BIN AHMAD,MALE,,14099,,PAS,AB. RAHMAN BIN HAJI AHMAD,MALE,,10975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.26,KELANTAN,P.26,TANAH MERAH,,BN - UMNO,33837,3547,79.76,26990,,599,26391,UMNO,HASHIM BIN SAFIN @ SHAFAIN,MALE,37,14969,,PAS,ABU BAKAR BIN A. RASHID,MALE,,11422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.27,KELANTAN,P.27,MACHANG,,BN - UMNO,27430,1397,77.67,21306,,483,20823,UMNO,MOHD. KASSIM @ YAHYA BIN AHMED,MALE,,11110,,PAS,HAJI WAN ISMAIL BIN WAN AHMED,MALE,,9713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28,KELANTAN,P.28,KUALA KRAI,,BN - UMNO,29684,1910,77.91,23127,,557,22570,UMNO,MOHAMED BIN ISA,MALE,,12240,,PAS,KHALID BIN ABD. SAMAD,MALE,,10330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29,KELANTAN,P.29,GUA MUSANG,,BN - UMNO,23977,7319,76.11,18250,,493,17757,UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD. HAMZAH,MALE,49,12538,,PAS,ABD. RAHIM BIN WAN ABDULLAH,MALE,,5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30,TERENGGANU,P.30,BESUT,,BN - UMNO,32749,4953,79.62,26074,,547,25527,UMNO,ZAKARIA @ IBRAHIM BIN ABDUL RAHMAN @ DATO' HAJI ZAKARIA BIN HAJI ABDUL RAHMAN,MALE,50,15240,,PAS,ABD. LATIF BIN MOHAMAD,MALE,,10287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31,TERENGGANU,P.31,SETIU,,BN - UMNO,29793,5872,81.1,24162,,606,23556,UMNO,MOHD. JUSOH @ YUSOFF BIN HJ. MD. NOR,MALE,,14714,,PAS,LUKMAN BIN ABDUL KADIR,MALE,,8842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.32,TERENGGANU,P.32,KUALA NERUS,,BN - UMNO,31682,7296,79.15,25076,,726,24350,UMNO,IBRAHIM BIN HASAN @ IBRAHIM AZMI BIN HASAN,MALE,,15823,,PAS,ABU BAKAR BIN CHIK,MALE,,8527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33,TERENGGANU,P.33,KUALA TERENGGANU,,BN - UMNO,48621,3324,73.9,35932,,978,34954,UMNO,ZUBIR BIN EMBONG,MALE,,19139,,PAS,MUSTAFA @ HASSAN BIN ALI,MALE,31,15815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34,TERENGGANU,P.34,MARANG,,BN - UMNO,33206,639,82.61,27433,,764,26669,UMNO,ABDUL RAHMAN BIN BAKAR,MALE,34,13654,,PAS,ABDUL HADI BIN HAJI AWANG,MALE,39,13015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35,TERENGGANU,P.35,HULU TERENGGANU,,BN - UMNO,28941,5036,84.07,24330,,784,23546,UMNO,ALIAS BIN MD. ALI,MALE,47,14291,,PAS,KASIM BIN AHMAD,MALE,,9255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.36,TERENGGANU,P.36,DUNGUN,,BN - UMNO,35422,6116,77.33,27391,,771,26620,UMNO,AWANG BIN JABAR,MALE,,16368,,PAS,RAMLI BIN JUSOH,MALE,,10252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37,TERENGGANU,P.37,KEMAMAN,,BN - UMNO,32931,9392,74.77,24623,,691,23932,UMNO,ISMAIL @ MANSOR BIN SAID,MALE,,16662,,PAS,MOHAMED @ HARUN BIN JUSOH,MALE,,7270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38,PULAU PINANG,P.38,KEPALA BATAS,,BN - UMNO,30209,8622,75.81,22900,,596,22304,UMNO,ABDULLAH BIN HAJI AHMAD,MALE,47,15463,,PAS,HJ. AHMAD HASAN SALAHUDDIN BIN HJ. MOHD KHALIL,MALE,,6841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39,PULAU PINANG,P.39,TASEK GELUGOR,,BN - UMNO,31021,9115,75.01,23269,,562,22707,UMNO,MOHAMMED YUSSOF BIN ABDUL LATIB @ ABDUL LATIFF,MALE,,15911,,PAS,HAJI YUSOF BIN HAJI ABDULLAH,MALE,,6796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.40,PULAU PINANG,P.40,BAGAN,,DAP,55105,4601,72.31,39844,,927,38917,MCA,CHAW CHEK SAM @ CHAW KAU CHAI,MALE,,17158,,,,,,,,DAP,TEOH TEIK HUAT,MALE,,21759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.41,PULAU PINANG,P.41,PERMATANG PAUH,,BN - UMNO,34879,10479,74.82,26098,,619,25479,UMNO,ANWAR BIN IBRAHIM,MALE,39,17979,,PAS,MOHAMAD BIN SABU,MALE,32,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42,PULAU PINANG,P.42,BUKIT MERTAJAM,,DAP,51437,1426,76,39091,,1100,37991,MCA,TAN CHONG KENG,MALE,,17673,,,,,,,,DAP,CHIAN HENG KAI @ CHIN SOO HA,MALE,,19099,,NASMA,TAN CHIN SENG,MALE,,1219,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.43,PULAU PINANG,P.43,NIBONG TEBAL,,BN - GERAKAN,40216,3955,74.38,29913,,806,29107,GERAKAN,DR. GOH CHENG TEIK,MALE,42,15073,,PAS,KOH AH TUONG @ KAMAL KOH BIN ABDULLAH,MALE,,2916,LOST DEPOSIT,DAP,SHANMUGAM S/O NADASON,MALE,,11118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.44,PULAU PINANG,P.44,BUKIT BENDERA,,DAP,54711,6540,71.91,39343,,859,38484,GERAKAN,KHOR NGAK SENG @ KHOR GARK KIM,MALE,44,15972,,,,,,,,DAP,GOI HOCK SENG @ GOOI HOCK SENG,MALE,,22512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.45,PULAU PINANG,P.45,TANJONG,,DAP,60640,11690,73.32,44463,,931,43532,GERAKAN,KOH TSU KOON,MALE,37,15921,,,,,,,,DAP,LIM KIT SIANG,MALE,45,27611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.46,PULAU PINANG,P.46,JELUTONG,,DAP,59890,10099,71.34,42723,,958,41765,GERAKAN,LIM BOO CHANG,MALE,,15833,,,,,,,,DAP,KARPAL SINGH A/L RAM SINGH,MALE,46,25932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.47,PULAU PINANG,P.47,BAYAN BARU,,DAP,58545,262,70.23,41117,,1084,40033,MCA,LEE JONG KI @ LI JONG KI,MALE,49,19348,,,,,,,,DAP,PETER DASON A/L MUTHU JAHA DASON @ PETER PAUL DASON,MALE,52,19610,,,,,,,,SDP,LIM KAH PIN,MALE,,1075,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.48,PULAU PINANG,P.48,BALIK PULAU,,BN - UMNO,45541,3492,71.05,32355,,1061,31294,UMNO,MOHAMAD SUBKY BIN HAJI ABDUL RAOF,MALE,49,17393,,,,,,,,,,,,,,PSRM,MOHIDEEN ABDUL KADER S/O MOHD. YUSOFF RAWTHER,MALE,,13901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.49,PERAK,P.49,GERIK,,BN - UMNO,28691,7985,69.43,19920,,630,19290,UMNO,MOHAMAD TAJOL ROSLI BIN MOHD GHAZALI,MALE,42,12039,,PAS,MOHD RUS BIN JAAFAR,MALE,,4054,,DAP,CHOO SING CHYE,MALE,,3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.50,PERAK,P.50,LARUT,,BN - UMNO,32593,10122,68.51,22328,,656,21672,UMNO,MOHD. ZIHIM BIN MOHD. HASSAN,MALE,,15897,,PAS,ZAWAWI BIN KAMARUDDIN,MALE,,5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.51,PERAK,P.51,PARIT BUNTAR,,BN - UMNO,37132,1183,71.46,26534,,648,25886,UMNO,ABDUL RAMAN BIN SULIMAN,MALE,,11029,,PAS,AHMAD SUBKI BIN HAJI LATIB @ AHMAD SUBKI BIN HAJI LATIF,MALE,46,9846,,DAP,LIM YAN CHIOW,MALE,,5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.52,PERAK,P.52,BAGAN SERAI,,BN - UMNO,39328,6960,68.49,26936,,880,26056,UMNO,ZAINAL ABIDIN BIN ZIN,MALE,,16508,,PAS,RAHMAT BIN HUSIN,MALE,,9548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.53,PERAK,P.53,BUKIT GANTANG,,BN - UMNO,40131,6951,67.94,27267,,1060,26207,UMNO,ABDULLAH FATTAH @ ABDULLAH FADZIL BIN DATOK PANGLIMA KINTA @ CHEW WAN,MALE,43,16579,,PAS,BAHARUDDIN BIN HAJI ABD LATIF,MALE,,9628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.54,PERAK,P.54,TAIPING,,BN - GERAKAN,56599,5644,66.33,37543,,1249,36294,GERAKAN,LEONG SONNY @ LEONG KHEE SEONG,MALE,47,20969,,,,,,,,DAP,KONG CHEOK WAN @ KONG CHEOK SENG,MALE,,15325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.55,PERAK,P.55,TASEK CHENDEROH,,BN - UMNO,32415,8428,66.3,21490,,594,20896,UMNO,SAIDIN B. MAT PIAH,MALE,,14662,,PAS,AZIZAN BIN MOHAMED DESA,MALE,,6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.56,PERAK,P.56,SUNGAI SIPUT,,BN - MIC,35441,4436,69.32,24566,,1109,23457,MIC,DATO' S S. SAMY VELLU A/ L SANGALIMUTHU,MALE,50,13148,,,,,,,,DAP,LIEW SAM FONG,MALE,,8712,,,,,,,,SDP,WAN HASAN BIN WAN MAHMUD,MALE,,1597,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.57,PERAK,P.57,TAMBUN,,BN - UMNO,53184,14655,67.85,36087,,2058,34029,UMNO,YAHAYA BIN MOHD SHAFIE,MALE,52,24342,,PAS,AHMAD IDZAM BIN AHMAD,MALE,,9687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.58,PERAK,P.58,PASIR PINJI,,DAP,64320,15671,69.31,44582,,667,43915,MCA,NG KHEK KIUNG,MALE,,13767,,,,,,,,DAP,LAU DAK KEE,MALE,43,29438,,,,,,,,SDP,WONG TO @ WONG NAM SANG,MALE,,710,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.59,PERAK,P.59,IPOH,,DAP,58454,5654,66.28,38742,,694,38048,MCA,WONG CHIN CHYE @ NG SIM LONG,MALE,,15747,,,,,,,,DAP,PATTO A/L PERUMAL,MALE,40,21401,,,,,,,,SDP,CHAN KOK KEONG,MALE,,900,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.60,PERAK,P.60,BATU GAJAH,,DAP,49701,9072,71.12,35348,,719,34629,MCA,OOI FOH SING,MALE,,12429,,,,,,,,DAP,DING CHECK MING @ TING CHEK MING,MALE,,21501,,,,,,,,SDP,ABU SAMAH MAJID,MALE,,699,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.61,PERAK,P.61,KUALA KANGSAR,,BN - UMNO,36681,9598,63.94,23452,,658,22794,UMNO,RAFIDAH BT. AB. AZIZ,FEMALE,43,16196,,PAS,ABD. AZIZ BIN ISHAK,MALE,,6598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.62,PERAK,P.62,BERUAS,,BN - GERAKAN,34828,1015,72.46,25236,,805,24431,GERAKAN,LIM KHENG HEANG @ LIM KENG YAIK,MALE,47,11926,,PAS,HASSAN BIN MOHAMED,MALE,,1594,LOST DEPOSIT,DAP,GONG NGIE HEA,MALE,,10911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.63,PERAK,P.63,PARIT,,BN - UMNO,34011,3693,67.96,23115,,702,22413,UMNO,NASRUDDIN BIN ALANG SAIDIN,MALE,,13053,,PAS,MOHAMAH NOR BIN MANSOR,MALE,,9360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.64,PERAK,P.64,GOPENG,,BN - MCA,35034,6135,67.71,23723,,518,23205,MCA,CHIN KOON @ TAN KOON SWAN,MALE,46,14009,,PAS,ABDUL MAJID B. HAJI SALLEH,MALE,,981,LOST DEPOSIT,DAP,QUEK KOW HIA @ QUEK SWEE SIANG,MALE,42,7874,,,,,,,,SDP,LEONG WAI MAN,MALE,,341,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.65,PERAK,P.65,KAMPAR,,DAP,41374,3081,68.7,28424,,657,27767,MCA,CHIN FOOK NYAAN @ CHIN FOOK YEN,MALE,,11525,,,,,,,,DAP,NGOI THIAM WHO,MALE,,14606,,,,,,,,SDP,FAN LEW LENG @ FAN YEW TENG,MALE,44,1636,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.66,PERAK,P.66,TAPAH,,BN - MIC,34743,5985,68.01,23628,,761,22867,MIC,NYANAPANDITHAN @ GNANAPANDYTHAN A/L MUTHANDI,MALE,46,13582,,PAS,M. BUSRA B. HAJI ANUWAR,MALE,,1688,LOST DEPOSIT,DAP,LOH JEE MEE @ JIMMY,MALE,,7597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.67,PERAK,P.67,PASIR SALAK,,BN - UMNO,36547,11950,67.99,24849,,897,23952,UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,43,17951,,PAS,ALI BIN HAJI DAUD,MALE,,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.68,PERAK,P.68,LUMUT,,BN - MCA,49202,1508,67.09,33008,,532,32476,MCA,NG CHENG KUAI,MALE,,15792,,PAS,HAJI MOHD. NADZIR BIN MOHD. JAMIN,MALE,,2400,LOST DEPOSIT,DAP,JAGANATHAN A/L NARIANASAMY,MALE,,14284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.69,PERAK,P.69,BAGAN DATOK,,BN - UMNO,33965,7848,67.24,22838,,882,21956,UMNO,MOHAMED BIN JAMRAH,MALE,40,14902,,PAS,ARIFFIN BIN NGAH,MALE,,7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.70,PERAK,P.70,TELOK INTAN,,BN - GERAKAN,46847,1443,66.67,31231,,697,30534,GERAKAN,ONG TIN KIM @ WONG THEAN CHING,MALE,48,15152,,PAS,NADZRI BIN BAHAUDIN,MALE,,1673,LOST DEPOSIT,DAP,MOHD. FADLAN YAHAYA,MALE,36,13709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.71,PERAK,P.71,TANJONG MALIM,,BN - MCA,42959,10698,69.45,29836,,684,29152,MCA,LOKE YUEN YOW,MALE,,18693,,PAS,HO SHING CHONG @ GHAZALI HO,MALE,,2464,LOST DEPOSIT,DAP,LIEW FATT YUEN,MALE,,7995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.72,PAHANG,P.72,LIPIS,,BN - MCA,35385,8452,65.83,23293,,906,22387,MCA,WANG CHOON WING @ WONG SOON JOONG,MALE,46,13533,,PAS,SOLAHUDDIN BIN MOHD. ALI,MALE,,5081,,DAP,WOO CHEE WAN,MALE,,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.73,PAHANG,P.73,RAUB,,BN - MCA,43705,7513,75.81,33131,,796,32335,MCA,TENG AH LUAN @ TENG GAI KWAN,FEMALE,47,18034,,PAS,RAJA PUJI BIN TENGKU ABDUL HAMID,MALE,,3780,LOST DEPOSIT,DAP,CHIA KAM CHIEW,MALE,,10521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.74,PAHANG,P.74,JERANTUT,,BN - UMNO,33010,7317,72.12,23807,,806,23001,UMNO,WAN ABU BAKAR BIN WAN MOHAMED,MALE,33,15159,,PAS,SYED IBRAHIM BIN SYED ABD. RAHMAN,MALE,,7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.75,PAHANG,P.75,KUANTAN,,BN - UMNO,54595,11660,66.76,36448,,832,35616,UMNO,ADAM @ MOHAMAD BIN KADIR,MALE,43,20943,,PAS,SYED NOH BIN SYED MOHAMED,MALE,,5390,,DAP,SYED ALI BIN MOHSIN,MALE,,9283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.76,PAHANG,P.76,PEKAN,,BN - UMNO,34017,10808,66.87,22748,,694,22054,UMNO,DATO SRI HJ. MOHD NAJIB BIN TUN HJ. ABD. RAZAK,MALE,33,16431,,PAS,ALI BIN ABDULLAH @ LEE KIN HONG,MALE,,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.77,PAHANG,P.77,MARAN,,BN - UMNO,38133,13035,76.1,29018,,737,28281,UMNO,MUHAMMAD BIN ABDULLAH,MALE,44,20658,,PAS,HAJI MOHD ALWI BIN HAJI ABDUL HAMID,MALE,,7623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.78,PAHANG,P.78,MENTEKAB,,BN - UMNO,32402,8291,71.59,23196,,945,22251,UMNO,SITI ZAHARAH BT SULAIMAN,FEMALE,37,15271,,PAS,MOHAMED RUSDI BIN ARIF,MALE,,6980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.79,PAHANG,P.79,BENTUNG,,BN - MCA,39270,6722,74.08,29091,,718,28373,MCA,CHAN SIANG SUN,MALE,,16777,,PAS,MAT SHUM BIN HJ. SIDEK,MALE,,1541,LOST DEPOSIT,DAP,LIP AH KOW @ LIP TUCK CHEE,MALE,,10055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.80,PAHANG,P.80,TEMERLUH,,BN - UMNO,39089,4679,73.27,28639,,930,27709,UMNO,DATO' HAJI SABBARUDDIN CHIK,MALE,44,16194,,PAS,SULAIMAN @ SUHAIMI BIN SAID,MALE,,11515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.81,PAHANG,P.81,ROMPIN,,BN - UMNO,31373,11257,68.56,21508,,529,20979,UMNO,MOHAMED AMIN BIN HAJI DAUD,MALE,48,16118,,PAS,YAHYA BIN HAJI AWANG,MALE,,4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.82,SELANGOR,P.82,SABAK BERNAM,,BN - UMNO,31529,9732,65.48,20644,,756,19888,UMNO,HASSIM @ HUSIN BIN HAJI TAIB,MALE,,14810,,PAS,MAJUDIM @ A. RAZAK BIN DAWAMI,MALE,,5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.83,SELANGOR,P.83,TANJONG KARANG,,BN - UMNO,31785,7450,63.42,20158,,888,19270,UMNO,DATO' KAMARUZAMAN BIN AHMAD,MALE,,13360,,PAS,MOHD. FADZIN BIN TASLIMIN,MALE,,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.84,SELANGOR,P.84,HULU SELANGOR,,BN - MIC,42826,9920,70,29979,,1497,28482,MIC,S. S. SUBRAMANIAM,MALE,,19201,,,,,,,,,,,,,,,,,,,,SDP,MOHAMED ARIF BIN DATO' HAJI KAMARUDDIN,MALE,,9281,,,,,,,,,,,,,,,,,,,,,,,,,
P.85,SELANGOR,P.85,KUALA SELANGOR,,BN - UMNO,32510,12676,72.19,23469,,1099,22370,UMNO,ABU HASSAN BIN OMAR,MALE,46,17523,,,,,,,,,,,,,,NASMA,ZAINUDIN BIN MUHAMMAD,MALE,,4847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.86,SELANGOR,P.86,KAPAR,,BN - MIC,43928,12241,69.64,30592,,957,29635,MIC,P. VIJANDRAN A/L PANTANATHAN @ D.P. VIJANDRAN,MALE,,20938,,PAS,AZIZ BIN HAMZAH,MALE,,8697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.87,SELANGOR,P.87,SELAYANG,,BN - UMNO,77737,31472,67.1,52160,,2270,49890,UMNO,ZALEHA BINTI ISMAIL,FEMALE,52,40681,,PAS,JAAPOR BIN BAADI @ TALIB BIN BAKDI,MALE,,9209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.88,SELANGOR,P.88,AMPANG JAYA,,BN - MCA,69849,30721,63.84,44590,,1911,42679,MCA,LIM SOON TECK @ LIM ANN KOON,MALE,,36700,,,,,,,,,,,,,,,,,,,,SDP,R. THINAKARAN @ R.S. MENON,MALE,,5979,,,,,,,,,,,,,,,,,,,,,,,,,
P.89,SELANGOR,P.89,HULU LANGAT,,BN - MCA,55558,8925,71.37,39651,,934,38717,MCA,LEE KIM SAI,MALE,49,22217,,,,,,,,DAP,LAM MAN YOON,MALE,,13292,,,,,,,,SDP,AHAMAD KAMARI BIN MD. KAMARI,MALE,,3208,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
