UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.156,SARAWAK,P.156,SANTUBONG,Y,BN - PBB,31889,,,,,,,PBB,DR. SULAIMAN HAJI DAUD,MALE,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157,SARAWAK,P.157,SAMARAHAN,,BN - PBB,16620,7026,,12828,,176,12652,PBB,DATUK PATINGGI HAJI ABDUL TALIB MAHMUD,MALE,50,9814,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,WAN MOHD ZAIN B. WAN MOHDZAR @ WAN ZAIN MAHMUD,MALE,,2788,,,,,,,,,,,,,,,,,,,
P.158,SARAWAK,P.158,PADAWAN,,BN - SUPP,31553,7908,,22214,,557,21657,SUPP,STEPHEN YONG KUET TZE,MALE,65,14750,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,BARNABAS KULOR AK KAOS,MALE,,6842,,,,,,,,,,,,,,,,,,,
P.159,SARAWAK,P.159,SERIAN,,INDEPENDENT - OIL PALM,29063,1420,,18975,,653,18322,SUPP,RICHARD DAMPENG AK LAKI,MALE,,8451,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,LAINUS AK. ANDREW LUWAK,MALE,,9871,,,,,,,,,,,,,,,,,,,
P.160,SARAWAK,P.160,SIMUNJAN,,BN - PBB,15527,3640,,11367,,205,11162,PBB,BUJANG BIN HJ. ULIS @ BUJANG HADZIRI BIN HJ. ULIS,MALE,38,7382,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,WAN HABIB B. SYED MAHMUD,MALE,,3742,,,,,,,,,,,,,,,,,,,
P.161,SARAWAK,P.161,BATANG LUPAR,,BN - PBDS,26383,1534,,15621,,325,15296,PBDS,DANIEL TAJEM AK. MIRI,MALE,50,7975,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHAIR,DONALD LAWAN,MALE,,6441,,INDEPENDENT - OIL PALM,BABA RUMPANG,MALE,,830,LOST DEPOSIT,,,,,,,,,,,,
P.162,SARAWAK,P.162,LUBOK ANTU,,BN - PBDS,13386,1034,,9539,,183,9356,PBDS,ANDREW JANGGI MUYANG,MALE,,5195,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,DAWI B. DRAHMAN,MALE,,4161,,,,,,,,,,,,,,,,,,,
P.163,SARAWAK,P.163,BETONG,,BN - PBB,20361,5619,,12544,,249,12295,PBB,DOUGLAS UGGAH EMBAS,MALE,30,8052,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,WILFRED GOMEZE AK AZARIAS MALONG,MALE,,2433,,INDEPENDENT - KEY,GEORGE DENNIS NINGKAN,MALE,,1780,,,,,,,,,,,,,
P.164,SARAWAK,P.164,SARATOK,,BN - SNAP,17795,728,,12899,,174,12725,SNAP,DATUK PETER TINGGOM ANAK KAMARAU,MALE,60,6367,,,,,,,,,,,,,,PLUS,JAHIRI B.JAIS,MALE,,659,LOST DEPOSIT,,,,,,,INDEPENDENT - OIL PALM,JOHN ANTAU AK LINGGANG,MALE,,5639,,,,,,,,,,,,,,,,,,,
P.165,SARAWAK,P.165,PALOH,Y,BN - PBB,18348,,,,,,,PBB,ABANG ABU BAKAR B DATU BANDAR ABANG HJ. MUSTAPHA,MALE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.166,SARAWAK,P.166,SARIKEI,,BN - SUPP,27403,519,,20924,,214,20710,SUPP,LAW HIENG DING,MALE,51,10589,,,,,,,,DAP,CHONG SIEW CHIANG,MALE,,10070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.167,SARAWAK,P.167,SIBU,,BN - SUPP,51925,546,,37738,,294,37444,SUPP,TIEU SUNG SENG @ TIU SIING SENG,MALE,,18841,,,,,,,,DAP,LING SIE MING,MALE,,18295,,PLUS,TANG LUNG CHIEW,MALE,,308,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.168,SARAWAK,P.168,RAJANG,,INDEPENDENT - BUS,20338,153,,13075,,320,12755,SUPP,JAWAN EMPALING,MALE,48,5960,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,NICHOLAS MUNONG AK IBAU,MALE,,6113,,INDEPENDENT - TYPEWRITER,SIEW CHEE KIONG @ SHAW CHEE KIONG,MALE,,634,LOST DEPOSIT,,,,,,,,,,,,
P.169,SARAWAK,P.169,MUKAH,,BN - PBB,20089,3083,,14412,,229,14183,PBB,LEO MICHAEL TOYAD @ LEO FRANCIS MICHAEL,MALE,36,8615,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,SALLEH B. JAFARUDDIN,MALE,,5532,,,,,,,,,,,,,,,,,,,
P.170,SARAWAK,P.170,JULAU,,BN - PBDS,12181,1770,,8422,,352,8070,PBDS,THOMAS SALANG AK SIDEN,MALE,,4920,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,RICHARD LEE AK NGUMBANG,MALE,,3150,,,,,,,,,,,,,,,,,,,
P.171,SARAWAK,P.171,KANOWIT,,BN - PBDS,13919,4240,,9452,,182,9270,PBDS,LEO MOGGIE AK IROK @ LEO MOGGIE,MALE,46,6732,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHICKEN,JAMES GEORGE UNDAU,MALE,,2492,,,,,,,,,,,,,,,,,,,
P.172,SARAWAK,P.172,KAPIT,,BN - PBB,15431,1998,,8525,,409,8116,PBB,JIMBUN AK PUNGGA @ JAMES JIMBUN AK PUNGGA,MALE,46,5034,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,AHMAD BIN SALLEH,MALE,,3036,,,,,,,,,,,,,,,,,,,
P.173,SARAWAK,P.173,ULU RAJANG,,BN - SNAP,14220,1844,,9000,,355,8645,SNAP,GEORGE AK. JENGGOT @ JUSTINE AK JINGGOT,MALE,27,4261,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,UGAK AK KAMBONG,MALE,,2417,,INDEPENDENT - OIL PALM,SIMON AK SIBAT,MALE,,1940,,,,,,,,,,,,,
P.174,SARAWAK,P.174,BINTULU,,BN - SNAP,26938,2173,,16398,,383,16015,SNAP,TING LING KIEW @ TING LING KIAW,MALE,,7602,,,,,,,,DAP,GOH NGIAP JUN @ GOH NGIAP JOOB,MALE,,2984,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,VICTOR TEMENGGONG ANGANG,MALE,,5429,,,,,,,,,,,,,,,,,,,
P.175,SARAWAK,P.175,LAMBIR,,BN - SUPP,49095,5553,,29558,,522,29036,SUPP,PETER CHIN FAH KUI @ CHIN FAH KUI,MALE,41,15933,,,,,,,,DAP,WONG HO LENG,MALE,31,10380,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,ABANG ISMAIL BIN ABANG PEEL,MALE,,2651,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.176,SARAWAK,P.176,BARAM,,BN - SNAP,21482,2374,,11272,,306,10966,SNAP,LUHAT WAN,MALE,,5813,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,JOK DING,MALE,,3439,,INDEPENDENT - TELEPHONE,WONG AH SIEW,MALE,,389,LOST DEPOSIT,INDEPENDENT - BUS,JOSHUA LAWAI,MALE,,1325,LOST DEPOSIT,,,,,,
P.177,SARAWAK,P.177,BUKIT MAS,,BN - PBB,23345,5863,,13520,,411,13109,PBB,MUTANG TAGAL,MALE,32,9470,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,BUJANG B. MATYASSIN,MALE,,3607,,,,,,,,,,,,,,,,,,,
