UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1,PERLIS,P. 1,KANGAR,BN - UMNO,MOHD. RADZI BIN SHEIKH AHMAD,MALE,44,
P. 2,PERLIS,P. 2,ARAU,BN - UMNO,SHAHIDAN BIN KASSIM,MALE,35,
P. 3,KEDAH,P. 3,JERLUN - LANGKAWI,BN - UMNO,SANUSI BIN JUNID,MALE,46,
P. 4,KEDAH,P. 4,KUBANG PASU,BN - UMNO,DR MAHATHIR BIN MOHAMAD,MALE,61,
P. 5,KEDAH,P. 5,PADANG TERAP,BN - UMNO,AFFIFUDIN BIN HAJI OMAR,MALE,43,
P. 6,KEDAH,P. 6,KOTA SETAR,BN - UMNO,DR. ANDUL HADI BIN DERANI,MALE,,
P. 7,KEDAH,P. 7,ALOR SETAR,BN - MCA,OO GIN SUN,MALE,53,
P. 8,KEDAH,P. 8,KUALA KEDAH,BN - UMNO,MOHAMMAD ABU BAKAR BIN RAUTIN IBRAHIM,MALE,,
P. 9,KEDAH,P. 9,PENDANG,BN - UMNO,OTHMAN BIN ABDUL,MALE,,
P. 10,KEDAH,P. 10,JERAI,BN - UMNO,GHAZALI BIN AHMAD,MALE,,
P. 11,KEDAH,P. 11,MERBOK,BN - UMNO,CHE ABDUL DAIM BIN HAJI ZAINUDDIN,MALE,48,
P. 12,KEDAH,P. 12,SIK,BN - UMNO,DATO' ZAINOL ABIDIN BIN JOHARI,MALE,,
P. 13,KEDAH,P. 13,BALING,BN - UMNO,RAJA ARRIFIN BIN RAJA SULAIMAN,MALE,45,
P. 14,KEDAH,P. 14,SUNGAI PETANI,BN - UMNO,ABD MANAF BIN HAJI AHAD,MALE,52,
P. 15,KEDAH,P. 15,PADANG SERAI,BN - MCA,CHEW KAM HOY,MALE,,
P. 16,KEDAH,P. 16,KULIM - BANDAR BAHARU,BN - UMNO,DATO' ABDUL KADIR BIN HJ. SHEIK FADZIR,MALE,47,
P. 17,KELANTAN,P. 17,TUMPAT,BN - UMNO,HAJI DUSUKI BIN HAJI AHMAD,MALE,,
P. 18,KELANTAN,P. 18,PENGKALAN CHEPA,PAS,ABDULLAH BIN HAJI ARSHAD,MALE,52,
P. 19,KELANTAN,P. 19,KOTA BAHARU,BN - UMNO,TENGKU AHMAD RITHAUDDEEN BIN TENGKU ISMAIL,MALE,58,
P. 20,KELANTAN,P. 20,PASIR MAS,BN - UMNO,IBRAHIM BIN ALI,MALE,35,
P. 21,KELANTAN,P. 21,RANTAU PANJANG,BN - UMNO,HJ. MOHAMED BIN YAACOB,MALE,60,
P. 22,KELANTAN,P. 22,NILAM PURI,BN - UMNO,MOHAMED BIN HAJI ALI,MALE,,
P. 23,KELANTAN,P. 23,BACHOK,BN - HAMIM,MOHD. ZAIN B. ABDULLAH,MALE,,
P. 24,KELANTAN,P. 24,PASIR PUTEH,BN - UMNO,WAN OMAR BIN WAN MAJID,MALE,,
P. 25,KELANTAN,P. 25,KOK LANAS,BN - UMNO,DATO' ABDULLAH BIN AHMAD,MALE,,
P. 26,KELANTAN,P. 26,TANAH MERAH,BN - UMNO,HASHIM BIN SAFIN @ SHAFAIN,MALE,37,
P. 27,KELANTAN,P. 27,MACHANG,BN - UMNO,MOHD. KASSIM @ YAHYA BIN AHMED,MALE,,
P. 28,KELANTAN,P. 28,KUALA KRAI,BN - UMNO,MOHAMED BIN ISA,MALE,,
P. 29,KELANTAN,P. 29,GUA MUSANG,BN - UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD. HAMZAH,MALE,49,
P. 30,TERENGGANU,P. 30,BESUT,BN - UMNO,ZAKARIA @ IBRAHIM BIN ABDUL RAHMAN @ DATO' HAJI ZAKARIA BIN HAJI ABDUL RAHMAN,MALE,50,
P. 31,TERENGGANU,P. 31,SETIU,BN - UMNO,MOHD. JUSOH @ YUSOFF BIN HJ. MD. NOR,MALE,,
P. 32,TERENGGANU,P. 32,KUALA NERUS,BN - UMNO,IBRAHIM BIN HASAN @ IBRAHIM AZMI BIN HASAN,MALE,,
P. 33,TERENGGANU,P. 33,KUALA TERENGGANU,BN - UMNO,ZUBIR BIN EMBONG,MALE,,
P. 34,TERENGGANU,P. 34,MARANG,BN - UMNO,ABDUL RAHMAN BIN BAKAR,MALE,34,
P. 35,TERENGGANU,P. 35,HULU TERENGGANU,BN - UMNO,ALIAS BIN MD. ALI,MALE,47,
P. 36,TERENGGANU,P. 36,DUNGUN,BN - UMNO,AWANG BIN JABAR,MALE,,
P. 37,TERENGGANU,P. 37,KEMAMAN,BN - UMNO,ISMAIL @ MANSOR BIN SAID,MALE,,
P. 38,PULAU PINANG,P. 38,KEPALA BATAS,BN - UMNO,ABDULLAH BIN HAJI AHMAD,MALE,47,
P. 39,PULAU PINANG,P. 39,TASEK GELUGOR,BN - UMNO,MOHAMMED YUSSOF BIN ABDUL LATIB @ ABDUL LATIFF,MALE,,
P. 40,PULAU PINANG,P. 40,BAGAN,DAP,TEOH TEIK HUAT,MALE,,
P. 41,PULAU PINANG,P. 41,PERMATANG PAUH,BN - UMNO,ANWAR BIN IBRAHIM,MALE,39,
P. 42,PULAU PINANG,P. 42,BUKIT MERTAJAM,DAP,CHIAN HENG KAI @ CHIN SOO HA,MALE,,
P. 43,PULAU PINANG,P. 43,NIBONG TEBAL,BN - GERAKAN,DR. GOH CHENG TEIK,MALE,42,
P. 44,PULAU PINANG,P. 44,BUKIT BENDERA,DAP,GOI HOCK SENG @ GOOI HOCK SENG,MALE,,
P. 45,PULAU PINANG,P. 45,TANJONG,DAP,LIM KIT SIANG,MALE,45,
P. 46,PULAU PINANG,P. 46,JELUTONG,DAP,KARPAL SINGH A/L RAM SINGH,MALE,46,
P. 47,PULAU PINANG,P. 47,BAYAN BARU,DAP,PETER DASON A/L MUTHU JAHA DASON @ PETER PAUL DASON,MALE,52,
P. 48,PULAU PINANG,P. 48,BALIK PULAU,BN - UMNO,MOHAMAD SUBKY BIN HAJI ABDUL RAOF,MALE,49,
P. 49,PERAK,P. 49,GERIK,BN - UMNO,MOHAMAD TAJOL ROSLI BIN MOHD GHAZALI,MALE,42,
P. 50,PERAK,P. 50,LARUT,BN - UMNO,MOHD. ZIHIM BIN MOHD. HASSAN,MALE,,
P. 51,PERAK,P. 51,PARIT BUNTAR,BN - UMNO,ABDUL RAMAN BIN SULIMAN,MALE,,
P. 52,PERAK,P. 52,BAGAN SERAI,BN - UMNO,ZAINAL ABIDIN BIN ZIN,MALE,,
P. 53,PERAK,P. 53,BUKIT GANTANG,BN - UMNO,ABDULLAH FATTAH @ ABDULLAH FADZIL BIN DATOK PANGLIMA KINTA @ CHEW WAN,MALE,43,
P. 54,PERAK,P. 54,TAIPING,BN - GERAKAN,LEONG SONNY @ LEONG KHEE SEONG,MALE,47,
P. 55,PERAK,P. 55,TASEK CHENDEROH,BN - UMNO,SAIDIN B. MAT PIAH,MALE,,
P. 56,PERAK,P. 56,SUNGAI SIPUT,BN - MIC,DATO' S S. SAMY VELLU A/ L SANGALIMUTHU,MALE,50,
P. 57,PERAK,P. 57,TAMBUN,BN - UMNO,YAHAYA BIN MOHD SHAFIE,MALE,52,
P. 58,PERAK,P. 58,PASIR PINJI,DAP,LAU DAK KEE,MALE,43,
P. 59,PERAK,P. 59,IPOH,DAP,PATTO A/L PERUMAL,MALE,40,
P. 60,PERAK,P. 60,BATU GAJAH,DAP,DING CHECK MING @ TING CHEK MING,MALE,,
P. 61,PERAK,P. 61,KUALA KANGSAR,BN - UMNO,RAFIDAH BT. AB. AZIZ,FEMALE,43,
P. 62,PERAK,P. 62,BERUAS,BN - GERAKAN,LIM KHENG HEANG @ LIM KENG YAIK,MALE,47,
P. 63,PERAK,P. 63,PARIT,BN - UMNO,NASRUDDIN BIN ALANG SAIDIN,MALE,,
P. 64,PERAK,P. 64,GOPENG,BN - MCA,CHIN KOON @ TAN KOON SWAN,MALE,46,
P. 65,PERAK,P. 65,KAMPAR,DAP,NGOI THIAM WHO,MALE,,
P. 66,PERAK,P. 66,TAPAH,BN - MIC,NYANAPANDITHAN @ GNANAPANDYTHAN A/L MUTHANDI,MALE,46,
P. 67,PERAK,P. 67,PASIR SALAK,BN - UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,43,
P. 68,PERAK,P. 68,LUMUT,BN - MCA,NG CHENG KUAI,MALE,,
P. 69,PERAK,P. 69,BAGAN DATOK,BN - UMNO,MOHAMED BIN JAMRAH,MALE,40,
P. 70,PERAK,P. 70,TELOK INTAN,BN - GERAKAN,ONG TIN KIM @ WONG THEAN CHING,MALE,48,
P. 71,PERAK,P. 71,TANJONG MALIM,BN - MCA,LOKE YUEN YOW,MALE,,
P. 72,PAHANG,P. 72,LIPIS,BN - MCA,WANG CHOON WING @ WONG SOON JOONG,MALE,46,
P. 73,PAHANG,P. 73,RAUB,BN - MCA,TENG AH LUAN @ TENG GAI KWAN,FEMALE,47,
P. 74,PAHANG,P. 74,JERANTUT,BN - UMNO,WAN ABU BAKAR BIN WAN MOHAMED,MALE,33,
P. 75,PAHANG,P. 75,KUANTAN,BN - UMNO,ADAM @ MOHAMAD BIN KADIR,MALE,43,
P. 76,PAHANG,P. 76,PEKAN,BN - UMNO,DATO SRI HJ. MOHD NAJIB BIN TUN HJ. ABD. RAZAK,MALE,33,
P. 77,PAHANG,P. 77,MARAN,BN - UMNO,MUHAMMAD BIN ABDULLAH,MALE,44,
P. 78,PAHANG,P. 78,MENTEKAB,BN - UMNO,SITI ZAHARAH BT SULAIMAN,FEMALE,37,
P. 79,PAHANG,P. 79,BENTUNG,BN - MCA,CHAN SIANG SUN,MALE,,
