UNIQUE CODE (1982),STATE (1982),PARLIAMENTARY CONSTITUENCY CODE (1982),PARLIAMENTARY CONSTITUENCY NAME (1982),UNIQUE CODE (1986),STATE (1986),PARLIAMENTARY CONSTITUENCY CODE (1986),PARLIAMENTARY CONSTITUENCY NAME (1986),PARLIAMENTARY NAME CHANGE,NEW PARLIAMENTARY SEAT,NOTES
P.58,PERAK,P.58,BATU GAJAH,P. 65,PERAK,P. 65,KAMPAR,YES,,Old Batu Gajah moved to North
P.59,PERAK,P.59,BATANG PADANG,P. 66,PERAK,P. 66,TAPAH,YES,,Boundary has changed
P.60,PERAK,P.60,LUMUT,P. 68,PERAK,P. 68,LUMUT,,,Boundary has changed
P.61,PERAK,P.61,HILIR PERAK,P. 67,PERAK,P. 67,PASIR SALAK,YES,,Boundary has changed
P.62,PERAK,P.62,TELOK ANSON,P. 70,PERAK,P. 70,TELOK INTAN,YES,,Boundary has changed
P.63,PERAK,P.63,TANJONG MALIM,P. 71,PERAK,P. 71,TANJONG MALIM,,,Boundary has changed
P.64,PERAK,P.64,BAGAN DATOK,P. 69,PERAK,P. 69,BAGAN DATOK,,,Boundary has changed
,,,,P. 57,PERAK,P. 57,TAMBUN,,YES,Formed from formerly named Kinta
,,,,P. 58,PERAK,P. 58,PASIR PINJI,,YES,Formed from the constituencies of Ipoh and formerly named Menglembu
P.65,PAHANG,P.65,LIPIS,P. 72,PAHANG,P. 72,LIPIS,,,Boundary has changed
P.66,PAHANG,P.66,JERANTUT,P. 74,PAHANG,P. 74,JERANTUT,,,Boundary has changed
P.67,PAHANG,P.67,KUANTAN,P. 75,PAHANG,P. 75,KUANTAN,,,Boundary has changed
P.68,PAHANG,P.68,RAUB,P. 73,PAHANG,P. 73,RAUB,,,Boundary has changed
P.69,PAHANG,P.69,MARAN,P. 77,PAHANG,P. 77,MARAN,,,Boundary has changed
P.70,PAHANG,P.70,BENTONG,P. 79,PAHANG,P. 79,BENTUNG,YES,,Boundary has changed
P.71,PAHANG,P.71,PEKAN,P. 76,PAHANG,P. 76,PEKAN,,,Boundary has changed
P.72,PAHANG,P.72,TEMERLOH,P. 80,PAHANG,P. 80,TEMERLUH,YES,,Boundary has changed
,,,,P. 78,PAHANG,P. 78,MENTEKAB,,YES,"Formed from the constituencies of Jerantut, (formerly named) Temerluh and (formerly named) Bentong"
,,,,P. 81,PAHANG,P. 81,ROMPIN,,YES,Formed from Pekan
P.73,SELANGOR,P.73,SABAK BERNAM,P. 82,SELANGOR,P. 82,SABAK BERNAM,,,
P.74,SELANGOR,P.74,TANJONG KARANG,P. 83,SELANGOR,P. 83,TANJONG KARANG,,,Boundary has changed
P.75,SELANGOR,P.75,ULU SELANGOR,P. 84,SELANGOR,P. 84,HULU SELANGOR,YES,,Boundary has changed
P.76,SELANGOR,P.76,KUALA SELANGOR,P. 85,SELANGOR,P. 85,KUALA SELANGOR,,,Boundary has changed
P.77,SELANGOR,P.77,SELAYANG,P. 87,SELANGOR,P. 87,SELAYANG,,,Boundary has changed
P.78,SELANGOR,P.78,ULU LANGAT,P. 89,SELANGOR,P. 89,HULU LANGAT,YES,,Boundary has changed
P.79,SELANGOR,P.79,PELABOHAN KELANG,P. 93,SELANGOR,P. 93,KLANG,YES,,Boundary has changed
P.80,SELANGOR,P.80,SHAH ALAM,P. 92,SELANGOR,P. 92,SHAH ALAM,,,Boundary has changed
P.81,SELANGOR,P.81,PETALING,P. 91,SELANGOR,P. 91,PUCHONG,YES,,Boundary has changed
P.82,SELANGOR,P.82,KUALA LANGAT,P. 94,SELANGOR,P. 94,KUALA LANGAT,,,Boundary has changed
P.83,SELANGOR,P.83,SEPANG,P. 95,SELANGOR,P. 95,SEPANG,,,
,,,,P. 88,SELANGOR,P. 88,AMPANG JAYA,,YES,Formed from Selayang
,,,,P. 90,SELANGOR,P. 90,PETALING JAYA,,YES,Formed from the constituencies of Shah Alam and formerly named Petaling
,,,,P. 86,SELANGOR,P. 86,KAPAR,,YES,Formed from the constituencies of  Kuala Selangor and formerly named Pelabohan Kelang
P.84,KUALA LUMPUR,P.84,KEPONG,P. 96,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 96,KEPONG,,,Boundary has changed
P.85,KUALA LUMPUR,P.85,SETAPAK,P. 98,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 98,TITIWANGSA,YES,,Boundary has changed
P.86,KUALA LUMPUR,P.86,DAMANSARA,P. 100,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 100,LEMBAH PANTAI,YES,,Boundary has changed
P.87,KUALA LUMPUR,P.87,KUALA LUMPUR BANDAR,P. 99,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 99,BUKIT BINTANG,YES,,Boundary has changed
P.88,KUALA LUMPUR,P.88,SUNGAI BESI,P. 102,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 102,SUNGAI BESI,,,Boundary has changed
,,,,P. 97,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 97,BATU,,YES,Formed from the constituencies of Kepong and formerly named Setapak
,,,,P. 101,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 101,SEPUTEH,,YES,Formed from the constituencies of Sungai Besi and formerly named Damansara
P.89,NEGERI SEMBILAN,P.89,JELEBU,P. 103,NEGERI SEMBILAN,P. 103,JELEBU,,,Boundary has changed
P.90,NEGERI SEMBILAN,P.90,MANTIN,P. 108,NEGERI SEMBILAN,P. 108,RASAH,YES,,Boundary has changed
P.91,NEGERI SEMBILAN,P.91,SEREMBAN,P. 107,NEGERI SEMBILAN,P. 107,SEREMBAN,,,Boundary has changed
P.92,NEGERI SEMBILAN,P.92,KUALA PILAH,P. 106,NEGERI SEMBILAN,P. 106,KUALA PILAH,,,Boundary has changed
P.93,NEGERI SEMBILAN,P.93,TELOK KEMANG,P. 109,NEGERI SEMBILAN,P. 109,TELOK KEMANG,,,Boundary has changed
P.94,NEGERI SEMBILAN,P.94,TAMPIN,P. 105,NEGERI SEMBILAN,P. 105,TAMPIN,,,Boundary has changed
,,,,P. 104,NEGERI SEMBILAN,P. 104,JEMPOL,YES,,"Formed from the constituencies of Jelebu, Tampin, and Kuala Pilah"
P.95,MELAKA,P.95,ALOR GAJAH,P. 110,MELAKA,P. 110,ALOR GAJAH,,,Boundary has changed
P.96,MELAKA,P.96,JASIN,P. 114,MELAKA,P. 114,JASIN,,,Boundary has changed
P.97,MELAKA,P.97,BATU BERENDAM,P. 112,MELAKA,P. 112,BATU BERENDAM,,,Boundary has changed
P.98,MELAKA,P.98,KOTA MELAKA,P. 113,MELAKA,P. 113,KOTA MELAKA,,,Boundary has changed
,,,,P. 111,MELAKA,P. 111,SELANDAR,,YES,Formed from the constituencies of Alor Gajah and Jasin
P.99,JOHOR,P.99,LABIS,P. 118,JOHOR,P. 118,LABIS,,,Boundary has changed
P.100,JOHOR,P.100,SEGAMAT,P. 115,JOHOR,P. 115,SEGAMAT,,,Boundary has changed
P.101,JOHOR,P.101,KELUANG,P. 120,JOHOR,P. 120,KLUANG,,,Boundary has changed
P.102,JOHOR,P.102,TENGGAROH,P. 119,JOHOR,P. 119,MERSING,YES,,
P.103,JOHOR,P.103,LEDANG,P. 116,JOHOR,P. 116,LEDANG,,,Boundary has changed
P.104,JOHOR,P.104,PAGOH,P. 117,JOHOR,P. 117,PAGOH,,,Boundary has changed
P.105,JOHOR,P.105,AYER HITAM,,,,,,,Constituency was abolished
P.106,JOHOR,P.106,MUAR,P. 123,JOHOR,P. 123,MUAR,,,Boundary has changed
P.107,JOHOR,P.107,RENGGAM,P. 127,JOHOR,P. 127,SENAI,,,Boundary has changed
