UNIQUE CODE,STATE,PARLIAMENT CODE,PARLIAMENT NAME,TOTAL ELECTORATE,MALAY (%),CHINESE (%),INDIAN (%),OTHERS (%),IBAN (%),BIDAYUH (%),"KAYAN, KELABIT, KENYAH (%)",KADAZAN (%)
P.1,PERLIS,P.1,KANGAR,45082,77.7,18.1,2.6,1.6,,,,
P.2,PERLIS,P.2,ARAU,40312,85.3,11.8,1.1,1.8,,,,
P.3,KEDAH,P.3,JERLUN - LANGKAWI,42597,90.2,8.5,1,1.5,,,,
P.4,KEDAH,P.4,KUBANG PASU,49059,84.1,10.9,3.5,1.5,,,,
P.5,KEDAH,P.5,PADANG TERAP,40884,89.9,5,0.9,4.2,,,,
P.6,KEDAH,P.6,KOTA SETAR,39775,75.6,22,5.5,0.5,,,,
P.7,KEDAH,P.7,ALOR SETAR,54803,54.8,38.8,5.5,0.9,,,,
P.8,KEDAH,P.8,KUALA KEDAH,42665,80.1,19.2,0.8,0.3,,,,
P.9,KEDAH,P.9,PENDANG,42930,87,7.2,0.8,0.19,,,,
P.10,KEDAH,P.10,JERAI,34741,87.9,11.7,0.3,0.1,,,,
P.11,KEDAH,P.11,MERBOK,40636,54.8,25.7,18.9,0.6,,,,
P.12,KEDAH,P.12,SIK,40806,81.6,6.4,8.5,3.5,,,,
P.13,KEDAH,P.13,BALING,40008,81.1,7.4,1.7,1.8,,,,
P.14,KEDAH,P.14,SUNGAI PETANI,48478,55.1,34.3,10,0.6,,,,
P.15,KEDAH,P.15,PADANG SERAI,39128,55.2,20.6,23.7,0.5,,,,
P.16,KEDAH,P.16,KULIM - BANDAR BAHARU,42084,55.4,30.2,13.8,0.6,,,,
P.17,KELANTAN,P.17,TUMPAT,44661,92.1,3.2,0.3,4.7,,,,
P.18,KELANTAN,P.18,PENGKALAN CHEPA,42785,96,3,0.4,0.6,,,,
P.19,KELANTAN,P.19,KOTA BAHARU,52613,78.7,19.8,1.2,0.3,,,,
P.20,KELANTAN,P.20,PASIR MAS,38423,94.8,3.1,0.1,2,,,,
P.21,KELANTAN,P.21,RANTAU PANJANG,34604,96.3,2.7,0.1,0.9,,,,
P.22,KELANTAN,P.22,NILAM PURI,33990,98.4,1.3,0,0.3,,,,
P.23,KELANTAN,P.23,BACHOK,41992,98.2,1.4,0,0.4,,,,
P.24,KELANTAN,P.24,PASIR PUTEH,32842,97,2.1,0.1,0.8,,,,
P.25,KELANTAN,P.25,KOK LANAS,32990,97,2.9,0,0.1,,,,
P.26,KELANTAN,P.26,TANAH MERAH,33837,94.8,4,0,1.2,,,,
P.27,KELANTAN,P.27,MACHANG,27430,94.8,3.1,2.1,0,,,,
P.28,KELANTAN,P.28,KUALA KRAI,29684,88,8.6,3,0.3,,,,
P.29,KELANTAN,P.29,GUA MUSANG,23977,82.2,6.9,0.7,10.2,,,,
P.30,TERENGGANU,P.30,BESUT,32749,97.9,1.8,2,0,,,,
P.31,TERENGGANU,P.31,SETIU,29793,99.1,0.7,0,0.1,,,,
