UNIQUE CODE,STATE,PARLIAMENT CODE,PARLIAMENT NAME,TOTAL ELECTORATE,MALAY (%),CHINESE (%),INDIAN (%),OTHERS (%),IBAN (%),BIDAYUH (%),"KAYAN, KELABIT, KENYAH (%)",KADAZAN (%)
P.32,TERENGGANU,P.32,KUALA NERUS,31682,99.2,0.6,0.2,0,,,,
P.33,TERENGGANU,P.33,KUALA TERENGGANU,48621,85,14,0.5,0.4,,,,
P.34,TERENGGANU,P.34,MARANG,33206,97.8,2.1,0.1,0,,,,
P.35,TERENGGANU,P.35,HULU TERENGGANU,28941,98.9,1,0.1,0,,,,
P.36,TERENGGANU,P.36,DUNGUN,35422,93.2,6.2,0.5,0.1,,,,
P.37,TERENGGANU,P.37,KEMAMAN,32931,86.4,12.5,1,0.1,,,,
P.38,PULAU PINANG,P.38,KEPALA BATAS,30209,70.4,24.9,4.7,0.4,,,,
P.39,PULAU PINANG,P.39,TASEK GELUGOR,31021,76,17.5,6.5,0,,,,
P.40,PULAU PINANG,P.40,BAGAN,55105,22,62.5,15.1,0.3,,,,
P.41,PULAU PINANG,P.41,PERMATANG PAUH,34879,67,26.7,6.3,0,,,,
P.42,PULAU PINANG,P.42,BUKIT MERTAJAM,51437,24.3,66.6,9.1,0,,,,
P.43,PULAU PINANG,P.43,NIBONG TEBAL,40216,38.7,47,14.2,0.1,,,,
P.44,PULAU PINANG,P.44,BUKIT BENDERA,54711,14.5,73.8,9.7,2,,,,
P.45,PULAU PINANG,P.45,TANJONG,60640,7.4,86.6,5.9,0.1,,,,
P.46,PULAU PINANG,P.46,JELUTONG,59890,24.3,66.5,8.8,0.4,,,,
P.47,PULAU PINANG,P.47,BAYAN BARU,58545,24.7,66.2,8.8,0.3,,,,
P.48,PULAU PINANG,P.48,BALIK PULAU,45541,57.4,38.8,3.7,0.1,,,,
P.49,PERAK,P.49,GERIK,28691,62.4,25.4,4.8,7.4,,,,
P.50,PERAK,P.50,LARUT,32593,81.1,8.8,9.9,0.2,,,,
P.51,PERAK,P.51,PARIT BUNTAR,37132,67.4,28.8,3.7,0.1,,,,
P.52,PERAK,P.52,BAGAN SERAI,39328,67.2,17.4,15.5,0,,,,
P.53,PERAK,P.53,BUKIT GANTANG,40131,62.4,28.1,9.2,0.3,,,,
P.54,PERAK,P.54,TAIPING,56599,30.9,55,12.8,1.2,,,,
P.55,PERAK,P.55,TASEK CHENDEROH,32415,71.4,22,6.4,0.2,,,,
P.56,PERAK,P.56,SUNGAI SIPUT,35441,31,46,16.6,0.4,,,,
P.57,PERAK,P.57,TAMBUN,53184,53.6,35.8,9.8,0.8,,,,
P.58,PERAK,P.58,PASIR PINJI,64320,8.6,86.4,4.2,0.8,,,,
P.59,PERAK,P.59,IPOH,58454,12.3,66.4,19.6,1.6,,,,
P.60,PERAK,P.60,BATU GAJAH,49701,14.1,75.8,10.1,0,,,,
P.61,PERAK,P.61,KUALA KANGSAR,36681,63.8,25.8,8.4,0.8,,,,
P.62,PERAK,P.62,BERUAS,34828,33.9,53.3,12.8,0,,,,
P.63,PERAK,P.63,PARIT,34011,67.8,32.8,2.9,0.7,,,,
P.64,PERAK,P.64,GOPENG,35034,38,45.9,13.1,3,,,,
P.65,PERAK,P.65,KAMPAR,41374,16.4,74.9,8.5,0.2,,,,
P.66,PERAK,P.66,TAPAH,34743,42.3,38.2,13.1,6.4,,,,
P.67,PERAK,P.67,PASIR SALAK,36547,79.7,14.5,5,0.6,,,,
P.68,PERAK,P.68,LUMUT,49202,40.9,46.5,12.3,0.3,,,,
P.69,PERAK,P.69,BAGAN DATOK,33965,58,18,23.2,0,,,,
P.70,PERAK,P.70,TELOK INTAN,46847,33.6,45.4,20.8,0.2,,,,
P.71,PERAK,P.71,TANJONG MALIM,42959,44.2,36.1,17.8,1.9,,,,
P.72,PAHANG,P.72,LIPIS,35385,51.6,26.2,12.5,9.7,,,,
P.73,PAHANG,P.73,RAUB,43705,47.9,43.6,7.2,1.3,,,,
P.74,PAHANG,P.74,JERANTUT,33010,77.6,19.2,2.4,0.8,,,,
P.75,PAHANG,P.75,KUANTAN,54595,58.3,36,5.6,0.1,,,,
P.76,PAHANG,P.76,PEKAN,34017,83.1,13.2,2,1.7,,,,
P.77,PAHANG,P.77,MARAN,38133,84.4,12.8,2.4,0.4,,,,
P.78,PAHANG,P.78,MENTEKAB,32402,63.3,22.9,10.9,2.9,,,,
P.79,PAHANG,P.79,BENTUNG,39270,34.5,55.6,8.8,1.1,,,,
P.80,PAHANG,P.80,TEMERLUH,39089,58,34.3,5,2.7,,,,
P.81,PAHANG,P.81,ROMPIN,31373,89.1,3.2,1.9,5.7,,,,
P.82,SELANGOR,P.82,SABAK BERNAM,31529,75.2,18.7,6,0.1,,,,
P.83,SELANGOR,P.83,TANJONG KARANG,31785,78.2,20,1.8,0,,,,
P.84,SELANGOR,P.84,HULU SELANGOR,42826,45.8,34,19.1,1.1,,,,
P.85,SELANGOR,P.85,KUALA SELANGOR,32510,54.8,19.7,25.3,0.2,,,,
P.86,SELANGOR,P.86,KAPAR,43928,60,25.4,14.6,0,,,,
P.87,SELANGOR,P.87,SELAYANG,77737,51.4,32.8,14.8,1,,,,
P.88,SELANGOR,P.88,AMPANG JAYA,69849,68.5,25.9,4.6,1,,,,
P.89,SELANGOR,P.89,HULU LANGAT,55558,48.1,41.6,9.6,0.7,,,,
P.90,SELANGOR,P.90,PETALING JAYA,80403,27,61,10.6,1.4,,,,
P.91,SELANGOR,P.91,PUCHONG,81005,27.3,56.5,15,1.1,,,,
P.92,SELANGOR,P.92,SHAH ALAM,60360,57.6,17.3,24.7,0.4,,,,
P.93,SELANGOR,P.93,KLANG,74964,23.8,58.6,16.5,1.1,,,,
P.94,SELANGOR,P.94,KUALA LANGAT,41565,58.3,26.5,14.4,0.8,,,,
P.95,SELANGOR,P.95,SEPANG,39895,48.2,28.4,21.7,1.7,,,,
P.96,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.96,KEPONG,71767,10.3,80.6,8.5,0.6,,,,
P.97,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.97,BATU,68865,45.5,39.8,13.9,0.8,,,,
P.98,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.98,TITIWANGSA,62511,63.8,26.2,9.6,0.4,,,,
P.99,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.99,BUKIT BINTANG,67548,8.3,83.5,7.9,0.3,,,,
P.100,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.100,LEMBAH PANTAI,62937,56.4,26.6,15.4,1.7,,,,
P.101,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.101,SEPUTEH,75153,7.6,83.1,8.6,0.9,,,,
P.102,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.102,SUNGAI BESI,64859,31.4,59,8.7,0.9,,,,
P.103,NEGERI SEMBILAN,P.103,JELEBU,28561,56.5,34.1,6.5,2.9,,,,
P.104,NEGERI SEMBILAN,P.104,JEMPOL,35516,52.5,35.1,12.2,0.2,,,,
P.105,NEGERI SEMBILAN,P.105,TAMPIN,38268,64.5,24.4,10.6,0.2,,,,
P.106,NEGERI SEMBILAN,P.106,KUALA PILAH,35433,73.4,21.3,5.2,0.2,,,,
P.107,NEGERI SEMBILAN,P.107,SEREMBAN,65571,31,56.7,11.5,0.9,,,,
P.108,NEGERI SEMBILAN,P.108,RASAH,56521,26.9,49.3,22.8,1,,,,
P.109,NEGERI SEMBILAN,P.109,TELOK KEMANG,38790,50.2,28.9,20.3,0.7,,,,
P.110,MELAKA,P.110,ALOR GAJAH,34966,51.6,26.2,12.5,9.7,,,,
P.111,MELAKA,P.111,SELANDAR,37313,52.2,36.3,11.3,0.2,,,,
P.112,MELAKA,P.112,BATU BERENDAM,62000,58.5,36.4,4.7,0.4,,,,
P.113,MELAKA,P.113,KOTA MELAKA,69034,22.1,72,3.5,2.4,,,,
P.114,MELAKA,P.114,JASIN,39600,67.6,22.9,9.4,0,,,,
P.115,JOHOR,P.115,SEGAMAT,44007,42.1,50,7.8,0.1,,,,
P.116,JOHOR,P.116,LEDANG,47174,51.4,43.5,5.1,0,,,,
P.117,JOHOR,P.117,PAGOH,33028,62.7,32.5,4.8,,,,,
P.118,JOHOR,P.118,LABIS,38264,38.3,46.7,14.9,0.1,,,,
P.119,JOHOR,P.119,MERSING,28281,61.2,34.8,2.9,0.1,,,,
P.120,JOHOR,P.120,KLUANG,62009,,,,,,,,
P.121,JOHOR,P.121,PARIT SULONG,52180,60.4,38,1.7,,,,,
P.122,JOHOR,P.122,BAKRI,43085,43.8,54.3,1.8,,,,,
P.123,JOHOR,P.123,MUAR,35374,66.3,32,1.8,0,,,,
P.124,JOHOR,P.124,SRI GADING,38709,74.2,24.3,5,0,,,,
P.125,JOHOR,P.125,BATU PAHAT,55418,57,41.4,1.6,0,,,,
P.126,JOHOR,P.126,SUNGAI BENUT,46727,62.5,29.9,7.6,0,,,,
P.127,JOHOR,P.127,SENAI,57568,41.1,52.8,6.1,0,,,,
P.128,JOHOR,P.128,KOTA TINGGI,50240,72.2,23.4,4.4,0,,,,
P.129,JOHOR,P.129,TEBRAU,65203,55.1,34.1,10.7,0.1,,,,
P.130,JOHOR,P.130,JOHOR BAHRU,59922,50.9,6,8.3,0.3,,,,
P.131,JOHOR,P.131,PULAI,49333,55.9,38,6,1,,,,
P.132,JOHOR,P.132,PONTIAN,52207,52.2,46.8,1,0,,,,
P.133,WILAYAH PERSEKUTUAN LABUAN,P.133,LABUAN,12171,60,35,,2,,,,
P.134,SABAH,P.134,MARUDU,23541,,,,,,,,
P.135,SABAH,P.135,BANDAU,19425,,,,,,,,
P.136,SABAH,P.136,KOTA BELUD,25351,,,,,,,,
P.137,SABAH,P.137,TUARAN,23050,,,,,,,,
P.138,SABAH,P.138,KINABALU,16793,,,,,,,,
P.139,SABAH,P.139,JAMBONGAN,21468,,,,,,,,
P.140,SABAH,P.140,SANDAKAN,33325,26.7,68.8,,,,,,0.21
P.141,SABAH,P.141,KINABATANGAN,18979,,,,,,,,
P.142,SABAH,P.142,KENINGAU,15595,,,,,,,,
P.143,SABAH,P.143,PENAMPANG,20366,,,,,,,,
P.144,SABAH,P.144,GAYA,28878,15.5,79.1,,,,,,
P.145,SABAH,P.145,TANJONG ARU,21587,33.3,47.5,,1.8,,,,17.4
P.146,SABAH,P.146,PAPAR,17237,40.4,17.7,,0.1,,,,41.8
P.147,SABAH,P.147,KIMANIS,15528,,,,,,,,
P.148,SABAH,P.148,LIMBAWANG,15139,,,,,,,,
P.149,SABAH,P.149,PADAS,18447,,,,,,,,
P.150,SABAH,P.150,PENSIANGAN,14693,2.5,9.7,,,,,,87.8
P.151,SABAH,P.151,TAWAU,28395,52.5,45.1,,,,,,
P.152,SABAH,P.152,SILAM,22130,,,,,,,,
P.153,SABAH,P.153,SEMPORNA,23170,76.6,19.9,,1.7,,,,1.8
P.154,SARAWAK,P.154,MAS GADING,27391,20.5,23.7,,,0.8,,,
P.155,SARAWAK,P.155,BANDAR KUCHING,62550,8.7,85.9,,1.9,3.5,,,
P.156,SARAWAK,P.156,SANTUBONG,31889,73.6,19.8,,1.6,4.9,,,
P.157,SARAWAK,P.157,SAMARAHAN,16620,76.7,11,,,12.4,,,
P.158,SARAWAK,P.158,PADAWAN,31553,9.79,46.86,,0.4,0.75,42.13,,
P.159,SARAWAK,P.159,SERIAN,29063,8,16.6,,,33.4,,,
P.160,SARAWAK,P.160,SIMUNJAN,15527,62.3,3.3,,,29.4,,,
P.161,SARAWAK,P.161,BATANG LUPAR,26383,20.6,4.7,,0.1,64.6,,,
P.162,SARAWAK,P.162,LUBOK ANTU,13386,1.4,8,,,90.6,,,
P.163,SARAWAK,P.163,BETONG,20361,47.7,6.9,,,45.3,,,
P.164,SARAWAK,P.164,SARATOK,17795,33,7.9,,,58.9,,,
P.165,SARAWAK,P.165,PALOH,18348,77.19,4,,,18.8,,,
P.166,SARAWAK,P.166,SARIKEI,27403,6.8,62.9,,,30.2,,,
P.167,SARAWAK,P.167,SIBU,51925,12.4,82.8,,,4.6,,,
P.168,SARAWAK,P.168,RAJANG,20338,9.3,20.5,,0.15,69.9,,,
P.169,SARAWAK,P.169,MUKAH,20089,57.6,8.7,,,33.7,,,
P.170,SARAWAK,P.170,JULAU,12181,0.4,2.9,,,96.6,,,
P.171,SARAWAK,P.171,KANOWIT,13919,2.2,16.1,,,81.6,,,
P.172,SARAWAK,P.172,KAPIT,15431,3.1,10.6,,,86.2,,,
P.173,SARAWAK,P.173,ULU RAJANG,14220,1.5,0.9,,,60.5,,37.08,
P.174,SARAWAK,P.174,BINTULU,26938,23,23.4,,,53.2,,,
P.175,SARAWAK,P.175,LAMBIR,49095,28.7,47.9,,2.53,20.8,,,
P.176,SARAWAK,P.176,BARAM,21482,5.7,11.8,,,11.7,,70.68,
P.177,SARAWAK,P.177,BUKIT MAS,23345,42.5,17.9,,,1,,38.59,
