UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1_N.1,PERLIS,P.1,KANGAR,N.1,TITI TINGGI,BN - MCA,LAI KUAN FOOK @ LAI KONG FOOK,MALE,,
P.1_N.2,PERLIS,P.1,KANGAR,N.2,BESERI,BN - UMNO,NORDIN BIN HJ. ABDULLAH,MALE,,
P.1_N.3,PERLIS,P.1,KANGAR,N.3,ORAN,BN - UMNO,YAZIZ @ YAZID BIN MAT,MALE,,
P.1_N.4,PERLIS,P.1,KANGAR,N.4,PADANG PAUH,BN - UMNO,BAHARI BIN HJ. TAIB,MALE,,
P.1_N.5,PERLIS,P.1,KANGAR,N.5,BINTONG,BN - UMNO,MD. ISA BIN SABU,MALE,,
P.1_N.6,PERLIS,P.1,KANGAR,N.6,SENA,BN - UMNO,SELAMAT BIN SAAD,MALE,,
P.1_N.7,PERLIS,P.1,KANGAR,N.7,INDERA KAYANGAN,BN - MCA,LEE KIM CHENG,MALE,,
P.2_N.8,PERLIS,P.2,ARAU,N.8,KUALA PERLIS,BN - UMNO,AHMAD BIN OSMAN,MALE,,
P.2_N.9,PERLIS,P.2,ARAU,N.9,KAYANG,BN - UMNO,TALIB BIN ALI,MALE,,
P.2_N.10,PERLIS,P.2,ARAU,N.10,UTAN AJI,BN - UMNO,FADZIL BIN MAHMOOD,MALE,,
P.2_N.11,PERLIS,P.2,ARAU,N.11,KOTA RAJA,BN - UMNO,ABDUL HAMID B. PAWANTEH,MALE,,
P.2_N.12,PERLIS,P.2,ARAU,N.12,GUAR SANJI,BN - UMNO,TAIB BIN ISMAIL,MALE,,
P.2_N.13,PERLIS,P.2,ARAU,N.13,KURONG ANAI,BN - UMNO,TENGKU AZIZ BIN TENGKU JAAFAR,MALE,,
P.2_N.14,PERLIS,P.2,ARAU,N.14,SANGLANG,BN - UMNO,KAMARUDIN BIN AHMAD,MALE,,
P.3_N.1,KEDAH,P.3,JERLUN-LANGKAWI,N.1,LANGKAWI,BN - UMNO,ISMAIL BIN YAA'COB,MALE,,
P.3_N.2,KEDAH,P.3,JERLUN-LANGKAWI,N.2,JERLUN,BN - UMNO,YUSUF BIN ABD. RAHMAN,MALE,,
P.4_N.3,KEDAH,P.4,KUBANG PASU,N.3,TUNJANG,BN - UMNO,HANAFI BIN RAMLI,MALE,,
P.4_N.4,KEDAH,P.4,KUBANG PASU,N.4,JITRA,BN - UMNO,OSMAN BIN AROFF,MALE,,
P.5_N.5,KEDAH,P.5,PADANG TERAP,N.5,KUALA NERANG,BN - UMNO,HAJI AWANG AHMAD @ ABDUL RASHID BIN SULAIMAN,MALE,,
P.5_N.6,KEDAH,P.5,PADANG TERAP,N.6,POKOK SENA,BN - UMNO,GHAZALI BIN IBRAHIM,MALE,,
P.6_N.7,KEDAH,P.6,KOTA SETAR,N.7,LANGGAR,PAS,MOHAMAD BIN ABDULLAH,MALE,,
P.6_N.8,KEDAH,P.6,KOTA SETAR,N.8,DERGA,BN - UMNO,ABDUL RAHMAN BIN IBRAHIM,MALE,,
P.7_N.9,KEDAH,P.7,ALOR SETAR,N.9,ALOR MERAH,BN - UMNO,AZIZAN BIN TAIB,MALE,,
P.7_N.10,KEDAH,P.7,ALOR SETAR,N.10,KOTA DARULAMAN,BN - MCA,CHEA KIM HOE @ CHEAH CHONG CHIEW,MALE,,
P.8_N.11,KEDAH,P.8,KUALA KEDAH,N.11,ALOR JANGGUS,BN - UMNO,KARIA @ ZAKARIA BIN SAID @ MOHD. SAID,MALE,,
P.8_N.12,KEDAH,P.8,KUALA KEDAH,N.12,PENGKALAN KUNDOR,BN - UMNO,SYED RAZAK BIN S. ZAIN,MALE,,
P.9_N.13,KEDAH,P.9,PENDANG,N.13,BUKIT RAYA,PAS,ALI @ FADZIL B MD NOOR,MALE,,
P.9_N.14,KEDAH,P.9,PENDANG,N.14,AYER PUTEH,BN - UMNO,FATIMAH BT. HAJI ISMAIL,FEMALE,,
P.10_N.15,KEDAH,P.10,JERAI,N.15,SALA,PAS,HAJI AZAHARI BIN RAZAK,MALE,,
P.10_N.16,KEDAH,P.10,JERAI,N.16,YAN,BN - UMNO,ABDULLAH BIN HJ. ISMAIL,MALE,,
P.11_N.17,KEDAH,P.11,MERBOK,N.17,GURUN,BN - MCA,HONG TOK HIANG @ FANG CHOK SEONG,MALE,,
P.11_N.18,KEDAH,P.11,MERBOK,N.18,TANJONG DAWAI,BN - UMNO,ROKIAH BT. HAJI HASHIM,FEMALE,,
P.12_N.19,KEDAH,P.12,SIK,N.19,JENERI,BN - UMNO,WAN AZMI BIN ARIFFIN,MALE,,
P.12_N.20,KEDAH,P.12,SIK,N.20,BUKIT SELAMBAU,BN - UMNO,BADRI BIN HJ. YUNUS,MALE,,
P.13_N.21,KEDAH,P.13,BALING,N.21,BAYU,BN - UMNO,HAJI SEROJI BIN HAJI HARON,MALE,,
P.13_N.22,KEDAH,P.13,BALING,N.22,KUPANG,BN - UMNO,ZAINOL BIN MD. ISA,MALE,,
P.14_N.23,KEDAH,P.14,SUNGAI PETANI,N.23,PANTAI MERDEKA,BN - UMNO,GHAZALI BIN HAJI BAKAR,MALE,,
P.14_N.24,KEDAH,P.14,SUNGAI PETANI,N.24,TIKAM BATU,BN - GERAKAN,ONG AH YONG @ ONG CHOW SONG,MALE,,
P.15_N.25,KEDAH,P.15,PADANG SERAI,N.25,LUNAS,BN - MIC,SUBRAMANIAM A/L SUNDRAM,MALE,,
P.15_N.26,KEDAH,P.15,PADANG SERAI,N.26,MERBAU PULAS,BN - UMNO,MAHMUD BIN MD. ZAIN,MALE,,
P.16_N.27,KEDAH,P.16,KULIM-BANDAR BAHARU,N.27,KULIM,BN - MCA,YONG PAU CHAK,MALE,,
P.16_N.28,KEDAH,P.16,KULIM-BANDAR BAHARU,N.28,BANDAR BAHARU,BN - UMNO,ABDUL MAJID BIN ITAM,MALE,,
P.17_N.1,KELANTAN,P.17,TUMPAT,N.1,GETING,BN - UMNO,MAT NAWAWI BIN MAT JUSOH,MALE,,
P.17_N.2,KELANTAN,P.17,TUMPAT,N.2,SUNGAI PINANG,BN - UMNO,MANSOR BIN SALLEH,MALE,,
P.17_N.3,KELANTAN,P.17,TUMPAT,N.3,WAKAF BAHARU,BN - UMNO,HUSSEIN BIN MAHMOOD,MALE,,
P.18_N.4,KELANTAN,P.18,PENGKALAN CHEPA,N.4,SEMUT API,PAS,HAJI NIK AB. AZIZ BIN NIK MAT,MALE,,
