UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.18_N.5,KELANTAN,P.18,PENGKALAN CHEPA,N.5,KEMUMIN,PAS,HJ. DAUD BIN IBRAHIM,MALE,,
P.18_N.6,KELANTAN,P.18,PENGKALAN CHEPA,N.6,BANGGOL,PAS,AB. HALIM BIN AB. RAHMAN,MALE,,
P.19_N.7,KELANTAN,P.19,KOTA BAHARU,N.7,PADANG GARONG,BN - MCA,LIM TON KENG @ LIM JIT KENG,,,
P.19_N.8,KELANTAN,P.19,KOTA BAHARU,N.8,BUNUT PAYONG,BN - UMNO,AHMAD RASTOM B. HAJI AHMAD MAHER,MALE,,
P.19_N.9,KELANTAN,P.19,KOTA BAHARU,N.9,LUNDANG,PAS,WARDI BIN HAJI AHMAD,MALE,,
P.20_N.10,KELANTAN,P.20,PASIR MAS,N.10,TENDONG,BN - UMNO,ISMAIL BIN CHE MAT,MALE,,
P.20_N.11,KELANTAN,P.20,PASIR MAS,N.11,PENGKALAN PASIR,BN - UMNO,MOHD. HASSAN BIN CHE WAIL @ HASSAN BIN ISMAIL,MALE,,
P.20_N.12,KELANTAN,P.20,PASIR MAS,N.12,MERANTI,BN - HAMIM,ZAID BIN FADZIL,MALE,,
P.21_N.13,KELANTAN,P.21,RANTAU PANJANG,N.13,GUAL PERIOK,BN - UMNO,ABDUL RAHMAN BIN AWANG,MALE,,
P.21_N.14,KELANTAN,P.21,RANTAU PANJANG,N.14,BUKIT TUKU,BN - UMNO,ZAKARIA BIN BOTOK,MALE,,
P.21_N.15,KELANTAN,P.21,RANTAU PANJANG,N.15,CHETOK,BN - HAMIM,HASSAN BIN HAJI MOHAMED,MALE,,
P.22_N.16,KELANTAN,P.22,NILAM PURI,N.16,SALOR,BN - UMNO,SITI JELIHA @ ZALEHA BINTI HUSSIN,FEMALE,,
P.22_N.17,KELANTAN,P.22,NILAM PURI,N.17,MULONG,PAS,MUSTAPHA BIN IBRAHIM,MALE,,
P.22_N.18,KELANTAN,P.22,NILAM PURI,N.18,PERINGAT,BN - UMNO,ANNUAR BIN HJ. MUSA,MALE,,
P.23_N.19,KELANTAN,P.23,BACHOK,N.19,TAWANG,PAS,IDRIS BIN AHMAD,MALE,,
P.23_N.20,KELANTAN,P.23,BACHOK,N.20,PERUPOK,PAS,OMAR BIN MOHAMMED,MALE,,
P.23_N.21,KELANTAN,P.23,BACHOK,N.21,JELAWAT,BN - UMNO,AHMAD SHAHIBUDDIN B. HJ. MOHD. NOR,MALE,,
P.24_N.22,KELANTAN,P.24,PASIR PUTEH,N.22,CHERANG RUKU,BN - UMNO,MAT JELANI @ MOHAMMED JELANI BIN JAAFAR,MALE,,
P.24_N.23,KELANTAN,P.24,PASIR PUTEH,N.23,LIMBONGAN,BN - UMNO,RAJA MAHMUD BIN RAJA MAMAT,MALE,,
P.24_N.24,KELANTAN,P.24,PASIR PUTEH,N.24,GAAL,BN - UMNO,DAUD BIN YUSOFF,MALE,,
P.25_N.25,KELANTAN,P.25,KOK LANAS,N.25,SELISING,BN - UMNO,WAN MUHAMMAD BIN WAN ABU BAKAR,MALE,,
P.25_N.26,KELANTAN,P.25,KOK LANAS,N.26,KETEREH,BN - UMNO,ARIFFIN BIN MAHMOOD,MALE,,
P.25_N.27,KELANTAN,P.25,KOK LANAS,N.27,PULAI CHONDONG,BN - UMNO,ABDULLAH BIN HJ. MOHAMED,MALE,,
P.26_N.28,KELANTAN,P.26,TANAH MERAH,N.28,BUKIT PANAU,BN - UMNO,AB. LATIF BIN HJ. AB. RAHMAN,MALE,,
P.26_N.29,KELANTAN,P.26,TANAH MERAH,N.29,PANGLIMA BAYU,BN - UMNO,MOHAMED BIN YAACOB,MALE,,
P.26_N.30,KELANTAN,P.26,TANAH MERAH,N.30,JELI,BN - UMNO,AB. SAMAT BIN HJ. DRAHMAN,MALE,,
P.27_N.31,KELANTAN,P.27,MACHANG,N.31,GUAL IPOH,BN - UMNO,MUSTAFA BIN YAAKUB,MALE,,
P.27_N.32,KELANTAN,P.27,MACHANG,N.32,LABOK,PAS,HUSIN BIN OMAR,MALE,,
P.27_N.33,KELANTAN,P.27,MACHANG,N.33,BANGGOL JUDAH,BN - UMNO,ISMAIL BIN MAMAT,MALE,,
P.28_N.34,KELANTAN,P.28,KUALA KRAI,N.34,TEMANGAN,BN - UMNO,HAJI SALLEH BIN CHE HARUN,MALE,,
P.28_N.35,KELANTAN,P.28,KUALA KRAI,N.35,GUCHIL,PAS,WAN HASAN BIN WAN YUSOF,MALE,,
P.28_N.36,KELANTAN,P.28,KUALA KRAI,N.36,MANEK URAI,PAS,ISMAIL YAACOB,MALE,,
P.29_N.37,KELANTAN,P.29,GUA MUSANG,N.37,DABONG,BN - UMNO,MOHAMAD ROZALI BIN ISOHAK,MALE,,
P.29_N.38,KELANTAN,P.29,GUA MUSANG,N.38,PALOH,BN - UMNO,DATO' HAJI ARIFFIN BIN SAID,MALE,,
P.29_N.39,KELANTAN,P.29,GUA MUSANG,N.39,GALAS,BN - UMNO,ZAKARIA BIN HASAN,MALE,,
P.30_N.1,TERENGGANU,P.30,BESUT,N.1,KUALA BESUT,BN - UMNO,WAN ZAKARIA BIN ABD. RAHMAN,MALE,,
P.30_N.2,TERENGGANU,P.30,BESUT,N.2,KAMPUNG RAJA,BN - UMNO,ABDULLAH BIN MUHAMMAD,MALE,,
P.30_N.3,TERENGGANU,P.30,BESUT,N.3,JERTIH,BN - UMNO,ABDUL MAJID BIN MOHAMED AHMAD,MALE,,
P.30_N.4,TERENGGANU,P.30,BESUT,N.4,HULU BESUT,BN - UMNO,AHMAD BIN BAKAR @ DAUD BIN ABU BAKAR,MALE,,
P.31_N.5,TERENGGANU,P.31,SETIU,N.5,JABI,BN - UMNO,HASSAN BIN HAJI SAID,MALE,,
P.31_N.6,TERENGGANU,P.31,SETIU,N.6,PERMAISURI,BN - UMNO,TENGKU MAHMUD BIN MANSOR @ CHE KU ABDULLAH BIN TENGKU MANSOR @ DATO' TENGKU MAHMUD BIN MANSOR,MALE,,
P.31_N.7,TERENGGANU,P.31,SETIU,N.7,LANGKAP,BN - UMNO,MAMAT BIN ABDUL RAHMAN,MALE,,
P.31_N.8,TERENGGANU,P.31,SETIU,N.8,BATU RAKIT,BN - UMNO,W. IBRAHIM BIN W. OTHMAN,MALE,,
P.32_N.9,TERENGGANU,P.32,KUALA NERUS,N.9,TEPUH,BN - UMNO,ABDUL RASHID BIN MUHAMMAD @ DATO' HAJI ABDUL RASHID BIN MUHAMMAD,MALE,,
P.32_N.10,TERENGGANU,P.32,KUALA NERUS,N.10,TELUK PASU,BN - UMNO,ISMAIL BIN YUSOF,MALE,,
P.32_N.11,TERENGGANU,P.32,KUALA NERUS,N.11,SEBERANG TAKIR,BN - UMNO,ABDUL RASHID BIN NGAH @ DATO' ABDUL RASHID BIN NGAH,MALE,,
P.32_N.12,TERENGGANU,P.32,KUALA NERUS,N.12,BUKIT TUNGGAL,BN - UMNO,GHAZALI BIN ENDUT @ HAJI AHMAD KASIM BIN ENDUT,MALE,,
P.33_N.13,TERENGGANU,P.33,KUALA TERENGGANU,N.13,BANDAR,BN - MCA,TOK TENG SAI,MALE,,
P.33_N.14,TERENGGANU,P.33,KUALA TERENGGANU,N.14,LADANG,BN - UMNO,ABU BAKAR BIN DAUD,MALE,,
P.33_N.15,TERENGGANU,P.33,KUALA TERENGGANU,N.15,BATU BURUK.,BN - UMNO,HAJI ABDUL MUTTALIB BIN HAJI SALLEH,MALE,,
P.33_N.16,TERENGGANU,P.33,KUALA TERENGGANU,N.16,WAKAF MEMPELAM,PAS,MUSTAFA @ HASSAN BIN ALI,MALE,,
P.34_N.17,TERENGGANU,P.34,MARANG,N.17,SERADA,BN - UMNO,JUSOH @ KOBI BIN MUSA,MALE,,
P.34_N.18,TERENGGANU,P.34,MARANG,N.18,BUKIT PAYONG,BN - UMNO,MAZLAN BIN AWANG,MALE,,
P.34_N.19,TERENGGANU,P.34,MARANG,N.19,RU RENDANG,PAS,ABDUL HADI BIN HAJI AWANG,MALE,,
P.34_N.20,TERENGGANU,P.34,MARANG,N.20,BINJAI,BN - UMNO,MUDA BIN MAMAT,MALE,,
P.35_N.21,TERENGGANU,P.35,HULU TERENGGANU,N.21,TELEMUNG,BN - UMNO,AHMAD SIDI @ MOHAMAD BIN HAJI ISMAIL @ MOHAMAD,MALE,,
P.35_N.22,TERENGGANU,P.35,HULU TERENGGANU,N.22,MANIR,BN - UMNO,AWANG ABU BAKAR BIN SULONG,MALE,,
P.35_N.23,TERENGGANU,P.35,HULU TERENGGANU,N.23,KUALA BERANG,BN - UMNO,WAN MUDA BIN MOHD,MALE,,
P.35_N.24,TERENGGANU,P.35,HULU TERENGGANU,N.24,TANGGUL,BN - UMNO,HAJI MUSTAFA BIN MUDA,MALE,,
P.36_N.25,TERENGGANU,P.36,DUNGUN,N.25,MERCANG,BN - UMNO,HARUN BIN ALI,MALE,,
P.36_N.26,TERENGGANU,P.36,DUNGUN,N.26,JERANGAU,BN - UMNO,DRAMAN @ MUDA BIN ABDULLAH,MALE,,
P.36_N.27,TERENGGANU,P.36,DUNGUN,N.27,SURA,BN - UMNO,AZIZ @ IBRAHIM BIN AWANG,MALE,,
P.36_N.28,TERENGGANU,P.36,DUNGUN,N.28,PAKA,BN - UMNO,SYED OMAR BIN MOHAMMAD @ ENGKU BIJAYA SURA,MALE,,
P.37_N.29,TERENGGANU,P.37,KEMAMAN,N.29,KEMASIK,BN - UMNO,MOHAMAD @ A. BAKAR BIN ALI,MALE,,
P.37_N.30,TERENGGANU,P.37,KEMAMAN,N.30,KIJAL,BN - UMNO,MOHD BIN MOHD MIN,MALE,,
P.37_N.31,TERENGGANU,P.37,KEMAMAN,N.31,CUKAI,BN - UMNO,DATO' WAN MOKHTAR BIN AHMAD @ DATO' SERI AMAR DIRAJA,MALE,,
P.37_N.32,TERENGGANU,P.37,KEMAMAN,N.32,BUKIT BANDI,BN - UMNO,HARUN BIN HASAN,MALE,,
P.38_N.1,PULAU PINANG,P.38,KEPALA BATAS,N.1,PENAGA,BN - UMNO,ABDUL RAZAK BIN ISMAIL,MALE,,
P.38_N.2,PULAU PINANG,P.38,KEPALA BATAS,N.2,BERTAM,BN - UMNO,ABDUL RAHMAN B. HJ. ABBAS,MALE,,
P.38_N.3,PULAU PINANG,P.38,KEPALA BATAS,N.3,PINANG TUNGGAL,BN - UMNO,YAHAYA BIN ABDUL HAMID,MALE,,
P.39_N.4,PULAU PINANG,P.39,TASEK GELUGOR,N.4,ARA RENDANG,BN - UMNO,ZAKARIA BIN BAKAR,MALE,,
P.39_N.5,PULAU PINANG,P.39,TASEK GELUGOR,N.5,SUNGAI DUA,BN - UMNO,MOHD. SHARIFF BIN HJ. OMAR,MALE,,
P.39_N.6,PULAU PINANG,P.39,TASEK GELUGOR,N.6,TELOK AYER TAWAR,BN - UMNO,ABD. RONI BIN A. HASAN,MALE,,
P.40_N.7,PULAU PINANG,P.40,BAGAN,N.7,BAGAN JERMAL,DAP,LIM HOCK SENG,,,
P.40_N.8,PULAU PINANG,P.40,BAGAN,N.8,MAK MANDIN,BN - MCA,DR SAK CHENG LUM,MALE,,
P.40_N.9,PULAU PINANG,P.40,BAGAN,N.9,PRAI,DAP,SHANMUGAM S/O NADASON,MALE,,
P.41_N.10,PULAU PINANG,P.41,PERMATANG PAUH,N.10,SEBERANG JAYA,BN - UMNO,IBRAHIM BIN SAAD,MALE,,
P.41_N.11,PULAU PINANG,P.41,PERMATANG PAUH,N.11,PERMATANG PASIR,BN - UMNO,MD. ISA BIN HAJI RAMLI @ HAJI ADNAN BIN HAJI RAMLI,MALE,,
P.41_N.12,PULAU PINANG,P.41,PERMATANG PAUH,N.12,PENANTI,BN - UMNO,YAHAYA BIN JAMALUDDIN,MALE,,
P.42_N.13,PULAU PINANG,P.42,BUKIT MERTAJAM,N.13,BERAPIT,DAP,CHIAN HENG KAI @ CHIN SOO HA,,,
P.42_N.14,PULAU PINANG,P.42,BUKIT MERTAJAM,N.14,MACHANG BUBOK,BN - GERAKAN,GOIK HOCK LAI,MALE,,
P.42_N.15,PULAU PINANG,P.42,BUKIT MERTAJAM,N.15,BUKIT TENGAH,BN - GERAKAN,LIONG AH SOW @ LIANG THAU SANG,,,
P.43_N.16,PULAU PINANG,P.43,NIBONG TEBAL,N.16,SUNGAI BAKAP,BN - GERAKAN,LIM BOON SHO,MALE,,
P.43_N.17,PULAU PINANG,P.43,NIBONG TEBAL,N.17,JAWI,DAP,CHIN KOOI THOON,,,
P.43_N.18,PULAU PINANG,P.43,NIBONG TEBAL,N.18,SUNGAI ACHEH,BN - UMNO,GAYAH @ RAGAYAH BINTI ARIFF,FEMALE,51,
P.44_N.19,PULAU PINANG,P.44,BUKIT BENDERA,N.19,TANJONG BUNGA,BN - GERAKAN,KHOO BOO YEANG,,,
P.44_N.20,PULAU PINANG,P.44,BUKIT BENDERA,N.20,AYER ITAM,DAP,GOI HOCK SENG @ GOOI HOCK SENG,MALE,,
P.44_N.21,PULAU PINANG,P.44,BUKIT BENDERA,N.21,KEBUN BUNGA,DAP,HUANG PETER,MALE,,
P.45_N.22,PULAU PINANG,P.45,TANJONG,N.22,PADANG KOTA,BN - GERAKAN,DR. LIM CHONG EU,MALE,,
P.45_N.23,PULAU PINANG,P.45,TANJONG,N.23,PENGKALAN KOTA,DAP,TEOH TEIK HUAT,,,
P.45_N.24,PULAU PINANG,P.45,TANJONG,N.24,KAMPONG KOLAM,DAP,LIM KIT SIANG,MALE,,
P.46_N.25,PULAU PINANG,P.46,JELUTONG,N.25,DATOK KERAMAT,BN - GERAKAN,OOI EAN KWONG,,,
P.46_N.26,PULAU PINANG,P.46,JELUTONG,N.26,SUNGAI PINANG,BN - GERAKAN,KHOO KAY POR,MALE,,
P.46_N.27,PULAU PINANG,P.46,JELUTONG,N.27,BATU LANCHANG,DAP,TAN LOO JIT @ TAN YIK KHOON,,,
P.47_N.28,PULAU PINANG,P.47,BAYAN BARU,N.28,BUKIT GELUGOR,DAP,KARPAL SINGH A/L RAM SINGH,MALE,,
P.47_N.29,PULAU PINANG,P.47,BAYAN BARU,N.29,PAYA TERUBONG,BN - MCA,CHIN NYOK SOO,MALE,,
P.47_N.30,PULAU PINANG,P.47,BAYAN BARU,N.30,BATU UBAN,BN - GERAKAN,KEE PHAIK CHEEN,FEMALE,,
P.48_N.31,PULAU PINANG,P.48,BALIK PULAU,N.31,TELOK BAHANG,BN - UMNO,HAJI YAHAYA BIN AHMAD,MALE,,
P.48_N.32,PULAU PINANG,P.48,BALIK PULAU,N.32,TELOK KUMBAR,BN - UMNO,MOHD. ZAIN BIN HJ. OMAR,MALE,,
P.48_N.33,PULAU PINANG,P.48,BALIK PULAU,N.33,BAYAN LEPAS,BN - GERAKAN,BOEY WENG KEAT,MALE,,
P.49_N.1,PERAK,P.49,GERIK,N.1,TEMENGOR,BN - UMNO,WAN ABDULLAH BIN WAN IM,MALE,,
P.49_N.2,PERAK,P.49,GERIK,N.2,KENERING,BN - UMNO,JOHAN BIN LAHAMAT,MALE,,
P.50_N.3,PERAK,P.50,LARUT,N.3,SELAMA,BN - UMNO,MD KASSIM BIN MAHMUD,MALE,,
P.50_N.4,PERAK,P.50,LARUT,N.4,BATU KURAU,BN - UMNO,ABDUL MANAN B. MOHD. ALI,MALE,,
P.51_N.5,PERAK,P.51,PARIT BUNTAR,N.5,TITI SERONG,BN - UMNO,MOHAMED TAIB BIN NAPIAH @ HANAFIAH,MALE,,
P.51_N.6,PERAK,P.51,PARIT BUNTAR,N.6,KUALA KURAU,BN - UMNO,AHMAD SHARIFFUDIN A. AZIZ,MALE,,
P.52_N.7,PERAK,P.52,BAGAN SERAI,N.7,ALOR PONGSU,BN - UMNO,MOHAMED BIN ABAS,MALE,,
P.52_N.8,PERAK,P.52,BAGAN SERAI,N.8,GUNONG SEMANGGOL,BN - UMNO,SAMSUDIN BIN MAN,MALE,,
P.53_N.9,PERAK,P.53,BUKIT GANTANG,N.9,SAPETANG,BN - GERAKAN,HAW HEW KHEONG @ AU HOW CHEONG,MALE,,
P.53_N.10,PERAK,P.53,BUKIT GANTANG,N.10,CHANGKAT JERING,BN - UMNO,MOHAMAD RAZLAN BIN HAJI ABDUL HAMID,MALE,,
P.54_N.11,PERAK,P.54,TAIPING,N.11,KAMUNTING,BN - UMNO,ZULKIFLI BIN HUSSEIN,MALE,,
P.54_N.12,PERAK,P.54,TAIPING,N.12,ASAM KUMBANG,DAP,KONG CHEOK WAN @ KONG CHEOK SENG,,,
P.55_N.13,PERAK,P.55,TASEK CHENDEROH,N.13,LENGGONG,BN - UMNO,UMAR BIN HAJI ISMAIL,MALE,,
P.55_N.14,PERAK,P.55,TASEK CHENDEROH,N.14,LUBOK MERBAU,BN - UMNO,HAMZAH BIN MOHD. ZAIN,MALE,,
P.56_N.15,PERAK,P.56,SUNGAI SIPUT,N.15,LINTANG,BN - UMNO,MEOR OSMAN BIN IMAM PINAWA @ PANJANG MOHD. HANAPIAH,MALE,,
P.56_N.16,PERAK,P.56,SUNGAI SIPUT,N.16,JALONG,DAP,LIEW SAM FONG,,,
P.57_N.17,PERAK,P.57,TAMBUN,N.17,CHEMOR,BN - UMNO,MOHAMED YUSOF BIN ARIFFIN,MALE,,
P.57_N.18,PERAK,P.57,TAMBUN,N.18,SUNGAI ROKAM,BN - PPP,PARAMJIK SINGH S/O TARA SINGH,MALE,,
P.58_N.19,PERAK,P.58,PASIR PINJI,N.19,DERMAWAN,DAP,LAU DAK KEE,,,
P.58_N.20,PERAK,P.58,PASIR PINJI,N.20,TEBING TINGGI,DAP,FOO TIEW KOK @ FOO PIEW KOK,,,
P.59_N.21,PERAK,P.59,IPOH,N.21,TASEK,DAP,CHIN SOW KEY,,,
P.59_N.22,PERAK,P.59,IPOH,N.22,SUNGAI PARI,DAP,PATTO A/L PERUMAL,MALE,,
P.60_N.23,PERAK,P.60,BATU GAJAH,N.23,FALIM,DAP,LOKE SUI CHUN @ LOK SWEE CHIN,,,
P.60_N.24,PERAK,P.60,BATU GAJAH,N.24,LAHAT,DAP,LEE KAK HOI @ LEE AH YAT,,,
P.61_N.25,PERAK,P.61,KUALA KANGSAR,N.25,BUKIT CHANDAN,BN - UMNO,MEGAT TAJUDDIN BIN MEGAT AHMAD,MALE,,
P.61_N.26,PERAK,P.61,KUALA KANGSAR,N.26,BATU HAMPAR,BN - UMNO,HAJI MOHAMAD ALI BIN ABDULLAH,MALE,,
P.62_N.27,PERAK,P.62,BERUAS,N.27,PENGKALAN BAHARU,BN - UMNO,DATO HAJI ABD. MALIK BIN HAJI AHMAD,MALE,,
P.62_N.28,PERAK,P.62,BERUAS,N.28,PANTAI REMIS,DAP,YU YANG KIEN,,,
P.63_N.29,PERAK,P.63,PARIT,N.29,BELANJA,BN - UMNO,ZAINAB BINTI IBRAHIM,FEMALE,,
P.63_N.30,PERAK,P.63,PARIT,N.30,BOTA,BN - UMNO,AHAMED HAMBAL BIN YEOP MAJLIS,MALE,,
P.64_N.31,PERAK,P.64,GOPENG,N.31,TEJA,BN - MCA,LOH BOON ENG,,,
P.64_N.32,PERAK,P.64,GOPENG,N.32,CHENDERONG,BN - MCA,SONG YONG PHEOW,,,
P.65_N.33,PERAK,P.65,KAMPAR,N.33,MALIM NAWAR,DAP,CHOO KIANG SEONG,,,
P.65_N.34,PERAK,P.65,KAMPAR,N.34,TANJONG TUALANG,DAP,NGAN SIONG HING @ NGAN SIONG ENG,MALE,,
P.66_N.35,PERAK,P.66,TAPAH,N.35,CHENDERIANG,BN - MCA,ONG KA CHUAN,MALE,,
P.66_N.36,PERAK,P.66,TAPAH,N.36,AYER KUNING,BN - UMNO,AZMAN BIN MAHALAN,MALE,,
P.67_N.37,PERAK,P.67,PASIR SALAK,N.37,SUNGAI MANIK,BN - UMNO,MOHAMED PAKRI @ MOHAMED NAZRI B. HAJI ABDUL RAHIM,MALE,,
P.67_N.38,PERAK,P.67,PASIR SALAK,N.38,KAMPONG GAJAH,BN - UMNO,RAMLI BIN NGAH TALIB,MALE,,
P.68_N.39,PERAK,P.68,LUMUT,N.39,PANGKOR,BN - MIC,RAJA SEGARAN A/L SAMY NATHAN @ RAJA MANIKAM A/L T.S. PELIAI,MALE,,
P.68_N.40,PERAK,P.68,LUMUT,N.40,SITIAWAN,DAP,CHEN LIM PIOW,,,
P.69_N.41,PERAK,P.69,BAGAN DATOK,N.41,RUNGKUP,BN - UMNO,YAHAYA BIN HAJI ZAKARIA,MALE,,
P.69_N.42,PERAK,P.69,BAGAN DATOK,N.42,HUTAN MELINTANG,BN - UMNO,NAHWANY @ RADZIAH BT. MARAHUDIN,FEMALE,,
P.70_N.43,PERAK,P.70,TELOK INTAN,N.43,PASIR BEDAMAR,DAP,MOHD. FADLAN BIN YAHYA,MALE,,
