UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 146_N. 1,SABAH,P. 146,MARUDU,N. 1,BANGGI,BN - UMNO,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,,
P. 146_N. 2,SABAH,P. 146,MARUDU,N. 2,KUDAT,BN - LDP,CHONG KAH KIAT,MALE,,
P. 146_N. 3,SABAH,P. 146,MARUDU,N. 3,BENGKOKA,BN - UMNO,MASRANI BIN PARMAN,MALE,,
P. 147_N. 4,SABAH,P. 147,BANDAU,N. 4,MATUNGGONG,PBS,ATONG BIN MANGABIS,MALE,,
P. 147_N. 5,SABAH,P. 147,BANDAU,N. 5,TANDEK,PBS,JOHNITY @ MAXIMUS BIN ONGKILI,MALE,,
P. 148_N. 6,SABAH,P. 148,KOTA BELUD,N. 6,TEMPASUK,BN - UMNO,MUSBAH B. JAMLI,MALE,,
P. 148_N. 7,SABAH,P. 148,KOTA BELUD,N. 7,KADAMAIAN,PBS,TIMBON @ HERBERT BIN LAGADAN,MALE,,
P. 148_N. 8,SABAH,P. 148,KOTA BELUD,N. 8,USUKAN,BN - UMNO,MD SALLEH MD SAID,MALE,,
P. 149_N. 9,SABAH,P. 149,TUARAN,N. 9,TAMPARULI,PBS,LINGGU @ EDWARD BIN BUKUT,MALE,,
P. 149_N. 10,SABAH,P. 149,TUARAN,N. 10,SULAMAN,BN - UMNO,HAJIJI BIN HAJI NOOR,MALE,,
P. 149_N. 11,SABAH,P. 149,TUARAN,N. 11,KIULU,PBS,LOWIS RAMPAS,MALE,,
P. 150_N. 12,SABAH,P. 150,GAYA,N. 12,INANAM,PBS,GOH CHIN LOK @ JOHNNY GOH,MALE,,
P. 150_N. 13,SABAH,P. 150,GAYA,N. 13,LIKAS,BN - SAPP,YONG TECK LEE,MALE,,
P. 151_N. 14,SABAH,P. 151,TANJONG ARU,N. 14,API - API,PBS,YEE MOH CHAI,MALE,,
P. 151_N. 15,SABAH,P. 151,TANJONG ARU,N. 15,SEMBULAN,PBS,YONG OUI FAH,MALE,,
P. 152_N. 16,SABAH,P. 152,PENAMPANG,N. 16,MOYOG,PBS,CLARENCE DICSENOL BONGKOS MALAKUN,MALE,,
P. 152_N. 17,SABAH,P. 152,PENAMPANG,N. 17,PETAGAS,BN - UMNO,YAHYAH @ YAHYAH BIN HUSSIN @ AG. HUSIN,MALE,,
P. 153_N. 18,SABAH,P. 153,PAPAR,N. 18,KAWANG,BN - UMNO,OSU HAJI SUKAM,MALE,,
P. 153_N. 19,SABAH,P. 153,PAPAR,N. 19,PANTAI MANIS,BN - UMNO,ABDUL RAHMAN BIN ISMAIL,MALE,,
P. 154_N. 20,SABAH,P. 154,BEAUFORT,N. 20,BONGAWAN,BN - UMNO,KARIM BIN BUJANG,MALE,,
