UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,BERSEKUTU,BERSEKUTU CANDIDATE,BERSEKUTU CANDIDATE SEX,BERSEKUTU CANDIDATE AGE,BERSEKUTU VOTE,BERSEKUTU CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 149_N. 11,SABAH,P. 149,TUARAN,N. 11,KIULU,PBS,,8974,3385,76.1,6829,2,56,6771,PDS,GISIN BIN LOMBUT,MALE,,1622,,,,,,,,PBS,LOWIS RAMPAS,MALE,,5007,,BERSEKUTU,SEIBING BIN GUNTING,MALE,,142,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 150_N. 12,SABAH,P. 150,GAYA,N. 12,INANAM,PBS,,21433,4708,73.56,15766,0,97,15669,PDS,CHRISTINA LORLINE STEPHEN TIBOK,FEMALE,,4940,,,,,,,,PBS,GOH CHIN LOK @ JOHNNY GOH,MALE,,9648,,BERSEKUTU,JUDY HIEW MUI NYUK,FEMALE,,1081,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 150_N. 13,SABAH,P. 150,GAYA,N. 13,LIKAS,BN - SAPP,,25976,4962,68.25,17728,8,268,17452,SAPP,YONG TECK LEE,MALE,,9110,,PAS,YAHYA BIN V.P. KASSIM,MALE,,200,LOST DEPOSIT,PBS,CHONG ENG LEONG @ CHIN ENG LEONG,MALE,,4148,,BERSEKUTU,HARRIS BIN MOHD SALLEH,MALE,,3576,,SETIA,GAMPARON BIN LAJAH,MALE,,318,LOST DEPOSIT,INDEPENDENT - UMBRELLA,SAUDIN BIN KADIS,MALE,,100,LOST DEPOSIT,,,,,,,,,,,,
P. 151_N. 14,SABAH,P. 151,TANJONG ARU,N. 14,API - API,PBS,,23107,3183,70.44,16277,22,106,16149,MCA,DATUK CHAU TET ON,MALE,,5963,,,,,,,,PBS,YEE MOH CHAI,MALE,,9146,,BERSEKUTU,CHIN CHEN FUI,MALE,,1040,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 151_N. 15,SABAH,P. 151,TANJONG ARU,N. 15,SEMBULAN,PBS,,18616,303,69.49,12937,6,127,12804,SAPP,CHOW CHIN THONG @ CHAU CHIN TANG,MALE,,5161,,,,,,,,PBS,YONG OUI FAH,MALE,,5464,,BERSEKUTU,TAN KOK SUI,MALE,,2109,,,,,,,,INDEPENDENT - KEY,DATU BARA BIN DATU ALAWADDIN,MALE,,70,LOST DEPOSIT,,,,,,,,,,,,
P. 152_N. 16,SABAH,P. 152,PENAMPANG,N. 16,MOYOG,PBS,,22616,4388,79.09,17887,58,95,17734,PDS,BERNARD GILUK DOMPOK,MALE,,6482,,,,,,,,PBS,CLARENCE DICSENOL BONGKOS MALAKUN,MALE,,10870,,BERSEKUTU,BENEDICT SAKUNIL MANSUL,MALE,,285,LOST DEPOSIT,PASOK,CLETUS SIPAIN MOJINGOL,MALE,,18,LOST DEPOSIT,INDEPENDENT - KEY,JOMILUN MOJUNTIN @ CONRAD MOJUNTIN,MALE,,59,LOST DEPOSIT,INDEPENDENT - BOOK,LEGACY @ IGNATIUS JOHN MATAYUN,MALE,,20,LOST DEPOSIT,,,,,,
P. 152_N. 17,SABAH,P. 152,PENAMPANG,N. 17,PETAGAS,BN - UMNO,,23152,3787,76.54,17721,1475,483,15763,UMNO,YAHYAH @ YAHYAH BIN HUSSIN @ AG. HUSIN,MALE,,9234,,,,,,,,PBS,UDA BIN SULAI,MALE,,5447,,BERSEKUTU,DINI @ MOHD DINI BIN MATKAN @ MOHD KHAN,MALE,,960,LOST DEPOSIT,SETIA,MUSA ABDUL RAHMAN,MALE,,122,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 153_N. 18,SABAH,P. 153,PAPAR,N. 18,KAWANG,BN - UMNO,,15458,2213,79.95,12359,5,85,12269,UMNO,OSU HAJI SUKAM,MALE,,7017,,,,,,,,PBS,IRENE DAPHNE PRITCHARD @ ARIAH AHMAD,FEMALE,,4804,,BERSEKUTU,MOHD KANIT BIN OMAR,MALE,,282,LOST DEPOSIT,SETIA,PENGIRAN OTHMAN RAUF @ AWANG,MALE,,117,LOST DEPOSIT,INDEPENDENT - KEY,SAJIT SINGH @ PATRICK SINGH,MALE,,49,LOST DEPOSIT,,,,,,,,,,,,
P. 153_N. 19,SABAH,P. 153,PAPAR,N. 19,PANTAI MANIS,BN - UMNO,,16132,2534,81.22,13102,244,77,12781,UMNO,ABDUL RAHMAN BIN ISMAIL,MALE,,7357,,,,,,,,PBS,JUANI @ JOHNNY BIN MOSITUN,MALE,,4823,,BERSEKUTU,MOHD ISHAK BIN LAIMUDIN,MALE,,458,LOST DEPOSIT,SETIA,ZAINUDDIN BIN MOHAMED,MALE,,143,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 154_N. 20,SABAH,P. 154,BEAUFORT,N. 20,BONGAWAN,BN - UMNO,,13659,2292,76.97,10513,8,63,10442,UMNO,KARIM BIN BUJANG,MALE,,6087,,,,,,,,PBS,AWANG TANGAH BIN AWANG AMIN,MALE,,3795,,BERSEKUTU,DZULKIFLI BIN ABDUL HAMID,MALE,,163,LOST DEPOSIT,SETIA,ABDUL KARIM BIN ABDUL GHANI,MALE,,54,LOST DEPOSIT,INDEPENDENT - BOOK,AJMAIN BIN ABD. GANI,MALE,,343,LOST DEPOSIT,,,,,,,,,,,,
