UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1,PERLIS,P. 1,PERLIS UTARA,ALLIANCE - UMNO,OTHMAN BIN ABDULLAH,MALE,,
P. 2,PERLIS,P. 2,PERLIS SELATAN,ALLIANCE - UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,
P. 3,KEDAH,P. 3,JITRA - PADANG TERAP,ALLIANCE - UMNO,TAN SRI FATIMAH,FEMALE,43,
P. 4,KEDAH,P. 4,KUBANG PASU BARAT,PMIP,ABU BAKAR BIN UMAR,MALE,,
P. 5,KEDAH,P. 5,KOTA STAR UTARA,PMIP,HAJI MAWARDI BIN LEBAI TEH,MALE,,
P. 6,KEDAH,P. 6,ALOR STAR,ALLIANCE - MCA,LIM PEE HUNG,MALE,42,
P. 7,KEDAH,P. 7,KUALA KEDAH,ALLIANCE - UMNO,TUNKU ABDUL RAHMAN PUTRA AL-HAJ,MALE,66,
P. 8,KEDAH,P. 8,KOTA STAR SELATAN,PMIP,HAJI YUSOF RAWA,MALE,47,
P. 9,KEDAH,P. 9,KEDAH TENGAH,ALLIANCE - UMNO,MOHAMED KHIR JOHARI,MALE,46,
P. 10,KEDAH,P. 10,JERAI,ALLIANCE - UMNO,HANAFIAH HUSSEIN,MALE,42,
P. 11,KEDAH,P. 11,BALING,ALLIANCE - UMNO,SHAFIE BIN ABDULLAH,MALE,,
P. 12,KEDAH,P. 12,SUNGEI PATANI,ALLIANCE - UMNO,AZAHARI BIN MD. TAIB,MALE,45,
P. 13,KEDAH,P. 13,KULIM UTARA,ALLIANCE - UMNO,BIBI AISHAH BINTI HAMID DON,FEMALE,40,
P. 14,KEDAH,P. 14,KULIM - BANDAR BAHRU,ALLIANCE - MCA,TAI KUAN YANG,MALE,,
P. 15,KELANTAN,P. 15,TUMPAT,ALLIANCE - UMNO,DR ABDUL AZIZ BIN OMAR,MALE,50,
P. 16,KELANTAN,P. 16,KELANTAN HILIR,PMIP,NIK ABDUL AZIZ BIN NIK MAT,MALE,38,
P. 17,KELANTAN,P. 17,PASIR MAS HILIR,PMIP,MUHAMMAD FAKHRUDDIN BIN HAJI ABDULLAH,MALE,,
P. 18,KELANTAN,P. 18,KOTA BHARU HILIR,ALLIANCE - UMNO,TENGKU AHMAD RITHAUDDEEN BIN TENGKU ISMAIL,MALE,41,
P. 19,KELANTAN,P. 19,BACHOK,PMIP,MOHD. ZAIN BIN ABDULLAH,MALE,,
P. 20,KELANTAN,P. 20,KOTA BHARU HULU,PMIP,MOHD. ASRI BIN HAJI MUDA,MALE,46,
P. 21,KELANTAN,P. 21,PASIR MAS HULU,PMIP,TENGKU ZAID BIN TENGKU AHMAD,MALE,,
P. 22,KELANTAN,P. 22,PASIR PUTEH,PMIP,WAN SULAIMAN BIN HAJI IBRAHIM,MALE,,
P. 23,KELANTAN,P. 23,TANAH MERAH,ALLIANCE - UMNO,MOHAMED BIN YA'ACOB,MALE,43,
P. 24,KELANTAN,P. 24,ULU KELANTAN,ALLIANCE - UMNO,DATO' NIK AHMED KAMIL,MALE,62,
P. 25,TRENGGANU,P. 25,BESUT,ALLIANCE - UMNO,HUSSAIN BIN HAJI SULAIMAN,MALE,,
P. 26,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,ALLIANCE - UMNO,WAN ABDUL KADIR BIN ISMAIL,MALE,40,
P. 27,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,PMIP,MOHD. DAUD BIN ABDUL SAMED,MALE,,
P. 28,TRENGGANU,P. 28,DUNGUN,PMIP,ABDUL WAHAB BIN YUNUS,MALE,,
P. 29,TRENGGANU,P. 29,KEMAMAN,ALLIANCE - UMNO,WAN MOKHTAR BIN AHMAD,MALE,37,
P. 30,TRENGGANU,P. 30,TRENGGANU TENGAH,ALLIANCE - UMNO,TENGKU MUHSEIN BIN TENGKU ABDUL KADIR,MALE,,
P. 31,PENANG,P. 31,BAGAN,ALLIANCE - MCA,TAN CHENG BEE,MALE,,Y
P. 32,PENANG,P. 32,SEBERANG TENGAH,GERAKAN,MUSTAPHA BIN HUSSAIN,MALE,,
P. 33,PENANG,P. 33,SEBERANG SELATAN,GERAKAN,VEERAPPEN A/L VEERATHAN,MALE,,
P. 34,PENANG,P. 34,PENANG UTARA,DAP,DASON PETER PAUL,MALE,35,
P. 35,PENANG,P. 35,PENANG SELATAN,GERAKAN,GABRIEL THOMAS SELVARAJ,MALE,,
P. 36,PENANG,P. 36,TANJONG,GERAKAN,LIM CHONG EU,MALE,50,
P. 37,PENANG,P. 37,DATO KRAMAT,GERAKAN,V. DAVID,MALE,37,
