UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1_S. 1,PERLIS,P. 1,PERLIS UTARA,S. 1,KAKI BUKIT,ALLIANCE - MCA,LOH AH TONG,MALE,,
P. 1_S. 2,PERLIS,P. 1,PERLIS UTARA,S. 2,PAYA,ALLIANCE - UMNO,CHE YOOK @ CHE YOB BIN CHE CHOH,MALE,,
P. 1_S. 3,PERLIS,P. 1,PERLIS UTARA,S. 3,MATA AYER,ALLIANCE - UMNO,ABDULLAH BIN HAJI HASSAN,MALE,,
P. 1_S. 4,PERLIS,P. 1,PERLIS UTARA,S. 4,BANDAR KANGAR,ALLIANCE - MCA,QUAH CHOOI TONG,MALE,,
P. 1_S. 5,PERLIS,P. 1,PERLIS UTARA,S. 5,SENA,ALLIANCE - UMNO,WAN AHMAD BIN HAJI WAN KASSIM,MALE,,
P. 1_S. 6,PERLIS,P. 1,PERLIS UTARA,S. 6,BINTONG,ALLIANCE - UMNO,SYED OMAR BIN SYED HUSSIN,MALE,,
P. 2_S. 7,PERLIS,P. 2,PERLIS SELATAN,S. 7,KURONG ANAI,ALLIANCE - UMNO,HAJI WAN AHMAD BIN WAN ABDULLAH,MALE,,
P. 2_S. 8,PERLIS,P. 2,PERLIS SELATAN,S. 8,ARAU,PMIP,HUSSAIN BIN ABD. RAHMAN,MALE,,
P. 2_S. 9,PERLIS,P. 2,PERLIS SELATAN,S. 9,HUTAN AJI,ALLIANCE - UMNO,SYED DARUS BIN SYED HASHIM,MALE,,
P. 2_S. 10,PERLIS,P. 2,PERLIS SELATAN,S. 10,KAYANG,ALLIANCE - UMNO,YUSOFF BIN ABU BAKAR,MALE,,
P. 2_S. 11,PERLIS,P. 2,PERLIS SELATAN,S. 11,KUALA PERLIS,ALLIANCE - UMNO,DATO SHEIKH AHMAD BIN MOHD. HASHIM,MALE,,
P. 2_S. 12,PERLIS,P. 2,PERLIS SELATAN,S. 12,SANGLANG,ALLIANCE - UMNO,JAAFAR BIN HASSAN,MALE,45,
P. 3_S. 1,KEDAH,P. 3,JITRA - PADANG TERAP,S. 1,JITRA,ALLIANCE - UMNO,OSMAN @ MD. DAUD BIN AROFF,MALE,29,
P. 3_S. 2,KEDAH,P. 3,JITRA - PADANG TERAP,S. 2,PADANG TERAP,ALLIANCE - UMNO,SYED AHMAD BIN SYED AHMAD SHAHABUDIN,MALE,44,
P. 4_S. 3,KEDAH,P. 4,KUBANG PASU BARAT,S. 3,JERLUN KODIANG,ALLIANCE - UMNO,SYED NAHAR BIN TUN SYED SHEH SHAHABUDIN,MALE,35,
P. 4_S. 4,KEDAH,P. 4,KUBANG PASU BARAT,S. 4,TUNJANG,PMIP,ISMAIL BIN HANAFI,MALE,,
P. 5_S. 5,KEDAH,P. 5,KOTA STAR UTARA,S. 5,LANGGAR - LIMBONG,PMIP,ABU BAKAR BIN UMAR,MALE,,
P. 5_S. 6,KEDAH,P. 5,KOTA STAR UTARA,S. 6,POKOK SENA,PMIP,HAJI AHMAD BIN L. SENAWI,MALE,,
P. 6_S. 7,KEDAH,P. 6,ALOR STAR,S. 7,ALOR STAR PEKAN,GERAKAN,GEH TENG KHENG,MALE,,
P. 6_S. 8,KEDAH,P. 6,ALOR STAR,S. 8,ALOR STAR LUAR,PMIP,OTHMAN BIN HAJI HUSAIN,MALE,,
