UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.028_N.29,KELANTAN,P.028,PASIR PUTEH,N.29,SELISING,28725,99.08,0.42,0.02,0.02,0.05,0.02,0.39,99.98,0.01,0.02,0,7.2,23.6,24,16.8,13.3,9.1,4.3,1.5,0.2,48.9,51.1,SEMI URBAN
P.028_N.30,KELANTAN,P.028,PASIR PUTEH,N.30,LIMBONGAN,35393,97.25,1.93,0.07,0.02,0.06,0.05,0.62,99.39,0.01,0.6,0,7.4,24.6,24.1,16.5,12.7,9,4.4,1.2,0.2,48.5,51.5,SEMI URBAN
P.028_N.31,KELANTAN,P.028,PASIR PUTEH,N.31,SEMERAK,26781,97.48,0.43,0.05,0.01,0.05,0.03,1.95,99.9,0,0.1,0,6.9,23.1,24.3,17.6,13.6,8.9,4.1,1.1,0.2,48.6,51.4,SEMI URBAN
P.028_N.32,KELANTAN,P.028,PASIR PUTEH,N.32,GAAL,22671,98.62,0.3,0.03,0.02,0.04,0.04,0.96,99.93,0,0.06,0,6.6,22,24.1,17.3,13.6,9.9,4.8,1.5,0.3,47.9,52.1,RURAL
P.029_N.33,KELANTAN,P.029,MACHANG,N.33,PULAI CHONDONG,28169,96.97,2.67,0.04,0.01,0.04,0.07,0.19,99.96,0.01,0.04,0,6.5,23.1,23.4,16.6,13.7,10.7,4.4,1.4,0.2,49.1,50.9,RURAL
P.029_N.34,KELANTAN,P.029,MACHANG,N.34,TEMANGAN,26012,94.98,4.31,0.29,0.01,0.05,0.04,0.32,99.98,0.01,0.01,0,6,21.7,24.6,17.2,13.8,9.8,4.9,1.7,0.3,49.3,50.7,RURAL
P.029_N.35,KELANTAN,P.029,MACHANG,N.35,KEMUNING,35015,96.98,2.38,0.14,0.02,0.07,0.03,0.37,99.32,0.01,0.65,0.03,6.7,22.8,25,17.5,13.1,9.4,4.2,1.1,0.2,49.5,50.5,SEMI URBAN
P.030_N.36,KELANTAN,P.030,JELI,N.36,BUKIT BUNGA,21722,98.32,0.17,0.1,0.06,0.37,0.27,0.71,95.6,0,0.29,4.11,5.7,23.4,23.4,17.6,13.7,9.7,4.3,1.5,0.6,50.8,49.2,RURAL
P.030_N.37,KELANTAN,P.030,JELI,N.37,AIR LANAS,22468,96.81,0.23,0.06,2.08,0.14,0.06,0.62,99.18,0,0.81,0,7.2,23.5,24.6,17.4,13.6,8.4,3.9,1.1,0.3,49.9,50.1,RURAL
P.030_N.38,KELANTAN,P.030,JELI,N.38,KUALA BALAH,15704,98.68,0.1,0.15,0.1,0.34,0.21,0.42,95.75,0.01,0.1,4.15,6.2,23.1,25.7,18.5,12.2,9.1,3.9,1.1,0.2,50.7,49.3,RURAL
P.031_N.39,KELANTAN,P.031,KUALA KRAI,N.39,MENGKEBANG,26843,95.93,2.3,1.29,0.02,0.02,0.04,0.39,100,0,0,0,6.9,24.7,25.2,17.2,12.6,8.4,3.7,1.1,0.3,49.9,50.1,RURAL
P.031_N.40,KELANTAN,P.031,KUALA KRAI,N.40,GUCHIL,27785,86.1,11.04,2.08,0.02,0.09,0.07,0.6,99.1,0,0.9,0,6.7,22.3,24.5,16.7,13.5,10.3,4.5,1.3,0.3,50.2,49.8,SEMI URBAN
P.031_N.41,KELANTAN,P.031,KUALA KRAI,N.41,MANEK URAI,22611,98.89,0.24,0.25,0.01,0.06,0.02,0.52,99.89,0,0.11,0,6.9,23.3,26.1,18.7,11.5,8.3,3.8,1.2,0.2,49.7,50.3,RURAL
P.031_N.42,KELANTAN,P.031,KUALA KRAI,N.42,DABONG,15255,98.65,0.08,0.22,0.03,0.08,0.06,0.88,99.91,0.01,0.08,0,7,24,25.8,17.3,11.8,8.5,4,1.4,0.2,50.8,49.2,RURAL
P.032_N.43,KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,20219,86,0.21,0.1,13.11,0.06,0.05,0.46,99.94,0,0.06,0,8.3,27.1,26.4,15.9,9.9,7.5,4.1,0.8,0.1,51,49,RURAL
P.032_N.44,KELANTAN,P.032,GUA MUSANG,N.44,PALOH,21162,97.3,0.08,0.01,2.23,0.04,0.02,0.33,99.92,0,0.08,0,6.3,24.1,30.9,16.1,7.9,10,4.3,0.4,0,50,50,RURAL
P.032_N.45,KELANTAN,P.032,GUA MUSANG,N.45,GALAS,29638,59.75,13.61,1.19,24.47,0.17,0.12,0.69,99.21,0.01,0.78,0,9.1,28,24.8,15.2,11.4,7.6,2.8,0.9,0.2,51.3,48.7,RURAL
