UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.041_N. 01,PULAU PINANG,P.041,KEPALA BATAS,N. 01,PENAGA,25468,92.98,6.31,0.41,0.01,0.07,0.03,0.2,100,0,0,0,7.24,23.06,19.84,17.82,16.16,9.29,4.95,1.43,0.21,48.8,51.2,SEMI URBAN
P.041_N. 02,PULAU PINANG,P.041,KEPALA BATAS,N. 02,BERTAM,23999,68.89,21.83,8.69,0.02,0.15,0.09,0.35,97.22,0.02,2.76,0,6.17,20.19,21.4,17.98,15.25,11.05,5.89,1.81,0.25,50.3,49.7,SEMI URBAN
P.041_N. 03,PULAU PINANG,P.041,KEPALA BATAS,N. 03,PINANG TUNGGAL,34723,78.81,17.13,3.65,0.01,0.08,0.05,0.28,100,0,0,0,8.63,25.35,20.36,16.74,13.67,9.13,4.59,1.36,0.17,49.2,50.8,SEMI URBAN
P.042_N. 04,PULAU PINANG,P.042,TASEK GELUGOR,N. 04,PERMATANG BERANGAN,28519,86.7,6.28,6.63,0.01,0.05,0.04,0.29,99.85,0,0.14,0,7.12,23.28,21.82,17.29,13.93,9.74,4.95,1.64,0.22,48.2,51.8,SEMI URBAN
P.042_N. 05,PULAU PINANG,P.042,TASEK GELUGOR,N. 05,SUNGAI DUA,28100,81.13,16.04,2.39,0,0.17,0.05,0.22,99.85,0,0.15,0,6.85,22.37,21.2,17.76,15.16,10.11,4.91,1.47,0.17,49,51,SEMI URBAN
P.042_N. 06,PULAU PINANG,P.042,TASEK GELUGOR,N. 06,TELOK AYER TAWAR,24784,64.82,23.82,10.13,0.04,0.32,0.38,0.48,90.38,0.02,0.12,9.49,5.01,20.53,24.56,18.74,13.55,10.31,5.46,1.58,0.26,51.3,48.7,SEMI URBAN
P.043_N. 07,PULAU PINANG,P.043,BAGAN,N. 07,SUNGAI PUYU,35904,8.41,83.11,8.11,0,0.12,0.02,0.23,99.99,0.01,0,0,5.29,17.29,19.14,18.73,17.29,13.26,6.67,2.04,0.28,49.7,50.3,URBAN
P.043_N. 08,PULAU PINANG,P.043,BAGAN,N. 08,BAGAN JERMAL,32529,15.98,66.67,16.75,0.01,0.12,0.07,0.4,99.98,0.02,0,0,4.74,16.66,17.61,18.47,17.07,14.21,8.38,2.37,0.5,48.8,51.2,URBAN
P.043_N. 09,PULAU PINANG,P.043,BAGAN,N. 09,BAGAN DALAM,21221,23.04,49.74,26.5,0,0.18,0.04,0.49,99.15,0,0.85,0,3.69,13.64,17.39,16.81,17.87,17.21,9.65,2.76,0.98,49.4,50.6,URBAN
P.044_N. 10,PULAU PINANG,P.044,PERMATANG PAUH,N. 10,SEBERANG JAYA,49215,68.55,18.25,12.11,0.03,0.25,0.13,0.67,98.58,0.01,1.41,0,6.57,21.9,21.4,17.95,14.53,11.38,5.09,1.04,0.13,49,51,URBAN
P.044_N. 11,PULAU PINANG,P.044,PERMATANG PAUH,N. 11,PERMATANG PASIR,30464,75.38,22.08,2.14,0,0.1,0.03,0.27,99.99,0.01,0,0,5.5,18.66,19.52,18.14,17.54,12.44,6.19,1.68,0.32,49.5,50.5,SEMI URBAN
