Pulau Pinang Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BAYAN BARU,PKR,ONG PING CHEOW (ONG PING CHEOW),MALE
,,,
Selangor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
PUCHONG,DAP,WONG CHOONG YUN (C.Y. WONG),MALE
KAPAR,PKR,ANG HIOK GAI (ANG HIOK GAI),MALE
,,,
Wilayah Persekutuan Kuala Lumpur Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SEGAMBUT,DAP,KUAN PERK SIONG (KUAN PERK SIONG),MALE
,,,
Negeri Sembilan Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SEREMBAN,DAP,CHOONG YEN LOONG (CHOONG YEN LOONG),MALE
,,,
Johor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
LABIS,DAP,TEE GEY YAN (TEE GEY YAN),MALE
TANJONG PIAI,DAP,TAN HANG MENG (TAN HANG MENG),MALE
,,,
Sabah Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SANDAKAN,PASOK,LIEW TECK KHEN @ LIAW TECK KING (LIAWTECK KING),MALE
,,,
Sarawak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SARIKEI,INDEPENDENT - CLOCK,NGU TIENG HAI (NGU TIENG HAI),MALE
SARIKEI,INDEPENDENT - KEY,LING BIT TIING (LING BIT TIING),MALE
JULAU,INDEPENDENT - ROOSTER,RANDAN ANAK MAWAT (JOSEPHINE RANDAN MAWAT),MALE
BINTULU,SNAP,LAU HIENG KII (DR. LAU HIENG KII),MALE
