UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA,BA CANDIDATE,BA CANDIDATE SEX,BA CANDIDATE AGE,BA VOTE,BA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 47,PULAU PINANG,P. 47,NIBONG TEBAL,BN - UMNO,,41161,6005,78.75,32413,21,751,31641,UMNO,ZAINAL ABIDIN BIN OSMAN (ZAINAL ABIDIN BIN OSMAN),MALE,44,18823,,PKR,GOH KHENG HUAT (GOH KHENG HUAT),MALE,42,12818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 48,PULAU PINANG,P. 48,BUKIT BENDERA,BN - GERAKAN,,65126,10717,71.93,46843,0,998,45845,GERAKAN,CHIA KWANG CHYE (CHIA KWANG CHYE),MALE,52,28281,,,,,,,,DAP,ZULKIFLI BIN MOHD NOOR (ZULKIFLI NOOR),MALE,56,17564,,,,,,,,,,,,,,,,,,,,,,,,,
P. 49,PULAU PINANG,P. 49,TANJONG,DAP,,57902,4228,68.72,39793,0,717,39076,GERAKAN,OOI SWEE HING (OOI SWEE HING),MALE,,17424,,,,,,,,DAP,CHOW KON YEOW (CHOW KON YEOW),MALE,46,21652,,,,,,,,,,,,,,,,,,,,,,,,,
P. 50,PULAU PINANG,P. 50,JELUTONG,BN - GERAKAN,,59641,7470,73,43538,30,1002,42506,GERAKAN,LEE KAH CHOON (LEE KAH CHOON),MALE,42,24988,,,,,,,,DAP,GOOI SEONG KIN (GOOISEONG KIN),MALE,,17518,,,,,,,,,,,,,,,,,,,,,,,,,
P. 51,PULAU PINANG,P. 51,BUKIT GELUGOR,DAP,,60123,1261,74.21,44618,28,793,43797,MCA,LIM BOO CHANG (LIM BOO CHANG),MALE,,21268,,,,,,,,DAP,KARPAL SINGH A/L RAM SINGH (KARPAL SINGH),MALE,64,22529,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52,PULAU PINANG,P. 52,BAYAN BARU,BN - MCA,,55407,18851,74.03,41020,1,1010,40009,MCA,WONG KAM HOONG (WONG KAM HOONG),MALE,57,29430,,PKR,ONG PING CHEOW (ONG PING CHEOW),MALE,,10579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 53,PULAU PINANG,P. 53,BALIK PULAU,BN - UMNO,,38611,12997,77.24,29825,30,564,29231,UMNO,HILMI BIN YAHAYA (DATO' DR HILMI YAHAYA),MALE,56,21114,,PKR,ROHANA BINTI ARRIFIN (DR.ROHANA ARIFFIN),FEMALE,,8117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 54,PERAK,P. 54,GERIK,BN - UMNO,,24646,8397,75.88,18702,1098,759,16845,UMNO,WAN HASHIM BIN WAN TEH (WAN HASHIM BIN WAN TEH),MALE,,12621,,PAS,RAMLI BIN TUSIN (RAMLI BIN TUSIN),MALE,,4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 55,PERAK,P. 55,LENGGONG,BN - UMNO,,23159,5632,71.38,16531,20,295,16216,UMNO,KHANSIYAH @ KHAMSIYAH BINTI YEOP (KHAMSIYAH YEOP),FEMALE,60,10924,,PAS,ZULKALPELY @ ZULKIFLY BIN ABU (ZULKIFLY BIN ABU),MALE,,5292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56,PERAK,P. 56,LARUT,BN - UMNO,,40150,7608,78.19,31393,78,795,30520,UMNO,RAJA AHMAD ZAINUDDIN BIN RAJA HAJI OMAR (DATO' RAJA HAJI AHMAD ZAINUDDIN),MALE,48,19064,,PAS,KAMARUDIN BIN AWANG BASIR (KAMARUDIN BIN AWANG BASIR),MALE,56,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57,PERAK,P. 57,PARIT BUNTAR,BN - UMNO,,44797,4689,77.16,34567,41,591,33935,UMNO,ABDUL HAMID BIN NGAH @ HJ ZAINAL ABIDIN (DATO' SERI ABDUL HAMID BIN HAJI ZAINAL ABIDIN),MALE,,19312,,PAS,HASAN BIN MOHAMED ALI (DATO' DR HASAN MOHD ALI),MALE,57,14623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 58,PERAK,P. 58,BAGAN SERAI,BN - UMNO,,47745,5618,73.47,35076,54,986,34036,UMNO,DATO' ZAINAL ABIDIN BIN ZIN (DATO' ZAINAL ABIDIN BIN ZIN),MALE,,19827,,PAS,AHMAD BIN AWANG (USTAZ HJ AHMAD BIN AWANG),MALE,68,14209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 59,PERAK,P. 59,BUKIT GANTANG,BN - GERAKAN,,53880,8888,71.72,38642,56,886,37700,GERAKAN,TAN LIAN HOE (TAN LIAN HOE),FEMALE,,23294,,PAS,LO' LO' BINTI HJ. MOHAMED GHAZALI (DR. LO' LO' BINTI DATO' GHAZALI),FEMALE,47,14406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 60,PERAK,P. 60,TAIPING,BN - PPP,,65046,2172,68.91,44821,1027,1337,42457,PPP,DATUK M. KAYVEAS (DATUK M. KAYVEAS),MALE,,20129,,PKR,ANNAH DORAI A/L PAKIRI (JM. ANNA DORAAI),MALE,,4371,LOST DEPOSIT,DAP,ONG CHEE KENG (ONG CHEE KENG),MALE,,17957,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61,PERAK,P. 61,PADANG RENGAS,BN - UMNO,,24863,5563,72.93,18132,46,419,17667,UMNO,MOHAMED NAZRI BIN ABDUL AZIZ (DATO' SERI MOHAMED NAZRI ABDUL AZIZ),MALE,50,11615,,PKR,MOHAMAD ZOLKAFLY BIN YAHAYA (MOHAMAD ZOLKAFLY BIN YAHAYA),MALE,,6052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 62,PERAK,P. 62,SUNGAI SIPUT,BN - MIC,,46783,10349,67.51,31583,57,927,30599,MIC,S SAMY VELLU A/L SANGALIMUTHU (DATO S SAMY VELLU),MALE,68,19029,,PKR,MICHAEL JEYAKUMAR DEVARAJ (DR KUMAR),MALE,49,8680,,DAP,SANMUGAM PONMUGAM PONNAN (PONMUGAM),MALE,65,2890,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 63,PERAK,P. 63,TAMBUN,BN - UMNO,,65219,17360,72.94,47571,3,1280,46288,UMNO,AHMAD HUSNI BIN MOHAMAD HANADZLAH (DATO' HAJI HUSNI HANADZLAH),MALE,52,31824,,PAS,KHAIRUDDIN BIN ABD MALIK (DR HAJI KHAIRUDDIN BIN HAJI ABD MALIK),MALE,,14464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 64,PERAK,P. 64,IPOH TIMOR,DAP,,73333,9774,67.06,49175,314,933,47928,MCA,THONG FAH CHONG (THONG FAH CHONG),MALE,,19077,,,,,,,,DAP,LIM KIT SIANG (LIM KIT SIANG),MALE,63,28851,,,,,,,,,,,,,,,,,,,,,,,,,
P. 65,PERAK,P. 65,IPOH BARAT,DAP,,68394,598,68.38,46768,481,1015,45272,MCA,HO CHEONG SING (HO CHEONG SING),MALE,54,22337,,,,,,,,DAP,M. KULASEGARAN A/L V. MURUGESON (M. KULA),MALE,47,22935,,,,,,,,,,,,,,,,,,,,,,,,,
P. 66,PERAK,P. 66,BATU GAJAH,DAP,,73148,8033,69.66,50952,235,1056,49661,MCA,ONG KA CHUAN (ONG KA CHUAN),MALE,,20814,,,,,,,,DAP,FONG PO KUAN (FONG PO KUAN),FEMALE,32,28847,,,,,,,,,,,,,,,,,,,,,,,,,
P. 67,PERAK,P. 67,KUALA KANGSAR,BN - UMNO,,28391,6236,71.25,20229,126,373,19730,UMNO,RAFIDAH AZIZ (RAFIDAH AZIZ),FEMALE,61,12983,,PAS,MOHD NIZAR BIN JAMALUDDIN (IR. HJ. MOHD NIZAR JAMALUDDIN),MALE,47,6747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 68,PERAK,P. 68,BERUAS,BN - GERAKAN,,42173,4564,67.17,28328,56,1102,27170,GERAKAN,LIM KENG YAIK (DATO' SERI DR. LIM KENG YAIK),MALE,65,15867,,,,,,,,DAP,NGA HOCK CHEH (NGAHOCK CHEH),MALE,,11303,,,,,,,,,,,,,,,,,,,,,,,,,
P. 69,PERAK,P. 69,PARIT,BN - UMNO,,28916,4696,74.46,21532,129,483,20920,UMNO,NASARUDIN BIN HASHIM (NASARUDIN HASHIM),MALE,55,12808,,PAS,MUHAMMAD ISMI BIN MAT TAIB (USTAZ HJ. MUHAMMAD ISMI BIN HJ. MAT TAIB),MALE,30,8112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 70,PERAK,P. 70,KAMPAR,BN - MCA,,60874,9490,63.1,38413,103,1542,36768,MCA,HEW SEE TONG (HEW SEE TONG),MALE,73,23129,,,,,,,,DAP,LIEW AH KIM (LIEW AH KIM),MALE,66,13639,,,,,,,,,,,,,,,,,,,,,,,,,
P. 71,PERAK,P. 71,GOPENG,BN - MCA,,68466,14782,69.47,47566,233,1491,45842,MCA,TING CHEW PEH (TING CHEW PEH),MALE,,30312,,PKR,LEE BOON CHYE (DR LEE BOON CHYE),MALE,45,15530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 72,PERAK,P. 72,TAPAH,BN - MIC,,38899,9586,66.02,25681,421,956,24304,MIC,VEERASINGAM A/L SUPPIAH (DATO S. VEERASINGAM),MALE,63,16945,,PAS,AHMAD RAZI BIN OTHMAN (DR RAZI),MALE,,7359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 73,PERAK,P. 73,PASIR SALAK,BN - UMNO,,42959,8547,72.88,31310,94,919,30297,UMNO,RAMLI BIN NGAH TALIB (RAMLI BIN NGAH TALIB),MALE,63,19422,,PAS,MUHAIMIN BIN SULAM (MUHAIMIN BIN SULAM),MALE,40,10875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 74,PERAK,P. 74,LUMUT,BN - MCA,,68522,11614,73.23,50179,5486,1477,43216,MCA,KONG CHO HA (KONG CHO HA),MALE,,27415,,PKR,MUSTAFFA KAMIL BIN AYUB (MUSTAFFA KAMIL AYUB),MALE,,15801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 75,PERAK,P. 75,BAGAN DATOK,BN - UMNO,,34182,12539,66.38,22690,54,1077,21559,UMNO,AHMAD ZAHID BIN HAMIDI (DATO' AHMAD ZAHID HAMIDI),MALE,51,17049,,PKR,AYYATHURAI A/L ACHUTHARAMAN (A. AYYATHURAI),MALE,,4510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 76,PERAK,P. 76,TELOK INTAN,BN - GERAKAN,,53063,10041,66.11,35082,83,1172,33827,GERAKAN,MAH SIEW KEONG (MAH SIEW KEONG),MALE,43,18870,,PKR,GOBALAKRISHNAN A/L NAGAPAN (N. GOBALAKRISHNAN),MALE,,6128,,DAP,WU HIM WEN (WU HIM WEN),MALE,,8829,,,,,,,,,,,,,,,,,,,,,,,,,
P. 77,PERAK,P. 77,TANJONG MALIM,BN - MCA,,52743,14693,66.88,35273,117,1283,33873,MCA,DATO' LOKE YUEN YOW (DATO' LOKE YUEN YOW),MALE,52,24283,,PKR,SHAMSUDDIN BIN ABD RAHMAN (SHAMSUDDIN BIN ABD RAHMAN),MALE,,9590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 78,PAHANG,P. 78,CAMERON HIGHLANDS,BN - MIC,,23061,6260,65.92,15202,0,1010,14192,MIC,DEVAMANY A/L S. KRISHNASAMY (S.K. DEVAMANY),MALE,47,10226,,,,,,,,DAP,APALASAMY A/L JATALIAH (J. APALASAMY),MALE,,3966,,,,,,,,,,,,,,,,,,,,,,,,,
P. 79,PAHANG,P. 79,LIPIS,BN - UMNO,,28083,7624,74.33,20875,231,528,20116,UMNO,MOHAMAD SHAHRUM BIN OSMAN (MOHAMAD SHAHRUM BIN OSMAN),MALE,51,13870,,PAS,MOHD ZAI BIN MUSTAFA (MOHD ZAI MUSTAFA),MALE,,6246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 80,PAHANG,P. 80,RAUB,BN - MCA,,44523,9822,73.09,32540,75,1343,31122,MCA,OEI YANG YANG @ NG YEN YEN (DATO' DR. NG YEN YEN),FEMALE,,20472,,,,,,,,DAP,CHOONG SIEW ONN (CHOONG SIEW ONN),MALE,36,10650,,,,,,,,,,,,,,,,,,,,,,,,,
P. 81,PAHANG,P. 81,JERANTUT,BN - UMNO,,46059,8457,79.12,36444,1427,776,34241,UMNO,TENGKU AZLAN IBNI SULTAN ABU BAKAR (TENGKU AZLAN IBNI SULTAN ABU BAKAR),MALE,57,21349,,PAS,HAMZAH BIN JAFFAR (DR. HAMZAH JAAFFAR),MALE,,12892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 82,PAHANG,P. 82,INDERA MAHKOTA,BN - UMNO,,47455,14229,78.59,37296,370,801,36125,UMNO,ADNAN BIN WAN MAMAT (DATO' WAN ADNAN BIN MAMAT),MALE,44,25177,,PKR,MOHD RAMLY @ DZULKIFLI BIN ISMAIL (CIK GU DZULKIFLI B ISMAIL),MALE,,10948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 83,PAHANG,P. 83,KUANTAN,BN - MCA,,45935,9147,74.65,34290,246,543,33501,MCA,FU AH KIOW @ OH (FU) SOON GUAN (DATO' FU AH KIOW),MALE,55,21324,,PKR,FUZIAH BINTI SALLEH (FUZIAH SALLEH),FEMALE,45,12177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 84,PAHANG,P. 84,PAYA BESAR,BN - UMNO,,37440,12518,77.46,29001,7,564,28430,UMNO,SITI ZAHARAH BINTI SULAIMAN (DATO' SRI DR. HAJJAH SITI ZAHARAH SULAIMAN),FEMALE,55,20474,,PKR,SAARI BIN SUNGIB (HJ. SAARI HJ. SUNGIB),MALE,47,7956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 85,PAHANG,P. 85,PEKAN,BN - UMNO,,52687,22922,77.91,41046,0,56,40990,UMNO,MOHD NAJIB BIN HJ ABD RAZAK (NAJIB TUN RAZAK),MALE,51,31956,,PAS,ZAKARIA BIN DAHLAN (BRIG. JEN (B) DATO' ZAKARIA),MALE,,9034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 86,PAHANG,P. 86,MARAN,BN - UMNO,,31860,7242,78.19,24910,133,569,24208,UMNO,ISMAIL BIN ABD. MUTTALIB (HAJI ISMAIL ABD. MUTTALIB),MALE,50,15725,,PAS,TUAN IBRAHIM BIN TUAN MAN (USTAZ DATO' TUAN IBRAHIM BIN TUAN MAN),MALE,44,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 87,PAHANG,P. 87,KUALA KRAU,BN - UMNO,,31404,7351,80.31,25220,42,487,24691,UMNO,ISMAIL BIN MOHAMED SAID (HAJI ISMAIL BIN HAJI MOHAMED SAID),MALE,39,16021,,PAS,MUSANIFF BIN AB. RAHMAN (MUSANIFF BIN AB. RAHMAN),MALE,,8670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 88,PAHANG,P. 88,TEMERLOH,BN - UMNO,,49984,12607,75.11,37543,0,884,36659,UMNO,MOHD SARIT BIN HJ YUSOH (DATO' HAJI SARIT BIN HAJI YUSOH),MALE,53,24633,,PAS,IDRIS BIN OMAR (USTAZ IDRIS BIN OMAR),MALE,69,12026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 89,PAHANG,P. 89,BENTONG,BN - MCA,,52665,16839,73.46,38689,240,1000,37449,MCA,LIOW TIONG LAI (LIOW TIONG LAI),MALE,43,27144,,,,,,,,DAP,ABU BAKAR BIN LEBAI SUDIN (ABU BAKAR LEBAI SUDIN),MALE,63,10305,,,,,,,,,,,,,,,,,,,,,,,,,
P. 90,PAHANG,P. 90,BERA,BN - UMNO,,40631,4982,76.53,31096,27,907,30162,UMNO,ISMAIL SABRI BIN YAAKOB,MALE,44,17572,,PAS,AB WAHAB BIN ISMAIL (DR. ABDUL WAHAB ISMAIL),MALE,50,12590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 91,PAHANG,P. 91,ROMPIN,BN - UMNO,,38319,9350,78.85,30215,0,847,29368,UMNO,JAMALUDIN BIN JARJIS (DATO' DR JAMALUDIN BIN JARJIS),MALE,53,19359,,PAS,SUKRI BIN AHMAD (USTAZ HAJI SUKRI BIN HAJI AHMAD),MALE,,10009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 92,SELANGOR,P. 92,SABAK BERNAM,BN - UMNO,,30862,5348,74.81,23087,7,776,22304,UMNO,MAT YASIR BIN IKHSAN (DATO' MAT YASIR),MALE,57,13826,,PKR,BADRUL AMIN BIN BAHRON (DR. BADRUL AMIN),MALE,,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 93,SELANGOR,P. 93,SUNGAI BESAR,BN - UMNO,,31001,7349,77.8,24120,0,795,23325,UMNO,NORIAH BINTI KASNON (NORIAH BINTI KASNON),FEMALE,40,15337,,PAS,SALLEHEN BIN MUKHYI (USTAZ SALLEHEN MUKHYI),MALE,37,7988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 94,SELANGOR,P. 94,HULU SELANGOR,BN - MIC,,58533,14483,72.77,42592,55,1406,41131,MIC,PALANIVEL A/L K. GOVINDASAMY (DATO' G. PALANIVEL),MALE,55,27807,,PAS,ISMAIL BIN KAMUS (USTAZ DATO' ISMAIL BIN KAMUS),MALE,,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 95,SELANGOR,P. 95,TANJONG KARANG,BN - UMNO,,35816,9008,75.93,27196,0,704,26492,UMNO,DATO' NOH BIN OMAR (DATO' NOH BIN OMAR),MALE,46,17750,,PAS,ABDUL GHANI BIN SAMSUDIN (ABDUL GHANI BIN SAMSUDIN),MALE,,8742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 96,SELANGOR,P. 96,KUALA SELANGOR,BN - UMNO,,41712,13662,74.87,31231,25,866,30340,UMNO,MOHD DAUD BIN TARIHEP (MOHD DAUD BIN TARIHEP),MALE,52,22001,,PKR,RAJA KAMARUDDIN BIN RAJA AB WAHID (RAJA KAMARUDDIN BIN RAJA AB WAHID),MALE,55,8339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 97,SELANGOR,P. 97,SELAYANG,BN - MCA,,71152,23226,71.72,51033,129,1444,49460,MCA,CHAN KONG CHOY (DATO' SRI CHAN KONG CHOY),MALE,49,36343,,PKR,KOH SWE YONG (KOH SWE YONG),MALE,,13117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 98,SELANGOR,P. 98,GOMBAK,BN - UMNO,,92225,13207,73.04,67358,134,691,66533,UMNO,RAMAN BIN ISMAIL (DR. RAHMAN ISMAIL),MALE,,39870,,PAS,MOHD HATTA BIN MD RAMLI (DR HATTA RAMLI),MALE,48,26663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 99,SELANGOR,P. 99,AMPANG,BN - UMNO,,66626,19732,71.26,47479,73,710,46696,UMNO,ROZAIDAH BINTI TALIB (DR ROZAIDAH BINTI TALIB),FEMALE,41,33214,,PKR,DR XAVIER JAYAKUMAR A/L ARULNANDAM (DR A.X. JAYAKUMAR),MALE,51,13482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 100,SELANGOR,P. 100,PANDAN,BN - MCA,,57884,14112,69.15,40024,62,632,39330,MCA,ONG TEE KEAT (DATUK ONG TEE KEAT),MALE,48,26721,,PAS,ISKANDAR BIN ABDUL SAMAD (ISKANDAR A.SAMAD),MALE,,12609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 101,SELANGOR,P. 101,HULU LANGAT,BN - UMNO,,79999,22777,76.51,61209,487,1625,59097,UMNO,MARKIMAN BIN KOBIRAN (MARKIMAN BIN KOBIRAN),MALE,47,40937,,PAS,DATUK YEOP ADLAN BIN CHE ROSE (DATUK YEOP ADLAN),MALE,61,18160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 102,SELANGOR,P. 102,SERDANG,BN - MCA,,78837,11280,75.92,59850,102,2038,57710,MCA,DATO' YAP PIAN HON (DATO' YAP PIAN HON),MALE,61,34495,,,,,,,,DAP,WONG KOK YEW (WONG KOK YEW),MALE,,23215,,,,,,,,,,,,,,,,,,,,,,,,,
P. 103,SELANGOR,P. 103,PUCHONG,BN - GERAKAN,,59694,11882,67.84,40496,78,533,39885,GERAKAN,LAU YENG PENG (LAU YENG PENG),MALE,,21291,,PAS,AZMI BIN JAMION @ JEMINGON (DR. HJ AZMI BIN HJ JAMION),MALE,,9409,,DAP,WONG CHOONG YUN (C.Y. WONG),MALE,,9185,,,,,,,,,,,,,,,,,,,,,,,,,
P. 104,SELANGOR,P. 104,KELANA JAYA,BN - MCA,,72518,21571,70.06,50803,55,627,50121,MCA,LOH SENG KOK (LOH SENG KOK),MALE,42,35846,,PKR,SYED SHAHIR BIN SYED MOHAMUD (SYED SHARIR),MALE,52,14275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 105,SELANGOR,P. 105,PETALING JAYA SELATAN,BN - MCA,,73503,21416,67.67,49738,38,1008,48692,MCA,LIM SIANG CHAI (DONALD LIM SIANG CHAI),MALE,47,35054,,PKR,SIVARASA A/L K. RASIAH (SIVARASA RASIAH),MALE,48,13638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 106,SELANGOR,P. 106,PETALING JAYA UTARA,BN - MCA,,75935,13043,69.09,52460,40,619,51801,MCA,CHEW MEI FUN (CHEW MEI FUN),FEMALE,39,32422,,,,,,,,DAP,LIU TIAN KHIEW (RONNIE LIU TIAN KHIEW),MALE,46,19379,,,,,,,,,,,,,,,,,,,,,,,,,
P. 107,SELANGOR,P. 107,SUBANG,BN - MIC,,68739,15460,75.67,52017,532,1063,50422,MIC,KARNAIL SINGH NIJHAR A/L AMAR SINGH (TAN SRI DATO' DR. K.S. NIJHAR),MALE,68,32941,,PKR,MOHD NASIR BIN HASHIM (DR. NASIR HASHIM),MALE,57,17481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 108,SELANGOR,P. 108,SHAH ALAM,BN - UMNO,,69170,13410,75.66,52336,213,699,51424,UMNO,ABDUL AZIZ BIN SHAMSUDDIN (ABDUL AZIZ BIN SHAMSUDDIN),MALE,66,32417,,PAS,KHALID BIN ABD SAMAD (HAJI KHALID ABD SAMAD),MALE,47,19007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 109,SELANGOR,P. 109,KAPAR,BN - MIC,,104185,14588,72.74,75789,7,2356,73426,MIC,KOMALA DEVI A/P M PERUMAL (KOMALA DEVI),FEMALE,,44007,,PKR,ANG HIOK GAI (ANG HIOK GAI),MALE,,29419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 110,SELANGOR,P. 110,KLANG,BN - MCA,,74062,13281,70.57,52265,55,1215,50995,MCA,DATIN PADUKA TAN YEE KEW (DATIN PADUKA TAN YEE KEW),FEMALE,51,32138,,,,,,,,DAP,DR WONG ANG PENG (DR WONG ANG PENG),MALE,,18857,,,,,,,,,,,,,,,,,,,,,,,,,
P. 111,SELANGOR,P. 111,KOTA RAJA,BN - MIC,,58374,8239,76.67,44758,10,627,44121,MIC,S. VIGNESWARAN A/L M. SANASEE (S A. VIGNESWARAN),MALE,39,24376,,PAS,DR. HJH. SITI MARIAH BINTI MAHMUD (DR. MARIAH MAHMUD),FEMALE,47,16137,,,,,,,,,,,,,,,KRISNASAMY A/L THEVARAYAN (T. KRISNASAMY),MALE,,3608,LOST DEPOSIT,,,,,,,,,,,,
P. 112,SELANGOR,P. 112,KUALA LANGAT,BN - UMNO,,63151,21495,77.11,48694,566,1387,46741,UMNO,SHAFIE BIN MOHD SALLEH (DATO' DR. SHAFIE BIN MOHD SALLEH),MALE,58,34118,,PKR,ZULKIFLI BIN NOORDIN (ZULKIFLI NOORDIN),MALE,,12623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 113,SELANGOR,P. 113,SEPANG,BN - UMNO,,58296,18837,73.85,43054,66,315,42673,UMNO,MOHD ZIN BIN MOHAMED (DATO' IR. HJ. MOHD ZIN BIN MOHAMED),MALE,50,30755,,PAS,MOHAMED MAKKI BIN AHMAD (IR MOHD MAKKI AHMAD),MALE,,11918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 114,KEPONG,DAP,,60273,1854,74.59,44956,34,212,44710,GERAKAN,MA WOEI CHYI (MA WOEI CHYI),MALE,,21428,,,,,,,,DAP,DR. TAN SENG GIAW (DR. TAN SENG GIAW),MALE,62,23282,,,,,,,,,,,,,,,,,,,,,,,,,
P. 115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 115,BATU,BN - GERAKAN,,67652,11517,68.33,46228,0,309,45919,GERAKAN,NG LIP YONG @ NG LIP SAT (NG LIP YONG),MALE,,28718,,PKR,CHUA TIAN CHANG (TIAN CHUA),MALE,41,17201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 116,WANGSA MAJU,BN - MCA,,50682,10185,73.51,37254,829,340,36085,MCA,YEW TEONG LOOK (YEW TEONG LOOK),MALE,48,23135,,PKR,SAHRI BIN BAHARI (IR. HJ. SAHRI BAHARI),MALE,,12950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 117,SEGAMBUT,BN - GERAKAN,,57349,16968,70.2,40261,467,640,39154,GERAKAN,TAN KEE KWONG (DR. TAN KEE KWONG),MALE,57,28061,,,,,,,,DAP,KUAN PERK SIONG (KUAN PERK SIONG),MALE,,11093,,,,,,,,,,,,,,,,,,,,,,,,,
