UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA,BA CANDIDATE,BA CANDIDATE SEX,BA CANDIDATE AGE,BA VOTE,BA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 11,KEDAH,P. 11,PENDANG,BA - PAS,,57180,50,86.03,49193,0,383,48810,UMNO,MD ROZAI BIN SHAFIAN (MD ROZAI BIN SHAFIAN),MALE,49,24380,,PAS,MOHD HAYATI BIN OTHMAN (DR. MOHD HAYATI BIN OTHMAN),MALE,,24430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12,KEDAH,P. 12,JERAI,BN - UMNO,,63886,10405,79.7,50918,0,1015,49903,UMNO,BADRUDDIN BIN AMIRULDIN (DATO' PADUKA HJ. BADRUDDIN BIN AMILRUDIN),MALE,54,30154,,PAS,CHE DIN BIN ARSHAD (HAJI CHE BIN ARSHAD),MALE,,19749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13,KEDAH,P. 13,SIK,BN - UMNO,,37036,319,85.54,31682,0,1287,30395,UMNO,WAN AZMI BIN ARIFFIN (DATO' HAJI WAN AZMI ARIFFIN),MALE,,15357,,PAS,AZIZAN BIN ABDUL RAZAK (USTAZ AZIZAN HJ. ABD RAZAK),MALE,,15038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14,KEDAH,P. 14,MERBOK,BN - UMNO,,57922,15445,77.66,44981,70,1142,43769,UMNO,ZAINUDDIN BIN MAIDIN (ZAINUDDIN BIN MAIDIN),MALE,65,29607,,PKR,SAIFUL IZHAM BIN RAMLI (SAIFUL IZHAM),MALE,,14162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15,KEDAH,P. 15,SUNGAI PETANI,BN - UMNO,,70920,17502,78.45,55639,0,1007,54632,UMNO,MAHADZIR BIN MOHD KHIR (DATO' MAHADZIR BIN MOHD KHIR),MALE,59,36067,,PKR,ZAMRI BIN YUSUF (IR. ZAMRI YUSUF),MALE,,18565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16,KEDAH,P. 16,BALING,BN - UMNO,,74698,4229,83.27,62202,0,1109,61093,UMNO,MASHITAH BINTI IBRAHIM (DR MASHITAH IBRAHIM),FEMALE,40,32661,,PAS,TAIB AZMUDDEN BIN MD. TAIB (UST. TAIB AZAMUDDEN BIN MD. TAIB),MALE,,28432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17,KEDAH,P. 17,PADANG SERAI,BN - MCA,,53925,10316,80.31,43307,10,1075,42222,MCA,LIM BEE KAU (LIM BEE KAU),FEMALE,48,26269,,PKR,SAIFUDDIN NASUTION BIN ISMAIL (SAIFUDDIN NASUTION),MALE,,15953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 18,KEDAH,P. 18,KULIM-BANDAR BAHARU,BN - UMNO,,50024,7998,77.54,38789,494,1181,37114,UMNO,ABDUL KADIR BIN HJ. SHEIKH FADZIR (DATO' PADUKA ABDUL KADIR BIN HJ. SHEIKH FADZIR),MALE,65,22556,,PKR,ALWI BIN MOHD YUSOP,MALE,,14558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19,KELANTAN,P. 19,TUMPAT,BA - PAS,,70810,1820,77.8,55090,0,1072,54018,UMNO,MAT NAWAWI BIN MAT JUSOH (CIK GU MAT NAWI),MALE,60,26099,,PAS,KAMARUDIN BIN JAFFAR (DATO' HJ KAMARUDIN JAFFAR),MALE,53,27919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,BA - PAS,,44844,6222,80.58,36135,297,818,35020,UMNO,NIK MOHD ZAIN BIN HAJI OMAR (DATUK DR NIK MOHD ZAIN),MALE,60,14399,,PAS,AB. HALIM BIN AB. RAHMAN (DATO' AB. HALIM AB. RAHMAN),MALE,64,20621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 21,KELANTAN,P. 21,KOTA BHARU,BN - UMNO,,61409,1723,76.06,46707,0,768,45939,UMNO,MOHD ZAID BIN IBRAHIM (DATUK ZAID IBRAHIM),MALE,53,23831,,PKR,NIK MAHMOOD BIN NIK HASSAN (HAJI NIK MAHMOOD HAJI NIK HASSAN),MALE,,22108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22,KELANTAN,P. 22,PASIR MAS,BA - PAS,,52771,1251,78.44,41395,0,1396,39999,UMNO,ABDUL RAHIM BIN ABDUL RAHMAN (DATO HJ ABDUL RAHIM BIN HJ ABDUL RAHMAN),MALE,65,16275,,PAS,ISMAIL BIN NOH (USTAZ HJ ISMAIL NOH),MALE,,17526,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,IBRAHIM BIN ALI (DATO' HAJI IBRAHIM ALI),MALE,53,6198,,,,,,,,,,,,,
P. 23,KELANTAN,P. 23,RANTAU PANJANG,BA - PAS,,40956,732,73.46,30088,65,701,29322,UMNO,MOHD DAUD BIN HAMAT (MOHD DAUD),MALE,45,14295,,PAS,ABDUL FATAH BIN HARON (HJ. ABDUL FATAH BIN HJ. HARON),MALE,,15027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 24,KELANTAN,P. 24,KUBANG KERIAN,BA - PAS,,47148,5627,81.57,38458,0,1225,37233,UMNO,AHMAD RUSLI BIN IBERAHIM (DATO' HJ AHMAD RUSLI BIN IBERAHIM),MALE,47,15803,,PAS,SALAHUDDIN BIN AYUB (SALAHUDDIN BIN AYUB),MALE,43,21430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25,KELANTAN,P. 25,BACHOK,BN - UMNO,,55319,1567,83.76,46335,327,893,45115,UMNO,AWANG ADEK BIN HUSSIN (DATO' AWANG ADEK),MALE,49,23341,,PAS,WAN NIK BIN WAN YUSSOF (CIKGU WAN NIK),MALE,44,21774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26,KELANTAN,P. 26,KETEREH,BN - UMNO,,46493,2888,82.13,38187,276,751,37160,UMNO,MD ALWI BIN CHE AHMAD (HAJI ALWI),MALE,48,20024,,PKR,MUHAMAD BIN MUSTAFA (UST. MAT MUSTAFFA),MALE,46,17136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
