UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA,BA CANDIDATE,BA CANDIDATE SEX,BA CANDIDATE AGE,BA VOTE,BA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPDENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P. 170_N. 11,SABAH,P. 170,TUARAN,N. 11,KIULU,BN - PBS,,9461,2279,66.69,6310,1,186,6123,PBS,DATUK LOVIS RAMPAS,MALE,,3712,,,,,,,,PASOK,GAIBIN BIN RANSOI,MALE,,978,,,,,,,,,,,,,,INDEPENDENT - CLOCK,JOISIN ROMUT,MALE,,1433,,,,,,,,,,,,,,,,,,,
P. 171_N. 12,SABAH,P. 171,SEPANGGAR,N. 12,KARAMBUNAI,BN - UMNO,,16757,2526,62.64,10497,2,301,10194,UMNO,DATIN SAIDATUL BADRU BINTI TUN MOHD SAID,FEMALE,,6360,,PKR,JAINAB BTE AHMAD,FEMALE,,3834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 13,SABAH,P. 171,SEPANGGAR,N. 13,INANAM,BN - PBS,,17770,3731,65.25,11595,36,282,11277,PBS,JOHNNY GOH CHIN LOK,MALE,,6413,,,,,,,,PASOK,REJOLIN BIN JOHN,MALE,,171,LOST DEPOSIT,BERSEKUTU,LEE YUN FEN,MALE,,198,LOST DEPOSIT,DAP,HIEW KING CHEU,MALE,,2682,,INDEPENDENT - BOOK,JAMES LEE KUAN HOH,MALE,,1813,,,,,,,,,,,,,,,,,,,
P. 172_N. 14,SABAH,P. 172,KOTA KINABALU,N. 14,LIKAS,BN - SAPP,,15182,3993,57.52,8733,20,134,8579,SAPP,LIEW TECK CHAN,MALE,,6286,,PKR,KONG YU KIONG,MALE,,2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172_N. 15,SABAH,P. 172,KOTA KINABALU,N. 15,API-API,BN - PBS,,11369,2933,56.44,6417,0,70,6347,PBS,DR. YEE MOH CHAI,MALE,,4640,,,,,,,,,,,,,,,,,,,,DAP,FUNG KONG WIN,MALE,,1707,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172_N. 16,SABAH,P. 172,KOTA KINABALU,N. 16,LUYANG,BN - SAPP,,16570,2254,59.42,9846,31,139,9676,SAPP,MELANIE CHIA CHUI KET,FEMALE,,5965,,PKR,CHRISTINA LIEW,FEMALE,,3711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 173_N. 17,SABAH,P. 173,PUTATAN,N. 17,TANJONG ARU,BN - PBS,,19152,4909,56.05,10735,23,255,10457,PBS,IR. EDWARD YONG OUI FAH,MALE,,6904,,PKR,AWANG AHMAD SAH,MALE,,1995,,PASOK,FOO AH ONONG @ ONONG BIN OTONG,MALE,,118,LOST DEPOSIT,,,,,,,DAP,CHONG YAN FAH @ STEPHEN,MALE,,1440,,,,,,,,,,,,,,,,,,,,,,,,,
P. 173_N. 18,SABAH,P. 173,PUTATAN,N. 18,PETAGAS,BN - UMNO,,14971,4221,68.62,10273,699,179,9395,UMNO,YAHYA HUSSAIN,MALE,,6808,,,,,,,,,,,,,,BERSEKUTU,SALLEH BIN TIASI,MALE,,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 174_N. 19,SABAH,P. 174,PENAMPANG,N. 19,KAPAYAN,BN - MCA,,18393,3193,63.98,11768,0,274,11494,MCA,KHOO KEOK HAI,MALE,,5472,,PKR,LIAW CHIN SIN,MALE,,482,LOST DEPOSIT,PASOK,YEE CHEE MING @ TOMMY,MALE,,88,LOST DEPOSIT,BERSEKUTU,EDMUNDO APINES,MALE,,87,LOST DEPOSIT,DAP,KOK THAU LIN,MALE,,1391,LOST DEPOSIT,INDEPENDENT - TELEPHONE,YUNOF MARINGKING,MALE,,2279,,INDEPENDENT - CHAIR,EDMUND JIVOL DOUDILIM,MALE,,1201,LOST DEPOSIT,INDEPENDENT - UMBRELLA,STEPHEN J. JIMBANGAN,MALE,,494,LOST DEPOSIT,,,,,,
P. 174_N. 20,SABAH,P. 174,PENAMPANG,N. 20,MOYOG,BN - UPKO,,14439,2568,68.96,9957,0,179,9778,UPKO,PHILIP B. LASIMBANG,MALE,,5692,,,,,,,,PASOK,ELSIE CLEFTUS MOJINGOL,FEMALE,,202,LOST DEPOSIT,,,,,,,DAP,JOMILON MOJUNTIN @ CONRAD MOJUNTIN,MALE,,760,LOST DEPOSIT,INDEPENDENT - BOOK,MORIS @ FRANCIS MIJI,MALE,,3124,,,,,,,,,,,,,,,,,,,
P. 175_N. 21,SABAH,P. 175,PAPAR,N. 21,KAWANG,BN - UMNO,,14624,6279,70.43,10300,11,142,10147,UMNO,GULAM HAIDAR BIN KHAN BAHADAR,MALE,,8213,,,,,,,,PASOK,MAIJI JAIGUL,MALE,,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 175_N. 22,SABAH,P. 175,PAPAR,N. 22,PANTAI MANIS,BN - UMNO,Y,16651,,,,,,,UMNO,ABDUL RAHIM BIN ISMAIL,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 176_N. 23,SABAH,P. 176,KIMANIS,N. 23,BONGAWAN,BN - UMNO,,12113,805,70.03,8483,209,191,8083,UMNO,KARIM BIN BUJANG,MALE,,4444,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,MD. HARRIS MD. TAHIR,MALE,,3639,,,,,,,,,,,,,,,,,,,
P. 176_N. 24,SABAH,P. 176,KIMANIS,N. 24,MEMBAKUT,BN - UMNO,,9463,1743,70.29,6652,240,149,6263,UMNO,MOHD. ARIFIN BIN MOHD. ARIF,MALE,,4003,,PKR,HJ. AWANG TENGAH BIN AG. AMIN,MALE,,2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 25,SABAH,P. 177,BEAUFORT,N. 25,KLIAS,BN - UMNO,Y,13899,,,,,,,UMNO,LAJIM BIN UKIM,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 26,SABAH,P. 177,BEAUFORT,N. 26,KUALA PENYU,INDEPENDENT - UMBRELLA,,12562,2018,74.34,9338,0,101,9237,UPKO,DATUK WENCES ANGANG,MALE,,3139,,,,,,,,,,,,,,,,,,,,SETIA,GUAN DEE BIN KOH HOI,MALE,,308,LOST DEPOSIT,INDEPENDENT - UMBRELLA,JOHAN @ CHRISTOPHER BIN O T GHANI,MALE,,5157,,INDEPENDENT - TRACTOR,SAMAN,MALE,,633,LOST DEPOSIT,,,,,,,,,,,,
P. 178_N. 27,SABAH,P. 178,SIPITANG,N. 27,LUMADAN,BN - UMNO,,10883,999,70.53,7676,0,137,7539,UMNO,SURINAM HAJI SADIKUN,MALE,,4269,,,,,,,,,,,,,,,,,,,,SETIA,DOJIT BIN MUDA,MALE,,3270,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 28,SABAH,P. 178,SIPITANG,N. 28,SINDUMIN,BN - UMNO,,12659,1668,68.75,8703,10,65,8628,UMNO,SAPAWI HJ. AHMAD,MALE,,5073,,,,,,,,,,,,,,BERSEKUTU,SUMAYUNG USING,MALE,,150,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,HAJI RAMLE DUA,MALE,,3405,,,,,,,,,,,,,,,,,,,
P. 179_N. 29,SABAH,P. 179,RANAU,N. 29,KUNDASANG,BN - PBS,,8683,1997,68.31,5931,0,223,5708,PBS,DR JOACHIM GUNSALAM,MALE,,3091,,PKR,ASIDIN BIN TEILOK,MALE,,448,LOST DEPOSIT,,,,,,,,,,,,,SETIA,KAIBI BIN LAIMAN,MALE,,1094,,INDEPENDENT - OIL PALM,ARIMIN BIN MOIDI,MALE,,1075,,,,,,,,,,,,,,,,,,,
P. 179_N. 30,SABAH,P. 179,RANAU,N. 30,KARANAAN,BN - UMNO,,10664,6106,68.9,7347,15,146,7186,UMNO,DATUK MASIDI MANJUN,MALE,,6519,,,,,,,,,,,,,,,,,,,,SETIA,SUTIAN @ PHOULUS BIN KENDILONG,MALE,,254,LOST DEPOSIT,INDEPENDENT - ROOSTER,MOHD MIAN BIN MOHD ALI,MALE,,413,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 179_N. 31,SABAH,P. 179,RANAU,N. 31,PAGINATAN,BN - UPKO,,8639,1551,71.17,6148,1,168,5979,UPKO,DATUK EWON EBIN,MALE,,3224,,,,,,,,,,,,,,,,,,,,SETIA,HENDRY WAN KAUTING @ WEN,MALE,,76,LOST DEPOSIT,INDEPENDENT - CHAIR,JANIMIN SALIUN,MALE,,1673,,INDEPENDENT - CLOCK,RAMDI BIN INDANG,MALE,,937,,INDEPENDENT - TELEPHONE,NAYON BIN GUDUMI,MALE,,69,LOST DEPOSIT,,,,,,
P. 180_N. 32,SABAH,P. 180,KENINGAU,N. 32,TAMBUNAN,BN - PBS,,10506,3280,70.48,7405,10,81,7314,PBS,JOSEPH PAIRIN KITINGAN,MALE,,5297,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,NESTOR BIN JOANNES,MALE,,2017,,,,,,,,,,,,,,,,,,,
P. 180_N. 33,SABAH,P. 180,KENINGAU,N. 33,BINGKOR,BN - UPKO,,13543,3802,64.64,8754,23,83,8648,UPKO,JUSTIN GUKA,MALE,,5353,,,,,,,,PASOK,RAYNER FRANCIS UDONG,MALE,,147,LOST DEPOSIT,,,,,,,SETIA,SHUHAIDDIN LANGKAB,MALE,,314,LOST DEPOSIT,INDEPENDENT - UMBRELLA,RIBUS TINGADON,MALE,,1551,,INDEPENDENT - KEY,PETER ALLIUN,MALE,,1283,,,,,,,,,,,,,
P. 180_N. 34,SABAH,P. 180,KENINGAU,N. 34,LIAWAN,BN - UMNO,,10461,3304,63.67,6660,3,67,6590,UMNO,DATUK HJ SAIRIN HJ KARNO,MALE,,4709,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,DATUK LAWRENCE GIMBANG,MALE,,1405,,INDEPENDENT - KEY,PAUL BIN KADAU,MALE,,476,LOST DEPOSIT,,,,,,,,,,,,
P. 181_N. 35,SABAH,P. 181,TENOM,N. 35,MELALAP,BN - PBS,Y,10018,,,,,,,PBS,RADIN MALEH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 36,SABAH,P. 181,TENOM,N. 36,KEMABONG,BN - UMNO,,10399,2511,73.72,7666,1,322,7343,UMNO,DATUK RUBIN BALANG,MALE,,4027,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,PETER @ PHILIP BIN LUNUK @ LONOK,MALE,,1516,,INDEPENDENT - UMBRELLA,DATUK LIMUN LAIKIM,MALE,,1319,,INDEPENDENT - BOOK,MUTANG @ SYLVESTER BIN DAWAT,MALE,,446,LOST DEPOSIT,INDEPENDENT - BUS,SIM BIN N.C. RIKIN,MALE,,35,LOST DEPOSIT
P. 182_N. 37,SABAH,P. 182,PENSIANGAN,N. 37,SOOK,BN - PBRS,,11332,395,70.53,7992,8,181,7803,PBRS,TAN SRI JOSEPH KURUP,MALE,,3973,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,DATUK DR.JEFFREY KITINGAN,MALE,,3578,,INDEPENDENT - KEY,YAPILIN BIN NAWAWI,MALE,,252,LOST DEPOSIT,,,,,,,,,,,,
P. 182_N. 38,SABAH,P. 182,PENSIANGAN,N. 38,NABAWAN,BN - UPKO,,6743,2621,66.42,4479,0,144,4335,UPKO,BOBBEY BIN SUAN,MALE,,3478,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,GABRIEL UWING BIN AGUNSUNG,MALE,,857,,,,,,,,,,,,,,,,,,,
P. 183_N. 39,SABAH,P. 183,BELURAN,N. 39,SUGUT,BN - UMNO,Y,7562,,,,,,,UMNO,SURADY BIN KAYONG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 183_N. 40,SABAH,P. 183,BELURAN,N. 40,LABUK,BN - PBS,Y,11398,,,,,,,PBS,METAH @ MICHAEL BIN ASANG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 41,SABAH,P. 184,LIBARAN,N. 41,GUM-GUM,BN - UMNO,,9186,2498,55.26,5076,7,209,4860,UMNO,ZAKARIA MOHD ERIS,MALE,,3679,,PKR,ZAHARAH TAN,FEMALE,,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 42,SABAH,P. 184,LIBARAN,N. 42,SUNGAI SIBUGA,BN - UMNO,,17702,6670,64.51,11419,68,270,11081,UMNO,MUSA BIN AMAN,MALE,,8668,,PAS,ABDUL GANI BIN KOSUI,MALE,,415,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,LUE SUE SENG,MALE,,1998,,,,,,,,,,,,,,,,,,,
P. 185_N. 43,SABAH,P. 185,BATU SAPI,N. 43,SEKONG,BN - UMNO,Y,10938,,,,,,,UMNO,SAMSUDIN BIN YAHYA,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 44,SABAH,P. 185,BATU SAPI,N. 44,KARAMUNTING,BN - LDP,,15566,1579,55.86,8695,0,186,8509,LDP,DATUK WONG LIEN TAT,MALE,,4843,,PKR,CHIN VUI KEONG,MALE,,402,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,SAK CHEONG YU,MALE,,3264,,,,,,,,,,,,,,,,,,,
P. 186_N. 45,SABAH,P. 186,SANDAKAN,N. 45,ELOPURA,BN - SAPP,,18036,6978,57.56,10382,52,290,10040,SAPP,AU KAM WAH,MALE,,8095,,,,,,,,PASOK,LIAW TECK MING,MALE,,1117,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,HAJI MOHD AMRAN BIN SAIDIN,MALE,,828,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 186_N. 46,SABAH,P. 186,SANDAKAN,N. 46,TANJONG PAPAT,BN - SAPP,Y,15172,,,,,,,SAPP,DATUK RAYMOND TAN SHU KIAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 187_N. 47,SABAH,P. 187,KINABATANGAN,N. 47,KUAMUT,BN - UPKO,,10897,2210,63.37,6905,0,136,6769,UPKO,JOHNNY @ JUNI BIN INTANG,MALE,,3897,,,,,,,,PASOK,DAMSAH BIN KALBIN,MALE,,49,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - OIL PALM,ALI LATIP BIN TAHA,MALE,,1687,,INDEPENDENT - KEY,ABDULLAH BIN HJ ABDUL SANI @ BOONG,MALE,,814,LOST DEPOSIT,INDEPENDENT - UMBRELLA,ABU BAKAR ELLAH,MALE,,322,LOST DEPOSIT,,,,,,
P. 187_N. 48,SABAH,P. 187,KINABATANGAN,N. 48,SUKAU,BN - UMNO,,8544,2650,56.16,4798,0,92,4706,UMNO,AKLEE BIN ABASS,MALE,,3678,,PAS,HJ. PG ROSLAN BIN HJ. PG. MANSAH,MALE,,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 49,SABAH,P. 188,SILAM,N. 49,TUNGKU,BN - UMNO,,11327,4206,60.62,6866,31,212,6623,UMNO,MOHD SUHAILI BIN SAID,MALE,,5290,,,,,,,,,,,,,,,,,,,,SETIA,NORSIAH HAMID,FEMALE,,249,LOST DEPOSIT,INDEPENDENT - UMBRELLA,HASSAN BIN MALEMPENG,MALE,,1084,,,,,,,,,,,,,,,,,,,
P. 188_N. 50,SABAH,P. 188,SILAM,N. 50,LAHAD DATU,BN - UMNO,,19437,5072,57.87,11248,130,542,10576,UMNO,DATU NASRUN DATU MANSUR,MALE,,6737,,PKR,CHARLIE @ SHARLIE BIN JANI,MALE,,897,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOHANI BIN ABD. HALIM,MALE,,1665,,INDEPENDENT - UMBRELLA,DATU ABD RAJAK,MALE,,690,LOST DEPOSIT,INDEPENDENT - FISH,TAMSUN BIN HAMIMUN,MALE,,281,LOST DEPOSIT,INDEPENDENT - BOOK,PATAWI WADIJO,MALE,,306,LOST DEPOSIT
P. 188_N. 51,SABAH,P. 188,SILAM,N. 51,KUNAK,BN - UMNO,,9598,1923,62.79,6027,5,222,5800,UMNO,DATUK HJ. JASA HJ. RAUDDAH,MALE,,3344,,PKR,CITRA BIN MASADI,MALE,,212,LOST DEPOSIT,,,,,,,,,,,,,SETIA,SAHING BIN TAKING,MALE,,823,,INDEPENDENT - UMBRELLA,ARIF SALIM,MALE,,1421,,,,,,,,,,,,,,,,,,,
P. 189_N. 52,SABAH,P. 189,SEMPORNA,N. 52,SULABAYAN,BN - UMNO,,11192,2337,62.45,6989,2,248,6739,UMNO,MOHD LAN ALLANI,MALE,,3706,,PKR,JUHAILI BIN ABDUL WAHAB,MALE,,123,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MADJALIS BIN LAIS,MALE,,1369,,INDEPENDENT - UMBRELLA,TUAN HAJI BIN INDANAN,MALE,,846,,INDEPENDENT - OIL PALM,MARINSA @ MARINSHAH,MALE,,534,LOST DEPOSIT,INDEPENDENT - BOOK,DUALALI BIN ASDURIN,MALE,,161,LOST DEPOSIT
