UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA,BA CANDIDATE,BA CANDIDATE SEX,BA CANDIDATE AGE,BA VOTE,BA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPDENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P. 167_N. 1,SABAH,P. 167,KUDAT,N. 1,BANGGI,BN - UMNO,,7815,392,61.07,4773,9,205,4559,UMNO,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,,2372,,PKR,MUSLIMIN BIN ARIP,MALE,,207,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,MURSALIM TANJUL,MALE,,1980,,,,,,,,,,,,,,,,,,,
P. 167_N. 2,SABAH,P. 167,KUDAT,N. 2,TANJONG KAPOR,BN - LDP,,18652,2993,69.4,12944,79,332,12533,LDP,DATUK CHONG KAH KIAT,MALE,,6234,,PKR,ALEXANDER ANTHONY,MALE,,50,LOST DEPOSIT,PASOK,BENSALI BIN EBRAHIM,MALE,,44,LOST DEPOSIT,BERSEKUTU,SANTONG BIN ANGKAP,MALE,,52,LOST DEPOSIT,,,,,,,INDEPENDENT - OIL PALM,KONG HONG MING,MALE,,1877,,INDEPENDENT - FISH,OMAR BIN MOHD AJI,MALE,,3241,,INDEPENDENT - UMBRELLA,WONG PHIN CHUNG,MALE,,1035,LOST DEPOSIT,,,,,,
P. 167_N. 3,SABAH,P. 167,KUDAT,N. 3,PITAS,BN - UMNO,,10622,801,63.31,6725,0,251,6474,UMNO,DATUK MASRANI PARMAN,MALE,,3278,,,,,,,,PASOK,ROSE @ ULIMSIM BTE UNGKIR,FEMALE,,87,LOST DEPOSIT,BERSEKUTU,ABU BAKAR BIN SIMAN,MALE,,158,LOST DEPOSIT,,,,,,,INDEPENDENT - FISH,HJ. OTHMAN BIN HJ. ALIASAH,MALE,,2477,,INDEPENDENT - UMBRELLA,MASANDUL BIN MADEE,MALE,,474,LOST DEPOSIT,,,,,,,,,,,,
P. 168_N. 4,SABAH,P. 168,KOTA MARUDU,N. 4,MATUNGGONG,BN - PBS,,13594,1274,64.73,8800,0,247,8553,PBS,JORNAH BINTI MOZIHIM,MALE,,4675,,,,,,,,PASOK,JAUNING @ TOMMY BIN MALUKIS,MALE,,217,LOST DEPOSIT,BERSEKUTU,BERMAN BIN ANGKAP,MALE,,260,LOST DEPOSIT,,,,,,,INDEPENDENT - OIL PALM,JAMES RUBINSIN BIN KOTULAI,MALE,,3401,,,,,,,,,,,,,,,,,,,
P. 168_N. 5,SABAH,P. 168,KOTA MARUDU,N. 5,TANDEK,BN - PBS,,14517,2713,67.78,9840,0,446,9394,PBS,DATUK DR MAXIMUS JOHNITY ONGKILI,MALE,,5069,,PKR,USTAZ ABD. KAHAR B. ABD RAHMAN,MALE,,592,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,GEORGE SANGKIN,MALE,,2356,,INDEPENDENT - UMBRELLA,UNGAS BODOK,MALE,,685,LOST DEPOSIT,INDEPENDENT - OIL PALM,ANTHONY MADIAU,MALE,,692,LOST DEPOSIT,,,,,,
P. 168_N. 6,SABAH,P. 168,KOTA MARUDU,N. 6,TEMPASUK,BN - UMNO,,13968,3440,76.25,10650,58,306,10286,UMNO,TAN SRI PANDIKAR AMIN,MALE,,6044,,PAS,DR DATU BANDIRA DATU ALANG,MALE,,426,LOST DEPOSIT,,,,,,,BERSEKUTU,JOSLI BIN PADIS,MALE,,916,LOST DEPOSIT,,,,,,,INDEPENDENT - BOOK,RAZAK RAKUNMAN,MALE,,296,LOST DEPOSIT,INDEPENDENT - UMBRELLA,DIGONG BIN ABD. RASHID,MALE,,2604,,,,,,,,,,,,,
P. 169_N. 7,SABAH,P. 169,KOTA BELUD,N. 7,KADAMAIAN,BN - PBS,,12206,3175,75.22,9181,0,239,8942,PBS,TIMBON @ HERBERT BIN LAGADAN,MALE,,5019,,,,,,,,,,,,,,,,,,,,SETIA,SABGANG HANDRY BIN RUMPIT,MALE,,171,LOST DEPOSIT,INDEPENDENT - UMBRELLA,MAIDOM P. PANSAI,MALE,,1844,,INDEPENDENT - KEY,DAIBI BIN MANDADI,MALE,,1652,,INDEPENDENT - OIL PALM,JOHNNY GILONG,MALE,,256,LOST DEPOSIT,,,,,,
P. 169_N. 8,SABAH,P. 169,KOTA BELUD,N. 8,USUKAN,BN - UMNO,,14891,1735,73.99,11018,11,307,10700,UMNO,JAPLIN BIN AKIM,MALE,,5950,,PAS,NORDIN BIN ALOH,MALE,,413,LOST DEPOSIT,,,,,,,BERSEKUTU,IBRAHIM BIN LINGGAM,MALE,,122,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,SAIJAN BIN SAMIT,MALE,,4215,,,,,,,,,,,,,,,,,,,
P. 170_N. 9,SABAH,P. 170,TUARAN,N. 9,TAMPARULI,BN - PBS,,14712,5758,67.07,9868,0,229,9639,PBS,JAHID JAHIM,MALE,,6775,,PKR,ROSNAH @ ROSE BINTI ONEK,FEMALE,,854,LOST DEPOSIT,,,,,,,BERSEKUTU,EDWIN SIAGIAN,MALE,,478,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,HANNIS GIBUNG,MALE,,1017,LOST DEPOSIT,INDEPENDENT - OIL PALM,FABIAN ANNUAR BIN MAIL,MALE,,515,LOST DEPOSIT,,,,,,,,,,,,
P. 170_N. 10,SABAH,P. 170,TUARAN,N. 10,SULAMAN,BN - UMNO,,15165,3482,72.54,11000,3,349,10648,UMNO,HAJIJI BIN HAJI NOOR,MALE,,7065,,PKR,ANSARI ABDULLAH,MALE,,3583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
