UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,AZMI BIN KHALID,MALE,63,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,MOHD. RADZI BIN SHEIKH AHMED (DATO' RADZI BIN SHEIKH AHMAD),MALE,62,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,SYED RAZLAN IBNI SYED PUTRA (SYED RAZLAN IBNI SYED PUTRA),MALE,53,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,ABU BAKAR BIN TAIB (DATO' ABU BAKAR BIN TAIB),MALE,61,
P. 5,KEDAH,P. 5,JERLUN,BN - UMNO,ABDUL RAHMAN BIN ARRIFIN (ABDUL RAHMAN BIN ARRIFIN),MALE,,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,MOHD JOHARI BIN BAHARUM (DATO' MOHD JOHARI BIN BAHARUM),MALE,50,
P. 7,KEDAH,P. 7,PADANG TERAP,BN - UMNO,GHAZALI BIN IBRAHIM (DATO' HAJI GHAZALI BIN IBRAHIM),MALE,51,
P. 8,KEDAH,P. 8,POKOK SENA,BN - UMNO,ABDUL RAHMAN BIN IBRAHIM (DATO' PADUKA HJ. ABD. RAHMAN BIN IBRAHIM),MALE,55,
P. 9,KEDAH,P. 9,ALOR STAR,BN - MCA,CHOR CHEE HEUNG (CHOR CHEE HEUNG),MALE,49,
P. 10,KEDAH,P. 10,KUALA KEDAH,BN - UMNO,HASHIM BIN JAHAYA (HASHIM BIN JAHAYA),MALE,42,
P. 11,KEDAH,P. 11,PENDANG,BA - PAS,MOHD HAYATI BIN OTHMAN (DR. MOHD HAYATI BIN OTHMAN),MALE,,
P. 12,KEDAH,P. 12,JERAI,BN - UMNO,BADRUDDIN BIN AMIRULDIN (DATO' PADUKA HJ. BADRUDDIN BIN AMILRUDIN),MALE,54,
P. 13,KEDAH,P. 13,SIK,BN - UMNO,WAN AZMI BIN ARIFFIN (DATO' HAJI WAN AZMI ARIFFIN),MALE,,
P. 14,KEDAH,P. 14,MERBOK,BN - UMNO,ZAINUDDIN BIN MAIDIN (ZAINUDDIN BIN MAIDIN),MALE,65,
P. 15,KEDAH,P. 15,SUNGAI PETANI,BN - UMNO,MAHADZIR BIN MOHD KHIR (DATO' MAHADZIR BIN MOHD KHIR),MALE,59,
P. 16,KEDAH,P. 16,BALING,BN - UMNO,MASHITAH BINTI IBRAHIM (DR MASHITAH IBRAHIM),FEMALE,40,
P. 17,KEDAH,P. 17,PADANG SERAI,BN - MCA,LIM BEE KAU (LIM BEE KAU),FEMALE,48,
P. 18,KEDAH,P. 18,KULIM-BANDAR BAHARU,BN - UMNO,ABDUL KADIR BIN HJ. SHEIKH FADZIR (DATO' PADUKA ABDUL KADIR BIN HJ. SHEIKH FADZIR),MALE,65,
P. 19,KELANTAN,P. 19,TUMPAT,BA - PAS,KAMARUDIN BIN JAFFAR (DATO' HJ KAMARUDIN JAFFAR),MALE,53,
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,BA - PAS,AB. HALIM BIN AB. RAHMAN (DATO' AB. HALIM AB. RAHMAN),MALE,64,
P. 21,KELANTAN,P. 21,KOTA BHARU,BN - UMNO,MOHD ZAID BIN IBRAHIM (DATUK ZAID IBRAHIM),MALE,53,
P. 22,KELANTAN,P. 22,PASIR MAS,BA - PAS,ISMAIL BIN NOH (USTAZ HJ ISMAIL NOH),MALE,,
P. 23,KELANTAN,P. 23,RANTAU PANJANG,BA - PAS,ABDUL FATAH BIN HARON (HJ. ABDUL FATAH BIN HJ. HARON),MALE,,
P. 24,KELANTAN,P. 24,KUBANG KERIAN,BA - PAS,SALAHUDDIN BIN AYUB (SALAHUDDIN BIN AYUB),MALE,43,
P. 25,KELANTAN,P. 25,BACHOK,BN - UMNO,AWANG ADEK BIN HUSSIN (DATO' AWANG ADEK),MALE,49,
P. 26,KELANTAN,P. 26,KETEREH,BN - UMNO,MD ALWI BIN CHE AHMAD (HAJI ALWI),MALE,48,
