UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 160_N. 13,SARAWAK,P. 160,SIMUNJAN,N. 13,SEMERA,SEMERA,BN - PBB,,8453,835,76.66,6480,87,6393,PBB,WAM WAHAP BIN WAN SANUSI @ WAN WAHAB BIN WAN SANSUI,MALE,37,3614,,PERMAS,WAN ZAINAL ABIDIN BIN WAN SENUSI,MALE,,2779,,,,,,,,,,,,,,,,,,,,,,,,,
P. 160_N. 14,SARAWAK,P. 160,SIMUNJAN,N. 14,GEDONG,GEDONG,PERMAS,,7451,1140,78.65,5860,36,5824,PBB,KHAIDER B. HAJI AHMAD ZAIDEL,MALE,,2342,,PERMAS,MOHAMMED TAWAN BIN ABDULLAH @ HILARY TAWAN AK. MASAN,MALE,,3482,,,,,,,,,,,,,,,,,,,,,,,,,
P. 161_N. 15,SARAWAK,P. 161,BATANG LUPAR,N. 15,LINGGA,LINGGA,BN - SNAP,,12679,59,71.09,9013,136,8877,SNAP,DONALD LAWAN,MALE,44,4468,,PBDS,DATUK DANIEL TAJEM AK. MIRI,MALE,51,4409,,,,,,,,,,,,,,,,,,,,,,,,,
P. 161_N. 16,SARAWAK,P. 161,BATANG LUPAR,N. 16,SRI AMAN,SRI AMAN,BN - SUPP,,14391,816,73.18,10531,191,10340,SUPP,MICHAEL PILO AK. GANGGA,MALE,,5578,,PBDS,HOLLIS AK. TINI,MALE,,4762,,,,,,,,,,,,,,,,,,,,,,,,,
P. 162_N. 17,SARAWAK,P. 162,LUBOK ANTU,N. 17,ENGKILILI,ENGKILILI,PBDS,,7382,1778,81.83,6041,141,5900,SUPP,INTAL AK. RENTAP,MALE,,2061,,PBDS,SING CHO NANG @ SIM CHOY NAM @ SIM CHOO NAM,MALE,,3839,,,,,,,,,,,,,,,,,,,,,,,,,
P. 162_N. 18,SARAWAK,P. 162,LUBOK ANTU,N. 18,BATANG AIR,BATANG AIR,PBDS,,6181,741,77.82,4810,29,4781,SNAP,NICHOLAS BAWIN AK. ANGGAT,MALE,30,2020,,PBDS,MIKAI AK. MANDAU,MALE,,2761,,,,,,,,,,,,,,,,,,,,,,,,,
P. 163_N. 19,SARAWAK,P. 163,BETONG,N. 19,SARIBAS,SARIBAS,BN - PBB,,11014,1436,72.5,7985,73,7912,PBB,BOLHASSAN B. DI @ AHMAD B. DI,MALE,,4620,,PERMAS,HAJI ZAINUDDIN B. HAJI SATEM,MALE,,3184,,,,,,,,,AHMAD B. JOHAN,MALE,,108,LOST DEPOSIT,,,,,,,,,,,,
P. 163_N. 20,SARAWAK,P. 163,BETONG,N. 20,LAYAR,LAYAR,BN - PBB,,9361,1725,76.77,7186,79,7107,PBB,ALFRED JABU ANAK NUMPANG,MALE,47,4416,,PBDS,DAVID AK. IMPI,MALE,,2691,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164_N. 21,SARAWAK,P. 164,SARATOK,N. 21,KALAKA,KALAKA,PERMAS,,8904,77,82.84,7376,83,7293,PBB,ABDUL WAHAB BIN AZIZ,MALE,40,3608,,PERMAS,DATUK A. YUSUF PATEH,MALE,,3685,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164_N. 22,SARAWAK,P. 164,SARATOK,N. 22,KRIAN,KRIAN,PBDS,,9010,414,79.46,7159,71,7088,SNAP,PETER NYAROK AK. ENTRIE,MALE,45,3337,,PBDS,LANGGU AK. SAGA @ EDMUND,MALE,51,3751,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 23,SARAWAK,P. 165,PALOH,N. 23,KUALA RAJANG,KUALA RAJANG,BN - PBB,,6882,1141,78.83,5425,64,5361,PBB,HAMDEN B. AHMAD,MALE,39,3251,,PERMAS,SA'AIDI B. OLIA,MALE,,2110,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 24,SARAWAK,P. 165,PALOH,N. 24,MATU - DARO,MATU - DARO,BN - PBB,,11497,1625,79.26,9112,133,8979,PBB,WAHAB BIN HAJI DOLLAH,MALE,37,5302,,PERMAS,TUN ABDUL-RAHMAN B. YA'AKUB @ TUN DATUK PATINGGI HAJI ABUDL RAHMAN YA'KUB,MALE,59,3677,,,,,,,,,,,,,,,,,,,,,,,,,
P. 166_N. 25,SARAWAK,P. 166,SARIKEI,N. 25,REPOK,REPOK,BN - SUPP,,15760,915,77.03,12140,97,12043,SUPP,TENG LUNG CHI,MALE,42,6479,,,,,,,,DAP,WONG SING NANG,MALE,29,5564,,,,,,,,,,,,,,,,,,,
P. 166_N. 26,SARAWAK,P. 166,SARIKEI,N. 26,MERADONG,MERADONG,BN - SUPP,,12919,1237,74.4,9612,107,9505,SUPP,HII KING HIONG @ THOMAS HII KING HIONG,MALE,42,5371,,,,,,,,DAP,CHONG SIEW CHIANG,MALE,,4134,,,,,,,,,,,,,,,,,,,
P. 167_N. 27,SARAWAK,P. 167,SIBU,N. 27,MALING,MALING,BN - SUPP,,40648,9381,72.08,29298,201,29097,SUPP,WONG SOON KAI,MALE,60,19239,,,,,,,,DAP,LING SIE MING,MALE,,9858,,,,,,,,,,,,,,,,,,,
P. 167_N. 28,SARAWAK,P. 167,SIBU,N. 28,SEDUAN,SEDUAN,BN - SUPP,,14626,4692,70.14,10259,66,10193,SUPP,TING ING MIENG,MALE,58,7023,,PERMAS,LEE HIE KIN @ ERIC LEE,MALE,,684,LOST DEPOSIT,DAP,LING SII KIONG,MALE,,2331,,,LO NGIE HOCK,MALE,,155,LOST DEPOSIT,,,,,,,,,,,,
P. 168_N. 29,SARAWAK,P. 168,RAJANG,N. 29,IGAN,IGAN,PERMAS,,7294,23,67.88,4951,43,4908,SUPP,WONG SOON KOH,MALE,45,2402,,PERMAS,DAVID TIONG CHIONG CHU,MALE,,2425,,,,,,,,,NAIT AK. MANI,MALE,,81,LOST DEPOSIT,,,,,,,,,,,,
P. 168_N. 30,SARAWAK,P. 168,RAJANG,N. 30,DUDONG,DUDONG,BN - SUPP,,13548,311,70.22,9513,158,9355,SUPP,JAWAN EMPALING,MALE,49,4717,,PBDS,WILFRED KIROH AK. JERAM,MALE,,4406,,,,,,,,,SUFFIAN B. ABDULLAH @ SIEW CHEE KIONG,MALE,,232,LOST DEPOSIT,,,,,,,,,,,,
P. 169_N. 31,SARAWAK,P. 169,MUKAH,N. 31,BALINGIAN,BALINGIAN,BN - PBB,,11881,1631,73.59,8743,166,8577,PBB,ABDUL AJIS B. ABDUL MAJEED,MALE,36,5104,,PERMAS,WAN HABIB BIN SYED MAHMUD,MALE,51,3473,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 32,SARAWAK,P. 169,MUKAH,N. 32,OYA,OYA,PERMAS,,10004,1974,74.64,7467,83,7384,PBB,MOHD. GHAZALI BIN KIPLI,MALE,,2705,,PERMAS,WAN MADZIHI B. WAN MAHDZAR,MALE,41,4679,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 33,SARAWAK,P. 170,JULAU,N. 33,PAKAN,PAKAN,PBDS,,5804,258,81.25,4716,68,4648,SNAP,WILLIAM IKOM,MALE,,2195,,PBDS,JAWIE WILSON MASING @ JAWIE MASING @ JAWIE AK. MASING,MALE,45,2453,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 34,SARAWAK,P. 170,JULAU,N. 34,MELUAN,MELUAN,PBDS,,6483,1044,81.55,5287,61,5226,PBB,JANGGU AK. PENGARAH BANYANG,MALE,,2091,,PBDS,GERMAN AK. ITAM,MALE,,3135,,,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 35,SARAWAK,P. 171,KANOWIT,N. 35,MACHAN,MACHAN,PBDS,,7651,988,77.39,5921,57,5864,PBB,MARTIN ANAK CHARLIE,MALE,,2438,,PBDS,GRAMONG JUNA,MALE,41,3426,,,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 36,SARAWAK,P. 171,KANOWIT,N. 36,NGEMAH,NGEMAH,PBDS,,6285,359,72.73,4571,76,4495,SNAP,TAN AK. SELIONG,MALE,,2068,,PBDS,JOSEPH KUDI,MALE,,2427,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172_N. 37,SARAWAK,P. 172,KAPIT,N. 37,KATIBAS,KATIBAS,PBDS,,7217,544,69,4980,137,4843,PBB,AMBROSE BLIKAU AK. ENTURAN,MALE,,2080,,PBDS,BANTIN AK. JIBOM,MALE,,2624,,,,,,,,,KUIN AK. KEDAL,MALE,,139,LOST DEPOSIT,,,,,,,,,,,,
P. 172_N. 38,SARAWAK,P. 172,KAPIT,N. 38,PELAGUS,PELAGUS,PBDS,,8267,16,76.07,6289,99,6190,PBB,KENNETH KANYAN AK. TEMENGGONG KOH,MALE,,2226,,PBDS,PHILIMON AK. NUING,MALE,,2242,,,,,,,,,SNG CHEE HUA,MALE,,1289,,,JANGI AK. PENG JEMUT,MALE,,433,LOST DEPOSIT,,,,,,
P. 173_N. 39,SARAWAK,P. 173,ULU RAJANG,N. 39,BALEH,BALEH,PBDS,,8531,1091,70.79,6039,98,5941,SNAP,JOSEPH AK. JINGGUT,MALE,33,2425,,PBDS,JAMES JEMUT AK. MASING,MALE,38,3516,,,,,,,,,,,,,,,,,,,,,,,,,
P. 173_N. 40,SARAWAK,P. 173,ULU RAJANG,N. 40,BELAGA,BELAGA,BN - PBB,,5752,1433,78.77,4531,96,4435,PBB,NYIPA KILAH @ NYIPA BATOK,MALE,51,2934,,PERMAS,DATUK TAJANG LAING,MALE,49,1501,,,,,,,,,,,,,,,,,,,,,,,,,
P. 174_N. 41,SARAWAK,P. 174,BINTULU,N. 41,TATAU,TATAU,PBDS,,8064,245,65.59,5289,68,5221,SNAP,DANIEL SIGAH,MALE,,2310,,PBDS,BOLHASSAN BIN KAMBAR,MALE,45,2555,,DAP,JATAN AK. LINTING,MALE,,356,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 174_N. 42,SARAWAK,P. 174,BINTULU,N. 42,KEMENA,KEMENA,BN - PBB,,20333,1958,67.88,13803,137,13666,PBB,DATUK CELESTINE UKANG AK. JILAN @ UJANG AK. JILAN,MALE,40,6581,,PERMAS,VICTOR TEMENGGONG ANGANG,MALE,,4623,,DAP,CHIEW CHIU SING,MALE,37,2462,,,,,,,,,,,,,,,,,,,
P. 175_N. 43,SARAWAK,P. 175,LAMBIR,N. 43,SUBIS,SUBIS,PERMAS,,18754,718,68.02,12756,222,12534,PBB,USOP B. WAHAP @ SANI WAHAP,MALE,,5672,,PERMAS,SALLEH B. JAFARUDDIN,MALE,43,6390,,DAP,CHONG KON FATT @ CHONG KOW FATT,MALE,,254,LOST DEPOSIT,,ALI B. MANA,MALE,,95,LOST DEPOSIT,,LINGGIE AK. BALONG,MALE,,81,LOST DEPOSIT,,DAVID AK. LA,MALE,,42,LOST DEPOSIT
P. 175_N. 44,SARAWAK,P. 175,LAMBIR,N. 44,MIRI,MIRI,BN - SUPP,,31786,8273,64.76,20585,154,20431,SUPP,DR GEORGE CHAN HONG NAM,MALE,51,14352,,,,,,,,DAP,WONG HO LENG,MALE,28,6079,,,,,,,,,,,,,,,,,,,
P. 176_N. 45,SARAWAK,P. 176,BARAM,N. 45,MARUDI,MARUDI,PBDS,,12438,1054,61.37,7633,97,7536,SNAP,ATONG AK. CHUWAT,MALE,,3102,,PBDS,EDWARD JELI AK. BLAYONG @ DIAN AK. BLAYONG,MALE,63,4156,,,,,,,,,ABU BAKAR BIN ABDULLAH @ TOME BELAREK,MALE,,278,LOST DEPOSIT,,,,,,,,,,,,
P. 176_N. 46,SARAWAK,P. 176,BARAM,N. 46,TELANG USAN,TELANG USAN,PBDS,,9449,234,59.28,5601,79,5522,PBB,KEBING WAN,MALE,,2644,,PBDS,DATUK BALAN SELING @ DATUK JOSEPH BALAN SELING,MALE,51,2878,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 47,SARAWAK,P. 177,BUKIT MAS,N. 47,LIMBANG,LIMBANG,BN - SNAP,,13738,387,67.06,9213,130,9083,SNAP,DATUK AMAR JAMES WONG KIM WIN,MALE,65,4555,,PERMAS,MUNIR BIN KARIM,MALE,,4168,,,,,,,,,THIANENG AK. CHUANTECK,MALE,,271,LOST DEPOSIT,,ALI BIN ABDULLAH,MALE,,89,LOST DEPOSIT,,,,,,
P. 177_N. 48,SARAWAK,P. 177,BUKIT MAS,N. 48,LAWAS,LAWAS,BN - PBB,,9940,810,72.22,7179,50,7129,PBB,TENGAH BIN ALI HASSIN @ TENGAH BIN ALI HASAN,MALE,32,3722,,PERMAS,AWANGKU YUSOF BIN PGN. BONGSU,MALE,,495,LOST DEPOSIT,,,,,,,,LABO BUAYE' @ MICHAEL LABO BUAYE,MALE,,2912,,,,,,,,,,,,,

