UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 160_N. 14,SARAWAK,P. 160,SIMUNJAN,N. 14,GEDONG,GEDONG,PERMAS,KHAIDER B. HAJI AHMAD ZAIDEL,MALE,,
P. 161_N. 15,SARAWAK,P. 161,BATANG LUPAR,N. 15,LINGGA,LINGGA,BN - SNAP,DONALD LAWAN,MALE,44,
P. 161_N. 16,SARAWAK,P. 161,BATANG LUPAR,N. 16,SRI AMAN,SRI AMAN,BN - SUPP,MICHAEL PILO AK. GANGGA,MALE,,
P. 162_N. 17,SARAWAK,P. 162,LUBOK ANTU,N. 17,ENGKILILI,ENGKILILI,PBDS,INTAL AK. RENTAP,MALE,,
P. 162_N. 18,SARAWAK,P. 162,LUBOK ANTU,N. 18,BATANG AIR,BATANG AIR,PBDS,NICHOLAS BAWIN AK. ANGGAT,MALE,30,
P. 163_N. 19,SARAWAK,P. 163,BETONG,N. 19,SARIBAS,SARIBAS,BN - PBB,BOLHASSAN B. DI @ AHMAD B. DI,MALE,,
P. 163_N. 20,SARAWAK,P. 163,BETONG,N. 20,LAYAR,LAYAR,BN - PBB,ALFRED JABU ANAK NUMPANG,MALE,47,
P. 164_N. 21,SARAWAK,P. 164,SARATOK,N. 21,KALAKA,KALAKA,PERMAS,ABDUL WAHAB BIN AZIZ,MALE,40,
P. 164_N. 22,SARAWAK,P. 164,SARATOK,N. 22,KRIAN,KRIAN,PBDS,PETER NYAROK AK. ENTRIE,MALE,45,
P. 165_N. 23,SARAWAK,P. 165,PALOH,N. 23,KUALA RAJANG,KUALA RAJANG,BN - PBB,HAMDEN B. AHMAD,MALE,39,
P. 165_N. 24,SARAWAK,P. 165,PALOH,N. 24,MATU - DARO,MATU - DARO,BN - PBB,WAHAB BIN HAJI DOLLAH,MALE,37,
P. 166_N. 25,SARAWAK,P. 166,SARIKEI,N. 25,REPOK,REPOK,BN - SUPP,TENG LUNG CHI,MALE,42,
P. 166_N. 26,SARAWAK,P. 166,SARIKEI,N. 26,MERADONG,MERADONG,BN - SUPP,HII KING HIONG @ THOMAS HII KING HIONG,MALE,42,
P. 167_N. 27,SARAWAK,P. 167,SIBU,N. 27,MALING,MALING,BN - SUPP,WONG SOON KAI,MALE,60,
P. 167_N. 28,SARAWAK,P. 167,SIBU,N. 28,SEDUAN,SEDUAN,BN - SUPP,TING ING MIENG,MALE,58,
P. 168_N. 29,SARAWAK,P. 168,RAJANG,N. 29,IGAN,IGAN,PERMAS,WONG SOON KOH,MALE,45,
P. 168_N. 30,SARAWAK,P. 168,RAJANG,N. 30,DUDONG,DUDONG,BN - SUPP,JAWAN EMPALING,MALE,49,
P. 169_N. 31,SARAWAK,P. 169,MUKAH,N. 31,BALINGIAN,BALINGIAN,BN - PBB,ABDUL AJIS B. ABDUL MAJEED,MALE,36,
P. 169_N. 32,SARAWAK,P. 169,MUKAH,N. 32,OYA,OYA,PERMAS,MOHD. GHAZALI BIN KIPLI,MALE,,
P. 170_N. 33,SARAWAK,P. 170,JULAU,N. 33,PAKAN,PAKAN,PBDS,WILLIAM IKOM,MALE,,
P. 170_N. 34,SARAWAK,P. 170,JULAU,N. 34,MELUAN,MELUAN,PBDS,JANGGU AK. PENGARAH BANYANG,MALE,,
P. 171_N. 35,SARAWAK,P. 171,KANOWIT,N. 35,MACHAN,MACHAN,PBDS,MARTIN ANAK CHARLIE,MALE,,
P. 171_N. 36,SARAWAK,P. 171,KANOWIT,N. 36,NGEMAH,NGEMAH,PBDS,TAN AK. SELIONG,MALE,,
P. 172_N. 37,SARAWAK,P. 172,KAPIT,N. 37,KATIBAS,KATIBAS,PBDS,AMBROSE BLIKAU AK. ENTURAN,MALE,,
P. 172_N. 38,SARAWAK,P. 172,KAPIT,N. 38,PELAGUS,PELAGUS,PBDS,KENNETH KANYAN AK. TEMENGGONG KOH,MALE,,
P. 173_N. 39,SARAWAK,P. 173,ULU RAJANG,N. 39,BALEH,BALEH,PBDS,JOSEPH AK. JINGGUT,MALE,33,
P. 173_N. 40,SARAWAK,P. 173,ULU RAJANG,N. 40,BELAGA,BELAGA,BN - PBB,NYIPA KILAH @ NYIPA BATOK,MALE,51,
P. 174_N. 41,SARAWAK,P. 174,BINTULU,N. 41,TATAU,TATAU,PBDS,DANIEL SIGAH,MALE,,
P. 174_N. 42,SARAWAK,P. 174,BINTULU,N. 42,KEMENA,KEMENA,BN - PBB,DATUK CELESTINE UKANG AK. JILAN @ UJANG AK. JILAN,MALE,40,
P. 175_N. 43,SARAWAK,P. 175,LAMBIR,N. 43,SUBIS,SUBIS,PERMAS,USOP B. WAHAP @ SANI WAHAP,MALE,,
P. 175_N. 44,SARAWAK,P. 175,LAMBIR,N. 44,MIRI,MIRI,BN - SUPP,DR GEORGE CHAN HONG NAM,MALE,51,
P. 176_N. 45,SARAWAK,P. 176,BARAM,N. 45,MARUDI,MARUDI,PBDS,ATONG AK. CHUWAT,MALE,,
P. 176_N. 46,SARAWAK,P. 176,BARAM,N. 46,TELANG USAN,TELANG USAN,PBDS,KEBING WAN,MALE,,
P. 177_N. 47,SARAWAK,P. 177,BUKIT MAS,N. 47,LIMBANG,LIMBANG,BN - SNAP,DATUK AMAR JAMES WONG KIM WIN,MALE,65,
P. 177_N. 48,SARAWAK,P. 177,BUKIT MAS,N. 48,LAWAS,LAWAS,BN - PBB,TENGAH BIN ALI HASSIN @ TENGAH BIN ALI HASAN,MALE,32,
