UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 154_N. 1,SARAWAK,P. 154,MAS GADING,N. 1,LUNDU,LUNDU,BN - SUPP,RAMSAY NOEL JITAM,MALE,55,
P. 154_N. 2,SARAWAK,P. 154,MAS GADING,N. 2,TASIK BIRU,TASIK BIRU,BN - SNAP,PATAU AK. RUBIS,MALE,41,
P. 155_N. 3,SARAWAK,P. 155,BANDAR KUCHING,N. 3,PADUNGAN,PADUNGAN,BN - SUPP,SONG SWEE GUAN,MALE,46,
P. 155_N. 4,SARAWAK,P. 155,BANDAR KUCHING,N. 4,STAMPIN,STAMPIN,BN - SUPP,SIM KHENG HONG,MALE,,
P. 156_N. 5,SARAWAK,P. 156,SANTUBONG,N. 5,PETRA JAYA,PETRA JAYA,BN - PBB,SHARIFAH MORDIAH NT. TKU FAUZI,FEMALE,39,
P. 156_N. 6,SARAWAK,P. 156,SANTUBONG,N. 6,SATOK,SATOK,BN - PBB,ABG. ABD. RAHMAN ZOHARI BIN TUN ABG. HAJI OPENG @ ABG. JOHARI BIN TUN ABG. HAJI OPENG,MALE,37,
P. 157_N. 7,SARAWAK,P. 157,SAMARAHAN,N. 7,SEBANDI,SEBANDI,BN - PBB,DATUK PATINGGI HAJI ABDUL TAIB BIN MAHMUD,MALE,51,
P. 157_N. 8,SARAWAK,P. 157,SAMARAHAN,N. 8,MUARA TUANG,MUARA TUANG,BN - PBB,ADENAN BIN HAJI SATEM,MALE,43,
P. 158_N. 9,SARAWAK,P. 158,PADAWAN,N. 9,BATU KAWAH,BATU KAWAH,BN - SUPP,CHONG KIUN KONG,MALE,57,
P. 158_N. 10,SARAWAK,P. 158,PADAWAN,N. 10,BENGOH,BENGOH,PBDS,LOUIS NIGEL GINES,MALE,,
P. 159_N. 11,SARAWAK,P. 159,SERIAN,N. 11,TARAT,TARAT,BN - PBB,FREDERICK BAYOI MANGGI,MALE,44,
P. 159_N. 12,SARAWAK,P. 159,SERIAN,N. 12,TEBAKANG,TEBAKANG,PBDS,ANDREW BUJANG BARENG,MALE,,
P. 160_N. 13,SARAWAK,P. 160,SIMUNJAN,N. 13,SEMERA,SEMERA,BN - PBB,WAM WAHAP BIN WAN SANUSI @ WAN WAHAB BIN WAN SANSUI,MALE,37,
