UNIQUE CODE,STATE,FEDERAL LEGISLATIVE CONSTITUENCY CODE,FEDERAL LEGISLATIVE COUNCIL CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
NO. 14,PERAK,NO. 14,IPOH AND MENGLEMBU,ALLIANCE - MCA,,12948,6438,82.79,10720,1069,9651,MCA,LEONG YEW KOH,MALE,67,7421,,,,,,,,NAP,LOH AH KEE,MALE,51,983,LOST DEPOSIT,PPP,D.R. SEENIVASAGAM,MALE,34,808,LOST DEPOSIT,INDEPENDENT,W.E. BALASINGAM,MALE,36,439,LOST DEPOSIT,,,,,,
NO. 15,PERAK,NO. 15,KINTA UTARA,ALLIANCE - MIC,,12304,6068,85.85,10563,260,10303,MIC,V.T. SAMBANTHAM,MALE,35,7900,,LPM,K.R.R. CHOUDHARY,MALE,46,357,LOST DEPOSIT,NAP,CHIK MOHAMED YUSUF BIN SHEIK ABDUL RAHMAN,MALE,47,1832,,PML,MOHAMED RAMLY BIN ABDULLAH,,,214,LOST DEPOSIT,,,,,,,,,,,,
NO. 16,PERAK,NO. 16,KINTA SELATAN,ALLIANCE - MCA,,16216,9922,87.31,14158,184,13974,MCA,TOO JOON HING,MALE,42,11611,,,,,,,,NAP,MOHD. BAKI BIN HAJI DAUD,MALE,50,1689,LOST DEPOSIT,PPP,ZAHARIE BIN HASSAN,MALE,34,273,LOST DEPOSIT,INDEPENDENT,MOHAMED IDRIS BIN HAKIM,,,401,LOST DEPOSIT,,,,,,
NO. 17,SELANGOR,NO. 17,KUALA LUMPUR BARAT,ALLIANCE - MCA,,8862,3296,80.13,7101,45,7056,MCA,ONG YOKE LIN,MALE,37,4667,,LPM,TAN TUAN BOON,MALE,44,1018,,NEGARA,ABDULLAH BIN IBRAHIM,MALE,46,1371,,,,,,,,,,,,,,,,,,,
NO. 18,SELANGOR,NO. 18,KUALA LUMPUR TIMOR,ALLIANCE - MCA,,13184,4359,78.78,10387,163,10224,MCA,CHEAH EWE KEAT,MALE,52,6790,,,,,,,,NEGARA,MOHD. SALLEH BIN HAKIM,MALE,49,2431,,,,,,,,INDEPENDENT,ABDUL WAHAB BIN ABDUL MAJID,MALE,25,1003,LOST DEPOSIT,,,,,,
NO. 19,SELANGOR,NO. 19,ULU SELANGOR,ALLIANCE - UMNO,,7835,4270,85.78,6721,131,6590,UMNO,HALIMAHTHON BINTI ABDUL MAJID,FEMALE,36,5430,,,,,,,,NEGARA,AB. RAHMAN BIN HAJI MAULANA,MALE,40,1160,,,,,,,,,,,,,,,,,,,
NO. 20,SELANGOR,NO. 20,KUALA SELANGOR,ALLIANCE - UMNO,,21410,7079,83.21,17816,425,17391,UMNO,RAJA RASTAN SHAHROME BIN RAJA SAID TAUPHY,MALE,47,11857,,PMIP,OTHMAN BIN ABDULLAH,MALE,30,4778,,NEGARA,MD. AMBIA BIN SANUSI,MALE,34,756,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 21,SELANGOR,NO. 21,LANGAT,ALLIANCE - UMNO,,10834,4922,87.42,9471,255,9216,UMNO,ABU BAKAR BIN BAGINDA,MALE,56,7069,,,,,,,,NEGARA,MOHD. NAZIR BIN HJ. ABDUL JALIL,MALE,46,2147,,,,,,,,,,,,,,,,,,,
NO. 22,SELANGOR,NO. 22,SELANGOR BARAT,ALLIANCE - UMNO,,13847,5621,86.97,12043,238,11805,UMNO,ABDUL AZIZ BIN ISHAK,MALE,41,8713,,,,,,,,NEGARA,MOHAMED RASHID BIN AHMAD,MALE,41,3092,,,,,,,,,,,,,,,,,,,
NO. 23,SELANGOR,NO. 23,SELANGOR TENGAH,ALLIANCE - MCA,,9465,3941,88.47,8374,172,8202,MCA,LEE ENG TEH,MALE,46,5652,,PMIP,ZULKIFLI MOHAMED,MALE,28,1711,,NEGARA,ATAN CHIK BIN LENGKENG,MALE,44,839,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
