UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P. 166_N. 1,SARAWAK,P. 166,MAS GADING,N. 1,TANJONG DATU,BN - SUPP,,10488,5053,71.05,7452,18,107,7327,SUPP,RANUM ANAK MINA,MALE,50,5605,,PKN,AWANG ISMADI BIN AWANG AHMAD,MALE,,268,LOST DEPOSIT,DAP,TEO CHUNG CHAI,MALE,,394,LOST DEPOSIT,INDEPENDENT,CHIN YOO NGIM,MALE,,552,LOST DEPOSIT,INDEPENDENT,SULAIMAN BIN ABAN,MALE,,508,LOST DEPOSIT,,,,,,,,,,,,
P. 166_N. 2,SARAWAK,P. 166,MAS GADING,N. 2,TASIK BIRU,BN - SNAP,,16974,2744,70.55,11975,30,213,11732,SNAP,PETER NANSIAN ANAK NGUSIE,MALE,52,7238,,,,,,,,STAR,JOSEPH JLINDY ANAK PETER ROSEN,MALE,,4494,,,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 3,SARAWAK,P. 167,SANTUBONG,N. 3,PANTAI DAMAI,BN - PBB,,12424,3315,74.22,9221,24,88,9109,PBB,ABDUL RAHMAN B. JUNAIDI,MALE,40,6072,,PKN,HUSAINI BIN HAMDAN,MALE,,2757,,,,,,,,INDEPENDENT,NORITA BT AZMI,FEMALE,,280,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 167_N. 4,SARAWAK,P. 167,SANTUBONG,N. 4,DEMAK LAUT,BN - PBB,,9660,3845,73.17,7068,11,68,6989,PBB,ABG DRAUP ZAMAHARI B. ABG. HAJI ZEN,MALE,54,4974,,PKN,AHMAD LUKMAN B. ABA IBRAHIM,MALE,,1129,,,,,,,,INDEPENDENT,ABANG YUSOP BIN ABANG HAJI RAZAK,MALE,,886,,,,,,,,,,,,,,,,,,,
P. 168_N. 5,SARAWAK,P. 168,PETRA JAYA,N. 5,TUPONG,BN - PBB,,13336,4834,71.91,9590,15,98,9477,PBB,DAUD BIN DRAHMAN @ ABDUL RAHMAN,MALE,50,7037,,PKN,ISMADI BIN ABDUL WAHID,MALE,,2203,,,,,,,,INDEPENDENT,HAJI MUSTAFA JINAL ABIDIN BIN MOHAMED,MALE,,237,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 168_N. 6,SARAWAK,P. 168,PETRA JAYA,N. 6,SATOK,BN - PBB,,11246,2859,63.01,7086,58,227,6801,PBB,ABG. ABD. RAHMAN ZOHARI BIN ABG. OPENG,MALE,51,4830,,PKN,ZULRUSDI BIN MOHAMAD HOL,MALE,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 7,SARAWAK,P. 168,PETRA JAYA,N. 7,SAMARIANG,BN - PBB,,12378,3297,69.55,8609,78,93,8438,PBB,SHARIFAH MORDIAH BT TUANKU FAUZI,FEMALE,53,5460,,PKN,WAN ZAINAL ABIDIN BIN WAN SENUSI,MALE,50,2163,,PAS,MOHAMAD SHOKRI BIN AHMAD FAUZI,MALE,,468,LOST DEPOSIT,INDEPENDENT,ARIFFIN ABANG ANUAR @ ARIFFIN ANNUAR,MALE,60,347,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 169_N. 8,SARAWAK,P. 169,BANDAR KUCHING,N. 8,PADUNGAN,BN - SUPP,,24977,1033,65.1,16259,208,280,15771,SUPP,LILY YONG LEE LEE,FEMALE,52,8402,,,,,,,,DAP,CHONG CHIENG JEN,MALE,30,7369,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 9,SARAWAK,P. 169,BANDAR KUCHING,N. 9,PENDING,BN - SUPP,,29097,7981,66.31,19295,149,141,19005,SUPP,SIM KHENG HUI,MALE,,11918,,PKN,NG KIM HO,MALE,40,3150,,DAP,VOON LEE SHAN,MALE,46,3937,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 10,SARAWAK,P. 170,STAMPIN,N. 10,BATU LINTANG,BN - SUPP,,28293,7388,59.3,16779,39,122,16618,SUPP,CHAN SENG KHAI,MALE,,11625,,PKN,TAY CHEO HONG,MALE,,4237,,,,,,,,INDEPENDENT,FRANCIS SIAH KHUI SANG,MALE,,756,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
