UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P. 170_N. 11,SARAWAK,P. 170,STAMPIN,N. 11,BATU KAWAH,BN - SUPP,Y,28470,,,,,,,SUPP,ALFRED YAP CHIN LOI,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 12,SARAWAK,P. 171,KOTA SAMARAHAN,N. 12,ASAJAYA,BN - PBB,,9312,3665,78.05,7268,0,90,7178,PBB,ABD KARIM RAHMAN HAMZAH,MALE,41,5068,,PKN,ABDULLAH BIN DARAUP,MALE,,707,LOST DEPOSIT,,,,,,,INDEPENDENT,ABANG ABU BAKAR BIN ABANG HAJI MUSTAPHA,MALE,,1403,,,,,,,,,,,,,,,,,,,
P. 171_N. 13,SARAWAK,P. 171,KOTA SAMARAHAN,N. 13,MUARA TUANG,BN - PBB,,17015,9708,77.68,13217,593,298,12326,PBB,DATO' HAJI ADENAN BIN HAJI SATEM,MALE,57,11017,,,,,,,,,,,,,,INDEPENDENT,SUHAILI BIN HAMID,MALE,,1309,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 172_N. 14,SARAWAK,P. 172,MAMBONG,N. 14,BENGOH,BN - SUPP,,19266,3419,67.8,13063,245,183,12635,SUPP,BELEK @ JERIP ANAK SUSIL,MALE,44,8027,,,,,,,,STAR,PATAU ANAK RUBIS,MALE,55,4608,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172_N. 15,SARAWAK,P. 172,MAMBONG,N. 15,TARAT,BN - PBB,,14968,6297,64.54,9661,10,173,9478,PBB,ROLAND SAGAH WEE INN,MALE,,7555,,,,,,,,STAR,TUSA LO TAI CHAI,MALE,,1258,,INDEPENDENT,JEFFRY GUGUI JIMAN,MALE,,665,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 173_N. 16,SARAWAK,P. 173,SERIAN,N. 16,TEBEDU,BN - PBB,,11270,4765,67.7,7630,11,192,7427,PBB,MICHAEL MANYIN ANAK JAWONG,MALE,56,6096,,,,,,,,,,,,,,INDEPENDENT,YUSUF BIN ABDULLAH @ BANGAU ANAK UKAK,MALE,,1331,,,,,,,,,,,,,,,,,,,
P. 173_N. 17,SARAWAK,P. 173,SERIAN,N. 17,KEDUP,BN - PBB,,19252,7016,59.92,11536,130,181,11225,PBB,FREDERICK BAYOI ANAK MANGGIE,MALE,58,8254,,PKN,AKAW ANAK NONJEP,MALE,,745,LOST DEPOSIT,,,,,,,INDEPENDENT,COBBOLD ANAK LUSOI,MALE,39,1238,LOST DEPOSIT,INDEPENDENT,AUGUSTINE BAGAT ANAK SIKUT,MALE,,988,LOST DEPOSIT,,,,,,,,,,,,
P. 174_N. 18,SARAWAK,P. 174,BATANG SADONG,N. 18,SADONG JAYA,BN - PBB,,7506,2901,71.34,5355,1,91,5263,PBB,WAN WAHAP @ WAN ABD. WAHAB BIN WAN SANUSI,MALE,51,3888,,,,,,,,PAS,ADAM BIN AHID,MALE,,987,,INDEPENDENT,SHAPEE BIN HJ LAHAT,MALE,,388,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 174_N. 19,SARAWAK,P. 174,BATANG SADONG,N. 19,SIMUNJAN,BN - PBB,,10439,1845,67.6,7057,11,67,6979,PBB,MOHD NARODEN BIN MAJAIS,MALE,48,4366,,PKN,BUJANG BIN ULIS,MALE,,2521,,,,,,,,INDEPENDENT,MUHAMMAD HUSAINI BIN MUSTAPHA,MALE,,92,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 175_N. 20,SARAWAK,P. 175,BATANG LUPAR,N. 20,SEBUYAU,BN - PBB,,9972,4126,67.27,6708,2,91,6615,PBB,JULAIHI BIN NARAWI,MALE,46,5200,,PKN,MOHAMAD BIN AKEK,MALE,,1074,,,,,,,,INDEPENDENT,SAADIAH @ DYG SAADIAH BT MAS,FEMALE,,341,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 175_N. 21,SARAWAK,P. 175,BATANG LUPAR,N. 21,BETING MARO,BN - PBB,,8651,3034,69.63,6024,92,47,5885,PBB,BOLHASSAN BIN DI,MALE,48,4433,,,,,,,,PAS,ABG. AHMAD BIN ABG. HAJI DAHLAN,MALE,,1399,,INDEPENDENT,MOHTADA BIN DOL,MALE,,53,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 176_N. 22,SARAWAK,P. 176,SRI AMAN,N. 22,BUKIT BEGUNAN,BN - PBDS,,11346,2876,63.22,7173,24,96,7053,PBDS,MONG ANAK DAGANG,MALE,46,4669,,,,,,,,STAR,MARCUS ANAK KANYONG,MALE,,1793,,INDEPENDENT,WEL @ MAXWELL ANAK ROJIS,MALE,,474,LOST DEPOSIT,INDEPENDENT,LAWRENCE LENDANG ANAK AMBU,MALE,,117,LOST DEPOSIT,,,,,,,,,,,,
P. 176_N. 23,SARAWAK,P. 176,SRI AMAN,N. 23,SIMANGGANG,BN - SUPP,,15903,6968,64.11,10195,188,159,9848,SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,45,8408,,,,,,,,,,,,,,INDEPENDENT,ASEM ANAK MANSOR,MALE,,1440,,,,,,,,,,,,,,,,,,,
P. 177_N. 24,SARAWAK,P. 177,LUBOK ANTU,N. 24,ENGKILILI,BN - SUPP,,9187,708,70.88,6512,5,72,6435,SUPP,TOH HENG SAN,MALE,,3485,,PKN,NOR AZMAN BIN ABDULLAH @ BEGINDA,MALE,,173,LOST DEPOSIT,,,,,,,INDEPENDENT,JOHNICHAL RAYONG ANAK NGIPA,MALE,,2777,,,,,,,,,,,,,,,,,,,
P. 177_N. 25,SARAWAK,P. 177,LUBOK ANTU,N. 25,BATANG AIR,BN - PBDS,Y,7817,,,,,,,PBDS,UNTING ANAK INGKOT,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 26,SARAWAK,P. 178,BETONG,N. 26,SARIBAS,BN - PBB,,9148,2197,65.45,5987,3,114,5870,PBB,WAHBI BIN JUNAIDI,MALE,,3710,,PKN,ABANG OTHMAN BIN ABANG HAJI GOM,MALE,,1513,,,,,,,,INDEPENDENT,ABG. AHMAD ARABI BIN ABG. BOHASSAN,MALE,,384,LOST DEPOSIT,INDEPENDENT,JAMES ENTIKA ANAK GUBAR,MALE,,207,LOST DEPOSIT,INDEPENDENT,CHIN MA TAK @ RAPHAEL MADA,MALE,,56,LOST DEPOSIT,,,,,,
P. 178_N. 27,SARAWAK,P. 178,BETONG,N. 27,LAYAR,BN - PBB,,10615,4533,67.81,7198,10,115,7073,PBB,ALFRED JABU ANAK NUMPANG,MALE,61,5704,,,,,,,,,,,,,,INDEPENDENT,FLORENCE WALTER SAMUEL,FEMALE,,1171,,INDEPENDENT,DANSON BULLI ANKA JELIAN,MALE,,198,LOST DEPOSIT,,,,,,,,,,,,
P. 179_N. 28,SARAWAK,P. 179,SARATOK,N. 28,KALAKA,BN - PBB,,13106,6498,70.53,9244,14,112,9118,PBB,ABDUL WAHAB BIN AZIZ,MALE,54,7692,,PKN,BASMAWI BIN MAHLI,MALE,,1194,,,,,,,,INDEPENDENT,IDRIS BIN BOHARI,MALE,,232,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 179_N. 29,SARAWAK,P. 179,SARATOK,N. 29,KRIAN,BN - SNAP,,10553,2890,72.3,7630,2,77,7551,SNAP,PETER NYAROK ANAK ENTRIE,MALE,54,5010,,PKN,JULIN ANAK ENTAMIN,MALE,,211,LOST DEPOSIT,STAR,BAYANG ANAK SUNGKEY,MALE,,58,LOST DEPOSIT,INDEPENDENT,MUSA ANAK DINGGAT,MALE,,2120,,INDEPENDENT,JOHN MOLLA @ WATT ANAK KUDIT,MALE,,152,LOST DEPOSIT,,,,,,,,,,,,
P. 180_N. 30,SARAWAK,P. 180,KUALA RAJANG,N. 30,BELAWAI,BN - PBB,,9244,1373,65.89,6091,3,92,5996,PBB,HAMDEN BIN AHMAD,MALE,53,3509,,,,,,,,,,,,,,INDEPENDENT,SHARIPAH HAJIJAH BT SYED JAMIL,FEMALE,,2136,,INDEPENDENT,OSMAN BIN OSSEN,MALE,,351,LOST DEPOSIT,,,,,,,,,,,,
P. 180_N. 31,SARAWAK,P. 180,KUALA RAJANG,N. 31,SERDENG,BN - PBB,,8111,2919,70.46,5715,3,121,5591,PBB,MOHAMAD ASFIA BIN AWANG NASSAR,MALE,54,4255,,,,,,,,,,,,,,INDEPENDENT,ABDUL KADIR BIN MADAHAN @ BAKONG,MALE,,1336,,,,,,,,,,,,,,,,,,,
P. 180_N. 32,SARAWAK,P. 180,KUALA RAJANG,N. 32,MATU DARO,BN - PBB,,10451,4430,71.9,7514,14,144,7356,PBB,WAHAB BIN HAJI DOLAH,MALE,51,5893,,,,,,,,,,,,,,INDEPENDENT,NOH BIN SA'BI @ SAA'BI,MALE,48,1463,,,,,,,,,,,,,,,,,,,
P. 181_N. 33,SARAWAK,P. 181,SARIKEI,N. 33,MERADONG,BN - SUPP,,15678,3621,71.88,11269,7,101,11161,SUPP,TING CHECK SII,MALE,,7391,,,,,,,,DAP,YEK SIE PING,MALE,,3770,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 34,SARAWAK,P. 181,SARIKEI,N. 34,REPOK,BN - SUPP,,18362,5769,69.39,12742,11,142,12589,SUPP,DAVID TENG LUNG CHI,MALE,56,8421,,PKN,WONG HUA SEH,MALE,51,2652,,DAP,WONG SING AI,MALE,,1516,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 35,SARAWAK,P. 182,JULAU,N. 35,PAKAN,BN - SNAP,,8798,2302,73.35,6453,0,76,6377,SNAP,WILLIAM IKOM,MALE,52,4242,,,,,,,,,,,,,,INDEPENDENT,MEGONG ANAK GREK,MALE,,1940,,INDEPENDENT,SAMUEL ANAK EDWARD CHUN,MALE,,195,LOST DEPOSIT,,,,,,,,,,,,
P. 182_N. 36,SARAWAK,P. 182,JULAU,N. 36,MELUAN,INDEPENDENT,,9943,2158,74.8,7437,2,109,7326,SNAP,GEMAN ANAK ITAM,MALE,,2584,,,,,,,,,,,,,,INDEPENDENT,WONG ANAK JUDAT,MALE,,4742,,,,,,,,,,,,,,,,,,,
P. 183_N. 37,SARAWAK,P. 183,KANOWIT,N. 37,NGEMAH,BN - PBDS,,7709,964,67.19,5180,4,66,5110,PBDS,ADEK ANAK DENONG,MALE,,3037,,,,,,,,,,,,,,INDEPENDENT,MICHAEL ANAK LIAS,MALE,,2073,,,,,,,,,,,,,,,,,,,
P. 183_N. 38,SARAWAK,P. 183,KANOWIT,N. 38,MACHAN,BN - PBB,,9963,2433,66.55,6630,6,91,6533,PBB,DATUK GRAMONG JUNA,MALE,55,4231,,,,,,,,,,,,,,INDEPENDENT,ALAU BIN TAYAN,MALE,,1798,,INDEPENDENT,ALPHONSUS SPUNG ANAK ANTAS,MALE,,504,LOST DEPOSIT,,,,,,,,,,,,
P. 184_N. 39,SARAWAK,P. 184,LANANG,N. 39,BUKIT ASSEK,BN - SUPP,,17807,875,66.08,11767,6,58,11703,SUPP,NGIENG KIONG ANN,MALE,49,6289,,,,,,,,DAP,WONG HO LENG,MALE,42,5414,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 40,SARAWAK,P. 184,LANANG,N. 40,DUDONG,BN - SUPP,,20726,6315,69.5,14405,3,218,14184,SUPP,SOON CHOON TECK,MALE,58,9679,,,,,,,,DAP,WONG KEE WOAN,MALE,38,3364,,INDEPENDENT,LUBAU ANAK GENAM,MALE,,1001,LOST DEPOSIT,INDEPENDENT,BARRY YEK TIEW LEONG,MALE,,140,LOST DEPOSIT,,,,,,,,,,,,
P. 185_N. 41,SARAWAK,P. 185,SIBU,N. 41,BAWANG ASSAN,BN - SUPP,,17314,7096,68.85,11920,2,84,11834,SUPP,WONG SOON KOH,MALE,59,9465,,,,,,,,DAP,MICHAEL TING MING TEE,MALE,,2369,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 42,SARAWAK,P. 185,SIBU,N. 42,PELAWAN,BN - SUPP,,28722,8445,69.5,19961,25,123,19813,SUPP,GOH CHUNG SIONG,MALE,50,14129,,,,,,,,DAP,TING CHECK MING,MALE,,5684,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 43,SARAWAK,P. 185,SIBU,N. 43,NANGKA,BN - PBB,,12826,7005,69.18,8873,63,158,8652,PBB,AWANG BEMEE BIN AWANG ALI BASAH,MALE,42,7559,,PKN,ABDUL RAHMAN BIN PUTIT,MALE,,539,LOST DEPOSIT,,,,,,,INDEPENDENT,ABANG ABDUL HALIL BIN ABANG NAILI,MALE,,554,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 186_N. 44,SARAWAK,P. 186,MUKAH,N. 44,DALAT,BN - PBB,,13786,6524,62.82,8660,13,177,8470,PBB,FATIMAH BT ABDULLAH @ TING SAI MING,FEMALE,44,7497,,,,,,,,,,,,,,INDEPENDENT,PETER NARI DINA,MALE,,973,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 186_N. 45,SARAWAK,P. 186,MUKAH,N. 45,BALINGIAN,BN - PBB,,11393,7307,70.84,8071,9,103,7959,PBB,DATUK PATINGGI TAN SRI (DR.) HAJI ABDUL TAIB BIN MAHMUD,MALE,65,7532,,,,,,,,,,,,,,INDEPENDENT,YEO ENG CHOO @ ALICE ALISON ENG CHOO,FEMALE,50,225,LOST DEPOSIT,INDEPENDENT,KADRI BIN JALI,MALE,57,141,LOST DEPOSIT,INDEPENDENT,ALAN ANAK DUNGGAT,MALE,50,61,LOST DEPOSIT,,,,,,
P. 187_N. 46,SARAWAK,P. 187,SELANGAU,N. 46,TAMIN,BN - PBDS,,10763,5444,67.89,7307,2,129,7176,PBDS,JOSEPH ENTULU ANAK BELAUN,MALE,,6310,,,,,,,,,,,,,,INDEPENDENT,RICKY ANAK BERNARD BETTI,MALE,,866,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 187_N. 47,SARAWAK,P. 187,SELANGAU,N. 47,KAKUS,BN - PBDS,,9002,3121,63.82,5745,0,97,5648,PBDS,JOHN SIKIE ANAK TAYAI,MALE,51,4252,,PKN,JOSHUA RENANG ANAK MANAI,MALE,,265,LOST DEPOSIT,,,,,,,INDEPENDENT,CHARLIE @ CHALI ANAK LUNYONG,MALE,,1131,,,,,,,,,,,,,,,,,,,
P. 188_N. 48,SARAWAK,P. 188,KAPIT,N. 48,PELAGUS,BN - PBDS,,13406,6263,73,9786,18,105,9663,PBDS,LARRY SOON @ LARAY SANG WEI SHIEN,MALE,22,7418,,,,,,,,,,,,,,INDEPENDENT,LING KOK HONG,MALE,,1155,LOST DEPOSIT,INDEPENDENT,JEFFREY NUING ANAK EBOM,MALE,,1011,LOST DEPOSIT,INDEPENDENT,CHUA BEE HUN,MALE,,40,LOST DEPOSIT,INDEPENDENT,LEE HUN TAK,MALE,,39,LOST DEPOSIT
P. 188_N. 49,SARAWAK,P. 188,KAPIT,N. 49,KATIBAS,BN - PBB,Y,8481,,,,,,,PBB,AMBROSE BLIKAU,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 189_N. 50,SARAWAK,P. 189,HULU RAJANG,N. 50,BALEH,BN - PBDS,,9798,5992,70.02,6861,1,96,6764,PBDS,JAMES JEMUT ANAK MASING,MALE,52,6378,,,,,,,,,,,,,,INDEPENDENT,STEPHEN NYAMOK ANAK MEDAN,MALE,,386,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 189_N. 51,SARAWAK,P. 189,HULU RAJANG,N. 51,BELAGA,BN - PBDS,,6476,1414,66.14,4283,6,95,4182,PBDS,STANLEY ANJANG BATOK,MALE,,2542,,PKN,ABIN BIRA,MALE,,512,,,,,,,,INDEPENDENT,MAI LAGIW @ MAY ANAK LEGEW,MALE,,1128,,,,,,,,,,,,,,,,,,,
P. 190_N. 52,SARAWAK,P. 190,BINTULU,N. 52,KEMENA,BN - PBB,,13665,5832,64.15,8766,2,132,8632,PBB,RUNDI @ STEPHEN RUNDTHEE ANAK UTOM,MALE,41,6830,,,,,,,,DAP,DAVID ANAK KIMAY,MALE,52,998,LOST DEPOSIT,INDEPENDENT,JOHN BRIAN ANTHONY ANAK JEREMY,MALE,55,716,LOST DEPOSIT,INDEPENDENT,EDWARD GALAU ANAK SIGI,MALE,49,88,LOST DEPOSIT,,,,,,,,,,,,
P. 190_N. 53,SARAWAK,P. 190,BINTULU,N. 53,KIDURONG,DAP,,22082,143,68.42,15108,36,113,14959,SUPP,MICHAEL SIM KIAM HUI,MALE,61,7408,,,,,,,,DAP,CHIEW CHIU SING,MALE,51,7551,,,,,,,,,,,,,,,,,,,,,,,,,
P. 190_N. 54,SARAWAK,P. 190,BINTULU,N. 54,JEPAK,BN - PBB,,11814,4547,69.18,8173,2,94,8077,PBB,TALIB BIN ZULPILIP,MALE,50,6002,,,,,,,,DAP,WAN SAIMI BIN WAN DAHLAN,MALE,,397,LOST DEPOSIT,INDEPENDENT,BOLHASSAN BIN KAMBAR,MALE,,1455,,INDEPENDENT,JULAIHI BIN ZAINUDDIN,MALE,,223,LOST DEPOSIT,,,,,,,,,,,,
P. 191_N. 55,SARAWAK,P. 191,MIRI,N. 55,LAMBIR,BN - PBB,,20666,8800,58.18,12024,10,154,11860,PBB,SWIN BIN JEMAAH @ AIDIN WING,MALE,47,10115,,PKN,MOHDAK BIN ISMAIL,MALE,,1315,LOST DEPOSIT,,,,,,,INDEPENDENT,ROSLIE BIN SILI,MALE,,430,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 191_N. 56,SARAWAK,P. 191,MIRI,N. 56,PIASAU,BN - SUPP,,21301,7673,60.66,12921,31,89,12801,SUPP,GEORGE CHAN HONG NAM,MALE,65,10237,,,,,,,,DAP,LAW CHING SING,MALE,43,2564,,,,,,,,,,,,,,,,,,,,,,,,,
P. 191_N. 57,SARAWAK,P. 191,MIRI,N. 57,SENADIN,BN - SUPP,,28132,9199,62.17,17490,301,180,17009,SUPP,LEE KIM SIN,MALE,51,13104,,PKN,MICHAEL TEO YU KENG,MALE,54,3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 192_N. 58,SARAWAK,P. 192,BARAM,N. 58,MARUDI,BN - SNAP,,12195,2954,55.92,6819,8,75,6736,SNAP,SYLVESTER ENTRI ANAK MURAN,MALE,47,4587,,PKN,NGAU LAING,MALE,,1633,,,,,,,,INDEPENDENT,MERENG IMANG,MALE,,463,LOST DEPOSIT,INDEPENDENT,NORDIN MALIM BIN MOHD SAID MALIM,MALE,,53,LOST DEPOSIT,,,,,,,,,,,,
P. 192_N. 59,SARAWAK,P. 192,BARAM,N. 59,TELANG USAN,BN - PBB,,12591,1029,50.26,6328,9,106,6213,PBB,LIHAN JOK,MALE,44,3621,,,,,,,,,,,,,,INDEPENDENT,KEBING WAN,MALE,,2592,,,,,,,,,,,,,,,,,,,
P. 193_N. 60,SARAWAK,P. 193,BUKIT MAS,N. 60,LIMBANG,BN - SNAP,,16904,559,65.63,11094,113,86,10895,SNAP,RICHARD WONG SHOON FOOK,MALE,,5668,,PKN,AMRAN @ HAMDAN BIN MAIDIN @ MOHIDIN,MALE,,118,LOST DEPOSIT,,,,,,,INDEPENDENT,SAID BIN MOHIDIN,MALE,,5109,,,,,,,,,,,,,,,,,,,
P. 193_N. 61,SARAWAK,P. 193,BUKIT MAS,N. 61,LAWAS,BN - PBB,,9922,6010,67.18,6666,14,64,6588,PBB,TENGAH BIN ALI HASSAN,MALE,46,6299,,PKN,JAPAR BIN SUYUT,MALE,,289,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
