UNIQUE CODE (2018),PARLIAMENTARY CONSTITUENCY CODE (2018),PARLIAMENTARY CONSTITUENCY NAME (2018),UNIQUE CODE (2019),PARLIAMENTARY CODE (2019),PARLIAMENTARY NAME (2019),PARLIAMENTARY NAME CHANGE,NEW PARLIAMENTARY SEAT,NOTES
P. 167,P. 167,KUDAT,P. 167,P. 167,KUDAT,,,
P. 168,P. 168,KOTA MARUDU,P. 168,P. 168,KOTA MARUDU,,,
P. 169,P. 169,KOTA BELUD,P. 169,P. 169,KOTA BELUD,,,
P. 170,P. 170,TUARAN,P. 170,P. 170,TUARAN,,,
P. 171,P. 171,SEPANGGAR,P. 171,P. 171,SEPANGGAR,,,Boundaries were changed
P. 172,P. 172,KOTA KINABALU,P. 172,P. 172,KOTA KINABALU,,,
P. 173,P. 173,PUTATAN,P. 173,P. 173,PUTATAN,,,Boundaries were changed
P. 174,P. 174,PENAMPANG,P. 174,P. 174,PENAMPANG,,,Boundaries were changed
P. 175,P. 175,PAPAR,P. 175,P. 175,PAPAR,,,Boundaries were changed
P. 176,P. 176,KIMANIS,P. 176,P. 176,KIMANIS,,,
P. 177,P. 177,BEAUFORT,P. 177,P. 177,BEAUFORT,,,
P. 178,P. 178,SIPITANG,P. 178,P. 178,SIPITANG,,,
P. 179,P. 179,RANAU,P. 179,P. 179,RANAU,,,
P. 180,P. 180,KENINGAU,P. 180,P. 180,KENINGAU,,,
P. 181,P. 181,TENOM,P. 181,P. 181,TENOM,,,
P. 182,P. 182,PENSIANGAN,P. 182,P. 182,PENSIANGAN,,,
P. 183,P. 183,BELURAN,P. 183,P. 183,BELURAN,,,
P. 184,P. 184,LIBARAN,P. 184,P. 184,LIBARAN,,,
P. 185,P. 185,BATU SAPI,P. 185,P. 185,BATU SAPI,,,
P. 186,P. 186,SANDAKAN,P. 186,P. 186,SANDAKAN,,,
P. 187,P. 187,KINABATANGAN,P. 187,P. 187,KINABATANGAN,,,
P. 188,P. 188,SILAM,P. 188,P. 188,LAHAD DATU,YES,,
P. 189,P. 189,SEMPORNA,P. 189,P. 189,SEMPORNA,,,
P. 190,P. 190,TAWAU,P. 190,P. 190,TAWAU,,,
P. 191,P. 191,KALABAKAN,P. 191,P. 191,KALABAKAN,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
