UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),URBAN-RURAL CLASSIFICATION (2013)
P.099,SELANGOR,P.099,AMPANG,83135,55.28,33.47,9.75,0.01,0.18,0.14,1.17,99.01,0.08,0.92,0,URBAN
P.100,SELANGOR,P.100,PANDAN,83857,44.36,48.15,6.59,0.01,0.3,0.14,0.47,99.86,0.03,0.12,0,URBAN
P.101,SELANGOR,P.101,HULU LANGAT,127347,52.74,34.27,11.32,0.51,0.24,0.29,0.63,96.23,0.04,3.73,0,URBAN
P.102,SELANGOR,P.102,SERDANG,133139,39.58,48.62,11.04,0,0.18,0.16,0.42,99.68,0.06,0.2,0.06,URBAN
P.103,SELANGOR,P.103,PUCHONG,107010,39.36,43.52,15.9,0.13,0.28,0.23,0.57,99.18,0.03,0.5,0.29,URBAN
P.104,SELANGOR,P.104,KELANA JAYA,101236,37.93,41.71,18.58,0,0.41,0.27,1.09,99.03,0.09,0.88,0,URBAN
P.105,SELANGOR,P.105,PETALING JAYA SELATAN,79558,40.25,41.49,16.49,0.01,0.13,0.15,1.48,99.03,0.03,0.94,0,URBAN
P.106,SELANGOR,P.106,PETALING JAYA UTARA,85401,14.17,77.16,7.38,0,0.11,0.1,1.07,99.38,0.04,0.58,0,URBAN
P.107,SELANGOR,P.107,SUBANG,128543,47.71,38.05,12.67,0.24,0.34,0.36,0.63,96.42,0.04,0.37,3.17,URBAN
P.108,SELANGOR,P.108,SHAH ALAM,99957,69.93,14.94,14.18,0.07,0.26,0.2,0.43,97.87,0.04,2.02,0.07,URBAN
P.109,SELANGOR,P.109,KAPAR,144159,51.5,33.59,14.36,0.02,0.19,0.07,0.27,99.76,0.02,0.23,0,URBAN
P.110,SELANGOR,P.110,KLANG,97073,32.95,45.79,19.8,0.07,0.52,0.17,0.7,98.61,0.02,0.94,0.43,URBAN
P.111,SELANGOR,P.111,KOTA RAJA,105909,44.61,24.8,29.46,0.01,0.42,0.12,0.59,99.95,0.03,0.03,0,URBAN
P.112,SELANGOR,P.112,KUALA LANGAT,88474,54.57,25.85,17.14,1.84,0.16,0.12,0.31,98.7,0.01,0.38,0.91,SEMI URBAN
P.113,SELANGOR,P.113,SEPANG,84362,59.13,22.1,15.89,2.25,0.18,0.15,0.3,98.76,0.03,1.21,0,SEMI URBAN
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,68035,4.52,88.44,6.37,0,0.33,0.04,0.31,99.78,0.03,0.19,0,URBAN
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,85402,44.41,37.76,16.21,0.01,0.33,0.44,0.84,96.03,0.04,0.9,3.02,URBAN
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,67775,53.32,36.15,8.75,0.05,0.37,0.66,0.71,95.26,0.06,0.57,4.12,URBAN
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,75631,33.24,52.77,12.04,0.02,0.39,0.28,1.27,91.41,0.1,8.5,0,URBAN
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,62309,56.23,30.33,11.24,0.04,0.59,0.97,0.61,80.1,0.07,3.27,16.56,URBAN
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,55282,68.06,19.85,10.36,0.01,0.31,0.34,1.07,96.49,0.07,0.24,3.2,URBAN
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,55721,14.37,73.17,10.74,0.02,0.45,0.51,0.76,90.56,0.03,5.04,4.36,URBAN
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,72396,55.31,22.82,19.93,0.02,0.34,0.25,1.33,97,0.05,2.88,0.06,URBAN
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,85976,5.32,87.98,5.84,0,0.18,0.06,0.62,99.82,0.05,0.13,0,URBAN
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,72551,10.33,81.79,7.25,0.01,0.21,0.06,0.36,99.42,0.03,0.55,0,URBAN
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,90993,52.6,37.45,8.64,0.01,0.37,0.49,0.44,94.33,0.05,0.18,5.44,URBAN
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,15791,94.45,1.08,3.1,0.03,0.72,0.32,0.3,95.31,0.35,4.33,0,URBAN
P.126,NEGERI SEMBILAN,P.126,JELEBU,44937,63.46,25.9,5.96,4.32,0.15,0.12,0.08,97.25,0.01,2.73,0,RURAL
P.127,NEGERI SEMBILAN,P.127,JEMPOL,65213,60.63,25.31,13.06,0.77,0.05,0.05,0.12,99.42,0.01,0.57,0,RURAL
P.128,NEGERI SEMBILAN,P.128,SEREMBAN,102305,43.69,41.08,13.68,0.76,0.16,0.17,0.46,98.03,0.05,1.24,0.68,URBAN
P.129,NEGERI SEMBILAN,P.129,KUALA PILAH,47671,76.08,16.88,5.01,1.77,0.06,0.07,0.14,99.39,0.02,0.59,0,RURAL
P.130,NEGERI SEMBILAN,P.130,RASAH,88403,27.84,48.35,22.15,0.48,0.18,0.23,0.77,96.85,0.04,0.75,2.36,URBAN
