UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE GENDER,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE GENDER,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE GENDER,OTHER PARTY 3 CANDIDATE AGE,OTHER PARTY 3 CANDIDATE VOTE,STATUS FOR OTHER PARTY 3,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 3,INDEPDENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 4,INDEPDENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE
P.012,KEDAH,P.012,JERAI,BN - UMNO,,74410,1196,87.1,64778,164,952,63662,BN - UMNO,JAMIL KHIR BIN BAHAROM,,,32429,PR-PAS,MOHD FIRDAUS BIN JAAFAR,,,31233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013,KEDAH,P.013,SIK,BN - UMNO,,46786,2807,89.9,42077,85,631,41361,BN - UMNO,MANSOR BIN ABD RAHMAN,,,22084,PR-PAS,CHE UDA BIN CHE NIK,,,19277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014,KEDAH,P.014,MERBOK,BN - UMNO,,85908,4122,86.7,74520,226,1340,72954,BN - UMNO,ISMAIL BIN DAUT,,,38538,PR-PKR,NOR AZRINA BINTI SURIP,,,34416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015,KEDAH,P.015,SUNGAI PETANI,PR-PKR,,93176,9548,87,81024,253,959,79812,BN - UMNO,SYAMSYUL ANUAR BIN CHE MEY @ ISMAIL,,,34646,PR-PKR,JOHARI BIN ABDUL,,,44194,KITA,SUHAIMI BIN HASHIM,,,200,,,,,,,,,,,,INDEPENDENT,ONG WEI SIN,,,772,,,,,,,,,,,,,,,
P.016,KEDAH,P.016,BALING,BN - UMNO,,93168,5185,89.2,83109,195,1091,81823,BN - UMNO,ABDUL AZEEZ BIN ABDUL RAHIM,,,43504,PR-PAS,NAJMI BIN HJ AHMAD,,,38319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017,KEDAH,P.017,PADANG SERAI,PR-PKR,,74095,8437,87.2,64584,197,1223,63164,BN - MCA,HENG SEAI KIE,,,25714,PR-PKR,N SURENDRAN A/L K NAGARAJAN,,,34151,BERJASA,HAMIDI BIN ABU HASSAN,,,2630,,,,,,,,,,,,INDEPENDENT,GOBALAKRISHNAN A/L NAGAPAN,,,390,INDEPENDENT,OTHMAN BIN WAWI,,,279,,,,,,,,,,
P.018,KEDAH,P.018,KULIM - BANDAR BAHARU,BN - UMNO,,60910,1871,86.6,52766,234,839,51693,BN - UMNO,ABD. AZIZ BIN SHEIKH FADZIR,,,26782,PR-PKR,SAIFUDDIN NASUTION BIN ISMAIL,,,24911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019,KELANTAN,P.019,TUMPAT,PR-PAS,,98632,10704,84.1,82962,198,1086,81678,BN - UMNO,MANSOR BIN SALLEH,,,35487,PR-PAS,KAMARUDIN BIN JAFFAR,,,46191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020,KELANTAN,P.020,PENGKALAN CHEPA,PR-PAS,,64409,15120,84.5,54985,188,683,54114,BN - UMNO,DALI BIN HUSIN,,,19497,PR-PAS,IZANI BIN HUSIN,,,34617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021,KELANTAN,P.021,KOTA BHARU,PR-PAS,,81268,15970,81.6,66277,193,666,65418,BN - UMNO,MOHAMAD FATMI BIN CHE SALLEH,,,24650,PR-PAS,TAKIYUDDIN BIN HASSAN,,,40620,,,,,,,,,,,,,,,,,INDEPENDENT,MOHD ZAKIMAN BIN ABU BAKAR,,,148,,,,,,,,,,,,,,,
