UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE GENDER,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE GENDER,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE GENDER,OTHER PARTY 3 CANDIDATE AGE,OTHER PARTY 3 CANDIDATE VOTE,STATUS FOR OTHER PARTY 3,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 3,INDEPDENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 4,INDEPDENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE
P.058,PERAK,P.058,BAGAN SERAI,BN - UMNO,,54792,1140,84.7,46384,71,1096,45217,BN - UMNO,NOOR AZMI BIN GHAZALI,,,23014,PR-PKR,MOHD NOR BIN HJ. R. M. MONUTTY,,,21874,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL LATIF BIN MASUD,,,329,,,,,,,,,,,,,,,
P.059,PERAK,P.059,BUKIT GANTANG,PR-PAS,,71257,986,85.6,61018,130,748,60140,BN - UMNO,ISMAIL BIN SAFFIAN,,,29577,PR-PAS,IDRIS BIN AHMAD,,,30563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060,PERAK,P.060,TAIPING,PR-DAP,,78148,11745,81.8,63913,164,944,62805,BN - GERAKAN,TAN LIAN HOE,,,25530,PR-DAP,NGA KOR MING,,,37275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.061,PERAK,P.061,PADANG RENGAS,BN - UMNO,,28518,2230,85,24230,40,410,23780,BN - UMNO,MOHAMED NAZRI BIN ABDUL AZIZ,,,13005,PR-PKR,MEOR AHMAD ISHARRA BIN ISHAK,,,10775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062,PERAK,P.062,SUNGAI SIPUT,PR-PKR,,51596,2793,80.7,41617,45,982,40590,BN - MIC,DEVAMANY A/L S KRISHNASAMY,,,18800,PR-PKR,MICHAEL JEYAKUMAR DEVARAJ,,,21593,,,,,,,,,,,,,,,,,INDEPENDENT,NAGALINGAM A/L SINGARAVELLOO,,,197,,,,,,,,,,,,,,,
P.063,PERAK,P.063,TAMBUN,BN - UMNO,,89435,9325,85.3,76275,218,1196,74861,BN - UMNO,AHMAD HUSNI BIN MOHAMAD HANADZLAH,,,42093,PR-PKR,SITI AISHAH BINTI SHAIK ISMAIL,,,32768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064,PERAK,P.064,IPOH TIMOR,PR-DAP,,81818,34000,79.7,65217,211,834,64172,BN - MCA,KATHLEEN WONG MEI YIN,,,15086,PR-DAP,SU KEONG SIONG,,,49086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065,PERAK,P.065,IPOH BARAT,PR-DAP,,77761,29038,81.1,63074,162,875,62037,BN - MCA,CHENG WEI YEE,,,16382,PR-DAP,M. KULASEGARAN A/L V. MURUGESON,,,45420,,,,,,,,,,,,,,,,,INDEPENDENT,KALWANT SINGH A/L SUJAN SINGH,,,235,,,,,,,,,,,,,,,
P.066,PERAK,P.066,BATU GAJAH,PR-DAP,,87587,38410,80.2,70270,174,966,69130,BN - MCA,LOO THIN TUCK,,,15360,PR-DAP,SIVAKUMAR A/L VARATHARAJU NAIDU,,,53770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.067,PERAK,P.067,KUALA KANGSAR,BN - UMNO,,33540,1082,84.3,28283,75,407,27801,BN - UMNO,WAN MOHAMMAD KHAIR-IL ANUAR BIN WAN AHMAD,,,14218,PR-PAS,KHALIL IDHAM LIM BIN ABDULLAH,,,13136,,,,,,,,,,,,,,,,,INDEPENDENT,KAMILIA BINTI IBRAHIM,,,447,,,,,,,,,,,,,,,
P.068,PERAK,P.068,BERUAS,PR-DAP,,49205,5057,80.5,39586,78,687,38821,BN - GERAKAN,CHANG KO YOUN,,,16882,PR-DAP,NGEH KOO HAM,,,21939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069,PERAK,P.069,PARIT,BN - UMNO,,33503,4497,85.4,28613,72,532,28009,BN - UMNO,MOHD ZAIM BIN ABU HASAN,,,16253,PR-PAS,MUHAMMAD ISMI BIN MAT TAIB,,,11756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070,PERAK,P.070,KAMPAR,PR-DAP,,63619,5400,77.4,49272,126,820,48326,BN - MCA,LEE CHEE LEONG,,,21463,PR-DAP,KO CHUNG SEN,,,26863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071,PERAK,P.071,GOPENG,PR-PKR,,97092,15309,83.9,81442,179,1456,79807,BN - MCA,TAN CHIN MENG,,,32249,PR-PKR,LEE BOON CHYE,,,47558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.072,PERAK,P.072,TAPAH,BN - MIC,,45485,7927,81.3,36957,102,1052,35803,BN - MIC,SARAVANAN A/L MURUGAN,,,20670,PR-PKR,VASANTHA KUMAR A/L KRISHNAN,,,12743,BERJASA,SHAHARUZZAMAN BIN BISTAMAM,,,2053,,,,,,,,,,,,INDEPENDENT,RIDZUAN BIN BANI,,,337,,,,,,,,,,,,,,,
P.073,PERAK,P.073,PASIR SALAK,BN - UMNO,,51498,7386,84.5,43533,161,1008,42364,BN - UMNO,TAJUDDIN BIN ABDUL RAHMAN,,,24875,PR-PKR,MUSTAFFA KAMIL BIN AYUB,,,17489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074,PERAK,P.074,LUMUT,PR-PKR,,88300,8168,83.5,73756,175,1133,72448,BN - MCA,KONG CHO HA,,,32140,PR-PKR,MOHAMAD IMRAN BIN ABD HAMID,,,40308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075,PERAK,P.075,BAGAN DATOK,BN - UMNO,,39924,2108,82.8,33069,109,716,32244,BN - UMNO,AHMAD ZAHID BIN HAMIDI,,,17176,PR-PKR,MADHI BIN HASAN,,,15068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076,PERAK,P.076,TELOK INTAN,PR-DAP,,60483,7313,80.7,48839,190,885,47764,BN - GERAKAN,MAH SIEW KEONG,,,20086,PR-DAP,SEAH LEONG PENG,,,27399,,,,,,,,,,,,,,,,,INDEPENDENT,MORALINGAM A/L KANNAN,,,279,,,,,,,,,,,,,,,
P.077,PERAK,P.077,TANJONG MALIM,BN - MCA,,64499,4328,82.8,53399,162,1115,52122,BN - MCA,DATO' SERI ONG KA CHUAN,,,28225,PR-PKR,TAN YEE KEW,,,23897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078,PAHANG,P.078,CAMERON HIGHLANDS,BN - MIC,,27980,462,81.3,22754,6,877,21871,BN - MIC,PALANIVEL A/L K. GOVINDASAMY,,,10506,PR-DAP,MANOGARAN A/L MARIMUTHU,,,10044,BERJASA,MOHD SHOKRI BIN MAHMOOD,,,912,,,,,,,,,,,,INDEPENDENT,KISHO KUMAR A/L KATHIRVELOO,,,101,INDEPENDENT,ALAGU A/L THANGARAJOO,,,308,,,,,,,,,,
P.079,PAHANG,P.079,LIPIS,BN - UMNO,,32324,3469,83.9,27126,140,426,26560,BN - UMNO,ABDUL RAHMAN BIN MOHAMAD,,,14863,PR-PAS,MOHD MAHYUDDIN BIN GHAZAL @ RAZALI,,,11394,,,,,,,,,,,,,,,,,INDEPENDENT,AISHATON BINTI ABU BAKAR,,,303,,,,,,,,,,,,,,,
P.080,PAHANG,P.080,RAUB,PR-DAP,,54214,2814,83.1,45059,116,927,44016,BN - MCA,HOH KHAI MUN,,,20601,PR-DAP,MOHD ARIFF SABRI BIN ABDUL AZIZ,,,23415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081,PAHANG,P.081,JERANTUT,BN - UMNO,,58364,4532,85,49600,139,905,48556,BN - UMNO,AHMAD NAZLAN BIN IDRIS,,,26544,PR-PAS,DR. HAMZAH BIN JAAFFAR,,,22012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082,PAHANG,P.082,INDERA MAHKOTA,PR-PKR,,64219,7523,85.2,54737,210,689,53838,BN - UMNO,ADNAN BIN WAN MAMAT,,,23061,PR-PKR,FAUZI BIN ABDUL RAHMAN,,,30584,,,,,,,,,,,,,,,,,INDEPENDENT,PONUSAMY A/L GOVINDASAMY,,,193,,,,,,,,,,,,,,,
P.083,PAHANG,P.083,KUANTAN,PR-PKR,,56280,4515,85,47858,135,570,47153,BN - UMNO,MOHAMED SUFFIAN BIN AWANG,,,21319,PR-PKR,FUZIAH BINTI SALLEH,,,25834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084,PAHANG,P.084,PAYA BESAR,BN - UMNO,,48067,7715,85,40834,140,643,40051,BN - UMNO,ABDUL MANAN BIN ISMAIL,,,23747,PR-PKR,MURNIE HIDAYAH BINTI ANUAR,,,16032,,,,,,,,,,,,,,,,,INDEPENDENT,ZAHARI BIN MAMAT,,,272,,,,,,,,,,,,,,,
P.085,PAHANG,P.085,PEKAN,BN - UMNO,,80260,35613,85.3,68464,246,1275,66943,BN - UMNO,MOHD NAJIB BIN HJ ABD RAZAK,,,51278,PR-PKR,MOHD. FARIZ B. ABD. TALIB @ MUSA,,,15665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086,PAHANG,P.086,MARAN,BN - UMNO,,38436,6475,85.2,32750,155,572,32023,BN - UMNO,ISMAIL BIN ABD. MUTTALIB,,,19249,PR-PAS,MUJIBUR RAHMAN BIN ISHAK,,,12774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087,PAHANG,P.087,KUALA KRAU,BN - UMNO,,43003,6205,87.6,37663,115,603,36945,BN - UMNO,ISMAIL BIN MOHAMED SAID,,,21575,PR-PAS,SHAHRIL AZMAN BIN ABD HALIM,,,15370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088,PAHANG,P.088,TEMERLOH,PR-PAS,,66105,1070,85.6,56595,154,977,55464,BN - UMNO,SAIFUDDIN BIN ABDULLAH,,,27197,PR-PAS,NASRUDIN BIN HASSAN,,,28267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089,PAHANG,P.089,BENTONG,BN - MCA,,62266,379,84.5,52628,125,988,51515,BN - MCA,LIOW TIONG LAI,,,25947,PR-DAP,WONG TACK,,,25568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090,PAHANG,P.090,BERA,BN - UMNO,,50997,2143,84.2,42944,114,965,41865,BN - UMNO,ISMAIL SABRI BIN YAAKOB,,,21669,PR-PKR,ZAKARIA BIN ABDUL HAMID,,,19526,,,,,,,,,,,,,,,,,INDEPENDENT,MOHD WALI BIN ALANG AHAMAD,,,670,,,,,,,,,,,,,,,
P.091,PAHANG,P.091,ROMPIN,BN - UMNO,,53596,15114,85.9,46014,165,883,44966,BN - UMNO,JAMALUDIN BIN JARJIS,,,30040,PR-PAS,NURIDAH BINTI MOHD SALLEH,,,14926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.092,SELANGOR,P.092,SABAK BERNAM,BN - UMNO,,37318,1890,85.4,31859,153,576,31130,BN - UMNO,MOHD FASIAH BIN MOHD FAKEH,,,16510,PR-PKR,ABDUL AZIZ BIN BARI,,,14620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093,SELANGOR,P.093,SUNGAI BESAR,BN - UMNO,,42837,399,88.3,37810,129,690,36991,BN - UMNO,NORIAH BINTI KASNON,,,18695,PR-PAS,MOHAMED SALLEH BIN M HUSIN,,,18296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094,SELANGOR,P.094,HULU SELANGOR,BN - MIC,,85697,3414,87.6,75113,166,1451,73496,BN - MIC,P.KAMALANATHAN A/L P.PANCHANATHAN,,,37403,PR-PKR,KHALID BIN JAAFAR,,,33989,,,,,,,,,,,,,,,,,INDEPENDENT,SANTHARA KUMAR A/L RAMANAIDU,,,999,INDEPENDENT,RADZALI BIN MOKHTAR,,,1105,,,,,,,,,,
P.095,SELANGOR,P.095,TANJONG KARANG,BN - UMNO,,42333,4394,89.2,37768,92,634,37042,BN - UMNO,NOH BIN OMAR,,,20548,PR-PAS,MOHAMAD RASHDI BIN DERAMAN,,,16154,,,,,,,,,,,,,,,,,INDEPENDENT,MASRUN BIN TAMSI,,,340,,,,,,,,,,,,,,,
P.096,SELANGOR,P.096,KUALA SELANGOR,BN - UMNO,,62298,460,89.2,55592,118,934,54540,BN - UMNO,IRMOHIZAM BIN IBRAHIM,,,27500,PR-PAS,DZULKEFLY BIN AHMAD,,,27040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.097,SELANGOR,P.097,SELAYANG,PR-PKR,,105895,17958,87.4,92528,213,1435,90880,BN - MCA,LIM SIANG CHAI,,,34385,PR-PKR,WILLIAM LEONG JEE KEEN,,,52343,BERJASA,HAJI MOHD HAZIZI BIN AB. RAHMAN,,,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.098,SELANGOR,P.098,GOMBAK,PR-PKR,,123290,4734,86.9,107140,393,1353,105394,BN - UMNO,RAMAN BIN ISMAIL,,,50093,PR-PKR,MOHAMED AZMIN BIN ALI,,,54827,,,,,,,,,,,,,,,,,INDEPENDENT,SAID NAZAR BIN ABU BAKER,,,474,,,,,,,,,,,,,,,
P.099,SELANGOR,P.099,AMPANG,PR-PKR,,83135,13278,86.1,71574,176,738,70660,BN - UMNO,ROZAIDAH BINTI TALIB,,,28691,PR-PKR,ZURAIDA BINTI KAMARUDDIN,,,41969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.100,SELANGOR,P.100,PANDAN,PR-PKR,,83857,26729,87.3,73228,153,1023,72052,BN - MCA,LIM CHIN YEE,,,21454,PR-PKR,MOHD RAFIZI BIN RAMLI,,,48183,,,,,,,,,,,,,,,,,INDEPENDENT,TAN YEW LENG,,,2415,,,,,,,,,,,,,,,
P.101,SELANGOR,P.101,HULU LANGAT,PR-PAS,,127347,17267,88.6,112856,534,1335,110987,BN - UMNO,ADZHALIZA BINTI MOHD NOR,,,46860,PR-PAS,CHE ROSLI BIN CHE MAT,,,64127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102,SELANGOR,P.102,SERDANG,PR-DAP,,133139,42206,88.9,118339,291,1778,116270,BN - MCA,YAP PIAN HON,,,37032,PR-DAP,ONG KIAN MING,,,79238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103,SELANGOR,P.103,PUCHONG,PR-DAP,,107010,32802,88.3,94529,194,1261,93074,BN - GERAKAN,A. KOHILAN PILLAY A/L G. APPU,,,30136,PR-DAP,GOBIND SINGH DEO,,,62938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,SELANGOR,P.104,KELANA JAYA,PR-PKR,,101236,28827,85.4,86497,210,1171,85116,BN - MCA,LOH SENG KOK,,,27963,PR-PKR,WONG CHEN,,,56790,,,,,,,,,,,,,,,,,INDEPENDENT,TOH SIN WAH,,,363,,,,,,,,,,,,,,,
P.105,SELANGOR,P.105,PETALING JAYA SELATAN,PR-PKR,,79558,19216,82.1,65323,138,830,64355,BN - MCA,SHEAH KOK FAH,,,21846,PR-PKR,HEE LOY SIAN,,,41062,,,,,,,,,,,,,,,,,INDEPENDENT,IBRAHIM BIN KHATIB,,,1447,,,,,,,,,,,,,,,
P.106,SELANGOR,P.106,PETALING JAYA UTARA,PR-DAP,,85401,44672,82.8,70727,113,472,70142,BN - MCA,CHEW HOONG LING,,,12735,PR-DAP,PUA KIAM WEE,,,57407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107,SELANGOR,P.107,SUBANG,PR-PKR,,128543,26719,87.9,112937,319,1669,110949,BN - MIC,PAKAS RAO A/L APPLANAIDOO,,,39549,PR-PKR,SIVARASA A/L K. RASIAH,,,66268,BERJASA,MOHAMAD BIN ISMAIL,,,4454,,,,,,,,,,,,INDEPENDENT,NAZARUDDIN BIN MOHAMED FERDOOS,,,460,INDEPENDENT,EDROS BIN ABDULLAH,,,218,,,,,,,,,,
P.108,SELANGOR,P.108,SHAH ALAM,PR-PAS,,99957,10939,88.2,88128,186,863,87079,BN - UMNO,ZULKIFLI BIN NOORDIN,,,38070,PR-PAS,KHALID BIN ABD SAMAD,,,49009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109,SELANGOR,P.109,KAPAR,PR-PKR,,144159,23790,88.1,127023,314,2379,124330,BN - MIC,SAKTHIVEL A/L ALAGAPPAN,,,46059,PR-PKR,G MANIVANNAN A/L GOWINDASAMY,,,69849,BERJASA,MOHD PATHAN BIN HUSSIN,,,6289,,,,,,,,,,,,INDEPENDENT,NORHAMZAH BIN SURATMAN,,,1067,INDEPENDENT,MOHD NAZRI BIN ABDUL AZIZ,,,835,INDEPENDENT,PALAYA A/L RENGAIAH,,,231,,,,,
P.110,SELANGOR,P.110,KLANG,PR-DAP,,97073,24685,86.8,84219,124,1342,82753,BN - MCA,TEH KIM POO,,,29034,PR-DAP,CHARLES ANTHONY A/L R. SANTIAGO,,,53719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.111,SELANGOR,P.111,KOTA RAJA,PR-PAS,,105909,29395,87.6,92729,166,1102,91461,BN - MIC,MURUGESAN A/L SINNANDAVAR,,,29711,PR-PAS,SITI MARIAH BINTI MAHMUD,,,59106,,,,,,,,,,,,,,,,,INDEPENDENT,AZMAN BIN IDRUS,,,280,INDEPENDENT,P. UTHAYAKUMAR,,,2364,,,,,,,,,,
P.112,SELANGOR,P.112,KUALA LANGAT,PR-PKR,,88474,5358,89,78726,169,1523,77034,BN - UMNO,SHARUDDIN BIN OMAR,,,35625,PR-PKR,ABDULLAH SANI BIN ABDUL HAMID,,,40983,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,KOTTAPPAN A/L SUPPAIAH,,,426,,,,,,,,,,
P.113,SELANGOR,P.113,SEPANG,PR-PAS,,84362,1142,89.1,75135,174,1226,73735,BN - UMNO,MOHD ZIN BIN MOHAMED,,,35658,PR-PAS,MOHAMED HANIPA BIN MAIDIN,,,36800,,,,,,,,,,,,,,,,,INDEPENDENT,HANAPIAH BIN MOHAMAD,,,315,INDEPENDENT,SUHAIMI BIN MOHD GHAZALI,,,962,,,,,,,,,,
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,PR-DAP,,68035,40307,86.1,58585,73,388,58124,BN - PPP,CHANDRAKUMANAN A/L ARUMUGAM,,,7530,PR-DAP,TAN SENG GIAW @ TAN CHUN TIN,,,47837,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,YEE POH PING,,,2757,,,,,,,,,,
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,PR-PKR,,85402,13284,84.5,72147,159,606,71382,BN - GERAKAN,DOMINIC LAU HOE CHAI,,,28388,PR-PKR,CHUA TIAN CHANG,,,41672,BERJASA,HASHIM BIN ABDUL KARIM,,,949,,,,,,,,,,,,INDEPENDENT,ATAN BIN JASIN,,,164,INDEPENDENT,NAZARIAH BINTI ABBAS,,,209,,,,,,,,,,
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,PR-PKR,,67775,5511,86,58291,145,375,57771,BN - UMNO,MOHD SHAFEI BIN ABDULLAH,,,26130,PR-PKR,TAN KEE KWONG,,,31641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,PR-DAP,,75631,19199,84.9,64184,132,485,63567,BN - GERAKAN,JAYANTHI DEVI A/P BALAGURU,,,22184,PR-DAP,LIM LIP ENG,,,41383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,BN - UMNO,,62309,1390,84.9,52910,180,502,52228,BN - UMNO,AHMAD FAUZI BIN ZAHARI,,,26809,PR-PKR,IBRAHIM BIN YAACOB,,,25419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,BN - UMNO,,55282,866,82.5,45631,118,311,45202,BN - UMNO,JOHARI BIN ABDUL GHANI,,,23034,PR-PAS,AHMAD ZAMRI BIN ASA'AD KHUZAMI,,,22168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,PR-DAP,,55721,19399,75.1,41824,52,355,41417,BN - MCA,GAN JOON ZIN,,,11009,PR-DAP,FONG KUI LUN,,,30408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,PR-PKR,,72396,1847,84.3,61048,193,519,60336,BN - UMNO,RAJA NONG CHIK BIN RAJA ZAINAL ABIDIN,,,29161,PR-PKR,NURUL IZZAH BINTI ANWAR,,,31008,,,,,,,,,,,,,,,,,INDEPENDENT,RUSLI BIN BABA,,,167,,,,,,,,,,,,,,,
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,PR-DAP,,85976,51552,83.6,71859,109,302,71448,BN - MCA,WONG SIAW TING,,,9948,PR-DAP,TERESA KOK SUH SIM,,,61500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,PR-DAP,,72551,37409,82,59492,88,315,59089,BN - MCA,TEOH CHEE HOOI,,,10840,PR-DAP,TAN KOK WAI,,,48249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,PR-PKR,,90993,11832,85.9,78157,10,861,77286,BN - MCA,TAN KOK ENG,,,32235,PR-PKR,ABD KHALID BIN IBRAHIM,,,44067,,,,,,,,,,,,,,,,,INDEPENDENT,MOHAMAD SUKERI BIN ABDUL SAMAT,,,793,INDEPENDENT,MOKHTAR BIN SALAHUDIN,,,191,,,,,,,,,,
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,BN - UMNO,,15791,5541,91.6,14465,47,73,14345,BN - UMNO,TENGKU ADNAN BIN TENGKU MANSOR,,,9943,PR-PAS,HUSAM BIN MUSA,,,4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126,NEGERI SEMBILAN,P.126,JELEBU,BN - UMNO,,44937,7101,84.6,38020,137,756,37127,BN - UMNO,ZAINUDIN BIN ISMAIL,,,22114,PR-PAS,RAJ MUNNI BINTI SABU,,,15013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127,NEGERI SEMBILAN,P.127,JEMPOL,BN - UMNO,,65213,8629,84.1,54858,157,1082,53619,BN - UMNO,MOHD ISA BIN ABDUL SAMAD,,,31124,PR-PAS,WAN AISHAH BINTI WAN ARIFFIN,,,22495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128,NEGERI SEMBILAN,P.128,SEREMBAN,PR-DAP,,102305,12553,85.6,87617,258,1486,85873,BN - MCA,YEOW CHAI THIAM,,,33075,PR-DAP,LOKE SIEW FOOK,,,45628,BERJASA,ABDUL HALIM BIN ABDULLAH,,,6866,,,,,,,,,,,,INDEPENDENT,BUJANG BIN ABU,,,83,INDEPENDENT,JOHN A/L FERNANDEZ,,,221,,,,,,,,,,
P.129,NEGERI SEMBILAN,P.129,KUALA PILAH,BN - UMNO,,47671,9661,84.5,40291,144,794,39353,BN - UMNO,HASAN BIN MALEK,,,24507,PR-PKR,MOHD NAZREE BIN MOHD YUNUS,,,14846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130,NEGERI SEMBILAN,P.130,RASAH,PR-DAP,,88403,24101,85.8,75860,209,1208,74443,BN - MCA,TEO ENG KIAN,,,25171,PR-DAP,TEO KOK SEONG,,,49272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131,NEGERI SEMBILAN,P.131,REMBAU,BN - UMNO,,79661,18357,87.3,69548,257,1217,68074,BN - UMNO,KHAIRY JAMALUDDIN ABU BAKAR,,,43053,PR-PKR,RADZALI BIN A. GHANI,,,24696,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL AZIZ BIN HASSAN,,,325,,,,,,,,,,,,,,,
P.132,NEGERI SEMBILAN,P.132,TELOK KEMANG,PR-PKR,,70524,1579,85.1,59984,129,1344,58511,BN - MIC,MOGAN A/L VELAYATHAM,,,28269,PR-PKR,KAMARUL BAHARIN BIN ABBAS,,,29848,,,,,,,,,,,,,,,,,INDEPENDENT,KAMARUDIN KUMARAVEL BIN ABDULLAH,,,394,,,,,,,,,,,,,,,
P.133,NEGERI SEMBILAN,P.133,TAMPIN,BN - UMNO,,57268,11162,85.2,48799,139,1042,47618,BN - UMNO,SHAZIMAN BIN ABU MANSOR,,,29390,PR-PAS,ABDUL RAZAKEK BIN ABDUL RAHIM,,,18228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MELAKA,P.134,MASJID TANAH,BN - UMNO,,45952,16200,86.7,39827,85,566,39176,BN - UMNO,MAS ERMIEYATI BINTI SAMSUDIN,,,27688,PR-PAS,MOHD NASAIE BIN ISMAIL,,,11488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,MELAKA,P.135,ALOR GAJAH,BN - MCA,,63591,11597,86.7,55131,103,1437,53591,BN - MCA,KOH NAI KWONG,,,32594,PR-DAP,DAMIAN YEO SHEN LI,,,20997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
