UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.011,KEDAH,P.011,PENDANG,BN - UMNO,,70135,2638,89.23,62578,127,759,61692,UMNO,DATO’ OTHMAN BIN ABDUL,MALE,,32165,,,,,,,,PAS,MOHAMAD SABU,MALE,,29527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.012,KEDAH,P.012,JERAI,BN - UMNO,,74410,1196,87.06,64778,164,952,63662,UMNO,DATO SERI JAMIL KHIR BIN BAHAROM,MALE,,32429,,,,,,,,PAS,MOHD FIRDAUS BIN JAAFAR,MALE,,31233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013,KEDAH,P.013,SIK,BN - UMNO,,46786,2807,89.94,42077,85,631,41361,UMNO,DR MANSOR,MALE,,22084,,,,,,,,PAS,CHE UDA BIN CHE NIK,MALE,,19277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014,KEDAH,P.014,MERBOK,BN - UMNO,,85908,4122,86.74,74520,226,1340,72954,UMNO,DR. ISMAIL BIN DAUT,MALE,,38538,,PKR,NURIN AINA,FEMALE,,34416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015,KEDAH,P.015,SUNGAI PETANI,PR - PKR,,93176,9548,86.96,81024,253,959,79812,UMNO,SYAMSUL ANUAR ISMAIL,MALE,,34646,,PKR,DATO’ JOHARI ABDUL,MALE,,44194,,,,,,,,,,,,,,,,,,,,KITA,SUHAIMI BIN HASHIM,MALE,,200,LOST DEPOSIT,INDEPENDENT - ELEPHANT,ONG WEI SIN,MALE,,772,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.016,KEDAH,P.016,BALING,BN - UMNO,,93168,5185,89.20,83109,195,1091,81823,UMNO,DATUK AZEEZ RAHIM,MALE,,43504,,,,,,,,PAS,USTAZ NAJMI HJ AHMAD,MALE,,38319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017,KEDAH,P.017,PADANG SERAI,PR - PKR,,74095,8437,87.16,64584,197,1223,63164,MCA,HENG SEAI KIE,FEMALE,,25714,,PKR,N SURENDRAN,MALE,,34151,,,,,,,,BERJASA,USTAZ HAMIDI BIN ABU HASSAN,MALE,,2630,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,GOBALAKRISHNAN A/L NAGAPAN,MALE,,390,LOST DEPOSIT,INDEPENDENT - BIRD,CIKGU OTHMAN BIN WAWI,MALE,,279,LOST DEPOSIT,,,,,,,,,,,,
P.018,KEDAH,P.018,KULIM-BANDAR BAHARU,BN - UMNO,,60910,1871,86.63,52766,234,839,51693,UMNO,DATO’ ABD. AZIZ HAJI SHEIKH FADZIR,MALE,,26782,,PKR,SAIFUDDIN NASUTION BIN ISMAIL,MALE,,24911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019,KELANTAN,P.019,TUMPAT,PR - PAS,,98632,10704,84.11,82962,198,1086,81678,UMNO,HAJI MANSOR,MALE,,35487,,,,,,,,PAS,DATO’ KAMARUDIN BIN JAFFAR,MALE,,46191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020,KELANTAN,P.020,PENGKALAN CHEPA,PR - PAS,,64409,15120,85.37,54985,188,683,54114,UMNO,DATUK DALI,MALE,,19497,,,,,,,,PAS,DR IZANI,MALE,,34617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021,KELANTAN,P.021,KOTA BHARU,PR - PAS,,81268,15970,81.55,66277,193,666,65418,UMNO,FATMI,MALE,,24650,,,,,,,,PAS,DATO’ TAKIYUDDIN,MALE,,40620,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD ZAKIMAN BIN ABU BAKAR,MALE,,148,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.022,KELANTAN,P.022,PASIR MAS,PR - PAS,,71965,8047,83.61,60168,238,1115,58815,,,,,,,,,,,,,PAS,USTAZ NIK ABDUH,MALE,,33431,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,DATO’ IBRAHIM ALI,MALE,,25384,,,,,,,,,,,,,,,,,,,
P.023,KELANTAN,P.023,RANTAU PANJANG,PR - PAS,,52903,6362,79.27,41934,130,632,41172,UMNO,CIK GU LI,MALE,,17405,,,,,,,,PAS,KAK LAH,FEMALE,,23767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024,KELANTAN,P.024,KUBANG KERIAN,PR - PAS,,65390,16741,84.28,55108,224,605,54279,UMNO,HJ. ANUAR SAFIAN,MALE,,18769,,,,,,,,PAS,USTAZ BAIHAKI,MALE,,35510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025,KELANTAN,P.025,BACHOK,PR - PAS,,81566,201,88.02,71792,208,947,70637,UMNO,DATO’ AWANG ADEK,MALE,,35218,,,,,,,,PAS,USTAZ MARZUK,MALE,,35419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026,KELANTAN,P.026,KETEREH,BN - UMNO,,62217,974,86.64,53906,180,876,52850,UMNO,TAN SRI ANNUAR MUSA,MALE,,26912,,PKR,HJ. AB. AZIZ,MALE,,25938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027,KELANTAN,P.027,TANAH MERAH,BN - UMNO,,58237,4227,85.87,50009,137,876,48996,UMNO,DATO HJ IKMAL HISHAM,MALE,,26505,,PKR,NIK MAHMOOD,MALE,,22278,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,FIZAL HARUN,MALE,,213,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.028,KELANTAN,P.028,PASIR PUTEH,PR - PAS,,76259,1888,86.85,66232,192,770,65270,UMNO,TUAN MUSTAFFA,MALE,,31691,,,,,,,,PAS,DATO’ DR. NIK MAZIAN,MALE,,33579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
