UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED BALLOTS,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDANT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDANT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDANT (3) CANDIDATE LOST DEPOSIT
P.101_N.24,SELANGOR,P.101,HULU LANGAT,N.24,SEMENYIH,BN - UMNO,,42344,4757,88.73,37572,216,701,36655,UMNO,JOHAN BIN ABD AZIZ,MALE,47,17922,,PKR,HAMIDI BIN A. HASAN,,,13165,,,,,,,,PSM,ARUL,MALE,48,5568,,,,,,,,,,,,,,,,,,,,,,,,,
P.101_N.25,SELANGOR,P.101,HULU LANGAT,N.25,KAJANG,PR - PKR,,38965,6824,88.37,34432,142,541,33749,MCA,LEE BAN SENG,MALE,49,12747,,PKR,LEE CHIN CHEH,MALE,42,19571,,,,,,,,BERJASA,MOHAMAD BIN ISMAIL,MALE,,1014,LOST DEPOSIT,,,,,,,INDEPENDENT - HIBISCUS,IR.MOHD IWAN JEFREY BIN ABDUL MAJID,MALE,,249,LOST DEPOSIT,INDEPENDENT - BIRD,ONG YAN FOO,MALE,,85,LOST DEPOSIT,INDEPENDENT - HORSE,MOHD KHALID BIN KASSIM,MALE,,83,LOST DEPOSIT
P.102_N.26,SELANGOR,P.102,SERDANG,N.26,BANGI,PR - PAS,,53268,11838,88.54,47165,149,454,46562,UMNO,DATO' MOHD ZAIDI BIN HAJI MD ZAIN,MALE,42,17362,,PAS,USTAZ SHAFIE NGAH,MALE,47,29200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102_N.27,SELANGOR,P.102,SERDANG,N.27,BALAKONG,PR - DAP,,42829,13542,88.74,38005,94,548,37363,MCA,DR LAI KWONG CHOY,MALE,51,11584,,DAP,NG TIEN CHEE (EDDIE),MALE,35,25126,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUESE,LEE AH SENG,MALE,,653,LOST DEPOSIT,,,,,,,,,,,,
P.102_N.28,SELANGOR,P.102,SERDANG,N.28,SERI KEMBANGAN,PR - DAP,,37042,22078,89.54,33169,48,387,32734,MCA,CHIN TOONG KANG,MALE,53,5328,,DAP,EAN YONG HIAN WAH,MALE,34,27406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_N.29,SELANGOR,P.103,PUCHONG,N.29,SERI SERDANG,PR - PAS,,72769,16251,88.19,64176,155,798,63223,UMNO,MOHAMAD YUSOF BIN MOHAMED YASSIN,MALE,,23486,,PAS,NOOR HANIM BINTI ISMAIL,FEMALE,51,39737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_N.30,SELANGOR,P.103,PUCHONG,N.30,KINRARA,PR - DAP,,34241,14604,88.65,30353,38,253,30062,MCA,WONG HOCK AUN,MALE,59,7729,,DAP,NG SZE HAN,MALE,42,22333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_N.31,SELANGOR,P.104,KELANA JAYA,N.31,SUBANG JAYA,PR - DAP,,61688,28069,86.22,53186,134,389,52663,MCA,GAN MENG FOO,MALE,50,12297,,DAP,HANNAH YEOH,FEMALE,34,40366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_N.32,SELANGOR,P.104,KELANA JAYA,N.32,SERI SETIA,PR - PKR,,39548,4663,84.23,33311,74,516,32721,UMNO,DATUK HJ ABDUL HALIM BIN SAMAD,MALE,46,14029,,PKR,NIK NAZMI NIK AHMAD,MALE,31,18692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.105_N.33,SELANGOR,P.105,PETALING JAYA SELATAN,N.33,TAMAN MEDAN,PR - PKR,,44974,3731,84.72,38101,93,494,37514,UMNO,AB WAHAB BIN IBRAHIM,MALE,,16747,,PKR,HANIZA TALHA,FEMALE,51,20478,,,,,,,,KITA,TUAN HAJI JOHAN ASIK SHAAH,MALE,51,55,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,HJ. KAMARUL ZAMAN,MALE,,213,LOST DEPOSIT,INDEPENDENT - SPECTACLES,ZARQASYI ZULKARNAIN,MALE,,21,LOST DEPOSIT,,,,,,
P.105_N.34,SELANGOR,P.105,PETALING JAYA SELATAN,N.34,BUKIT GASING,PR - DAP,,34584,15842,78.71,27222,44,229,26949,GERAKAN,JUAN SEI CHANG,MALE,42,5326,,DAP,RAJIV A/L RISHYAKARAN,MALE,32,21168,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,SIMON LEE,MALE,34,287,LOST DEPOSIT,INDEPENDENT - HIBISCUS,MAK KHUIN WENG,MALE,36,168,LOST DEPOSIT,,,,,,
P.106_N.35,SELANGOR,P.106,PETALING JAYA UTARA,N.35,KAMPUNG TUNKU,PR - DAP,,32007,13685,81.46,26073,31,203,25839,MCA,KELVIN CHONG SENG FOO,MALE,45,6077,,DAP,LAU WENG SAN,MALE,35,19762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.106_N.36,SELANGOR,P.106,PETALING JAYA UTARA,N.36,DAMANSARA UTAMA,PR - DAP,,53394,30689,83.63,44654,16,341,44297,MCA,LIM CHOON KIN,MALE,58,6614,,DAP,YEO BEE YIN,FEMALE,30,37303,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,LIEW WEI BENG,MALE,,380,LOST DEPOSIT,,,,,,,,,,,,
P.107_N.37,SELANGOR,P.107,SUBANG,N.37,BUKIT LANJAN,PR - PKR,,39978,17200,87.11,34824,72,336,34416,GERAKAN,CHONG TUCK CHIEW,MALE,,8608,,PKR,ELIZABETH WONG,FEMALE,43,25808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107_N.38,SELANGOR,P.107,SUBANG,N.38,PAYA JARAS,PR - PAS,,43617,5522,88.72,38699,128,477,38094,UMNO,DATO' IR MUHAMMAD BUSHRO BIN MAT JOHOR,MALE,54,16286,,PAS,KHAIRUDDIN OTHMAN,MALE,41,21808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107_N.39,SELANGOR,P.107,SUBANG,N.39,KOTA DAMANSARA,BN - UMNO,,44948,1527,87.69,39414,101,542,38771,UMNO,HALIMATON SAADIAH BINTI BOHAN,FEMALE,57,16387,,PKR,DR NASIR HASHIM,MALE,,14860,,PAS,RIDZUAN BIN ISMAIL,MALE,,7312,,,,,,,,,,,,,,INDEPENDENT - TREE,HALMI BIN OMAR,MALE,,116,LOST DEPOSIT,INDEPENDENT - AEROPLANE,EDROS,MALE,,57,LOST DEPOSIT,INDEPENDENT - HIBISCUS,SUPPIAH,MALE,,39,LOST DEPOSIT
P.108_N.40,SELANGOR,P.108,SHAH ALAM,N.40,KOTA ANGGERIK,PR - PKR,,54952,4503,88.69,48738,113,470,48155,UMNO,MOHD YUSOF DIN,MALE,41,21758,,PKR,DR HJ. YAAKOB BIN SAPARI,MALE,52,26261,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ERIQ FAISAL BIN RUSLI,MALE,,136,LOST DEPOSIT,,,,,,,,,,,,
