UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.047_N.19,PULAU PINANG,P.047,NIBONG TEBAL,N.19,JAWI,PR-DAP,,"24,735","9,076",87.81%,"21,720",19,339,"21,362",MCA,TAN CHENG LIANG,FEMALE,54,"6,143",,DAP,SOON LIP CHEE,MALE,36,"15,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.047_N.20,PULAU PINANG,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,PR-PKR,,"19,051","1,805",89.22%,"16,998",31,256,"16,711",UMNO,MOHD FOAD BIN HJ MAT ISA,MALE,51,"7,453",,PKR,HAJI MAKTAR BIN HAJI SHAPEE,MALE,,"9,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.047_N.21,PULAU PINANG,P.047,NIBONG TEBAL,N.21,SUNGAI ACHEH,BN-UMNO,,"15,559",808,89.22%,"13,881",0,217,"13,664",UMNO,DATO’ MAHMUD BIN ZAKARIA,MALE,65,"6,891",,PKR,CHE’GUBARD,MALE,,"6,083",,PAS,USTAZ YUSNI MAT PIAH,MALE,39,690,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.048_N.22,PULAU PINANG,P.048,BUKIT BENDERA,N.22,TANJUNG BUNGAH,PR-DAP,,"20,068","5,515",83.71%,"16,799",22,193,"16,584",GERAKAN,CHIA KWANG CHYE,MALE,63,"5,518",,DAP,TEH YEE CHEU,MALE,54,"11,033",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HORSE,MAR SEONG LENG @ BEH SEONG LENG,MALE,,33,LOST DEPOSIT,,,,,,,,,,,,
P.048_N.23,PULAU PINANG,P.048,BUKIT BENDERA,N.23,AIR PUTIH,PR-DAP,,"13,803","7,744",84.74%,"11,697",28,161,"11,508",MCA,TAN KEN KEONG,MALE,41,"1,882",,DAP,LIM GUAN ENG,MALE,53,"9,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.048_N.24,PULAU PINANG,P.048,BUKIT BENDERA,N.24,KEBUN BUNGA,PR-PKR,,"19,278","9,030",83.93%,"16,180",45,274,"15,861",GERAKAN,HNG CHEE WEY,MALE,36,"3,336",,PKR,CHEAH KAH PENG,MALE,,"12,366",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JAYARAMAN A/L K. KUNCHU KANNU,MALE,47,159,LOST DEPOSIT,,,,,,,,,,,,
P.048_N.25,PULAU PINANG,P.048,BUKIT BENDERA,N.25,PULAU TIKUS,PR-DAP,,"17,936","8,220",80.52%,"14,442",25,125,"14,292",GERAKAN,ROWENA YAM,FEMALE,44,"3,036",,DAP,YAP SOO HUEY,FEMALE,31,"11,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049_N.26,PULAU PINANG,P.049,TANJONG,N.26,PADANG KOTA,PR-DAP,,"15,375","7,196",78.55%,"12,077",19,128,"11,930",GERAKAN,OH TONG KEONG,MALE,46,"2,367",,DAP,CHOW KON YEOW,MALE,55,"9,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049_N.27,PULAU PINANG,P.049,TANJONG,N.27,PENGKALAN KOTA,PR-DAP,,"19,980","13,600",87.40%,"17,462",13,243,"17,206",MCA,LOKE POH CHYE,MALE,66,"1,803",LOST DEPOSIT,DAP,LAU KENG EE,MALE,33,"15,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049_N.28,PULAU PINANG,P.049,TANJONG,N.28,KOMTAR,PR-DAP,,"16,132","8,114",82.84%,"13,364",8,107,"13,249",MCA,LOH CHYE TEIK,MALE,54,"2,555",,DAP,TEH LAI HENG,MALE,33,"10,669",,,,,,,,PCM,LIEW YEOW HOOI,MALE,,25,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.050_N.29,PULAU PINANG,P.050,JELUTONG,N.29,DATOK KERAMAT,PR-DAP,,"21,900","5,020",85.78%,"18,786",92,274,"18,420",GERAKAN,ONG THEAN LYE,MALE,,"6,700",,DAP,JAGDEEP SINGH DEO,MALE,42,"11,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050_N.30,PULAU PINANG,P.050,JELUTONG,N.30,SUNGAI PINANG,PR-DAP,,"23,501","4,707",87.36%,"20,531",102,287,"20,142",GERAKAN,DR THOR TEONG GEE,MALE,,"7,647",,DAP,LIM SIEW KHIM,FEMALE,43,"12,354",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MOHAMED YACOOB,MALE,24,141,LOST DEPOSIT,,,,,,,,,,,,
P.050_N.31,PULAU PINANG,P.050,JELUTONG,N.31,BATU LANCANG,PR-DAP,,"25,846","15,364",86.66%,"22,398",85,157,"22,156",GERAKAN,LEE BOON TEN,MALE,,"3,396",,DAP,LAW HENG KIANG,MALE,53,"18,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051_N.32,PULAU PINANG,P.051,BUKIT GELUGOR,N.32,SERI DELIMA,PR-DAP,,"23,841","9,277",83.65%,"19,944",56,209,"19,679",MCA,LOW JOO HIAP,MALE,41,"5,201",,DAP,SANISVARA NETHAJI RAYER,MALE,42,"14,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051_N.33,PULAU PINANG,P.051,BUKIT GELUGOR,N.33,AIR ITAM,PR-DAP,,"18,407","7,316",84.34%,"15,524",31,193,"15,300",GERAKAN,LOO JIEH SHENG,MALE,,"3,992",,DAP,WONG HON WAI,MALE,40,"11,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051_N.34,PULAU PINANG,P.051,BUKIT GELUGOR,N.34,PAYA TERUBONG,PR-DAP,,"39,649","25,719",88.82%,"35,215",39,305,"34,871",MCA,KOH WAN LEONG,MALE,49,"4,576",,DAP,YEOH SOON HIN,MALE,37,"30,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052_N.35,PULAU PINANG,P.052,BAYAN BARU,N.35,BATU UBAN,PR-PKR,,"28,649","9,857",86.39%,"24,750",75,246,"24,429",GERAKAN,GOH KHENG SNEAH,MALE,50,"7,160",,PKR,DR. T. JAYABALAN,MALE,68,"17,017",,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD NOOR BIN MOHD ABDUL KADER,MALE,,186,LOST DEPOSIT,INDEPENDENT - KEY,BARATHARAJAN A/L NARAYANASAMY PILLAI,MALE,,40,LOST DEPOSIT,INDEPENDENT - HIBISCUS,RAJENDRA AMMASI,MALE,45,26,LOST DEPOSIT
P.052_N.36,PULAU PINANG,P.052,BAYAN BARU,N.36,PANTAI JEREJAK,PR-PKR,,"21,560","5,354",85.64%,"18,464",47,161,"18,256",GERAKAN,WONG MUN HOE,MALE,,"6,451",,PKR,HJ. RASHID HASNON,MALE,53,"11,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052_N.37,PULAU PINANG,P.052,BAYAN BARU,N.37,BATU MAUNG,PR-PKR,,"28,946","3,390",88.55%,"25,632",56,358,"25,218",UMNO,Ir. MANSOR BIN MUSA,MALE,50,"10,875",,PKR,ABDUL MALIK KASSIM,MALE,59,"14,265",,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,RAHMAD ISAHAK,MALE,,78,LOST DEPOSIT,,,,,,,,,,,,
P.053_N.38,PULAU PINANG,P.053,BALIK PULAU,N.38,BAYAN LEPAS,BN-UMNO,,"21,277",458,88.30%,"18,788",23,281,"18,484",UMNO,HAJI NORDIN BIN AHMAD,MALE,55,"9,408",,PAS,CIKGU ASNAH HASHIM,FEMALE,,"8,950",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DR. OOI,MALE,73,126,LOST DEPOSIT,,,,,,,,,,,,
P.053_N.39,PULAU PINANG,P.053,BALIK PULAU,N.39,PULAU BETONG,BN-UMNO,,"15,316",395,88.35%,"13,532",23,200,"13,309",UMNO,Sr. HJ. MUHAMAD FARID BIN SAAD,MALE,50,"6,852",,PKR,HAJI MOHD TUAH BIN ISMAIL,MALE,47,"6,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.053_N.40,PULAU PINANG,P.053,BALIK PULAU,N.40,TELOK BAHANG,BN-UMNO,,"13,048",801,87.78%,"11,453",19,167,"11,267",UMNO,DATUK HJ. SHAH HEADAN BIN AYOOB HUSSAIN SHAH,MALE,49,"6,034",,PKR,ABDUL HALIM BIN HUSSAIN,MALE,,"5,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
