Kedah Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
PADANG SERAI,INDEPENDENT,TAN KEE CHYE,MALE
,,,
Pulau Pinang Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BAGAN,MCA,YEOH KHOON CHOOI,MALE
TANJONG,GERAKAN,OH KENG SENG,MALE
JELUTONG,PBS,LIM CHEAK KOW,MALE
,,,
Perak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SUNGAI SIPUT,DAP,LIM AH GUAN @ LIM SOON GUAN,MALE
BERUAS,DAP,CHEN LIM PIOW,MALE
BERUAS,INDEPENDENT,TAN KIAT SENG @ SHUK YIK,MALE
GOPENG,DAP,LIM MENG LOONG,MALE
KAMPAR,DAP,CHONG JOON KIN,MALE
TAPAH,INDEPENDENT,FOO KOON YOW,MALE
LUMUT,DAP,LING NGUK BING @ LING NGIK BING,MALE
,,,
Pahang Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BENTUNG,DAP,LEONG CHEE MENG,MALE
,,,
Selangor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
HULU SELANGOR,DAP,PENG KIM SING,MALE
,,,
Kuala Lumpur Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BUKIT BINTANG,INDEPENDENT,TENG CHANG KIM,MALE
SEPUTEH,INDEPENDENT,LIEW CHOON TECK,MALE
,,,
Johor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SEGAMAT,INDEPENDENT,LIM WAH KIN,MALE
KLUANG,DAP,LIM SER HO,MALE
BAKRI,DAP,TAN KOK KWANG,MALE
JOHOR BAHRU,PBS,TAN TIEN LIM,MALE
,,,
Sabah Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
TAWAU,PBS,CHEE YAU FAH,MALE
,,,
Sarawak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
MIRI,DAP,CHONG KON FATT,MALE
BARAM,PBS,NGAU LAING,MALE
