COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
BN,UMNO,6,31,37
BN,MCA,4,11,15
BN,MIC,0,4,4
PH,PKR,2,18,20
PH,DAP,8,9,17
PH,AMANAH,2,17,19
PN,PAS,2,9,11
PN,PPBM,1,15,16
PN,MIPP,2,3,5
PN,PEJUANG,1,0,1
,MUDA,2,2,4
,PSM,0,1,1
,BERSAMA,3,12,15
,POAM,0,1,1
,INDEPENDENTS,1,5,6
GRAND TOTAL,,34,138,172
