UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - MILITARY AND SPOUSES VOTERS (%),ELECTORS - POLICE AND SPOUSES VOTERS (%,18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN - RURAL CLASSIFICATION (2025)
P. 150_N. 24,JOHOR,P. 150,BATU PAHAT,N. 24,SENGGARANG,38576,61.42,34.92,0.67,0.38,0.23,0.65,1.72,98.48,1.45,0.07,5.73,20.22,21.72,17.04,14.51,11.68,6.37,2.18,0.55,50.62,49.38,SEMI URBAN
P. 150_N. 25,JOHOR,P. 150,BATU PAHAT,N. 25,RENGIT,27608,80.13,16.54,0.27,0.31,0.13,1.15,1.47,99.93,0.00,0.07,5.4,18.63,22,17.85,14.05,11.58,7.27,2.59,0.62,49.00,51.00,RURAL
P. 151_N. 26,JOHOR,P. 151,SIMPANG RENGGAM,N. 26,MACHAP,35206,65.69,26.94,5.46,0.23,0.23,0.03,1.43,99.92,0.00,0.08,5.87,20.45,23.17,17.13,14.09,11.37,5.57,1.96,0.39,49.64,50.36,SEMI URBAN
P. 151_N. 27,JOHOR,P. 151,SIMPANG RENGGAM,N. 27,LAYANG-LAYANG,25181,56.56,28.2,12.44,0.6,0.47,0.09,1.65,97.41,0.00,2.59,4.81,16.81,22.08,17.89,14.86,12.85,7.34,2.64,0.73,50.55,49.45,SEMI URBAN
P. 152_N. 28,JOHOR,P. 152,KLUANG,N. 28,MENGKIBOL,68457,30,55.83,12.94,0.17,0.18,0.02,0.86,99.95,0.00,0.05,5.36,17.68,20.33,17.18,14.47,13.28,8.42,2.68,0.62,49.75,50.25,URBAN
P. 152_N. 29,JOHOR,P. 152,KLUANG,N. 29,MAHKOTA,67562,55.35,33.42,7.69,0.68,1.56,0.13,1.16,92.35,7.02,0.63,5.14,20.26,24.38,17.96,12.99,10.86,6.21,1.8,0.39,50.29,49.71,URBAN
P. 153_N. 30,JOHOR,P. 153,SEMBRONG,N. 30,PALOH,25419,46.85,34.75,15.42,0.16,0.11,1.68,1.02,99.86,0.00,0.14,4.42,15.44,20.71,19.49,14.84,13.27,8.45,2.66,0.71,50.28,49.72,RURAL
P. 153_N. 31,JOHOR,P. 153,SEMBRONG,N. 31,KAHANG,29814,73.79,19.83,2.72,0.16,0.14,2.73,0.63,99.96,0.00,0.04,5.13,16.74,25.47,20.97,10.68,12.04,7.44,1.27,0.26,49.79,50.21,SEMI URBAN
P. 154_N. 32,JOHOR,P. 154,MERSING,N. 32,ENDAU,28767,79.62,13.5,0.68,0.25,0.08,5.28,0.59,99.88,0.00,0.12,6.07,19.8,24,17.28,13.83,11.35,5.59,1.66,0.42,49.88,50.12,SEMI URBAN
P. 154_N. 33,JOHOR,P. 154,MERSING,N. 33,TENGGAROH,39001,83.25,12.75,1.42,0.8,1.18,0.17,0.42,95.39,3.77,0.84,4.88,17.46,26.74,22.75,8.51,10.97,7.12,1.21,0.37,50.98,49.02,RURAL
P. 155_N. 34,JOHOR,P. 155,TENGGARA,N. 34,PANTI,41407,77.34,13.77,5.69,0.17,0.29,1.43,1.3,98.92,0.00,1.08,6.78,22.21,23.18,19.98,13.14,8.05,5.48,1.08,0.09,49.49,50.51,SEMI URBAN
P. 155_N. 35,JOHOR,P. 155,TENGGARA,N. 35,PASIR RAJA,29818,69,18.27,8.39,0.83,2.73,0.08,0.7,94.11,5.85,0.04,6.5,23.27,23.33,16.28,14.25,10.19,4.11,1.66,0.4,50.86,49.14,SEMI URBAN
P. 156_N. 36,JOHOR,P. 156,KOTA TINGGI,N. 36,SEDILI,29090,96.31,1.36,0.69,0.2,0.26,0.33,0.86,99.92,0.00,0.08,5.58,16.85,24.75,23.18,12.06,8.55,7.52,1.28,0.22,49.99,50.01,RURAL
P. 156_N. 37,JOHOR,P. 156,KOTA TINGGI,N. 37,JOHOR LAMA,32716,83.19,12.78,2.45,0.27,0.39,0.04,0.89,99.91,0.00,0.09,5.08,15.83,21.3,22.05,13.96,10.97,8.07,2.27,0.46,49.70,50.30,SEMI URBAN
P. 157_N. 38,JOHOR,P. 157,PENGERANG,N. 38,PENAWAR,31112,97.28,0.31,0.74,0.18,0.17,0.79,0.53,99.91,0.00,0.09,6.1,18.3,20.6,24.13,15.25,6,7.59,1.97,0.07,49.26,50.74,RURAL
P. 157_N. 39,JOHOR,P. 157,PENGERANG,N. 39,TANJUNG SURAT,26943,80.85,15.33,0.76,0.86,1.21,0.13,0.86,92.18,7.22,0.60,7.29,17.83,21.08,23.18,11.33,8.73,8.14,1.63,0.79,53.54,46.46,RURAL
P. 158_N. 40,JOHOR,P. 158,TEBRAU,N. 40,TIRAM,117496,56.35,24.38,11.8,0.94,3.6,0.23,2.71,99.91,0.00,0.09,8.74,26.65,21.44,16.31,14.45,8.29,3.16,0.72,0.24,50.30,49.70,URBAN
P. 158_N. 41,JOHOR,P. 158,TEBRAU,N. 41,PUTERI WANGSA,128723,35.83,51.4,10.1,0.47,0.94,0.01,1.25,99.85,0.00,0.15,9.2,25.42,20.8,17.76,14.48,8.17,3.31,0.74,0.13,50.36,49.64,URBAN
P. 159_N. 42,JOHOR,P. 159,PASIR GUDANG,N. 42,JOHOR JAYA,97685,34.98,45.45,7.89,4.56,3.94,0.03,3.15,98.39,0.80,0.80,6.19,21.12,22.1,16.95,16.03,11.6,4.77,1.06,0.19,50.46,49.54,URBAN
P. 159_N. 43,JOHOR,P. 159,PASIR GUDANG,N. 43,PERMAS,113963,53.78,26.31,11.58,2.34,4.42,0.14,1.43,99.68,0.14,0.17,8,23.99,21.87,17.47,14.93,9.59,3.46,0.58,0.11,50.47,49.53,URBAN
P. 160_N. 44,JOHOR,P. 160,JOHOR BAHRU,N. 44,LARKIN,76662,63.19,26.67,6.72,0.6,0.82,0.01,1.99,98.94,0.00,1.06,4.57,15.1,20.07,18.28,15,14.14,9.24,2.85,0.75,49.64,50.36,URBAN
P. 160_N. 45,JOHOR,P. 160,JOHOR BAHRU,N. 45,STULANG,60029,38.35,52.58,4.87,0.72,1.1,0.04,2.34,97.77,0.00,2.23,3.94,12.73,17.38,18.18,16.28,15.56,11.33,3.58,1.02,50.56,49.44,URBAN
P. 161_N. 46,JOHOR,P. 161,PULAI,N. 46,PERLING,109992,36.67,46.75,13.44,0.52,0.77,0.29,1.56,99.33,0.00,0.67,7.47,20.8,19.35,19.16,15.06,9.96,5.82,1.65,0.73,50.57,49.43,URBAN
P. 161_N. 47,JOHOR,P. 161,PULAI,N. 47,KEMPAS,64244,56.48,29.29,10.97,0.73,1.23,0.02,1.28,99.93,0.00,0.07,5.3,18.14,21.75,18.46,15.55,12.32,6.54,1.59,0.35,49.64,50.36,URBAN
P. 162_N. 48,JOHOR,P. 162,ISKANDAR PUTERI,N. 48,SKUDAI,106805,22.18,61.02,14.12,0.39,1.5,0,0.79,99.32,0.00,0.68,5.34,17.69,20.48,18.13,16.31,13.58,6.74,1.44,0.28,50.07,49.93,URBAN
P. 162_N. 49,JOHOR,P. 162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,132579,49.33,33.95,14.14,0.45,0.83,0.42,0.88,99.42,0.00,0.58,9,25.1,22.62,17.53,13.47,8.26,3.16,0.71,0.15,50.14,49.86,URBAN
P. 163_N. 50,JOHOR,P. 163,KULAI,N. 50,BUKIT PERMAI,44819,54.01,30.63,13.13,0.49,0.66,0.02,1.06,100.00,0.00,0.00,8.72,25.27,19.71,17.39,14.52,8.71,4.25,1.14,0.28,49.89,50.11,URBAN
P. 163_N. 51,JOHOR,P. 163,KULAI,N. 51,BUKIT BATU,49963,37.38,52.17,8.52,0.39,0.56,0.04,0.94,99.83,0.00,0.17,7.45,23.18,21.24,16.93,14.85,9.51,4.78,1.69,0.36,50.12,49.88,SEMI URBAN
P. 163_N. 52,JOHOR,P. 163,KULAI,N. 52,SENAI,66635,29,55.05,12.86,1.02,1.11,0.01,0.95,98.97,0.10,0.93,5.92,19.57,19.82,16.55,16.07,12.31,6.96,2.32,0.49,50.43,49.57,URBAN
P. 164_N. 53,JOHOR,P. 164,PONTIAN,N. 53,BENUT,28798,80.93,16.1,0.19,0.22,0.16,0.63,1.77,99.95,0.00,0.05,5.37,18.57,22.73,17.94,14.34,11.16,6.73,2.57,0.6,49.66,50.34,RURAL
P. 164_N. 54,JOHOR,P. 164,PONTIAN,N. 54,PULAI SEBATANG,47651,62.26,33.21,1.48,0.3,0.45,0.33,1.97,99.89,0.00,0.11,5.36,17.91,21.58,17.71,14.38,11.94,7.93,2.52,0.67,49.82,50.18,SEMI URBAN
P. 165_N. 55,JOHOR,P. 165,TANJUNG PIAI,N. 55,PEKAN NANAS,37556,55.9,40.95,1.14,0.28,0.41,0.03,1.29,99.93,0.00,0.07,6.07,19.83,21.06,17.26,15.36,11.12,6.48,2.24,0.58,50.19,49.81,SEMI URBAN
P. 165_N. 56,JOHOR,P. 165,TANJUNG PIAI,N. 56,KUKUP,34968,60.18,36.74,0.89,0.45,0.33,0.03,1.37,99.25,0.00,0.75,5.07,17.44,21.09,17.71,14.87,12.89,7.63,2.59,0.71,50.89,49.11,RURAL
