UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,BN - UMNO,ZAHARI SARIP,MALE,59,
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,BN - MCA,SEE ANN GIAP,MALE,34,
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,BN - UMNO,ANUAR ABD MANAP,MALE,49,
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,BN - MIC,RAVEN KUMAR KRISHNASAMY,MALE,44,
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,BN - UMNO,MOHD AZAHAR (TOK AI),MALE,54,
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,BN - MCA,TAN CHONG,MALE,61,
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,BN - UMNO,CIKGU SYAR'E,MALE,51,
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,BN - UMNO,FAZLI SALLEH,MALE,39,
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,BN - UMNO,SAHRIHAN BIN JANI,MALE,48,
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,BN - MCA,HAW CHIN TECK,MALE,55,
P. 144_N. 11,JOHOR,P. 144,LEDANG,N. 11,SEROM,BN - UMNO,IQA RAHIM,FEMALE,32,
P. 145_N. 12,JOHOR,P. 145,BAKRI,N. 12,BENTAYAN,PH - DAP,NG YAK HOWE,MALE,52,
P. 145_N. 13,JOHOR,P. 145,BAKRI,N. 13,SIMPANG JERAM,PH - AMANAH,IR. TS. HAJI NAZRI,MALE,59,
P. 145_N. 14,JOHOR,P. 145,BAKRI,N. 14,BUKIT NANING,BN - UMNO,MOHD GHAZALI BIN SABARI,MALE,41,
P. 146_N. 15,JOHOR,P. 146,MUAR,N. 15,MAHARANI,BN - UMNO,DATO' ASHARI,MALE,56,
P. 146_N. 16,JOHOR,P. 146,MUAR,N. 16,SUNGAI BALANG,BN - UMNO,CIKGU SELAMAT TAKIM,MALE,61,
P. 147_N. 17,JOHOR,P. 147,PARIT SULONG,N. 17,SEMERAH,BN - UMNO,FARED KHALID,MALE,47,
