UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE  LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
P. 160_N. 44,JOHOR,P. 160,JOHOR BAHRU,N. 44,LARKIN,,3,,76662,,,,,,,UMNO,MOHD HAIRI BIN MAD SHAH,MALE,42,,,AMANAH,YB SUHAIZAN KAYAT,MALE,53,,,,,,,,,,,,,,,BERSAMA,NORSINAH ABU,FEMALE,58,,,,,,,,
P. 160_N. 45,JOHOR,P. 160,JOHOR BAHRU,N. 45,STULANG,,4,,60029,,,,,,,MCA,BONG SENG HENG,MALE,45,,,DAP,ANDREW CHEN KAH ENG,MALE,50,,,PPBM,LIM CHIN ENG,MALE,73,,,,,,,,,BERSAMA,STANLEY TAN,MALE,53,,,,,,,,
P. 161_N. 46,JOHOR,P. 161,PULAI,N. 46,PERLING,,3,,109992,,,,,,,MIC,PANNIR SELVAM,MALE,54,,,DAP,ALAN TEE,MALE,46,,,,,,,,,,,,,,,BERSAMA,BOO WEI HAN,MALE,45,,,,,,,,
P. 161_N. 47,JOHOR,P. 161,PULAI,N. 47,KEMPAS,,3,,64244,,,,,,,UMNO,RAMLEE BOHANI,MALE,64,,,PKR,FAEZUDDIN PUAD,MALE,34,,,,,,,,,,,,,,,BERSAMA,SALAMAHAFIFI (FIFI),FEMALE,33,,,,,,,,
P. 162_N. 48,JOHOR,P. 162,ISKANDAR PUTERI,N. 48,SKUDAI,,4,,106805,,,,,,,MCA,NICOL @ AH KEE,FEMALE,42,,,DAP,KARTIYAINI JEYAPALAN,FEMALE,37,,,,,,,,,PSM,AMIR,MALE,39,,,BERSAMA,EUGENE CHUA,MALE,47,,,,,,,,
P. 162_N. 49,JOHOR,P. 162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,,4,,132579,,,,,,,UMNO,DATUK PANDAK AHMAD,MALE,63,,,AMANAH,SR. DZULKEFLY AHMAD,MALE,60,,,MIPP,ANNA PRAVINA,FEMALE,27,,,,,,,,,BERSAMA,SAHRUDIN OMAR,MALE,50,,,,,,,,
P. 163_N. 50,JOHOR,P. 163,KULAI,N. 50,BUKIT PERMAI,,4,,44819,,,,,,,UMNO,DATO' MOHD JAFNI BIN MD SHUKOR,MALE,54,,,DAP,MOHAMAD SHAFWAN,MALE,33,,,MIPP,LINA,FEMALE,40,,,,,,,,,BERSAMA,AIDIL RIDUAN,MALE,28,,,,,,,,
P. 163_N. 51,JOHOR,P. 163,KULAI,N. 51,BUKIT BATU,,5,,49963,,,,,,,MIC,KUMARAN A/L RAMA KRISHNAN,MALE,55,,,PKR,ARTHUR CHIONG SEN SERN,MALE,36,,,,,,,,,MUDA,PREMANAND,MALE,53,,,BERSAMA,TAMILI.G,FEMALE,29,,,INDEPENDENT - KEY,KAMARUZAMAN BIN ALI,MALE,63,,
P. 163_N. 52,JOHOR,P. 163,KULAI,N. 52,SENAI,,3,,66635,,,,,,,MCA,KIKI TAI,FEMALE,31,,,DAP,WONG BOR YANG,MALE,39,,,,,,,,,,,,,,,BERSAMA,DR. TEW CHIAN HOW,MALE,37,,,,,,,,
P. 164_N. 53,JOHOR,P. 164,PONTIAN,N. 53,BENUT,,2,,28798,,,,,,,UMNO,MOHD SUMALI REDUAN,MALE,54,,,AMANAH,RAZAK ISMAIL,MALE,36,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164_N. 54,JOHOR,P. 164,PONTIAN,N. 54,PULAI SEBATANG,,2,,47651,,,,,,,UMNO,HASRUNIZAH HASSAN (AZAH),FEMALE,49,,,PKR,HANIFF HOSMAN,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 55,JOHOR,P. 165,TANJUNG PIAI,N. 55,PEKAN NANAS,,2,,37556,,,,,,,MCA,TAN ENG MENG,MALE,64,,,DAP,YEO TUN SIONG,MALE,47,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165_N. 56,JOHOR,P. 165,TANJUNG PIAI,N. 56,KUKUP,,2,,34968,,,,,,,UMNO,HJ ISRAK,MALE,55,,,PKR,CHEAH CHEE HONG,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,
