UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 166_N. 1,SARAWAK,P. 166,MAS GADING,N. 1,TANJONG DATU,BN - SUPP,RAMSAY NOEL JITAM,MALE,64,
P. 166_N. 2,SARAWAK,P. 166,MAS GADING,N. 2,TASIK BIRU,BN - SNAP,PETER NANSIAN,MALE,47,
P. 167_N. 3,SARAWAK,P. 167,SANTUBONG,N. 3,PANTAI DAMAI,BN - PBB,SHARIFAH MORDIAH BTE TUANKU PAUZI,FEMALE,48,Y
P. 167_N. 4,SARAWAK,P. 167,SANTUBONG,N. 4,DEMAK LAUT,BN - PBB,DR. ABANG HAJI DRAUP ZAMAHARI @ ABANG HAJI ABDUL RAUF B. ABG. HJ. ZEN,MALE,49,
P. 168_N. 5,SARAWAK,P. 168,PETRA JAYA,N. 5,TUPONG,BN - PBB,HAJI DAUD ABDUL RAHMAN,MALE,45,
P. 168_N. 6,SARAWAK,P. 168,PETRA JAYA,N. 6,SATOK,BN - PBB,ABANG HJ. JOHARI B. TUN ABG. HJ. OPENG,MALE,45,
P. 168_N. 7,SARAWAK,P. 168,PETRA JAYA,N. 7,SAMARIANG,BN - PBB,DONA BABEL,FEMALE,51,
P. 169_N. 8,SARAWAK,P. 169,BANDAR KUCHING,N. 8,PADUNGAN,BN - SUPP,SONG SWEE GUAN,MALE,55,
P. 169_N. 9,SARAWAK,P. 169,BANDAR KUCHING,N. 9,PENDING,BN - SUPP,SIM KHENG HUI,MALE,,
P. 170_N. 10,SARAWAK,P. 170,STAMPIN,N. 10,BATU LINTANG,BN - SUPP,CHAN SENG KHAI,MALE,,
P. 170_N. 11,SARAWAK,P. 170,STAMPIN,N. 11,BATU KAWAH,BN - SUPP,YAP CHIN LOI,MALE,,
P. 171_N. 12,SARAWAK,P. 171,KOTA SAMARAHAN,N. 12,ASAJAYA,BN - PBB,DATUK PATINGGI HJ. ABDUL TAIB BIN MAHMUD,MALE,60,Y
P. 171_N. 13,SARAWAK,P. 171,KOTA SAMARAHAN,N. 13,MUARA TUANG,BN - PBB,DATUK HAJI ADENAN B. HAJI SATEM,MALE,52,Y
P. 172_N. 14,SARAWAK,P. 172,MAMBONG,N. 14,BENGOH,BN - SUPP,WILLIAM TANYUH AK NUB,MALE,52,
P. 172_N. 15,SARAWAK,P. 172,MAMBONG,N. 15,TARAT,BN - PBB,ROLAND SAGAH WEE INN,MALE,41,Y
P. 173_N. 16,SARAWAK,P. 173,SERIAN,N. 16,TEBEDU,BN - PBB,MICHAEL MANYIN AK JAWONG,MALE,45,
P. 173_N. 17,SARAWAK,P. 173,SERIAN,N. 17,KEDUP,BN - PBB,FREDERICK BAYOI AK MANGGIE,MALE,53,
P. 174_N. 18,SARAWAK,P. 174,BATANG SADONG,N. 18,SADONG JAYA,BN - PBB,HAJI WAN ABDUL WAHAB B. WAN SANUSI,MALE,46,
P. 174_N. 19,SARAWAK,P. 174,BATANG SADONG,N. 19,SIMUNJAN,BN - PBB,MOHD. NARODEN BIN MAJAIS,MALE,43,
P. 175_N. 20,SARAWAK,P. 175,BATANG LUPAR,N. 20,SEBUYAU,BN - PBB,JULAIHI BIN NARAWI,MALE,41,Y
P. 175_N. 21,SARAWAK,P. 175,BATANG LUPAR,N. 21,BETING MARO,BN - PBB,ENCIK BOLHASSAN BIN DI,MALE,43,
P. 176_N. 22,SARAWAK,P. 176,SRI AMAN,N. 22,BUKIT BEGUNAN,BN - PBDS,MONG AK DAGANG,MALE,40,
P. 176_N. 23,SARAWAK,P. 176,SRI AMAN,N. 23,SIMANGGANG,BN - SUPP,FRANCIS HARDEN AK HOLLIS,MALE,40,
P. 177_N. 24,SARAWAK,P. 177,LUBOK ANTU,N. 24,ENGKILILI,BN - SUPP,TOH HENG SAN,MALE,,
P. 177_N. 25,SARAWAK,P. 177,LUBOK ANTU,N. 25,BATANG AIR,BN - PBDS,DUBLIN UNTING ANAK INGKOT,MALE,41,
P. 178_N. 26,SARAWAK,P. 178,BETONG,N. 26,SARIBAS,BN - PBB,DR. HAJI WAHBI B. HAJI JUNAIDI,MALE,,
P. 178_N. 27,SARAWAK,P. 178,BETONG,N. 27,LAYAR,BN - PBB,ALFRED JABU ANAK NUMPANG,MALE,56,Y
P. 179_N. 28,SARAWAK,P. 179,SARATOK,N. 28,KALAKA,BN - PBB,ABDUL WAHAB BIN AZIZ,MALE,49,Y
P. 179_N. 29,SARAWAK,P. 179,SARATOK,N. 29,KRIAN,BN - SNAP,PETER NYAROK ANAK ENTRIE,MALE,54,
P. 180_N. 30,SARAWAK,P. 180,KUALA RAJANG,N. 30,BELAWAI,BN - PBB,HAMDEN AHMAND,MALE,48,Y
P. 180_N. 31,SARAWAK,P. 180,KUALA RAJANG,N. 31,SERDENG,BN - PBB,DATO' MOHAMAD ASFIA AWANG NASAR,MALE,49,
P. 180_N. 32,SARAWAK,P. 180,KUALA RAJANG,N. 32,MATU DARO,BN - PBB,WAHAB BIN HAJI DOLAH,MALE,46,
P. 181_N. 33,SARAWAK,P. 181,SARIKEI,N. 33,MERADONG,INDEPENDENT - ROOSTER,YII CHU LIK,MALE,,
P. 181_N. 34,SARAWAK,P. 181,SARIKEI,N. 34,REPOK,BN - SUPP,DAVID TENG LUNG CHI,MALE,51,Y
P. 182_N. 35,SARAWAK,P. 182,JULAU,N. 35,PAKAN,BN - SNAP,WILLIAM MAWAN IKOM,MALE,47,
P. 182_N. 36,SARAWAK,P. 182,JULAU,N. 36,MELUAN,BN - SNAP,GEMAN AK ITAM,MALE,,
P. 183_N. 37,SARAWAK,P. 183,KANOWIT,N. 37,NGEMAH,BN - PBDS,GABRIEL ADIT AK DEMONG,MALE,,
