STATE,POLICE,ARMY,ABSENT VOTER,TOTAL POSTAL VOTERS
PERLIS,976,2660,31,3667
KEDAH,5832,6935,241,13008
KELANTAN,3467,6394,152,10013
TERENGGANU,1828,2719,34,4581
PULAU PINANG,2597,4691,231,7519
PERAK,14173,23496,342,38011
PAHANG,5516,10842,62,16420
SELANGOR,7491,5614,644,13749
WILAYAH PERSEKUTUAN KUALA LUMPUR,7408,16761,475,24644
NEGERI SEMBILAN,3368,7519,34,10921
MELAKA,1351,7772,132,9255
JOHOR,5731,9800,472,16003
WILAYAH PERSEKUTUAN LABUAN,107,2171,,2278
SABAH,4125,4979,10,9114
SARAWAK,7919,9123,163,17205
