Unique Code,State,Parliamentary Code,Parliamentary Seat Name,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.11,KEDAH,P.11,MERBOK,BN - UMNO,,50657,15843,74.26,37617,786,1176,35655,UMNO,DAIM ZAINUDDIN,MALE,52,25749,,,,,,,,,,,,,,S46,MOHD JOHARI BIN ABIDIN,MALE,,9906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12,KEDAH,P.12,SIK,BN - UMNO,,45671,8329,77.59,35438,8,1126,34304,UMNO,DATO DR HAJI ABDUL HAMID HJ. OTHMAN,MALE,51,21048,,,,,,,,,,,,,,S46,DATO ZAINOL ABIDIN B. JOHARI,MALE,,12719,,,,,,,,,,,,,,INDEPENDENT - BOOK,AB. RAZAK BIN AG. LONG,MALE,,537,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.13,KEDAH,P.13,BALING,BN - UMNO,,42945,8429,78.05,33519,48,720,32751,UMNO,HAJI RAJA ARIFFIN BIN RAJA SULAIMAN,MALE,49,20590,,PAS,YUSOF BIN HUSIN,MALE,,12161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.14,KEDAH,P.14,SUNGAI PETANI,BN - UMNO,,52783,9281,72.87,38462,0,1077,37385,UMNO,CIK GU IBRAHIM B. MUSTAFA,MALE,,23333,,,,,,,,,,,,,,S46,CIK GU ABDULLAH BIN HASHIM,MALE,,14052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15,KEDAH,P.15,PADANG SERAI,BN - MCA,,44102,12500,73.83,32559,71,1314,31174,MCA,LIM LAY HOON,FEMALE,,19157,,PAS,USTAZ WAHAB,MALE,,6657,,DAP,KARUPPAIAH A/L RAMASAMY,MALE,,5360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.16,KEDAH,P.16,KULIM-BANDAR BAHARU,BN - UMNO,,45399,13650,74.23,33699,0,1051,32648,UMNO,DATO' ABDUL KADIR B. HJ. SHEIKH FADZIR,MALE,51,23149,,,,,,,,,,,,,,S46,HAJI HASHIM BIN ENDUT,MALE,,9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.17,KELANTAN,P.17,TUMPAT,APU - PAS,,50838,11662,76.74,39015,0,1163,37852,UMNO,DATO HAJI DUSUKI AHMAD,MALE,,12916,,PAS,USTAZ WAN JAMIL BIN WAN MAHMOOD,MALE,44,24578,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,WAN AB. RAHMAN BIN WAN HASSAN,MALE,,358,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.18,KELANTAN,P.18,PENGKALAN CHEPA,APU - PAS,,49897,17447,75.96,37901,0,706,37195,UMNO,MOHD. APANDI HJ. ALI,MALE,50,9874,,PAS,PAK NIK LAH,MALE,,27321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.19,KELANTAN,P.19,KOTA BAHARU,S46,,56244,15460,73.57,41379,125,1079,40175,UMNO,TENGKU RITHAUDDEEN,MALE,62,12106,,,,,,,,,,,,,,S46,HJH ILANI BT DATO HJ ISHAK,FEMALE,37,27566,,,,,,,,,,,,,,INDEPENDENT - BOOK,SAIFUDDIN HAJI DAUD,MALE,,503,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.20,KELANTAN,P.20,PASIR MAS,S46,,41901,9290,75.76,31744,65,837,30842,UMNO,HANAFI HJ. MAMAT,MALE,,10776,,,,,,,,,,,,,,S46,HAJI IBRAHIM ALI,MALE,39,20066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21,KELANTAN,P.21,RANTAU PANJANG,APU - PAS,,41118,6777,75.66,31108,35,614,30459,UMNO,CHE GU HUSEIN BIN AHMAD,MALE,,11841,,PAS,SANUSI DAING MARIOK,MALE,54,18618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.22,KELANTAN,P.22,NILAM PURI,APU - PAS,,40265,8139,80.54,32430,49,802,31579,UMNO,HAJI ANNUAR HAJI MUSA,MALE,34,11457,,PAS,MOHAMMAD BIN SABU,MALE,,19596,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,DR. KAMARUDIN,MALE,,526,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.23,KELANTAN,P.23,BACHOK,APU - PAS,,46416,12254,82.18,38145,52,803,37290,UMNO,CIK GU HAJI ZAIN,MALE,,12518,,PAS,USTAZ HJ. BUNIYAMIN,MALE,,24772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24,KELANTAN,P.24,PASIR PUTEH,S46,,35760,7720,80.69,28856,29,590,28237,UMNO,KAMARUDIN BIN MD. NOR,MALE,,10104,,,,,,,,,,,,,,S46,CIKGU WAN OMAR,MALE,,17824,,,,,,,,,,,,,,INDEPENDENT - BOOK,TENGKU SHIR HJ. TG ABDUL KADIR,MALE,,309,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.25,KELANTAN,P.25,KOK LANAS,S46,,37190,10106,81.03,30134,632,957,28545,UMNO,DATO' ABDULLAH AHMAD,MALE,53,9097,,,,,,,,,,,,,,S46,SUKRI HJ. MOHAMED,MALE,,19203,,,,,,,,,,,,,,INDEPENDENT - BOOK,WAN MOHD. HUSNI BIN HAJI WAN ISMAIL,MALE,,245,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.26,KELANTAN,P.26,TANAH MERAH,S46,,39644,9516,83.75,33201,269,806,32126,UMNO,HJ. HASHIM SAFIN,MALE,,11189,,,,,,,,,,,,,,S46,CIK GU IBRAHIM PATEH,MALE,,20705,,,,,,,,,,,,,,INDEPENDENT - BOOK,SHAFII BIN HAJI ABDUL RAHMAN,MALE,,232,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.27,KELANTAN,P.27,MACHANG,S46,,31353,7738,80.33,25186,37,707,24442,UMNO,KASSIM BIN AHMED,MALE,,8206,,,,,,,,,,,,,,S46,SHUKRI HAJI HASAN,MALE,,15944,,,,,,,,,,,,,,INDEPENDENT - BOOK,HAJI WAN ISMAIL BIN WAN AHAMAD,MALE,,292,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.28,KELANTAN,P.28,KUALA KRAI,APU - PAS,,34330,9895,80.02,27471,0,634,26837,UMNO,HAJI ZAHARI AWANG,MALE,,8471,,PAS,HAJI IBRAHIM MAHMOOD,MALE,,18366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29,KELANTAN,P.29,GUA MUSANG,S46,,31064,13249,81.1,25192,20,475,24697,UMNO,HAJI WAN ISMAIL IBRAHIM,MALE,,5724,,,,,,,,,,,,,,S46,TENGKU RAZALEIGH HAMZAH,MALE,53,18973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30,TERENGGANU,P.30,BESUT,BN - UMNO,,38144,994,84.06,32062,59,701,31302,UMNO,DATO' DR. MOHD YUSOF NOOR,MALE,,16148,,,,,,,,,,,,,,S46,DATO' HAJI ZAKARIA BIN HAJI ABDUL RAHMAN,MALE,46,15154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31,TERENGGANU,P.31,SETIU,BN - UMNO,,34183,3969,84.34,28829,19,657,28153,UMNO,TENGKU MAHMUD BIN MANSOR,MALE,49,16061,,PAS,USTAZ HAJI ABU BAKAR BIN CHIK,MALE,40,12092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.32,TERENGGANU,P.32,KUALA NERUS,BN - UMNO,,38415,3617,84.28,32378,388,875,31115,UMNO,DATO' HAJI ABDUL RASHID BIN MUHAMMAD,MALE,,17366,,,,,,,,,,,,,,S46,IBRAHIM AZMI HASAN,MALE,,13749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33,TERENGGANU,P.33,KUALA TERENGGANU,S46,,55261,1880,77.67,42920,162,1628,41130,UMNO,ZUBIR BIN EMBONG,MALE,,19430,,,,,,,,,,,,,,S46,DATO ABDUL MANAN BIN OTHMAN,MALE,54,21310,,,,,,,,,,,,,,INDEPENDENT - BOOK,ADENAN B. ABD. RAHMAN,MALE,,390,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.34,TERENGGANU,P.34,MARANG,APU - PAS,,42706,350,84,35875,109,679,35087,UMNO,HAJI ABDUL RAHMAN BAKAR,MALE,38,17281,,PAS,HAJI ABDUL HADI BIN HAJI AWANG,MALE,43,17631,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,WAN DERAMAN BIN WAN NIK,MALE,,175,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.35,TERENGGANU,P.35,HULU TERENGGANU,BN - UMNO,,33537,2512,86.79,29108,22,712,28374,UMNO,DATO' ALIAS ALI,MALE,51,15443,,PAS,HAJI HARUN BIN TAIB,MALE,47,12931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.36,TERENGGANU,P.36,DUNGUN,BN - UMNO,,42362,3759,81.24,34414,48,939,33427,UMNO,HAJI AWANG JABAR,MALE,,18593,,PAS,HAJI MUSTAFA BIN ALI,MALE,46,14834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37,TERENGGANU,P.37,KEMAMAN,BN - UMNO,,41781,9446,81.24,33943,39,872,33032,UMNO,DATO' ISMAIL SAID,MALE,,21239,,,,,,,,,,,,,,S46,AHMAD SHABERY BIN HAJI CHEEK,MALE,32,11793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38,PULAU PINANG,P.38,KEPALA BATAS,BN - UMNO,,31068,9851,80.33,24958,27,732,24199,UMNO,DATUK ABDULLAH HAJI AHMAD BADAWI,MALE,51,17025,,,,,,,,,,,,,,S46,AHMAD B. AWANG,MALE,,7174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39,PULAU PINANG,P.39,TASEK GELUGOR,BN - UMNO,,35227,13700,80.76,28450,569,823,27058,UMNO,HAJI MOHD SHARIFF BIN HAJI OMAR,MALE,42,20379,,PAS,HJ. SHUAIB BIN JAAFAR,MALE,,6679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.40,PULAU PINANG,P.40,BAGAN,GR - DAP,,56494,2714,77,43500,78,790,42632,MCA,DR. SAK CHENG LAM,MALE,46,19959,,,,,,,,DAP,LIM HOCK SENG,MALE,41,22673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.41,PULAU PINANG,P.41,PERMATANG PAUH,BN - UMNO,,40526,16150,78.41,31777,37,304,31436,UMNO,ANWAR BIN IBRAHIM,MALE,43,23793,,PAS,MAHFUZ BIN HJ OMAR,MALE,33,7643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42,PULAU PINANG,P.42,BUKIT MERTAJAM,GR - DAP,,54350,1312,79.76,43347,417,1098,41832,MCA,DR. TAN CHONG KENG,MALE,,20260,,,,,,,,DAP,CHIAN HENG KAI,MALE,50,21572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.43,PULAU PINANG,P.43,NIBONG TEBAL,BN - GERAKAN,,43221,1636,78.69,34011,21,1160,32830,GERAKAN,DATUK DOMINIC PUTHUCHEARY,MALE,56,17233,,,,,,,,DAP,DR. N. G. BASKARAN,MALE,,15597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.44,PULAU PINANG,P.44,BUKIT BENDERA,GR - DAP,,57027,10459,74.33,42386,76,813,41497,GERAKAN,DAVID CHOONG EWE LEONG,MALE,61,15519,,,,,,,,DAP,GOOI HOCK SENG,MALE,,25978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.45,PULAU PINANG,P.45,TANJONG,GR - DAP,,60888,17469,74.74,45509,117,953,44439,GERAKAN,BOEY WENG KEAT,MALE,,13485,,,,,,,,DAP,LIM KIT SIANG,MALE,49,30954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.46,PULAU PINANG,P.46,JELUTONG,GR - DAP,,62127,9178,75,46597,82,841,45674,GERAKAN,DATUK OOI EAN KWONG,MALE,48,18248,,,,,,,,DAP,KARPAL SINGH,MALE,50,27426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.47,PULAU PINANG,P.47,BAYAN BARU,GR - DAP,,67582,2340,74.61,50420,240,814,49366,GERAKAN,KHOR GARK KIM,MALE,48,23513,,,,,,,,DAP,AHMAD NOR,MALE,47,25853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.48,PULAU PINANG,P.48,BALIK PULAU,BN - UMNO,,50713,10498,76.87,38985,204,1043,37738,UMNO,MOHD. FARID ARIFFIN,MALE,,24118,,,,,,,,PRM,DR. SANUSI OSMAN,MALE,,13620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.49,PERAK,P.49,GERIK,BN - UMNO,,34506,7013,75.25,25966,1009,814,24143,UMNO,MOHD. TAJOL ROSLI GHAZALI,MALE,46,15578,,,,,,,,,,,,,,S46,ROSLAN MOHD. LATIF,MALE,,8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.50,PERAK,P.50,LARUT,BN - UMNO,,33469,10991,72.28,24192,54,805,23333,UMNO,HAJI MOHD ZIHIN BIN HAJI MOHD HASSAN,MALE,,17162,,,,,,,,,,,,,,S46,CIKGU AHMAD NAWI,MALE,,6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.51,PERAK,P.51,PARIT BUNTAR,BN - UMNO,,39086,740,74.49,29114,42,897,28175,UMNO,DATO' HAJI ABDUL RAHMAN SULAIMAN,MALE,,14113,,,,,,,,,,,,,,S46,IDRIS ABDUL RAUF,MALE,,13373,,,,,,,,,,,,,,INDEPENDENT - BOOK,HAJI JAAFAR ALI,MALE,,689,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.52,PERAK,P.52,BAGAN SERAI,BN - UMNO,,38834,3002,71.44,27742,43,1053,26646,UMNO,DATO' HAJI QAMARUZZAMAN BIN HJ. ISMAIL,MALE,,14824,,,,,,,,,,,,,,S46,DATO' HJ. ZAINAL ABIDIN ZIN,MALE,,11822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.53,PERAK,P.53,BUKIT GANTANG,BN - UMNO,,41775,7213,72.23,30172,72,893,29207,UMNO,TOH MUDA DATO DR. ABDULLAH FADZIL CHE WAN,MALE,47,18210,,PAS,USTAZ AZIZAN BIN MOHAMED DESA,MALE,,10997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.54,PERAK,P.54,TAIPING,BN - GERAKAN,,62748,2585,71.73,45010,368,1076,43566,GERAKAN,KERK CHOO TING,MALE,,22162,,,,,,,,DAP,DR (KAPT) KONG CHEOK SENG,MALE,,19577,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DR. SAID ABU HASSAN,MALE,,1827,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.55,PERAK,P.55,TASEK CHENDEROH,BN - UMNO,,32614,6779,69.6,22698,50,635,22013,UMNO,HAJI HAMZAH BIN HAJI MOHD. ZAIN,MALE,,14396,,,,,,,,,,,,,,S46,DATO' HJ. SAIDIN MAT PIAH,MALE,,7617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.56,PERAK,P.56,SUNGAI SIPUT,BN - MIC,,40499,1763,69.33,28077,49,937,27091,MIC,S. SAMY VELLU,MALE,54,14427,,,,,,,,DAP,P. PATTO,MALE,44,12664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.57,PERAK,P.57,TAMBUN,BN - UMNO,,64726,12102,74.52,48237,0,1987,46250,UMNO,NAWAWI MAT AWIN,MALE,,29176,,,,,,,,,,,,,,S46,KAMARUDIN BIN HJ. AWANG TEH,MALE,,17074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.58,PERAK,P.58,PASIR PINJI,GR - DAP,,68551,17953,67.68,46393,278,782,45333,MCA,CHEW WAI KOON,MALE,,13690,,,,,,,,DAP,KERK KIM HOCK,MALE,34,31643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.59,PERAK,P.59,IPOH,GR - DAP,,60460,6240,66.67,40311,522,795,38994,MCA,PETER CHIN GAN OON,MALE,,16377,,,,,,,,DAP,LAU DAK KEE,MALE,47,22617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.60,PERAK,P.60,BATU GAJAH,GR - DAP,,53465,8534,69.01,36897,84,901,35912,MCA,LEE CHAN FAI,MALE,,13689,,,,,,,,DAP,FOO PIEW KOK,MALE,,22223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.61,PERAK,P.61,KUALA KANGSAR,BN - UMNO,,37659,7994,68.84,25926,0,824,25102,UMNO,RAFIDAH AZIZ,FEMALE,47,16548,,,,,,,,,,,,,,S46,JAMALUDDIN BIN MOHD DIN,MALE,,8554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.62,PERAK,P.62,BERUAS,BN - GERAKAN,,38832,863,71.44,27742,24,803,26915,GERAKAN,DATO SERI DR. LIM KENG YAIK,MALE,51,13889,,,,,,,,DAP,NGEH KOO HAM,MALE,29,13026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.63,PERAK,P.63,PARIT,BN - UMNO,,36484,5866,68.24,24897,105,952,23840,UMNO,NASRUDDIN BIN ALANG SAIDIN,MALE,,14853,,PAS,HJ. ABDUL KADER BIN KAHAR,MALE,,8987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.64,PERAK,P.64,GOPENG,BN - MCA,,36347,6051,68.03,24728,3,794,23931,MCA,DR. TING CHEW PEH,MALE,47,14991,,,,,,,,DAP,HONG CHIN POH,MALE,,8940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.65,PERAK,P.65,KAMPAR,GR - DAP,,41773,312,68.02,28412,28,768,27616,MCA,HEW SEE TONG,MALE,59,13652,,,,,,,,DAP,WONG WING ON,MALE,,13964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.66,PERAK,P.66,TAPAH,BN - MIC,,38209,5221,68.53,26184,318,1057,24809,MIC,DATO' K. KUMARAN,MALE,,15015,,,,,,,,,,,,,,S46,HAJI ABDUL WAHAB BIN ABU BAKAR,MALE,,9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.67,PERAK,P.67,PASIR SALAK,BN - UMNO,,38608,13302,70.99,27406,100,1034,26272,UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,47,19787,,PAS,ROSLI BIN SAMSUDIN,MALE,,6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.68,PERAK,P.68,LUMUT,BN - MCA,,59557,4874,73.05,43506,2763,1295,39448,MCA,DATIN LING CHOOI SENG,FEMALE,,22161,,,,,,,,DAP,CHEW PANG KEE,MALE,,17287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.69,PERAK,P.69,BAGAN DATOK,BN - UMNO,,34811,7879,68.97,24008,28,1129,22851,UMNO,MOHAMED BIN JAMRAH,MALE,44,15365,,PAS,ARRIFIN NGAH NASUTION,MALE,,7486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.70,PERAK,P.70,TELOK INTAN,BN - GERAKAN,,49727,2111,68.72,34173,77,987,33109,GERAKAN,ONG TIN KIM,MALE,52,17610,,,,,,,,AMIPF,MR. G. PANDITHAN,MALE,50,15499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.71,PERAK,P.71,TANJONG MALIM,BN - MCA,,48635,15246,69.99,34038,82,1296,32660,MCA,LOKE YUEN YOW,MALE,,23953,,,,,,,,DAP,A. RAHIM HJ. MAT TAIB,MALE,,8707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.72,PAHANG,P.72,LIPIS,BN - MCA,,39027,4022,70.37,27462,0,1144,26318,MCA,CHAN KONG CHOY,MALE,35,15170,,,,,,,,,,,,,,S46,DR. AMIN HUSSAINI BIN ABDUL MANAN,MALE,,11148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.73,PAHANG,P.73,RAUB,BN - MCA,,48189,7582,71.77,34584,0,1692,32892,MCA,TENG GAIK KWAN,FEMALE,51,20237,,,,,,,,DAP,LIP TUK CHEE,MALE,,12655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.74,PAHANG,P.74,JERANTUT,BN - UMNO,,36891,5346,76.86,28355,1,858,27496,UMNO,DATO' WAN ABU BAKAR BIN WAN MOHAMED,MALE,37,16421,,PAS,SYED IBRAHIM,MALE,,11075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.75,PAHANG,P.75,KUANTAN,BN - UMNO,,63807,5867,72.24,46096,641,1282,44173,UMNO,DATO HAJI FAUZI ABDUL RAHMAN,MALE,44,25020,,,,,,,,,,,,,,S46,AHMAD MOKHTAR HAJI MOHAMED,MALE,,19153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.76,PAHANG,P.76,PEKAN,BN - UMNO,,46823,10467,71.36,33414,0,1357,32057,UMNO,DATO SRI HJ. MOHD NAJIB TUN RAZAK,MALE,37,21262,,,,,,,,,,,,,,S46,OTHMAN BIN HITAM,MALE,,10795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.77,PAHANG,P.77,MARAN,BN - UMNO,,45819,13620,79.86,36592,35,899,35658,UMNO,HAJI MUHAMMAED BIN HAJI ABDULLAH,MALE,48,24639,,PAS,SYED NOH BIN SYED MOHAMAD,MALE,,11019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.78,PAHANG,P.78,MENTEKAB,BN - UMNO,,38271,7264,74.45,28493,251,1212,27030,UMNO,DATO' DR. SITI ZAHARAH SULAIMAN,FEMALE,41,17147,,,,,,,,,,,,,,S46,BAHARI BIN ISMAIL,MALE,,9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.79,PAHANG,P.79,BENTUNG,BN - MCA,,46872,12111,73,34218,168,1189,32861,MCA,DATO' LIM AH LEK,MALE,48,22486,,,,,,,,DAP,WOO CHEE WAN,MALE,,10375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.80,PAHANG,P.80,TEMERLUH,BN - UMNO,,47490,4770,79.29,37654,1084,1084,35486,UMNO,DATO' SABBARUDDIN CHIK,MALE,48,20128,,,,,,,,,,,,,,S46,KAMARAZAMAN BIN YACOB,MALE,,15358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.81,PAHANG,P.81,ROMPIN,BN - UMNO,,39808,13128,74.83,29787,17,910,28860,UMNO,DR HAJI JAMALUDIN BIN DATO HAJI MOHD JARJIS,MALE,39,20994,,PAS,USTAZ HJ SALIM @ HJ AHMAD BIN AWG. KALIB,MALE,,7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.82,SELANGOR,P.82,SABAK BERNAM,BN - UMNO,,33761,12548,70.75,23885,26,977,22882,UMNO,HAJI MAHBUD BIN HAJI HASHIM,MALE,,17715,,PAS,USTAZ ABD. RAZAK BIN DAWAMI,MALE,,5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.83,SELANGOR,P.83,TANJONG KARANG,BN - UMNO,,32910,8277,72,23694,3,1032,22659,UMNO,SAIDIN @ YUSOF BIN ADAM,MALE,,15468,,PAS,HJ. ABDUL HAKIM BIN HJ ABDULLAH,MALE,,7191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.84,SELANGOR,P.84,HULU SELANGOR,BN - MIC,,46933,8982,73.7,34590,284,1610,32696,MIC,G. PALANIVEL,MALE,41,20839,,,,,,,,,,,,,,S46,NAZAR YAKIN,MALE,,11857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.85,SELANGOR,P.85,KUALA SELANGOR,BN - UMNO,,36695,9456,75.07,27547,20,1055,26472,UMNO,DATO' HAJI ABU HASSAN OMAR,MALE,50,17964,,,,,,,,AMIPF,DR. MOHAMED HANIFFA,MALE,41,8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
