Unique Code,State,Parliamentary Code,Parliamentary Seat Name,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.161,SARAWAK,P.161,BATANG SADONG,BN - PBB,,18727,4168,77.19,14455,397,194,13864,PBB,WHAB SUHAILI,MALE,,8887,,,,,,,,,,,,,,,,,,,,PERMAS,BUJANG HAJI ULIS,MALE,42,4719,,,,,,,,INDEPENDENT - KEY,POK AK UNGKUT,MALE,,258,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.162,SARAWAK,P.162,BATANG LUPAR,BN - PBB,,16145,2665,67.01,10818,5,166,10647,PBB,WAN JUNAIDI B. TUANKU JAAFAR,MALE,44,5795,,,,,,,,,,,,,,,,,,,,PERMAS,W. HABIB MAHMUD,MALE,54,3130,,,,,,,,INDEPENDENT - KEY,ABANG ISMAIL B. ABG. HADARI,MALE,,1722,,,,,,,,,,,,,,,,,,,
P.163,SARAWAK,P.163,SRI AMAN,BN - PBDS,,23807,6701,63.29,15067,68,260,14739,PBDS,DANIEL TAJEM AK MIRI,MALE,54,9740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,BARAT AK UTEK,MALE,,3039,,INDEPENDENT - KEY,JACOB AK IMANG,MALE,,1960,,,,,,,,,,,,,
P.164,SARAWAK,P.164,LUBUK ANTU,BN - PBDS,Y,14845,,,,,,,PBDS,JAWAH GERANG,MALE,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165,SARAWAK,P.165,BETONG,BN - PBB,,17700,7173,69.84,12361,16,155,12190,PBB,DOUGLAS UGGAH EMBAS,MALE,34,9178,,,,,,,,,,,,,,,,,,,,PERMAS,MUSA B. JAMALUDDIN,MALE,,2005,,,,,,,,INDEPENDENT - ROOSTER,DAVID IMPI,MALE,,1007,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.166,SARAWAK,P.166,SARATOK,BN - SNAP,,21289,4157,76.86,16363,189,297,15877,SNAP,DATUK PETER TINGGOM AK KAMARAU,MALE,64,9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,BANYI AK BERIAK,MALE,,5394,,INDEPENDENT - KEY,BARUDI AK LINGGONG,MALE,,639,LOST DEPOSIT,INDEPENDENT - AEROPLANE,GERIJIH AK TABOR,MALE,,293,,,,,,,
P.167,SARAWAK,P.167,KUALA REJANG,BN - PBB,,23498,8656,65.68,15433,14,411,15008,PBB,ABANG ABU BAKAR BIN DATU BANDAR ABANG HAJI MUSTAPHA,MALE,49,10886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,HASSAN JAJOL,MALE,,1892,,INDEPENDENT - OIL PALM,ASBOR BIN ABDULLAH,MALE,,2230,,,,,,,,,,,,,
P.168,SARAWAK,P.168,SARIKEI,BN - SUPP,,28316,4612,73.69,20866,67,243,20556,SUPP,LAW HIENG DING,MALE,55,12584,,,,,,,,DAP,CHIAN PAO KOH,MALE,,7972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.169,SARAWAK,P.169,JULAU,BN - PBDS,,14622,465,79.26,11590,17,266,11307,PBDS,THOMAS SALANG,MALE,,5886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,WILLIAM MAWAN IKOM,MALE,,5421,,,,,,,,,,,,,,,,,,,
P.170,SARAWAK,P.170,KANOWIT,BN - PBDS,,16154,2386,72.67,11739,15,182,11542,PBDS,DATUK LEO MOGGIE,MALE,50,6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,NICHOLAS NGALANG,MALE,,4578,,,,,,,,,,,,,,,,,,,
