UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.2_N.11,PERLIS,P.2,ARAU,N.11,KOTA RAJA,BN - UMNO,,7723,1939,75.86,5859,6,204,5649,UMNO,ABDUL HAMID B PAWANTEH,MALE,,3794,,,,,,,,,,,,,,S46,SYED DARUS BIN SYED HASHIM,MALE,,1855,,,,,,,,,,,,,
P.2_N.12,PERLIS,P.2,ARAU,N.12,GUAR SANJI,BN - UMNO,,6660,1412,76.94,5124,18,184,4922,UMNO,CIKGU AZIB SAAD,MALE,,3167,,PAS,BAHARI BIN ALI,MALE,26,1755,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.13,PERLIS,P.2,ARAU,N.13,KURONG ANAI,BN - UMNO,,5216,208,80.33,4190,2,110,4078,UMNO,TENGKU AZIZ B TENGKU JAAFAR,MALE,,2143,,PAS,HASHIM HJ JASIN,MALE,,1935,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.14,PERLIS,P.2,ARAU,N.14,SANGLANG,BN - UMNO,,7120,137,78.93,5620,4,199,5417,UMNO,KAMARUDIN BIN AHMAD,MALE,,2777,,PAS,ISHAK BIN ISMAIL,MALE,,2640,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_N.1,KEDAH,P.3,JERLUN - LANGKAWI,N.1,LANGKAWI,BN - UMNO,,18666,7652,78.97,14740,10,614,14116,UMNO,DATUK ABU BAKAR B. TAIB,MALE,,10884,,PAS,YUSUF B. MAN,MALE,,3232,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_N.2,KEDAH,P.3,JERLUN - LANGKAWI,N.2,JERLUN,BN - UMNO,,27823,1417,77.95,21688,22,663,21003,UMNO,DATO' YUSUF B. ABD. RAHMAN,MALE,,11210,,PAS,HAJI HALIM ARSHAT,MALE,,9793,,,,,,,,,,,,,,,,,,,,,,,,,
P.4_N.3,KEDAH,P.4,KUBANG PASU,N.3,TUNJANG,BN - UMNO,,26365,7979,78.83,20785,81,881,19823,UMNO,HAJI HANAFI B RAMLI,MALE,,13901,,PAS,HAJI ABU KASIM B. L. ABDULLAH,MALE,,5922,,,,,,,,,,,,,,,,,,,,,,,,,
P.4_N.4,KEDAH,P.4,KUBANG PASU,N.4,JITRA,BN - UMNO,,25976,11101,76.46,19862,12,785,19065,UMNO,OSMAN B AROFF,MALE,,15083,,,,,,,,,,,,,,S46,ABD. RASHID B MOHD SALLEH,MALE,,3982,,,,,,,,,,,,,
P.5_N.5,KEDAH,P.5,PADANG TERAP,N.5,KUALA NERANG,BN - UMNO,,24554,3364,79.54,19531,22,787,18722,UMNO,HAJI AWANG AHMAD HAJI SULAIMAN,MALE,,11043,,PAS,GHAZALI BIN LEBAI MD SAMAN,MALE,,7679,,,,,,,,,,,,,,,,,,,,,,,,,
P.5_N.6,KEDAH,P.5,PADANG TERAP,N.6,POKOK SENA,BN - UMNO,,20403,1482,77.35,15782,14,662,15106,UMNO,GHAZALI B HAJI IBRAHIM,MALE,,8294,,PAS,CIKGU MAHMUD,MALE,,6812,,,,,,,,,,,,,,,,,,,,,,,,,
