UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.19_N.9,KELANTAN,P.19,KOTA BAHARU,N.9,LUNDANG,APU - PAS,,17714,5871,76.63,13575,35,493,13047,UMNO,CIKGU HAJI ARIFIN OTHMAN,MALE,,3483,,PAS,HAJI MAWARDI HAJI AHMAD,MALE,,9354,,,,,,,,,,,,,,INDEPENDENT,WAN MUHAMMAD WAN ISMAIL,MALE,,210,LOST DEPOSIT,,,,,,
P.20_N.10,KELANTAN,P.20,PASIR MAS,N.10,TENDONG,S46,,13507,2768,79.85,10786,18,322,10446,UMNO,ISMAIL CHE MAT,MALE,,3839,,,,,,,,,,,,,,S46,HJ ZAINUDDIN @ FADHIL BIN HAJI MOHAMED NOR,MALE,,6607,,,,,,,,,,,,,
P.20_N.11,KELANTAN,P.20,PASIR MAS,N.11,PENGKALAN PASIR,APU - PAS,,14958,2835,74.72,11177,37,231,10909,UMNO,CHE GU HAJI HASSAN PA'SU MAIL,MALE,,4037,,PAS,HAJI HASSAN ABDULLAH,MALE,,6872,,,,,,,,,,,,,,,,,,,,,,,,,
P.20_N.12,KELANTAN,P.20,PASIR MAS,N.12,MERANTI,APU - PAS,,13436,3527,76.37,10261,0,316,9945,UMNO,RAZALI B HJ. ISMAIL,MALE,,3209,,PAS,HAJI ZAKARIA BIN ISMAIL,MALE,,6736,,,,,,,,,,,,,,,,,,,,,,,,,
P.21_N.13,KELANTAN,P.21,RANTAU PANJANG,N.13,GUAL PERIOK,S46,,14530,2526,74.07,10763,12,277,10474,UMNO,HAJI ABDUL RAHMAN BIN AWANG,MALE,,3974,,,,,,,,,,,,,,S46,NIK MUSTAPHA BIN NIK LODING,MALE,,6500,,,,,,,,,,,,,
P.21_N.14,KELANTAN,P.21,RANTAU PANJANG,N.14,BUKIT TUKU,APU - PAS,,14358,2093,75.3,10812,11,222,10579,UMNO,ENCIK MOHD ZAIN BIN ISMAIL,MALE,,4243,,PAS,USTAZ HAJI HUSSIN BIN IBRAHIM,MALE,,6336,,,,,,,,,,,,,,,,,,,,,,,,,
P.21_N.15,KELANTAN,P.21,RANTAU PANJANG,N.15,CHETOK,APU - PAS,,12230,2290,77.91,9529,5,320,9204,UMNO,HJ. HASSAN BIN MOHAMED,MALE,,3352,,PAS,USTAZ AB. RAHMAN MUSA,MALE,,5642,,,,,,,,,,,,,,INDEPENDENT,CIKGU ABDUL RAHMAN B HAJI ISMAIL,MALE,,210,LOST DEPOSIT,,,,,,
P.22_N.16,KELANTAN,P.22,NILAM PURI,N.16,SALOR,S46,,13584,3290,81.66,11093,0,334,10759,UMNO,USTAZAH ZALEHA BT HUSSIN,FEMALE,,3666,,,,,,,,,,,,,,S46,HAJI AHMAD RUSLI HAJI IBRAHIM,MALE,,6956,,INDEPENDENT,HAJI ZAKARIA BIN YUSSOF,MALE,,137,LOST DEPOSIT,,,,,,
P.22_N.17,KELANTAN,P.22,NILAM PURI,N.17,MULONG,APU - PAS,,11226,2948,80.79,9070,0,234,8836,UMNO,CIK GU KOB,MALE,,2846,,PAS,MOHAMED SHUKRI BIN HJ AB RAHMAN,MALE,,5794,,,,,,,,,,,,,,INDEPENDENT,DR. KAMARUDDIN,MALE,,196,LOST DEPOSIT,,,,,,
P.22_N.18,KELANTAN,P.22,NILAM PURI,N.18,PERINGAT,APU - PAS,,15455,3220,79.09,12223,0,377,11846,UMNO,CIK GU HAJI DIN,MALE,,4193,,PAS,USTAZ HAJI DAUD,MALE,,7413,,,,,,,,,,,,,,INDEPENDENT,MD. BUKHARI ABDULLAH,MALE,,240,LOST DEPOSIT,,,,,,
P.23_N.19,KELANTAN,P.23,BACHOK,N.19,TAWANG,APU - PAS,,15511,5182,82.47,12792,0,358,12434,UMNO,CIK GU ZAINAL,MALE,,3626,,PAS,USTAZ HJ. IDRIS B HJ AHMAD,MALE,,8808,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_N.20,KELANTAN,P.23,BACHOK,N.20,PERUPOK,APU - PAS,,14488,3042,81.05,11742,23,319,11400,UMNO,CIK GU HJ. NOR,MALE,,4179,,PAS,HJ OMAR MOHAMMED,MALE,,7221,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_N.21,KELANTAN,P.23,BACHOK,N.21,JELAWAT,S46,,16417,3610,82.55,13552,28,339,13185,UMNO,CIK GU DIN,MALE,,4724,,,,,,,,,,,,,,S46,HAJI MOHD DAUD BIN JAAFAR,MALE,,8334,,INDEPENDENT,HAJI YUSOFF B SALLEH,MALE,,127,LOST DEPOSIT,,,,,,
P.24_N.22,KELANTAN,P.24,PASIR PUTEH,N.22,CHERANG RUKU,APU - PAS,,10798,1584,83.74,9042,12,211,8819,UMNO,MOHAMMED JELANI B JAAFAR,MALE,,3540,,PAS,USTAZ MAN,MALE,,5124,,,,,,,,,,,,,,INDEPENDENT,PAK MUD,MALE,,155,LOST DEPOSIT,,,,,,
P.24_N.23,KELANTAN,P.24,PASIR PUTEH,N.23,LIMBONGAN,S46,,13946,3732,77.73,10840,0,249,10591,UMNO,CIKGU HJ. AGIL,MALE,,3359,,,,,,,,,,,,,,S46,HAJI WAN MOHD NAJIB,MALE,,7091,,INDEPENDENT,AFANDI HASSAN,MALE,,141,LOST DEPOSIT,,,,,,
P.24_N.24,KELANTAN,P.24,PASIR PUTEH,N.24,GAAL,APU - PAS,,11016,3073,81.93,9026,79,224,8723,UMNO,CIKGU DAUD YUSOFF,MALE,,2764,,PAS,USTAZ MUHAMMAD HUSAIN,MALE,,5837,,,,,,,,,,,,,,INDEPENDENT,MOHAMAD CIK TONG,MALE,,122,LOST DEPOSIT,,,,,,
P.25_N.25,KELANTAN,P.25,KOK LANAS,N.25,SELISING,APU - PAS,,12964,3905,78.93,10233,0,335,9898,UMNO,CIKGU HAJJAH WAN ESAH,FEMALE,,2950,,PAS,CIK GU BISI,MALE,,6855,,,,,,,,,,,,,,INDEPENDENT,NIK HASSAN,MALE,,93,LOST DEPOSIT,,,,,,
P.25_N.26,KELANTAN,P.25,KOK LANAS,N.26,KETEREH,APU - PAS,,14439,2926,83.61,12072,639,416,11017,UMNO,PENGGAWA HAJI ARIFFIN,MALE,,3990,,PAS,CIKGU HAJI MAT HAJI YUSOFF,MALE,,6916,,,,,,,,,,,,,,INDEPENDENT,ZAILANI,,,111,LOST DEPOSIT,,,,,,
P.25_N.27,KELANTAN,P.25,KOK LANAS,N.27,PULAI CHONDONG,S46,,9787,2590,79.86,7816,8,232,7576,UMNO,ABDULLAH BIN HJ. MOHAMED,MALE,,2493,,,,,,,,,,,,,,S46,KAPT. (B) MOHAMAD NOOR BIN AHMAD,MALE,,5083,,,,,,,,,,,,,
P.26_N.28,KELANTAN,P.26,TANAH MERAH,N.28,BUKIT PANAU,APU - PAS,,15031,3182,82.04,12332,1,357,11974,UMNO,USTAZ AB. LATIF,MALE,,4322,,PAS,MAT YUSOFF BIN MAT SAH,MALE,,7504,,,,,,,,,,,,,,INDEPENDENT,HANAFI BIN HAMAT,MALE,,148,LOST DEPOSIT,,,,,,
P.26_N.29,KELANTAN,P.26,TANAH MERAH,N.29,PANGLIMA BAYU,S46,,12684,2921,84.19,10679,1,268,10410,UMNO,TAN SRI DATO' HAJI MOHAMED BIN YA'ACOB,MALE,,3701,,,,,,,,,,,,,,S46,ZIANON ABDIN BIN ALI,MALE,,6622,,INDEPENDENT,SHAFI'I BIN HAJI ABDUL RAHMAN,MALE,,87,LOST DEPOSIT,,,,,,
P.26_N.30,KELANTAN,P.26,TANAH MERAH,N.30,JELI,APU - PAS,,11929,3392,84.32,10059,121,279,9659,UMNO,AB. SAMAT BIN HJ. DRAHMAN,MALE,,3103,,PAS,ABANG SOH,MALE,,6495,,,,,,,,,,,,,,INDEPENDENT,ABDULLAH SANI BIN ISMAIL,MALE,,61,LOST DEPOSIT,,,,,,
P.27_N.31,KELANTAN,P.27,MACHANG,N.31,GUAL IPOH,S46,,9092,1287,82.08,7463,3,239,7221,UMNO,CHE GU MUSTAFA B YAAKOB,MALE,,2931,,,,,,,,,,,,,,S46,TENGKU ALANG BIN T. SULONG,MALE,,4218,,INDEPENDENT,MAT ZIN BIN ABDUL RAHMAN,MALE,,72,LOST DEPOSIT,,,,,,
P.27_N.32,KELANTAN,P.27,MACHANG,N.32,LABOK,APU - PAS,,11546,3749,78.69,9086,22,313,8751,UMNO,HAJI SAFII,MALE,,2447,,PAS,HAJI WAN HUSIN,MALE,,6196,,,,,,,,,,,,,,INDEPENDENT,WAN ZAHIDI HJ WAN ISMAIL,MALE,,108,LOST DEPOSIT,,,,,,
P.27_N.33,KELANTAN,P.27,MACHANG,N.33,BANGGOL JUDAH,APU - PAS,,10715,2120,80.56,8632,15,254,8363,UMNO,ISMAIL MAMAT,MALE,,3078,,PAS,USTAZ YA,MALE,,5198,,,,,,,,,,,,,,INDEPENDENT,ALIAS BIN JUSOH,MALE,,87,LOST DEPOSIT,,,,,,
P.28_N.34,KELANTAN,P.28,KUALA KRAI,N.34,TEMANGAN,S46,,10777,2569,82.6,8902,4,251,8647,UMNO,CIKGU LEH,MALE,,3039,,,,,,,,,,,,,,S46,HAJAH KELTHUM BINTI HAJI AHMED,FEMALE,,5608,,,,,,,,,,,,,
P.28_N.35,KELANTAN,P.28,KUALA KRAI,N.35,GUCHIL,APU - PAS,,12546,3048,79.11,9925,23,304,9598,UMNO,MOHAMED BIN ISA,MALE,,3275,,PAS,WAN HASAN BIN WAN YUSOF,MALE,,6323,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.36,KELANTAN,P.28,KUALA KRAI,N.36,MANEK URAI,APU - PAS,,11007,3608,78.97,8692,4,245,8443,UMNO,HJ. WAN ZAID,MALE,,2362,,PAS,ISMAIL BIN YAACOB,MALE,,5970,,,,,,,,,,,,,,INDEPENDENT,ZAKARIA BIN AWANG,MALE,,111,LOST DEPOSIT,,,,,,
P.29_N.37,KELANTAN,P.29,GUA MUSANG,N.37,DABONG,S46,,8907,4571,83.15,7406,10,123,7273,UMNO,HAJI HAMAD BIN MAT JAIH,MALE,52,1351,,,,,,,,,,,,,,S46,HAJI ROZALI ISOHAK,MALE,,5922,,,,,,,,,,,,,
P.29_N.38,KELANTAN,P.29,GUA MUSANG,N.38,PALOH,S46,,13420,5671,84.63,11358,3,210,11145,UMNO,DATO' HAJI ARIFFIN BIN SAID,MALE,,2737,,,,,,,,,,,,,,S46,NOZULA MAT DIAH,MALE,,8408,,,,,,,,,,,,,
P.29_N.39,KELANTAN,P.29,GUA MUSANG,N.39,GALAS,S46,,8737,2705,73.58,6429,5,199,6225,UMNO,HAJI ZAKARIA BIN HAJI HASSAN,MALE,,1760,,,,,,,,,,,,,,S46,HAJI OMAR MOHAMED,MALE,,4465,,,,,,,,,,,,,
P.30_N.1,TERENGGANU,P.30,BESUT,N.1,KUALA BESUT,BN - UMNO,,8902,263,83.71,7452,0,185,7267,UMNO,DATO' WAN ZAKARIA BIN WAN ABD. RAHMAN,MALE,,3765,,PAS,USTAZ HUSAIN BIN AWANG,MALE,,3502,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.2,TERENGGANU,P.30,BESUT,N.2,KAMPUNG RAJA,BN - UMNO,,9769,340,84.75,8279,12,189,8078,UMNO,USTAZ ABDULLAH MUHAMMAD,MALE,,4209,,,,,,,,,,,,,,S46,HAJI MOHD NOOR BIN ISMAIL,MALE,,3869,,,,,,,,,,,,,
P.30_N.3,TERENGGANU,P.30,BESUT,N.3,JERTIH,APU - PAS,,10206,597,82.21,8390,16,207,8167,UMNO,HAJI ABDUL MAJID BIN AHMAD,MALE,,3785,,PAS,USTAZ ABDUL LATIF MOHAMAD,MALE,,4382,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.4,TERENGGANU,P.30,BESUT,N.4,HULU BESUT,BN - UMNO,,9267,514,85.59,7932,7,193,7732,UMNO,HAJI DAUD BIN ABU BAKAR,MALE,,4123,,PAS,DAUD BIN ABD KADIR,MALE,,3609,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.5,TERENGGANU,P.31,SETIU,N.5,JABI,APU - PAS,,9046,1036,83.77,7578,1,193,7384,UMNO,HAJI HASSAN BIN HAJI SAID,MALE,,3174,,PAS,USTAZ HAJI ZAHARI MUHAMMAD,MALE,,4210,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.6,TERENGGANU,P.31,SETIU,N.6,PERMAISURI,BN - UMNO,,9385,1909,85.07,7984,7,302,7675,UMNO,SHAFI'I BIN OMAR,MALE,,4792,,,,,,,,,,,,,,S46,ALIAS BIN ZAINAL,MALE,,2883,,,,,,,,,,,,,
P.31_N.7,TERENGGANU,P.31,SETIU,N.7,LANGKAP,BN - UMNO,,7417,1523,84.81,6290,0,191,6099,UMNO,MAMAT GHAZALEE ABD RAHMAN,MALE,,3811,,PAS,USTAZ HAJI MAHMOOD SULAIMAN,MALE,,2288,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.8,TERENGGANU,P.31,SETIU,N.8,BATU RAKIT,BN - UMNO,,8335,1379,83.66,6973,5,246,6722,UMNO,DR. ABDUL WAHAB BIN NGAH,MALE,,4008,,,,,,,,,,,,,,S46,ZULKIFLI BIN CHIK,MALE,,2629,,INDEPENDENT,HUSSAIN BIN MOHAMMAD,MALE,,85,LOST DEPOSIT,,,,,,
P.32_N.9,TERENGGANU,P.32,KUALA NERUS,N.9,TEPUH,BN - UMNO,,11219,1042,82.43,9248,5,353,8890,UMNO,ABDULLAH @ WAHAB BIN SAID,MALE,,4966,,PAS,USTAZ HAJI ABU BAKAR BIN ABDULLAH,MALE,,3924,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.10,TERENGGANU,P.32,KUALA NERUS,N.10,TELUK PASU,BN - UMNO,,10125,631,86.88,8797,7,137,8653,UMNO,USTAZ HJ. ABDUL RAHMAN BIN MOHD,MALE,,4642,,PAS,USTAZ AWANG ABU BAKAR,MALE,,4011,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.11,TERENGGANU,P.32,KUALA NERUS,N.11,SEBERANG TAKIR,BN - UMNO,,8866,2833,85.8,7607,357,233,7017,UMNO,DATO' HAJI ABDUL RASHID BIN NGAH,MALE,,4925,,,,,,,,,,,,,,S46,USTAZ HAJI YONG BIN HAJI MAHMUD,MALE,,2092,,,,,,,,,,,,,
P.32_N.12,TERENGGANU,P.32,KUALA NERUS,N.12,BUKIT TUNGGAL,S46,,8205,237,81.97,6726,12,177,6537,UMNO,HJ. AHMAD KASSIM @ GHAZALI BIN HJ. ENDUT,MALE,,3150,,,,,,,,,,,,,,S46,HJ. ADAM @ HJ. MANSOR BIN ALI,MALE,,3387,,,,,,,,,,,,,
P.33_N.13,TERENGGANU,P.33,KUALA TERENGGANU,N.13,BANDAR,APU - PAS,,14369,726,73.36,10541,23,262,10256,MCA,WONG FOON MENG,MALE,,3956,,PAS,HAJI HARUN BIN JUSOH,MALE,,4682,,DAP,NG CHAI HING,MALE,30,1519,,,,,,,,INDEPENDENT,GHAZALI BIN MOHAMAD,MALE,,99,LOST DEPOSIT,,,,,,
P.33_N.14,TERENGGANU,P.33,KUALA TERENGGANU,N.14,LADANG,BN - UMNO,,11868,1967,73.23,8691,66,236,8389,UMNO,DATO' ABU BAKAR DAUD,MALE,,5178,,,,,,,,,,,,,,S46,DATO HAJI SALLEH BIN ISMAIL,MALE,,3211,,,,,,,,,,,,,
P.33_N.15,TERENGGANU,P.33,KUALA TERENGGANU,N.15,BATU BURUK,APU - PAS,,14011,984,82.23,11521,18,305,11198,UMNO,HAJI ZULKIFLI BIN MOHD NASIR,MALE,,5064,,PAS,WAN ABD. MUTTALIB BIN EMBONG,MALE,,6048,,,,,,,,,,,,,,INDEPENDENT,RASID BIN MUSA,MALE,,86,LOST DEPOSIT,,,,,,
P.33_N.16,TERENGGANU,P.33,KUALA TERENGGANU,N.16,WAKAF MEMPELAM,APU - PAS,,15013,1163,81.04,12167,10,450,11707,UMNO,ABD. LATIF BIN MOHD,MALE,,5220,,PAS,HAJI MOHD ABDUL WAHID BIN HAJI ENDUT,MALE,,6383,,,,,,,,,,,,,,INDEPENDENT,WAN DERAMAN BIN WAN NIK,MALE,,104,LOST DEPOSIT,,,,,,
P.34_N.17,TERENGGANU,P.34,MARANG,N.17,SERADA,BN - UMNO,,12399,784,81.89,10154,61,236,9857,UMNO,HJ. YUSOF @ JUSOH BIN MUSA,MALE,,5077,,PAS,USTAZ HAJI KASIM BIN AHMAD,MALE,,4293,,,,,,,,S46,CHE HASHIM @ MOHD YASIN,MALE,,487,LOST DEPOSIT,,,,,,,,,,,,
P.34_N.18,TERENGGANU,P.34,MARANG,N.18,BUKIT PAYUNG,APU - PAS,,10059,17,84.82,8532,11,212,8309,UMNO,MAZLAN BIN AWANG,MALE,,4146,,PAS,US. HJ. BAHARUDIN BIN MOHD,MALE,,4163,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.19,TERENGGANU,P.34,MARANG,N.19,RU RENDANG,APU - PAS,,10533,853,83.69,8815,16,152,8647,UMNO,USTAZ ABDUL LATIF BIN MUSA,MALE,,3897,,PAS,HAJI ABDUL HADI BIN HAJI AWANG,MALE,,4750,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.20,TERENGGANU,P.34,MARANG,N.20,BINJAI,BN - UMNO,,9715,645,86.19,8373,6,224,8143,UMNO,HJ. MUDA BIN MAMAT,MALE,,4394,,PAS,USTAZ HAJI MUHAMAD ALI,MALE,,3749,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.21,TERENGGANU,P.35,HULU TERENGGANU,N.21,TELEMUNG,BN - UMNO,,7652,1912,88.4,6764,0,280,6484,UMNO,DATO' HAJI AHMAD SIDI BIN ISMAIL,MALE,,4198,,,,,,,,,,,,,,S46,AZIZ BIN AHMAD,MALE,,2286,,,,,,,,,,,,,
P.35_N.22,TERENGGANU,P.35,HULU TERENGGANU,N.22,MANIR,APU - PAS,,8641,423,85.59,7396,6,193,7197,UMNO,HJ. AWANG ABU BAKAR B SULONG,MALE,,3387,,PAS,HJ. HARUN BIN TAIB,MALE,,3810,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.23,TERENGGANU,P.35,HULU TERENGGANU,N.23,KUALA BERANG,BN - UMNO,,8998,1353,86.77,7808,12,283,7513,UMNO,WAN MUDA BIN MOHD,MALE,,4433,,PAS,DAUD BIN HASSAN,MALE,,3080,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.24,TERENGGANU,P.35,HULU TERENGGANU,N.24,TANGGUL,S46,,8250,16,86.47,7134,6,222,6906,UMNO,HAJI MUSTAFA BIN MUDA,MALE,,3445,,,,,,,,,,,,,,S46,TENGKU SRI PADUKA RAJA,MALE,,3461,,,,,,,,,,,,,
P.36_N.25,TERENGGANU,P.36,DUNGUN,N.25,MERCANG,BN - UMNO,,9745,158,83.25,8113,12,335,7766,UMNO,HAJI HARUN BIN ALI,MALE,,3962,,PAS,DR MUHAMMAD ABDULLAH,MALE,,3804,,,,,,,,,,,,,,,,,,,,,,,,,
P.36_N.26,TERENGGANU,P.36,DUNGUN,N.26,JERANGAU,BN - UMNO,,7643,1460,80.28,6236,8,262,5966,UMNO,MUDA BIN ABDULLAH,MALE,,3713,,,,,,,,,,,,,,S46,MOHD ZAWAWI BIN ABDUL GHANI,MALE,,2253,,,,,,,,,,,,,
P.36_N.27,TERENGGANU,P.36,DUNGUN,N.27,SURA,BN - UMNO,,12826,1045,77.89,9990,30,305,9655,UMNO,IBRAHIM BIN AWANG,MALE,,5350,,PAS,HAJI MUSTAFA BIN ALI,MALE,,4305,,,,,,,,,,,,,,,,,,,,,,,,,
P.36_N.28,TERENGGANU,P.36,DUNGUN,N.28,PAKA,BN - UMNO,,12148,1385,82.97,10079,9,341,9729,UMNO,ENGKU BIJAYA SURA,MALE,,5557,,,,,,,,,,,,,,S46,USTAZ ISMAIL HAITAMI,MALE,,4172,,,,,,,,,,,,,
P.37_N.29,TERENGGANU,P.37,KEMAMAN,N.29,KEMASIK,BN - UMNO,,8588,2409,84.82,7284,5,176,7103,UMNO,BAKAR BIN ALI,MALE,,4756,,PAS,YUSOF BIN HAJI TAHIR,MALE,,2347,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.30,TERENGGANU,P.37,KEMAMAN,N.30,KIJAL,BN - UMNO,,7620,1834,83.57,6368,2,142,6224,UMNO,AHMAD BIN SAID,MALE,,4029,,PAS,USTAZ HAJI AWANG DAGANG YUSOF,MALE,,2195,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.31,TERENGGANU,P.37,KEMAMAN,N.31,CUKAI,BN - UMNO,,14109,1784,77.87,10987,23,336,10628,UMNO,DATO' WAN MOKHTAR BIN AHMAD,MALE,,6206,,,,,,,,,,,,,,S46,DR. HAJI ALIAS BIN ABDUL RAHMAN,MALE,,4422,,,,,,,,,,,,,
P.37_N.32,TERENGGANU,P.37,KEMAMAN,N.32,BUKIT BANDI,BN - UMNO,,11464,3365,81.17,9305,5,359,8941,UMNO,HARUN HASAN,MALE,,6153,,,,,,,,,,,,,,S46,OMAR BAKAR,MALE,,2788,,,,,,,,,,,,,
P.38_N.1,PULAU PINANG,P.38,KEPALA BATAS,N.1,PENAGA,BN - UMNO,,9207,2544,80.3,7393,7,252,7134,UMNO,AZHAR B IBRAHIM,MALE,44,4839,,PAS,MOHD HAMDAN BIN HAJI ABD RAHMAN,MALE,,2295,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.2,PULAU PINANG,P.38,KEPALA BATAS,N.2,BERTAM,BN - UMNO,,13854,4054,78.79,10916,16,342,10558,UMNO,DATUK ABDUL RAHMAN ABBAS,MALE,,7306,,,,,,,,,,,,,,S46,MOHD NOR SAMAD,MALE,,3252,,,,,,,,,,,,,
P.38_N.3,PULAU PINANG,P.38,KEPALA BATAS,N.3,PINANG TUNGGAL,BN - UMNO,,8007,1795,83.05,6650,7,278,6365,UMNO,YAHAYA BIN ABDUL HAMID,MALE,,4080,,,,,,,,,,,,,,S46,MOHD SANI BIN ABDULLAH,MALE,,2285,,,,,,,,,,,,,
P.39_N.4,PULAU PINANG,P.39,TASEK GELUGOR,N.4,ARA RENDANG,BN - UMNO,,11150,4175,81.61,9100,16,247,8837,UMNO,HJ. ZAKARIA BAKAR,MALE,,6506,,PAS,HAJI KHALID BIN MAN,MALE,,2331,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.5,PULAU PINANG,P.39,TASEK GELUGOR,N.5,SUNGAI DUA,BN - UMNO,,11292,3944,80.69,9112,20,278,8814,UMNO,MOHAMMED YUSOF BIN ABDUL LATIB @ ABDUL LATIFF,MALE,,6379,,PAS,MOHD SALLEH BIN MAN,MALE,,2435,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.6,PULAU PINANG,P.39,TASEK GELUGOR,N.6,TELOK AYER TAWAR,BN - UMNO,,12785,4164,77.29,9881,181,442,9258,UMNO,HAJJAH ROKIAH BEE BT HASSAN,FEMALE,,6711,,,,,,,,,,,,,,S46,NASER BIN MOHD RAZI,MALE,,2547,,,,,,,,,,,,,
P.40_N.7,PULAU PINANG,P.40,BAGAN,N.7,BAGAN JERMAL,GR - DAP,,22569,4781,80.05,18066,18,341,17707,MCA,LOON KOK KHOON,MALE,,6463,,,,,,,,DAP,PHEE BOON POH,MALE,,11244,,,,,,,,,,,,,,,,,,,
P.40_N.8,PULAU PINANG,P.40,BAGAN,N.8,MAK MANDIN,GR - DAP,,19833,109,75.45,14965,46,298,14621,MCA,DATO MICHAEL CHEN,MALE,,7256,,,,,,,,DAP,LIM HOCK SENG,MALE,,7365,,,,,,,,,,,,,,,,,,,
P.40_N.9,PULAU PINANG,P.40,BAGAN,N.9,PRAI,GR - DAP,,14092,355,73.72,10388,9,234,10145,MIC,VALLI MUTHUSAMY,FEMALE,,4895,,,,,,,,DAP,S. ASAMALEY,MALE,,5250,,,,,,,,,,,,,,,,,,,
P.41_N.10,PULAU PINANG,P.41,PERMATANG PAUH,N.10,SEBERANG JAYA,BN - UMNO,,15781,5527,78.6,12404,21,396,11987,UMNO,DR. IBRAHIM SAAD,MALE,,8757,,,,,,,,DAP,YEOW YU BENG,,,3230,,,,,,,,,,,,,,,,,,,
P.41_N.11,PULAU PINANG,P.41,PERMATANG PAUH,N.11,PERMATANG PASIR,BN - UMNO,,13054,4272,82.03,10708,7,297,10404,UMNO,HAJI ADNAN BIN HAJI RAMLI,MALE,,7338,,PAS,YUSOFF BIN ABDUL LATIB,MALE,,3066,,,,,,,,,,,,,,,,,,,,,,,,,
P.41_N.12,PULAU PINANG,P.41,PERMATANG PAUH,N.12,PENANTI,BN - UMNO,,11691,4471,78.44,9171,7,265,8899,UMNO,AHMAD BIN SAAD,MALE,39,6685,,,,,,,,,,,,,,S46,HJ. MOHD SALLEH BIN HJ. DIN,MALE,,2214,,,,,,,,,,,,,
P.42_N.13,PULAU PINANG,P.42,BUKIT MERTAJAM,N.13,BERAPIT,GR - DAP,,20247,4794,78.5,15893,165,302,15426,MCA,DR. KHAW KENG HONG,,,5316,,,,,,,,DAP,WONG HANG YOKE,MALE,,10110,,,,,,,,,,,,,,,,,,,
P.42_N.14,PULAU PINANG,P.42,BUKIT MERTAJAM,N.14,MACHANG BUBOK,BN - GERAKAN,,17719,1952,81.7,14476,100,338,14038,GERAKAN,GOIK HOCK LAI,,,7497,,,,,,,,DAP,CHOONG AH KEOH,,,5545,,,,,,,,INDEPENDENT,A RAMAN MANAP,MALE,41,996,LOST DEPOSIT,,,,,,
P.42_N.15,PULAU PINANG,P.42,BUKIT MERTAJAM,N.15,BUKIT TENGAH,GR - DAP,,16384,191,79.18,12974,152,321,12501,GERAKAN,LIANG THAU SANG,,,6155,,,,,,,,DAP,CHIAN HENG KAI,MALE,,6346,,,,,,,,,,,,,,,,,,,
P.43_N.16,PULAU PINANG,P.43,NIBONG TEBAL,N.16,SUNGAI BAKAP,BN - GERAKAN,,13581,2932,77.77,10562,9,357,10196,GERAKAN,DR. GOH CHENG TEIK,MALE,,6564,,,,,,,,,,,,,,S46,ABU HARITH HJ. AHMAD,MALE,,3632,,,,,,,,,,,,,
