UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,SABAH ALLIANCE (1),SABAH ALLIANCE (1) CANDIDATE,SABAH ALLIANCE (1) CANDIDATE SEX,SABAH ALLIANCE (1) CANDIDATE AGE,SABAH ALLIANCE (1) VOTE,SABAH ALLIANCE (1) CANDIDATE LOST DEPOSIT,SABAH ALLIANCE (2),SABAH ALLIANCE (2) CANDIDATE,SABAH ALLIANCE (2) CANDIDATE SEX,SABAH ALLIANCE (2) CANDIDATE AGE,SABAH ALLIANCE (2) VOTE,SABAH ALLIANCE (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P105_S1,SABAH,P105,MARUDU,S1,KUDAT,SABAH ALLIANCE - SCA,,5453,1435,89.60%,4886,,57,4829,SCA,WONG LOK KHIAM,MALE,,3132,N/A,UPKO,O.T . TSEN KINSUNG,MALE,,1697,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P105_S2,SABAH,P105,MARUDU,S2,BENGKOKA-BANGGI,SABAH ALLIANCE - USNO,,7478,2651,90.79%,6789,,60,6729,USNO,TUN DATU MUSTAPHA BIN DATU HARUN,MALE,49,4690,N/A,UPKO,RICHARD E. YAP,MALE,,2039,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P106_S3,SABAH,P106,BANDAU,S3,LANGKON,SABAH ALLIANCE - UPKO,,6643,1647,92.88%,6170,,95,6075,USNO,AWANG ALI BIN OSMAN,MALE,,2214,N/A,UPKO,ANDREW MATAKIM,MALE,,3861,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P106_S4,SABAH,P106,BANDAU,S4,TANDEK,SABAH ALLIANCE - UPKO,,3399,1517,86.03%,2924,,27,2897,USNO,MADINA BIN UNGGUT,MALE,,690,N/A,UPKO,HERMAN J. LUPING,MALE,30,2207,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P107_S5,SABAH,P107,KOTA BELUD,S5,USUKAN,SABAH ALLIANCE - USNO,Y,6070,,,,,,,USNO,MOHD. SAID BIN KERUAK,MALE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P107_S6,SABAH,P107,KOTA BELUD,S6,SOROB,SABAH ALLIANCE - UPKO,,8215,401,93.06%,7645,,206,7439,USNO,BANIAN BIN NOYOH,MALE,,3519,N/A,UPKO,ISMAIL BIN GIMBAD,MALE,,3920,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P108_S7,SABAH,P108,TUARAN,S7,SULAMAN,SABAH ALLIANCE - USNO,,7292,2741,91.35%,6661,,114,6547,USNO,O. K. K. INDAN BIN KARI,MALE,,4644,N/A,UPKO,GEORGE WONG JOENOI,MALE,,1903,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P108_S8,SABAH,P108,TUARAN,S8,KIULU,SABAH ALLIANCE - UPKO,,5789,3629,87.41%,5060,,147,4913,USNO,BERNARD BIN GIOM,MALE,,631,N/A,UPKO,PAYAR JUMAN,MALE,,4260,N/A,INDEPENDENT - BUCKET,O.K.K. NONON BIN ANAD,MALE,,16,N/A,INDEPENDENT - SPECTACLES,SAMIN BIN MINDOT,MALE,,6,N/A,,,,,,,,,,,,,,,,,,
P109_S9,SABAH,P109,JESSELTON,S9,JESSELTON BANDAR,SABAH ALLIANCE - SCA,,5679,1020,85.97%,4882,,106,4776,SCA,DATO PHANG THET TSUNG,MALE,43,2870,N/A,,,,,,,INDEPENDENT - UMBRELLA,KOK FUNG CHONG,MALE,,1850,N/A,INDEPENDENT - BELL,S. L. M. LIM,MALE,,14,N/A,INDEPENDENT - CHICKEN,KALING,MALE,,42,N/A,,,,,,,,,,,,
P109_S10,SABAH,P109,JESSELTON,S10,TANJONG ARU,SABAH ALLIANCE - SCA,,8636,914,87.07%,7519,,124,7395,SCA,LEE VUI MIN,MALE,,3186,N/A,UPKO,THOMAS JAYASURIYA,MALE,41,2272,N/A,INDEPENDENT - BICYCLE,JAMES VOON KYAM KIUN,MALE,,496,N/A,INDEPENDENT - FISH,AWID MAIL,MALE,,52,N/A,INDEPENDENT - HIBISCUS,GEORGE CHIN KOK MIN,MALE,,1389,N/A,,,,,,,,,,,,
P110_S11,SABAH,P110,PENAMPANG,S11,MOYOG,SABAH ALLIANCE - UPKO,,10220,4819,90.49%,9248,,187,9061,USNO,ALEX NG,MALE,,2089,N/A,UPKO,PETER JOINOD MOJUNTIN,MALE,27,6908,N/A,INDEPENDENT - FISH,CHIN KUI SAI,MALE,,64,N/A,,,,,,,,,,,,,,,,,,,,,,,,
