UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,AREA (SQ KM),NOTES
P105_S1,SABAH,P105,MARUDU,S1,KUDAT,342.637,Computed using Tindak Malaysia's electoral boundary files
P105_S2,SABAH,P105,MARUDU,S2,BENGKOKA - BANGGI,2126.897,Computed using Tindak Malaysia's electoral boundary files
P106_S3,SABAH,P106,BANDAU,S3,LANGKON,1139.764,Computed using Tindak Malaysia's electoral boundary files
P106_S4,SABAH,P106,BANDAU,S4,TANDEK,1185.712,Computed using Tindak Malaysia's electoral boundary files
P107_S5,SABAH,P107,KOTA BELUD,S5,USUKAN,184.349,Computed using Tindak Malaysia's electoral boundary files
P107_S6,SABAH,P107,KOTA BELUD,S6,SOROB,1197.386,Computed using Tindak Malaysia's electoral boundary files
P108_S7,SABAH,P108,TUARAN,S7,SULAMAN,247.974,Computed using Tindak Malaysia's electoral boundary files
P108_S8,SABAH,P108,TUARAN,S8,KIULU,899.898,Computed using Tindak Malaysia's electoral boundary files
P109_S9,SABAH,P109,JESSELTON,S9,JESSELTON BANDAR,52.57,Computed using Tindak Malaysia's electoral boundary files
P109_S10,SABAH,P109,JESSELTON,S10,TANJONG ARU,35.688,Computed using Tindak Malaysia's electoral boundary files
P110_S11,SABAH,P110,PENAMPANG,S11,MOYOG,781.285,Computed using Tindak Malaysia's electoral boundary files
P110_S12,SABAH,P110,PENAMPANG,S12,PAPAR,509.579,Computed using Tindak Malaysia's electoral boundary files
P111_S13,SABAH,P111,KIMANIS,S13,BONGAWAN,716.4,Computed using Tindak Malaysia's electoral boundary files
P111_S14,SABAH,P111,KIMANIS,S14,KUALA PENYU,695.595,Computed using Tindak Malaysia's electoral boundary files
P112_S15,SABAH,P112,LABUAN - BEAUFORT,S15,LABUAN,319.472,Computed using Tindak Malaysia's electoral boundary files
P112_S16,SABAH,P112,LABUAN - BEAUFORT,S16,BEAUFORT,1213.962,Computed using Tindak Malaysia's electoral boundary files
P113_S17,SABAH,P113,SABAH SELATAN,S17,TENOM,948.212,Computed using Tindak Malaysia's electoral boundary files
P113_S18,SABAH,P113,SABAH SELATAN,S18,SIPITANG - ULU PADAS,4225.755,Computed using Tindak Malaysia's electoral boundary files
P114_S19,SABAH,P114,SABAH DALAM,S19,KENINGAU,651.685,Computed using Tindak Malaysia's electoral boundary files
P114_S20,SABAH,P114,SABAH DALAM,S20,PENSIANGAN - SOOK,8453.147,Computed using Tindak Malaysia's electoral boundary files
P115_S21,SABAH,P115,KINABALU,S21,RANAU,3062.527,Computed using Tindak Malaysia's electoral boundary files
P115_S22,SABAH,P115,KINABALU,S22,TAMBUNAN,1516.793,Computed using Tindak Malaysia's electoral boundary files
P116_S23,SABAH,P116,SANDAKAN,S23,SANDAKAN BANDAR,5.034,Computed using Tindak Malaysia's electoral boundary files
P116_S24,SABAH,P116,SANDAKAN,S24,ELOPURA,19.285,Computed using Tindak Malaysia's electoral boundary files
P117_S25,SABAH,P117,LABUK - SUGUT,S25,SUGUT,4763.711,Computed using Tindak Malaysia's electoral boundary files
P117_S26,SABAH,P117,LABUK - SUGUT,S26,LABUK,3997.042,Computed using Tindak Malaysia's electoral boundary files
P118_S27,SABAH,P118,KINABATANGAN,S27,KUALA KINABATANGAN,4468.77,Computed using Tindak Malaysia's electoral boundary files
P118_S28,SABAH,P118,KINABATANGAN,S28,LAMAG,14916.031,Computed using Tindak Malaysia's electoral boundary files
P119_S29,SABAH,P119,DARVEL,S29,LAHAD DATU,7757.551,Computed using Tindak Malaysia's electoral boundary files
P119_S30,SABAH,P119,DARVEL,S30,SEMPORNA,1122.742,Computed using Tindak Malaysia's electoral boundary files
P120_S31,SABAH,P120,TAWAU,S31,MEROTAI,5090.082,Computed using Tindak Malaysia's electoral boundary files
P120_S32,SABAH,P120,TAWAU,S32,BALUNG,1504.189,Computed using Tindak Malaysia's electoral boundary files
