UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 154_N. 1,SARAWAK,P. 154,MAS GADING,N. 1,TANJONG DATU,BN - SUPP,DATUK RAMSAY NOEL JITAM,MALE,59,
P. 154_N. 2,SARAWAK,P. 154,MAS GADING,N. 2,TASIK BIRU,BN - SNAP,DR. PATAU RUBIS,MALE,45,
P. 155_N. 3,SARAWAK,P. 155,SANTUBONG,N. 3,PANTAI DAMAI,BN - PBB,HAJAH SHARIFAH MORDIAH TUANKU HAJI FAUZI,FEMALE,43,Y
P. 155_N. 4,SARAWAK,P. 155,SANTUBONG,N. 4,SEJINGKAT,BN - PBB,DR. ABANG HAJI DRAUP ZAMAHARI @ ABDUL RAUF BIN ABANG HAJI ZEN,MALE,44,
P. 156_N. 5,SARAWAK,P. 156,PETRA JAYA,N. 5,TUPONG,BN - PBB,HAJI DAUD B. ABDUL RAHMAN,MALE,40,
P. 156_N. 6,SARAWAK,P. 156,PETRA JAYA,N. 6,SATOK,BN - PBB,ABANG JOHARI TUN ABG. HAJI OPENG,MALE,40,
P. 157_N. 7,SARAWAK,P. 157,BANDAR KUCHING,N. 7,PADUNGAN,BN - SUPP,SONG SWEE GUAN,MALE,50,
P. 157_N. 8,SARAWAK,P. 157,BANDAR KUCHING,N. 8,PENDING,BN - SUPP,SIM KHENG HUI,MALE,,
P. 157_N. 9,SARAWAK,P. 157,BANDAR KUCHING,N. 9,BATU LINTANG,BN - SUPP,CHAN SENG KHAI,MALE,,
P. 158_N. 10,SARAWAK,P. 158,PADAWAN,N. 10,BATU KAWAH,BN - SUPP,CHONG KIUN KONG,MALE,61,
P. 158_N. 11,SARAWAK,P. 158,PADAWAN,N. 11,BENGOH,BN - SUPP,WILLIAM TANYUH AK NUB,MALE,47,
P. 159_N. 12,SARAWAK,P. 159,KOTA SAMARAHAN,N. 12,ASAJAYA,BN - PBB,DATUK PATINGGI TAN SRI HJ. ABDUL TAIB BIN MAHMUD,MALE,55,
P. 159_N. 13,SARAWAK,P. 159,KOTA SAMARAHAN,N. 13,MUARA TUANG,BN - PBB,DATUK ADENAN BIN HAJI SATEM,MALE,47,
P. 160_N. 14,SARAWAK,P. 160,SERIAN,N. 14,TARAT,BN - PBB,FREDERICK BAYOI AK. MANGGIE,MALE,48,
P. 160_N. 15,SARAWAK,P. 160,SERIAN,N. 15,TEBEDU,BN - PBB,MICHAEL BEN,MALE,,
P. 161_N. 16,SARAWAK,P. 161,BATANG SADONG,N. 16,SEMERA,BN - PBB,WAN ABDUL WAHAB,MALE,41,
P. 161_N. 17,SARAWAK,P. 161,BATANG SADONG,N. 17,SIMUNJAN,BN - PBB,MOHD. NARODEN B. MAJAIS,MALE,38,
P. 162_N. 18,SARAWAK,P. 162,BATANG LUPAR,N. 18,SEBUYAU,BN - PBB,JULAIHI B. NARAWI,MALE,36,
P. 162_N. 19,SARAWAK,P. 162,BATANG LUPAR,N. 19,BELADIN,BN - PBB,BOLHASSAN B. DI,MALE,38,
P. 163_N. 20,SARAWAK,P. 163,SRI AMAN,N. 20,BUKIT BEGUNAN,PBDS,DONALD LAWAN,MALE,48,
P. 163_N. 21,SARAWAK,P. 163,SRI AMAN,N. 21,SIMANGGANG,BN - SUPP,MICHAEL PILO AK GANGGA,MALE,59,
P. 164_N. 22,SARAWAK,P. 164,LUBOK ANTU,N. 22,ENGKILILI,BN - SUPP,TOH HENG SAN,MALE,,
P. 164_N. 23,SARAWAK,P. 164,LUBOK ANTU,N. 23,BATANG AIR,PBDS,MIKAI AK MANDAU,MALE,32,
P. 165_N. 24,SARAWAK,P. 165,BETONG,N. 24,SARIBAS,BN - PBB,WAHBI BIN JUNAIDI,MALE,,Y
P. 165_N. 25,SARAWAK,P. 165,BETONG,N. 25,LAYAR,BN - PBB,DATUK AMAR ALFRED JABU AK NUMPANG,MALE,51,
P. 166_N. 26,SARAWAK,P. 166,SARATOK,N. 26,KALAKA,BN - PBB,ABDUL WAHAB BIN AZIZ,MALE,44,
P. 166_N. 27,SARAWAK,P. 166,SARATOK,N. 27,KRIAN,BN - SNAP,PETER NYAROK AK ENTRIE,MALE,49,
P. 167_N. 28,SARAWAK,P. 167,KUALA RAJANG,N. 28,BELAWAI,BN - PBB,HAMDEN BIN AHMAD,MALE,43,
P. 167_N. 29,SARAWAK,P. 167,KUALA RAJANG,N. 29,SERDENG,BN - PBB,MOHAMAD ASFIA AWANG NASAR,MALE,44,
P. 167_N. 30,SARAWAK,P. 167,KUALA RAJANG,N. 30,MATU-DARO,BN - PBB,WAHAB HAJI DOLAH,MALE,41,
P. 168_N. 31,SARAWAK,P. 168,SARIKEI,N. 31,MERADONG,BN - SUPP,THOMAS HII KING HIONG,MALE,46,
P. 168_N. 32,SARAWAK,P. 168,SARIKEI,N. 32,REPOK,BN - SUPP,DAVID TENG LUNG CHI,MALE,46,
P. 169_N. 33,SARAWAK,P. 169,JULAU,N. 33,PAKAN,BN - SNAP,WILLIAM MAWAN AK IKAM,MALE,42,
