DISCLAIMERS,,,,,
"All Peninsular Malaysia Candidates names are either derived from August and October 1974 government gazettes mentioned in the metadata. The Sarawak 1974 Candidate names are derived from Penyata Pilihan Raya Umum (Dewan Rakyat  dan Dewan Undangan Negeri), Tahun 1974, Suruhanjaya Pilihan Raya",,,,,
DIFFERENT DUN NAMINGS,,,,,
,,,,,
STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,ALTERNATE SPELLING
KELANTAN,P.16,TUMPAT,N.2,SUNGAI PINANG,SUNGEI PINANG
KELANTAN,P.16,TUMPAT,N.3,WAKAF BHARU,WAKAF BAHARU
KELANTAN,P.19,KOTA BAHARU,N.10,SUNGAI KELADI,SUNGEI KELADI
KELANTAN,P.24,MACHANG,N.27,SUNGAI RASAU,SUNGEI RASAU
TRENGGANU,P.34,KEMAMAN,N.26,KEMASEK,KEMASIK
PERAK,P.61,HILIR PERAK,N.36,SUNGEI MANIK,SUNGAI MANIK
PAHANG,P.67,KUANTAN,N.12,SUNGAI LEMBING,SG. LEMBING
PAHANG,P.72,TEMERLOH,N.29,MENTAKAB,MENTEKAB
SELANGOR,P.73,SABAK BERNAM,N.1,SUNGAI AYER TAWAR,SUNGEI AYER TAWAR
SELANGOR,P.83,SEPANG,N.32,SUNGAI PELEK,SUNGEI PELEK
NEGERI SEMBILAN,P.91,SEREMBAN,N.11,SUNGAI UJONG,SUNGEI UJONG
NEGERI SEMBILAN,P.93,TELOK KEMANG,N.18,SI RUSA,SI-RUSA
MELAKA,P.95,ALOR GAJAH,N.2,SUNGEI BAHRU,SUNGAI BARU
MELAKA,P.96,JASIN,N.10,SUNGEI RAMBAI,SUNGAI RAMBAI
MELAKA,P.97,BATU BERENDAM,N.14,SUNGAI UDANG,SUNGEI UDANG
,,,,,
PERLIS,,,,,
"New Straits Times, 26 August 1974 states Oran has additional PSRM candidate though no evidence found in government gazette",,,,,
Oran PSRM candidate of Amin bin Ishak may have an alternate name called Bakar Arrifin,,,,,
,,,,,
Perlis Candidates requiring more verification for sex category,,,,,
PSRM,NG CHENG FOO,MALE,,,
INDEPENDENT - KEY,YEE KOK LIANG,MALE,,,
,,,,,
KEDAH,,,,,
Evidence for Ahmad Awang as PAS candidate is lacking,,,,,
Anak Bukit candidate of Cu Mid Padang Hang may have an alternative name called Hamid bin Talib,,,,,
,,,,,
Kedah Candidates requiring more verification for sex category,,,,,
MCA,DATO' SOON CHENG LEONG,MALE,,,
,,,,,
KELANTAN,,,,,
Party affliation of Ab. Rahman bin Haji Yahya requires more verification,,,,,
,,,,,
TRENGGANU,,,,,
Trengganu Candidates requiring more verification for sex category,,,,,
INDEPENDENT - TRACTOR,CHEONG ENG,MALE,,,
,,,,,
PULAU PINANG,,,,,
It was understood that there was only one femaly candidate for Penang State Elections,,,,,
,,,,,
PERAK,,,,,
Sum of total electors of two DUNs under Batu Gajah does not align with total electors of Batu Gajah parliamentary seat,,,,,
Allocation for Chong Chien Chang to Gerakan is based on understanding that Gerakan was allocated to two DUN seats. Requires more verification,,,,,
Vote Value for PSRM candidate for Bukit Gantang is an estimate,,,,,
,,,,,
PAHANG,,,,,
"Allocation of Pahang DUN seats to Barisan Nasional for Jelai, Bukit Betong, Benta, Tahan, Tembeling, Kerdau, Beserah, Sungai Lembing, Batu Talam, Dong, Chenor, Chini, Rompin, Mentakab and Bera requires more verification",,,,,
All Candidate values for DUN Jenderak are an estimate,,,,,
,,,,,
Pahang Candidates requiring more verification for sex category,,,,,
PSRM,LOH FOOK,MALE,,,
PSRM,CHIAN PANG,MALE,,,
PSRM,GOH SIAU HOCK,MALE,,,
DAP,TAM TAI SAN,MALE,,,
DAP,OW WAN SANG,MALE,,,
INDEPENDENT - AEROPLANE,LOO SWEE MOK,MALE,,,
INDEPENDENT - KEY,PHOON CHEE KAI,MALE,,,
INDEPENDENT - KEY,LAM MI @ LAM KIM SAI,MALE,,,
INDEPENDENT - TORCH,LEE CHENG LAM,MALE,,,
INDEPENDENT - BUS,LIM ONG HANG,MALE,,,
,,,,,
SELANGOR,,,,,
Allocation for BN party for Lim Tuan Siong requires more verification,,,,,
,,,,,
Selangor Candidates requiring more verification for sex category,,,,,
PEKEMAS,TAN BAN KOW,MALE,,,
DAP,TAN HENG SWEE,MALE,,,
DAP,TAI SIN PIAU,MALE,,,
INDEPENDENT - KEY,SIA CHONG YOW,MALE,,,
INDEPENDENT - BUS,CHING TOW FAH,MALE,,,
INDEPENDENT - TIGER,NG KIM CHUAN,MALE,,,
,,,,,
NEGERI SEMBILAN,,,,,
Negeri Sembilan Candidates requiring more verification for sex category,,,,,
MCA,YAP AH PENG @ YAP AUN PING,MALE,,,
PSRM,CHOK PING,MALE,,,
PSRM,CHAI YAU FOH @ CHAI POO,MALE,,,
I.P.P.P,LIM YEOW KONG,MALE,,,
INDEPENDENT - BUS,CHEN HUN CHONG,MALE,,,
,,,,,
MELAKA,,,,,
Melaka Candidates requiring more verification for sex category,,,,,
PSRM,KOK CHAN BIN,MALE,,,
PSRM,LOW KYE CHYE,MALE,,,
PSRM,THEI NIU KIM,MALE,,,
PSRM,THUM KIM KIU,MALE,,,
PSRM,KHOO CHIN SUN,MALE,,,
PEKEMAS,LEE KUO MING,MALE,,,
PEKEMAS,GEH THUAN CHOO,MALE,,,
DAP,KWONG LYE SING,MALE,,,
DAP,GAN KIM KEE,MALE,,,
DAP,LIM YAK TYE,MALE,,,
DAP,YONG WEE YOK,MALE,,,
,,,,,
JOHOR,,,,,
Johor Candidates requiring more verification for sex category,,,,,
DAP,TEY CHEN POW,MALE,,,
DAP,TENG YOKE LIM,MALE,,,
DAP,CHONG KEE KIAM,MALE,,,
DAP,WONG AH CHEW,MALE,,,
DAP,HO LAI CHAN,MALE,,,
DAP,QUEK SWEE SIANG,MALE,,,
