UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2021),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,IMAN,IMAN CANDIDATE,IMAN CANDIDATE GENDER,IMAN CANDIDATE AGE,IMAN CANDIDATE VOTE,IMAN CANDIDATE LOST DEPOSIT,PUTRA,PUTRA CANDIDATE,PUTRA CANDIDATE GENDER,PUTRA CANDIDATE AGE,PUTRA CANDIDATE VOTE,PUTRA CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.136_N.11,MELAKA,P.136,TANGGA BATU,N.11,SUNGAI UDANG,PN-PPBM,,22793,530,70.15,15990,27,409,15554,UMNO,MOHAMAD ALI BIN MOHAMAD,MALE,41,6259,,PKR,HASMORNI BINTI TAMBY,FEMALE,46,2035,,PPBM,DR. MOHD ALEEF BIN YUSOF,MALE,35,6789,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD ZAHAR BIN HASHIM,MALE,63,471,LOST DEPOSIT,,,,,,,,,,,,
P.136_N.12,MELAKA,P.136,TANGGA BATU,N.12,PANTAI KUNDOR,BN-UMNO,,15469,827,65.11,10072,37,143,9892,UMNO,TUMINAH KADI,FEMALE,54,3960,,PAN,DATUK NOR AZMAN BIN HASSAN,MALE,57,2799,,PPBM,TS. MOHAMAD RIDZWAN BIN MUSTAFA,MALE,41,3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.136_N.13,MELAKA,P.136,TANGGA BATU,N.13,PAYA RUMPUT,BN-UMNO,,26455,629,66.16,17503,58,234,17211,UMNO,DATUK RAIS BIN YASIN,MALE,37,6830,,PKR,SHAMSUL ISKANDAR MOHD AKIN,MALE,47,6201,,PPBM,MUHAMMAD FARIS IZWAN BIN MAZLAN,MALE,28,3972,,,,,,,,PUTRA,MOHAMAD HASHIDI BIN MOHD ZIN,MALE,32,81,LOST DEPOSIT,INDEPENDENT - BOOK,MEJAR HAJI MOHD JAINI BIN HAJI DIMON (BERSARA),MALE,54,127,LOST DEPOSIT,,,,,,,,,,,,
P.136_N.14,MELAKA,P.136,TANGGA BATU,N.14,KELEBANG,BN-MCA,,19976,876,66.31,13247,43,140,13064,MCA,DATUK LIM BAN HONG,MALE,44,5028,,PKR,GUE TECK,MALE,62,4152,,PAS,BAKRI BIN JAMALUDDIN,MALE,57,3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.137_N.15,MELAKA,P.137,HANG TUAH JAYA,N.15,PENGKALAN BATU,BN-UMNO,,20821,131,66.49,13844,55,261,13528,UMNO,DATUK HJH KALSOM NOORDIN,FEMALE,68,4839,,DAP,MUHAMAD DANISH ZAINUDIN,MALE,25,4708,,PPBM,MOHD AZRUDIN BIN MD IDRIS,MALE,40,2681,,,,,,,,PUTRA,MOHD ALUWI BIN SARI,MALE,55,82,LOST DEPOSIT,INDEPENDENT - KEY,NORHIZAM BIN HASSAN BAKTEE,MALE,55,1218,LOST DEPOSIT,,,,,,,,,,,,
P.137_N.16,MELAKA,P.137,HANG TUAH JAYA,N.16,AYER KEROH,PH-DAP,,25945,5624,61.86,16049,75,201,15773,MCA,YONG FUN JUAN,MALE,52,3835,,DAP,KERK CHEE YEE,MALE,29,9459,,GERAKAN,MICHAEL GAN,MALE,61,2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.137_N.17,MELAKA,P.137,HANG TUAH JAYA,N.17,BUKIT KATIL,PH-AMANAH,,25410,1057,65.91,16749,61,311,16377,UMNO,DATUK WIRA HAJI HASNOOR BIN SDG HUSIN,MALE,63,5748,,PAN,ADLY ZAHARI,MALE,50,6805,,PAS,MUHAMMAD AL AFIZ BIN YAHY,MALE,33,3715,,,,,,,,,,,,,,INDEPENDENT - BOOK,ABDUL HAMID,MALE,61,109,LOST DEPOSIT,,,,,,,,,,,,
P.137_N.18,MELAKA,P.137,HANG TUAH JAYA,N.18,AYER MOLEK,BN-UMNO,,17863,2802,71.29,12735,30,275,12430,UMNO,DATUK RAHMAD BIN MARIMAN,MALE,57,6348,,PKR,CIKGU RAFEE,MALE,55,2446,,PPBM,MOHD FADLY SAMIN,MALE,38,3546,,,,,,,,,,,,,,INDEPENDENT - KEY,AHMAD MUAZ,MALE,34,90,LOST DEPOSIT,,,,,,,,,,,,
P.138_N.19,MELAKA,P.138,KOTA MELAKA,N.19,KESIDANG,PH-DAP,,37304,10237,61.08,22787,93,269,22425,MCA,LEONG HUI YING,FEMALE,29,4532,,DAP,SEAH SHOO CHIN (ALLEX SEAH),MALE,41,14769,,GERAKAN,PATRICK NG CHIN KAE,MALE,32,3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.138_N.20,MELAKA,P.138,KOTA MELAKA,N.20,KOTA LAKSAMANA,PH-DAP,,28777,11494,58.86,16938,63,163,16712,MCA,BENJAMIN LOW CHIN HONG,MALE,41,2014,LOST DEPOSIT,DAP,LOW CHEE LEONG,MALE,38,13508,,GERAKAN,FONG KHAI LING,FEMALE,27,1190,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.138_N.21,MELAKA,P.138,KOTA MELAKA,N.21,DUYONG,BN-UMNO,,18237,200,68.19,12436,52,173,12211,UMNO,MOHD NOOR HELMY,MALE,40,4684,,DAP,DAMIAN BABA YEO,MALE,46,4484,,PAS,DATUK KAMARUDIN BIN HJ. SIDEK,MALE,52,2874,,,,,,,,PUTRA,MOHD FAIZAL BIN AMZAH,MALE,44,52,LOST DEPOSIT,INDEPENDENT - RABBIT,GAN TIAN SOH,MALE,46,60,LOST DEPOSIT,INDEPENDENT - KEY,MUHAMAD HAFIZ ISHAK,MALE,42,57,LOST DEPOSIT,,,,,,
P.138_N.22,MELAKA,P.138,KOTA MELAKA,N.22,BANDAR HILIR,PH-DAP,,19909,7778,57.55,11457,34,226,11197,MCA,LEE KAH SEAN,MALE,49,1313,LOST DEPOSIT,DAP,LENG CHAU YEN,FEMALE,37,9091,,GERAKAN,CLARICE CHAN MING WANG,FEMALE,42,634,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - BOOK,MAK CHEE KIN,MALE,59,159,LOST DEPOSIT,,,,,,,,,,,,
P.138_N.23,MELAKA,P.138,KOTA MELAKA,N.23,TELOK MAS,BN-UMNO,,20712,2076,69.38,14370,53,245,14072,UMNO,ABDUL RAZAK BIN ABDUL RAHMAN,MALE,48,6052,,PAN,DATUK ASHRAF MINGHAT,MALE,50,3891,,PPBM,DATUK WIRA MOHD RAFIQ NAIZAMOHIDEEN,MALE,35,3976,,,,,,,,,,,,,,INDEPENDENT - BOOK,ARIFF ADLY,MALE,32,153,LOST DEPOSIT,,,,,,,,,,,,
P.139_N.24,MELAKA,P.139,JASIN,N.24,BEMBAN,PN-PPBM,,18573,328,66.78,12403,37,197,12169,MCA,DATUK KOH CHIN HAN,MALE,51,3883,,DAP,TEY KOK KIEW,MALE,49,3095,,PPBM,DR MOHD YADZIL BIN YAAKUB,MALE,43,4211,,,,,,,,,,,,,,INDEPENDENT - TREE,NG CHOON KOON,MALE,46,850,LOST DEPOSIT,INDEPENDENT - LORRY,AZMI KAMIS,MALE,57,130,LOST DEPOSIT,,,,,,
P.139_N.25,MELAKA,P.139,JASIN,N.25,RIM,BN-UMNO,,13672,1327,66.43,9082,29,143,8910,UMNO,KHAIDHIRAH BINTI ABU ZAHAR,FEMALE,37,4037,,PKR,PRASANTH KUMAR BRAKASAM,MALE,27,2163,,PPBM,AZALINA ABDUL RAHMAN,FEMALE,44,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.139_N.26,MELAKA,P.139,JASIN,N.26,SERKAM,BN-UMNO,,15977,79,74.24,11861,30,200,11631,UMNO,ZAIDI ATTAN,MALE,52,5038,,PAN,USTAZ MUHAMMAD,MALE,30,1535,,PAS,USTAZ HAJI AHMAD BILAL,MALE,38,4959,,,,,,,,,,,,,,INDEPENDENT - PEN,DATO' DR AZLAN,MALE,41,99,LOST DEPOSIT,,,,,,,,,,,,
P.139_N.27,MELAKA,P.139,JASIN,N.27,MERLIMAU,BN-UMNO,,14014,3248,69.84,9788,26,122,9640,UMNO,DR AKMAL SALEH,MALE,33,5633,,PAN,CIKGU AZRIN BIN AB MAJID,MALE,55,2385,,PAS,ABD ALIM BIN SHAPIE,MALE,63,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.139_N.28,MELAKA,P.139,JASIN,N.28,SUNGAI RAMBAI,BN-UMNO,,11837,1137,68.53,8112,18,189,7905,UMNO,SITI FAIZAH BINTI ABDUL AZIS,FEMALE,46,3801,,PKR,FARZANA HAYANI NASIR,FEMALE,21,1356,,PPBM,MUHAMMAD JEFRI BIN SAFRY,MALE,30,2664,,,,,,,,PUTRA,NAZATUL ASYRAF BIN MD.DOM,MALE,38,84,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
