COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
BN,UMNO,4,16,20
BN,MCA,1,6,7
BN,MIC,,1,1
PH,PKR,2,9,11
PH,DAP,1,7,8
PH,AMANAH,1,8,9
PN,PAS,1,7,8
PN,PPBM,3,12,15
PN,GERAKAN,2,3,5
,IMAN,,1,1
,PUTRA,1,4,5
,INDEPENDENTS,,22,22
GRAND TOTAL,,16,96,112
