UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 54,PERAK,P. 54,PARIT BUNTAR,BA - PAS,,42372,2094,71.92,30474,76,630,29768,UMNO,DATO' ABDUL RAMAN SULIMAN,MALE,50,13837,,PAS,DATO' DR HASAN MOHD ALI,MALE,,15931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 55,PERAK,P. 55,BAGAN SERAI,BN - UMNO,,44887,1584,65.74,29507,80,835,28592,UMNO,DATO' ZAINAL ABIDIN ZIN,MALE,,15088,,PAS,USTAZ AHMAD AWANG,MALE,,13504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56,PERAK,P. 56,BUKIT GANTANG,BN - UMNO,,56570,5101,67.48,38173,68,838,37267,UMNO,DATO' DR. ABDULLAH FADZIL BIN CHE WAN,MALE,54,21184,,PAS,ROSLAN BIN SHAHARUM,MALE,40,16083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57,PERAK,P. 57,TAIPING,BN - GERAKAN,,73637,3969,69,50809,3492,1587,45730,GERAKAN,KERK CHOO TING,MALE,58,24531,,DAP,LIM KEAN GHEE,MALE,,20562,,,,,,,,MDP,NG HOE MUN,MALE,,637,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 58,PERAK,P. 58,CHENDEROH,BN - UMNO,,36121,3990,64.77,23397,52,587,22758,UMNO,DATUK MOHAMED NAZRI B ABDUL AZIZ,MALE,45,13374,,,,,,,,PKN,HJ HAMZAH B MOHD ZAIN,MALE,,9384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 59,PERAK,P. 59,SUNGAI SIPUT,BN - MIC,,48985,5259,63.62,31165,70,829,30266,MIC,S. SAMY VELLU,MALE,63,17480,,DAP,DR. KUMAR,MALE,44,12221,,,,,,,,MDP,MOHD ASRI,MALE,,565,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 60,PERAK,P. 60,TAMBUN,BN - UMNO,,63368,7084,70.75,44832,1755,971,42106,UMNO,HAJI HUSNI HANADZLAH,MALE,47,24595,,PAS,DOKTOR HAJI KHAIRUDDIN BIN DATO' ABDUL MALIK,MALE,,17511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61,PERAK,P. 61,IPOH TIMOR,BN - MCA,,77884,2127,64.74,50422,768,808,48846,MCA,THONG FAH CHONG,MALE,41,25273,,DAP,NGEH KOO HAM,MALE,35,23146,,,,,,,,MDP,MOHD YUSOFF OMAR,MALE,,427,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 62,PERAK,P. 62,IPOH BARAT,BN - MCA,,71355,3678,68.24,48696,833,1016,46847,MCA,HO CHEONG SING,MALE,50,25155,,DAP,M. KULASEGARAN,MALE,42,21477,,,,,,,,MDP,JAGA N. NATHAN,MALE,,215,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 63,PERAK,P. 63,BATU GAJAH,BA - DAP,,59029,2071,65.69,38774,0,925,37849,MCA,YEONG CHEE WAH,MALE,49,17796,,DAP,FONG PO KUAN,FEMALE,24,19867,,,,,,,,MDP,YANG KAR MING,MALE,,186,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 64,PERAK,P. 64,KUALA KANGSAR,BN - UMNO,,33831,2774,64.69,21886,78,434,21374,UMNO,RAFIDAH AZIZ,FEMALE,56,12074,,PAS,HJ. ASMUNI B. AWI,MALE,37,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 65,PERAK,P. 65,BERUAS,BN - GERAKAN,,44197,1455,64.02,28297,1,782,27514,GERAKAN,DATO SERI DR LIM KENG YAIK,MALE,60,14256,,DAP,YEW TEONG CHONG,MALE,,12801,,,,,,,,MDP,ABDUL RONI,MALE,,457,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 66,PERAK,P. 66,PARIT,BA - PAS,,35472,1293,65.25,23144,0,431,22713,UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,56,10710,,PAS,USTAZ HAJI MAT BASIR BIN RAHMAT,MALE,,12003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 67,PERAK,P. 67,GOPENG,BN - MCA,,55542,6406,69.17,38419,669,819,36931,MCA,TING CHEW PEH,MALE,56,21254,,DAP,ABD. RAHMAN B. SAID ALLI,MALE,,14848,,,,,,,,MDP,SYED AHMAD IMDADZ B. SAID ABAS,MALE,,829,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 68,PERAK,P. 68,KAMPAR,BN - MCA,,64721,7463,61.35,39704,23,1084,38597,MCA,HEW SEE TONG,MALE,68,23030,,DAP,LOH PENG LAM,MALE,,15567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 69,PERAK,P. 69,TAPAH,BN - MIC,,40164,5639,65.28,26220,1101,868,24251,MIC,S. VEERASINGAM,MALE,,14945,,,,,,,,PKN,KAMARUDIN BIN AWANG TEH,MALE,,9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 70,PERAK,P. 70,PASIR SALAK,BN - UMNO,,43288,5045,68.49,29649,100,1010,28539,UMNO,RAMLI NGAH TALIB,MALE,58,16792,,,,,,,,PKN,HJ. OSMAN ABDUL RAHMAN,MALE,,11747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 71,PERAK,P. 71,LUMUT,BN - MCA,,70659,605,71.14,50265,8176,1372,40717,MCA,KENG CHO HA,MALE,,20661,,,,,,,,PKN,ZAMAN HURI HAJI SAMSUDIN,MALE,,20056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 72,PERAK,P. 72,BAGAN DATOK,BN - UMNO,,36790,4617,60.24,22164,27,878,21259,UMNO,DATUK AHMAD ZAHID HAMIDI,MALE,46,12938,,,,,,,,PKN,MOHAMAD DAHALAN B. ARSHAD,MALE,,8321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 73,PERAK,P. 73,TELOK INTAN,BN - GERAKAN,,56601,2783,62.72,35500,47,1084,34369,GERAKAN,MAH SIEW KEONG,MALE,38,18576,,DAP,RAJ NALLAIYA,MALE,,15793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 74,PERAK,P. 74,TANJONG MALIM,BN - MCA,,54685,11222,63.18,34549,163,1308,33078,MCA,LOKE YUEN YOW,MALE,47,22150,,,,,,,,PKN,NG LUM YONG,MALE,,10928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 75,PAHANG,P. 75,LIPIS,BN - UMNO,,42585,6356,67,28532,196,860,27476,UMNO,AMIHAMZAH BIN AHMAD,MALE,,16916,,PAS,KAMALUDIN BIN ABD. RAHMAN,MALE,,10560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 76,PAHANG,P. 76,RAUB,BN - MCA,,52389,5864,69.87,36606,278,1278,35050,MCA,DATO DR NG YEN YEN,FEMALE,52,20457,,DAP,NG KWI LING,MALE,,14593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 77,PAHANG,P. 77,JERANTUT,BN - UMNO,,42618,1463,75.5,32176,104,687,31385,UMNO,TENGKU AZLAN IBNI SULTAN ABU BAKAR,MALE,50,16424,,PAS,SYED IBRAHIM BIN SYED ABD RAHMAN,MALE,,14961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 78,PAHANG,P. 78,KUANTAN,BN - UMNO,,70438,7361,74.26,52308,1638,1037,49633,UMNO,TAN SRI HAJI KHALIL YAAKOB,MALE,62,28497,,,,,,,,PKN,FUZIAH SALLEH,FEMALE,40,21136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 79,PAHANG,P. 79,PAYA BESAR,BN - UMNO,,53281,3563,79.24,42221,2733,1553,37935,UMNO,DATO' DR. SITI ZAHARAH SULAIMAN,FEMALE,50,20749,,,,,,,,PKN,WAN JUSOH WAN KOLOK,MALE,,17186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 80,PAHANG,P. 80,PEKAN,BN - UMNO,,35832,241,74.79,26797,111,631,26055,UMNO,DATO' SRI NAJIB TUN RAZAK,MALE,46,13148,,PAS,USTAZ HAJI RAMLI BIN MOHAMED,MALE,,12907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 81,PAHANG,P. 81,MARAN,BN - UMNO,,42988,3748,77.89,33483,104,609,32770,UMNO,MUHAMAD ABDULLAH,MALE,57,18259,,PAS,RAJA PUJI TENGKU ABDUL HAMID,MALE,,14511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 82,PAHANG,P. 82,MENTEKAB,BN - MCA,,43766,6524,73.45,32144,166,1504,30474,MCA,FU AH KIOW,MALE,50,18499,,DAP,LEONG MEE MENG,FEMALE,,11975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 83,PAHANG,P. 83,BENTUNG,BN - MCA,,50968,10715,72.59,36996,655,848,35493,MCA,LIOW TIONG LAI,MALE,38,23104,,,,,,,,PKN,ABDUL WAHAB BIN SUDIN,MALE,,12389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 84,PAHANG,P. 84,TEMERLUH,BN - UMNO,,53685,213,74.05,39752,292,915,38545,UMNO,DATO' HAJI MOHD. SARIT B. HAJI YUSOH,MALE,48,19379,,PAS,DR. ABDUL WAHAB ISMAIL,MALE,44,19166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 85,PAHANG,P. 85,ROMPIN,BN - UMNO,,34321,6028,77.37,26554,170,598,25786,UMNO,DATO' DR. JAMALUDIN BIN JARJIS,MALE,47,15907,,PAS,MAZLAN BIN MOHAMED YASIN,MALE,,9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 86,SELANGOR,P. 86,SABAK BERNAM,BN - UMNO,,34035,901,69.04,23498,38,743,22717,UMNO,DATO' HJ. ZAINAL B. DAHALAN,MALE,51,11809,,,,,,,,PKN,DR. GHAZALI B. BASRI,MALE,,10908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 87,SELANGOR,P. 87,TANJUNG KARANG,BN - UMNO,,42109,2075,72.38,30478,8,863,29607,UMNO,HAJI NOH BIN HAJI OMAR,MALE,41,15841,,PAS,DR. MD. YUSOFF B. ABD. WAHAB,MALE,,13766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 88,SELANGOR,P. 88,HULU SELANGOR,BN - MIC,,52346,8595,71.06,37195,224,1280,35691,MIC,PALANIVEL A/L K. GOVINDASAMY @ DATO' G. PALANIVEL,MALE,50,22143,,,,,,,,PKN,DR. HALILI BIN RAHMAT,MALE,,13548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 89,SELANGOR,P. 89,KUALA SELANGOR,BN - UMNO,,52469,9920,73.23,38421,23,1098,37300,UMNO,MOHAMED SAYUTI BIN SAID,MALE,,23610,,PAS,MOHD NORMAN HJ. TOHA,MALE,,13690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 90,SELANGOR,P. 90,SELAYANG,BN - MCA,,85571,8835,73.94,63275,699,1453,61123,MCA,DATO' CHAN KONG CHOY,MALE,44,34979,,DAP,ZAITUN MOHD KASIM,FEMALE,32,26144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 91,SELANGOR,P. 91,GOMBAK,BN - UMNO,,73945,803,75.83,56074,2,649,55423,UMNO,DATIN PADUKA HJH ZALEHA BT ISMAIL,FEMALE,63,28113,,PAS,DR HATTA RAMLI,MALE,43,27310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 92,SELANGOR,P. 92,AMPANG JAYA,BN - MCA,,98527,7767,75.99,74869,99,1199,73571,MCA,ONG TEE KEAT,MALE,43,40669,,,,,,,,PKN,SIVARASA A/L K. RASIAH,MALE,43,32902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 93,SELANGOR,P. 93,HULU LANGAT,BN - UMNO,,70819,3866,75.63,53557,380,1007,52170,UMNO,BADRUL HISHAM ABDUL AZIZ,MALE,40,28018,,,,,,,,PKN,DR. MOHD NOR NAWAWI,MALE,,24152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 94,SELANGOR,P. 94,PJ UTARA,BN - MCA,,70634,2481,70.76,49981,33,517,49431,MCA,CHEW MEI FUN,FEMALE,34,25603,,DAP,RONNIE LIU TIAN KHIEW,MALE,41,23122,,,,,,,,MDP,WEE CHEK AIK,MALE,,706,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 95,SELANGOR,P. 95,PJ SELATAN,BN - MCA,,67687,3845,68.92,46652,106,772,45774,MCA,DONALD LIM SIANG CHAI,MALE,44,24581,,PRM,DR. SYED HUSIN ALI,MALE,63,20736,,,,,,,,,,,,,,,,,,,,INDEPENDENT,S. SELVANATHAN,MALE,,457,LOST DEPOSIT,,,,,,,,,,,,
P. 96,SELANGOR,P. 96,SERDANG,BN - MCA,,94839,4099,76.57,72618,590,1707,70321,MCA,DATO' YAP PIAN HON,MALE,56,37210,,DAP,DR WONG ANG PENG,MALE,,33111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 97,SELANGOR,P. 97,SUBANG,BN - MIC,,92794,7152,73.12,67847,1216,1509,65122,MIC,TAN SRI DATO' DR. K.S. NIJHAR,MALE,63,36137,,,,,,,,PKN,IRENE FERNANDEZ,FEMALE,53,28985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 98,SELANGOR,P. 98,SHAH ALAM,BN - UMNO,,92737,1440,77.07,71477,221,994,70262,UMNO,DATO' IR. HJ. MOHD. ZIN BIN MOHAMED,MALE,45,35851,,,,,,,,PKN,EZAM MOHD. NOR,MALE,32,34411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 99,SELANGOR,P. 99,KAPAR,BN - MIC,,74502,2860,75.25,56060,32,1116,54912,MIC,P. KOMALA DEVI,FEMALE,51,27830,,PAS,DR. DZULKEFLY BIN AHMAD,MALE,43,24970,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,N. TAMILRASAN @ KIM CHAI,MALE,,2112,LOST DEPOSIT,,,,,,,,,,,,
P. 100,SELANGOR,P. 100,KLANG,BN - MCA,,80673,5673,69.82,56325,70,956,55299,MCA,DR. TAN YEE KEW,FEMALE,46,30201,,DAP,TENG CHANG KHIM,MALE,36,24528,,,,,,,,MDP,TAN SIOW ENG,MALE,,570,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 101,SELANGOR,P. 101,KUALA LANGAT,BN - UMNO,,57430,8020,75.39,43296,242,1318,41736,UMNO,DATO' DR HJ SHAFIE B HJ MOHD SALLEH,MALE,53,24878,,,,,,,,PKN,HJ SAARI HJ SUNGIB,MALE,42,16858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 102,SELANGOR,P. 102,SEPANG,BN - UMNO,,54161,7162,74.12,40145,38,1131,38976,UMNO,SERIPAH NOLI BINTI SYED HUSSIN,FEMALE,43,23069,,PAS,MOHAMED MAKKI BIN AHMAD,MALE,,15907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 103,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 103,KEPONG,BA - DAP,,64956,1766,76.56,49730,52,271,49407,GERAKAN,MA WOEI CHYI,MALE,,23319,,DAP,DR TAN SENG GIAW,MALE,57,25085,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,MANO,MALE,,1003,LOST DEPOSIT,,,,,,,,,,,,
P. 104,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 104,BATU,BN - GERAKAN,,61078,2297,73.54,44916,1370,565,42981,GERAKAN,NG LIP YONG,MALE,,22639,,PRM,DR. SANUSI B. OSMAN,MALE,,20342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 105,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 105,WANGSA MAJU,BN - UMNO,,75087,5618,79.39,59609,4523,710,54376,UMNO,DATO' HAJI ZULHASNAN RAFIQUE,MALE,,29997,,,,,,,,PKN,PUAN HJH. MARINA BT. MOHD. YUSOFF,FEMALE,,24379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 106,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 106,SEGAMBUT,BN - GERAKAN,,60110,8588,70.16,42175,533,378,41264,GERAKAN,TAN KEE KWONG,MALE,52,24926,,DAP,M. MANOHARAN,MALE,,16338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 107,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 107,TITIWANGSA,BN - UMNO,,53694,1513,67.5,36245,246,264,35735,UMNO,DATO' DR. SULEIMAN MOHAMED,MALE,52,18624,,PAS,MOHAMAD NOOR BIN MOHAMAD,MALE,,17111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 108,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 108,BUKIT BINTANG,BA - DAP,,62865,1134,62.57,39333,1306,733,37294,MCA,DR. LEE CHONG MENG,MALE,50,17981,,DAP,FONG KUI LUN,MALE,53,19115,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,LIM PENG SOON,MALE,,198,LOST DEPOSIT,,,,,,,,,,,,
P. 109,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 109,LEMBAH PANTAI,BN - UMNO,,52607,1454,68.92,36256,65,193,35998,UMNO,SHAHRIZAT BINTI ABDUL JALIL,FEMALE,46,18726,,,,,,,,PKN,ZAINUR BIN ZAKARIA,MALE,,17272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 110,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 110,SEPUTEH,BA - DAP,,72014,5200,73.59,52995,41,249,52705,MCA,DR. SUA CHONG KEH,MALE,,23457,,DAP,TERESA KOK,FEMALE,35,28657,,,,,,,,MDP,LIEW AH KIM,MALE,61,457,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,M THURAI,MALE,,134,LOST DEPOSIT,,,,,,,,,,,,
P. 111,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 111,CHERAS,BA - DAP,,65784,8992,70.63,46465,82,217,46166,MCA,LEE BOON KOK,MALE,,18587,,DAP,TAN KOK WAI,MALE,42,27579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 112,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 112,BANDAR TUN RAZAK,BN - MCA,,59182,1224,76.11,45041,1053,666,43322,MCA,DATUK TAN CHAI HO,MALE,53,22273,,,,,,,,PKN,DR. CHANDRA MUZAFFAR,MALE,52,21049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 113,NEGERI SEMBILAN,P. 113,JELEBU,BN - UMNO,,37322,7119,75.66,28236,622,677,26937,UMNO,DATO' DR. RAIS YATIM,MALE,57,17028,,,,,,,,PKN,USTAZ HJ. JAAFAR BIN MUHAMMAD,MALE,,9909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 114,NEGERI SEMBILAN,P. 114,JEMPOL,BN - UMNO,,49617,11919,73.66,36546,5,1006,35535,UMNO,DATO HJ KHALID YUNUS,MALE,56,23727,,PAS,USTAZ HJ ABD. RAHIM B. HJ YUSOF,MALE,,11808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 115,NEGERI SEMBILAN,P. 115,TAMPIN,BN - UMNO,,47628,9979,74,35246,468,869,33909,UMNO,SHAZIMAN BIN ABU MANSOR,MALE,35,21944,,PAS,HAMDAN BIN HASHIM,MALE,,11965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 116,NEGERI SEMBILAN,P. 116,KUALA PILAH,BN - UMNO,,43900,2818,71.14,31232,153,909,30170,UMNO,DATO' NAPSIAH BINTI OMAR,FEMALE,55,16494,,,,,,,,PKN,HAJI RUSLAN B HAJI KASIM,MALE,,13676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 117,NEGERI SEMBILAN,P. 117,SEREMBAN,BN - MCA,,80413,9236,74.62,60008,1093,1841,57074,MCA,DATO' HON CHOON KIM,MALE,51,33155,,DAP,LEE PENG FEE,MALE,,23919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 118,NEGERI SEMBILAN,P. 118,RASAH,BN - MCA,,79464,1386,73.44,58359,638,1825,55896,MCA,GOH SIOW HUAT,MALE,,28641,,DAP,CHEN MAN HIN,MALE,74,27255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 119,NEGERI SEMBILAN,P. 119,TELOK KEMANG,BN - MIC,,67187,9694,72.28,48563,2770,1857,43936,MIC,S. ANPALAGAN,MALE,36,26815,,DAP,N. GOBALAKRISHNAN,MALE,,17121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 120,MELAKA,P. 120,ALOR GAJAH,BN - UMNO,,51303,12332,81.58,41855,3996,961,36898,UMNO,DATUK WIRA ABU SEMAN YUSOP,MALE,55,24615,,PAS,HJ. AB. GHANI BIN HJ. AB. RAHMAN,MALE,54,12283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 121,MELAKA,P. 121,SELANDAR,BN - MCA,,49558,10739,73.7,36525,70,1084,35371,MCA,DR. FONG CHAN ONN,MALE,55,23055,,,,,,,,PKN,TIAN CHUA,MALE,36,12316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 122,MELAKA,P. 122,BATU BERENDAM,BN - UMNO,,88286,7288,78.83,69592,104,1464,68024,UMNO,ABDUL GHAFAR BIN BABA,MALE,74,37656,,,,,,,,PKN,KHALID JAAFAR,MALE,,30368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 123,MELAKA,P. 123,KOTA MELAKA,BA - DAP,,76364,9389,77.16,58921,89,1277,57555,MCA,LIM SWEE KIANG,FEMALE,,24083,,DAP,KERK KIM HOCK,MALE,52,33472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 124,MELAKA,P. 124,JASIN,BN - UMNO,,48165,10691,77.79,37467,72,810,36585,UMNO,DATUK SERI ABU ZAHAR BIN HJ. ISNIN,MALE,60,23638,,PAS,MUJAHID HAJI YUSOF RAWA,MALE,35,12947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 125,JOHOR,P. 125,SEGAMAT,BN - MIC,,60782,10429,71.68,43566,107,1188,42271,MIC,SUBRAMANIAM A/L SINNIAH @ DATO S. SUBRA,MALE,55,26350,,DAP,TEE GEY YAN,MALE,,15921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 126,JOHOR,P. 126,LEDANG,BN - UMNO,,56531,13507,69.63,39364,72,1167,38125,UMNO,HASHIM BIN ISMAIL,MALE,54,25816,,,,,,,,PKN,JAMALUDDIN BIN KHALID,MALE,,12309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 127,JOHOR,P. 127,PAGOH,BN - UMNO,,39791,12857,71.2,28330,35,872,27423,UMNO,TAN SRI MUHYIDDIN YASSIN,MALE,52,20140,,,,,,,,PKN,ALIAS BIN HJ. SHAMSIR,MALE,,7283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 128,JOHOR,P. 128,LABIS,BN - MCA,,48674,13801,71.44,34775,83,1075,33617,MCA,DATO' SERI DR. LIM LIONG SEEK @ LING LIONG SIK,MALE,56,23709,,DAP,AHMAD BIN TON,MALE,50,9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 129,JOHOR,P. 129,MERSING,BN - UMNO,,39286,10861,70.3,27617,54,782,26781,UMNO,ABD. LATIFF BIN AHMAD,MALE,41,18821,,PAS,IDRIS BIN TUKACHIL,MALE,,7960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 130,JOHOR,P. 130,KLUANG,BN - MCA,,63944,18370,72.94,46641,2898,1033,42710,MCA,HOO SEONG CHANG,MALE,42,30540,,DAP,CHEW PECK CHOO,FEMALE,31,12170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 131,JOHOR,P. 131,PARIT SULONG,BN - UMNO,,62208,17657,73.96,46006,26,1117,44863,UMNO,RUHANIE BIN AHMAD,MALE,,31260,,PAS,MOHAMED HANIPA BIN MAIDIN,MALE,,13603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 132,JOHOR,P. 132,BAKRI,BN - MCA,,53251,13360,74.15,39486,119,1375,37992,MCA,CHUA JUI MENG,MALE,56,25676,,DAP,LIM SEY WEE,MALE,,12316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 133,JOHOR,P. 133,MUAR,BN - UMNO,,41537,7182,70.03,29090,34,852,28204,UMNO,DR ROBIA BT DATO' KOSAI,FEMALE,50,17693,,,,,,,,PKN,HAJI ABDUL RAHMAN OTHMAN,MALE,,10511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
