UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 14,KEDAH,P. 14,MERBOK,BN - UMNO,,63665,15376,73.19,46599,52,1353,45194,UMNO,DAIM ZAINUDDIN,MALE,61,30285,,,,,,,,PKN,MOCKTAR MANSOR,MALE,,14909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15,KEDAH,P. 15,SUNGAI PETANI,BN - UMNO,,72453,12133,76.54,55457,2689,1151,51617,UMNO,MAHADZIR BIN MOHD. KHIR,MALE,54,31875,,,,,,,,PKN,JOHARI BIN ABDUL,MALE,44,19742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16,KEDAH,P. 16,BALING,BA - PAS,,53886,1394,78.93,42534,328,664,41542,UMNO,BAHADOR SHAH MD. ISA,MALE,58,20074,,PAS,USTAZ TAIB AZAMUDDEN MD. TAIB,MALE,48,21468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17,KEDAH,P. 17,PADANG SERAI,BN - MCA,,64294,9372,72.76,46778,11,1349,45418,MCA,LIM BEE KAU,FEMALE,43,27395,,,,,,,,PKN,SAIFUDDIN NASUTION BIN ISMAIL,MALE,36,18023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 18,KEDAH,P. 18,KULIM - BANDAR BAHARU,BN - UMNO,,47093,8067,73.86,34781,422,898,33461,UMNO,DATO' ABDUL KADIR B. HJ. SHEIKH FADZIR,MALE,60,20764,,,,,,,,PKN,DATO' SYEIKH AZMI BIN AHMAD,MALE,56,12697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19,KELANTAN,P. 19,TUMPAT,BA - PAS,,48419,10442,75.71,36657,27,636,35994,UMNO,NOOR ZAHIDI BIN OMAR @ HJ. NOOR ZAHIDI OMAR (HAJI DI),MALE,42,12776,,PAS,KAMARUDIN BIN JAFFAR @ DATO HJ. KAMARUDIN JAFFAR,MALE,48,23218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,BA - PAS,,42809,15945,76.5,32749,678,486,31585,UMNO,USTAZ MOHD NOOR BIN DERIS,MALE,,7820,,PAS,MOHD AMAR BIN ABDULLAH @ NIK AMAR,MALE,52,23765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 21,KELANTAN,P. 21,KOTA BHARU,BA - PKN,,63010,10206,71.04,44762,118,995,43649,UMNO,ILANI BINTI ISHAK @ HAJJAH ILANI DATO' HJ. ISAHAK,FEMALE,46,16517,,,,,,,,PKN,RAMLI BIN IBRAHIM (@ USTAZ RAMLI),MALE,,26723,,BERJASA,MOHD DIN NIZAM DIN,MALE,,409,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 22,KELANTAN,P. 22,PASIR MAS,BA - PAS,,51158,8575,78.09,39949,41,549,39359,UMNO,IBRAHIM BIN ALI @ DATO' HAJI IBRAHIM ALI,MALE,48,15392,,PAS,ISMAIL BIN NOH @ USTAZ HJ. ISMAIL B. NOH,MALE,,23967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23,KELANTAN,P. 23,RANTAU PANJANG,BA - PAS,,44190,8565,71.11,31424,13,554,30857,UMNO,WAN MOHD FUAAD BIN WAN ABDULLAH,MALE,,11146,,PAS,HAJI ABDUL FATAH BIN HAJI HARON,MALE,,19711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
