UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 134_N.20,JOHOR,P. 134,SRI GADING,N.20,PARIT RAJA,BN - UMNO,,28574,7502,74.67,21336,19,561,20756,UMNO,ALI BIN SHIKH AHMAD,MALE,,14129,,PAS,DR. SANUSI BIN DAING MARIOK,MALE,,6627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 135_N.21,JOHOR,P. 135,BATU PAHAT,N.21,PENGGARAM,BN - MCA,,39428,13460,74.95,29552,49,1345,28158,MCA,CHUA SOI LEK @ CHUA KIN SENG,MALE,,20809,,DAP,GAN PECK CHENG,FEMALE,33,7349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 135_N.22,JOHOR,P. 135,BATU PAHAT,N.22,RENGIT,BN - UMNO,,24620,5347,71.58,17624,20,625,16979,UMNO,ZAINAL ABIDIN BIN MOHAMED ZIN,MALE,,11163,,PAS,HASANUDDIN BIN MOHD YUNUS,MALE,,5816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 136_N.23,JOHOR,P. 136,TENGGARA,N.23,PANTI,BN - UMNO,,16629,6631,75.34,12529,608,504,11417,UMNO,MOHAMAD AMERAN BIN SOHIRAN,MALE,,9024,,,,,,,,PKN,ABD AZIZ BIN SARDAN,MALE,,2393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 136_N.24,JOHOR,P. 136,TENGGARA,N.24,GUNUNG LAMBAK,BN - UMNO,,31832,14368,79.48,25300,295,677,24328,UMNO,HALIMAH BINTI MOHD SADIQUE,FEMALE,,19348,,PAS,SALLEH BIN FARMIN,MALE,,4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 137_N.25,JOHOR,P. 137,SUNGAI BENUT,N.25,SIMPANG RENGGAM,BN - MCA,,34071,11578,72.07,24556,82,984,23490,MCA,LAW BOON KING @ LOW BOON HONG,MALE,,17534,,,,,,,,PKN,NOR'AINI BIN SAIDI,MALE,,5956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 137_N.26,JOHOR,P. 137,SUNGAI BENUT,N.26,BENUT,BN - UMNO,,23575,7269,73.32,17286,2,613,16671,UMNO,SALEHON BIN SENGOT,MALE,,11970,,PAS,SALAHUDDIN BIN AYUB,MALE,,4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N.27,JOHOR,P. 138,SENAI,N.27,KULAI,BN - GERAKAN,,37974,7336,75.60,28707,13,878,27816,GERAKAN,KHOO CHE WAT,MALE,,17576,,DAP,WONG KOK FONG,,,10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N.28,JOHOR,P. 138,SENAI,N.28,BUKIT PERMAI,BN - UMNO,,26779,10170,74.12,19849,8,839,19002,UMNO,ADAM BIN ABDUL HAMID,MALE,,14586,,PAS,MAZLAN BIN ALIMAN,MALE,,4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N.29,JOHOR,P. 139,KOTA TINGGI,N.29,SEDILI,BN - UMNO,,27902,14174,77.30,21567,18,761,20788,UMNO,ASIAH BINTI MD. ARIFF,FEMALE,,17481,,PAS,HAJI ABDULLAH BIN SHAHADAN,MALE,,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N.30,JOHOR,P. 139,KOTA TINGGI,N.30,PENGERANG,BN - UMNO,,29669,17273,78.96,23426,137,724,22565,UMNO,HARUN BIN ABDULLAH,MALE,,19919,,,,,,,,PKN,ABD. RAZAK BIN ESA,MALE,,2646,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 140_N.31,JOHOR,P. 140,TEBRAU,N.31,TIRAM,BN - UMNO,,40534,16550,74.97,30388,657,1029,28702,UMNO,MOHAMAD BIN DOLMAT,MALE,,22626,,,,,,,,PRM,MOHD SALLEH BIN AHMAD,MALE,,6076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 140_N.32,JOHOR,P. 140,TEBRAU,N.32,PASIR GUDANG,BN - MIC,,46668,17307,75.40,35187,154,958,34075,MIC,PALIKSINA SIWALINGGAM @ DATUK K.S. BALAKRISHNAN,MALE,,25691,,PAS,AZAM BIN HARON,MALE,,8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 141_N.33,JOHOR,P. 141,JOHOR BAHRU,N.33,TANJONG PUTERI,BN - UMNO,,36280,9843,69.05,25050,94,593,24363,UMNO,MOHAMAD BIN KASBI,MALE,,17103,,,,,,,,PRM,A. RAZAK AHMAD,MALE,,7260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 141_N.34,JOHOR,P. 141,JOHOR BAHRU,N.34,STULANG,BN - MCA,,41557,14727,71.27,29618,683,1236,27699,MCA,FREDDIE LONG HOO HIN,MALE,,21213,,DAP,TEY TIAN FOO,,,6486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 142_N.35,JOHOR,P. 142,PULAI,N.35,TAMBATAN,BN - MCA,,30610,8733,61.21,18735,17,661,18057,MCA,LOW TEH HIAN,MALE,49,13395,,,,,,,,PRM,S.K. SONG,,,4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 142_N.36,JOHOR,P. 142,PULAI,N.36,KEMPAS,BN - UMNO,,41441,14288,69.46,28785,87,630,28068,UMNO,OSMAN BIN HJ. SAPIAN,MALE,,21178,,PAS,HJ MOHIDIN YAHYA SHAMSUDIN,MALE,,6890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 143_N.37,JOHOR,P. 143,GELANG PATAH,N.37,TANJONG KUPANG,BN - UMNO,,27334,11324,74.42,20343,40,681,19622,UMNO,HAJI BAHAROM BIN ABDUL GHANI,MALE,,15473,,PAS,ENCIK YA'AKOB BIN MOHD YUSOF,MALE,,4149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 143_N.38,JOHOR,P. 143,GELANG PATAH,N.38,SKUDAI,BN - GERAKAN,,47226,11167,75.63,35719,70,732,34917,GERAKAN,KHOO KONG EK,,,23042,,DAP,DR.BOO CHENG HAU,MALE,,11875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 144_N.39,JOHOR,P. 144,PONTIAN,N.39,PULAI SEBATANG,BN - UMNO,,35534,15172,74.96,26637,34,875,25728,UMNO,ABD. MALIK BIN IBRAHIM,MALE,,20450,,PAS,HJ. SAROBO BIN PONOH,MALE,,5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 144_N.40,JOHOR,P. 144,PONTIAN,N.40,KUKUP,BN - UMNO,,29023,12736,73.78,21414,15,775,20624,UMNO,JAMILAH ENDAN,FEMALE,,16680,,,,,,,,PKN,ROSDAN BIN DATO HJ. ABD. RAHMAN,MALE,33,3944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
