UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 7_N.7,KEDAH,P. 7,PADANG TERAP,N.7,KUALA NERANG,BA - PAS,,15109,821,83.41,12602,286,401,11915,UMNO,ABD LATEH BIN HJ MOHD SAMAN,MALE,,5547,,PAS,MOHAMAD YUSOFF BIN ZAKARIA @ MUNIR BIN ZAKARIA,MALE,,6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 7_N.8,KEDAH,P. 7,PADANG TERAP,N.8,PEDU,BA - PAS,,13868,446,83.32,11555,8,311,11236,UMNO,DATO' HJ. GHAZALI BIN HJ. IBRAHIM,MALE,,5395,,PAS,WAN JAAFAR BIN WAN AHMAD,MALE,,5841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8_N.9,KEDAH,P. 8,POKOK SENA,N.9,BUKIT LADA,BA - PAS,,23187,852,78.97,18310,19,407,17884,UMNO,AHMAD LEBAI SUDIN,MALE,,8516,,PAS,SHEIKH ISMAIL KAMIS,MALE,,9368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8_N.10,KEDAH,P. 8,POKOK SENA,N.10,LANGGAR,BA - PAS,,21052,2799,79.21,16676,724,295,15657,UMNO,NEK ALI BIN NEK AHMAD,MALE,,6429,,PAS,MOHAMAD SHAUKI BIN IBRAHIM @ USTAZ SHAUKI,MALE,,9228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8_N.11,KEDAH,P. 8,POKOK SENA,N.11,TANJONG SERI,BN - UMNO,,23886,440,74.47,17787,8,273,17506,UMNO,USTAZ FADZIL HANAFI,MALE,,8973,,PAS,USTAZ NIAMAT BIN YUSOFF,MALE,,8533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9_N.12,KEDAH,P. 9,ALOR SETAR,N.12,DERGA,BN - GERAKAN,,20480,5456,65.51,13417,143,418,12856,GERAKAN,CHEUNG KHAI YAN,MALE,43,9156,,DAP,LIEW KARD SEONG,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9_N.13,KEDAH,P. 9,ALOR SETAR,N.13,KOTA DARUL AMAN,BN - MCA,,22177,6006,66.72,14797,516,367,13914,MCA,CHONG KAU CHAI @ CHONG ITT CHEW,MALE,,9960,,DAP,TAN FOO HEONG,,,3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9_N.14,KEDAH,P. 9,ALOR SETAR,N.14,ALOR MERAH,BN - UMNO,,21021,2922,71.77,15086,21,287,14778,UMNO,AHMAD BASHAH BIN MD. HANIPAH,MALE,,8850,,PAS,FADZIL BIN AHMAD,MALE,,5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10_N.15,KEDAH,P. 10,KUALA KEDAH,N.15,ANAK BUKIT,BA - PAS,,19723,1840,77.89,15363,13,230,15120,UMNO,DATO' HJ. ABDULLAH HASNAN B. KAMARUDDIN,MALE,,6640,,PAS,DATO' HJ. FADZIL MOHD NOOR,MALE,,8480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10_N.16,KEDAH,P. 10,KUALA KEDAH,N.16,KUBANG ROTAN,BN - UMNO,,18973,1985,74.79,14190,8,357,13825,UMNO,DATO' HAJI SYED RAZAK B HAJI SYED ZAIN,MALE,,7905,,PAS,KASIM BIN MAT ISA @ KASIM MINA,MALE,,5920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10_N.17,KEDAH,P. 10,KUALA KEDAH,N.17,PENGKALAN KUNDOR,BA - PAS,,22418,697,76.85,17228,8,283,16937,UMNO,ABD GHANI BIN JAMALUDIN,MALE,,8120,,PAS,IR. PHAHROLRAZI BIN HAJI ZAWAWI,MALE,,8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 11_N.18,KEDAH,P. 11,PENDANG,N.18,BUKIT RAYA,BA - PAS,,27525,5184,81.55,22448,12,314,22122,UMNO,ABDULLAH BIN BAHARI,MALE,,8469,,PAS,HAJI MOHAMED TAULAN RASUL,MALE,,13653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 11_N.19,KEDAH,P. 11,PENDANG,N.19,SUNGAI TIANG,BN - UMNO,,25863,2530,92.49,23921,3723,650,19548,UMNO,MD. ROZAI BIN SHAFIAN,MALE,,11039,,PAS,HAJI ABDULLAH BIN HAJI ABDUL RAHMAN @ TG. HAJI ABDUL RAHIM,MALE,,8509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12_N.20,KEDAH,P. 12,YAN,N.20,SALA,BA - PAS,,23014,2621,79.50,18295,0,306,17989,UMNO,HIDZIR BIN HJ. ALIAS,MALE,,7684,,PAS,USTAZ AZIZAN BIN ABDUL RAZAK,MALE,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12_N.21,KEDAH,P. 12,YAN,N.21,GUAR CHEMPEDAK,BN - UMNO,,19265,2275,73.36,14133,15,343,13775,UMNO,HJ. ABD. RAZAK BIN HASHIM (CIK GU RAZAK),MALE,,8025,,PAS,USTAZ CHE'PI @ NASIR B. OTHMAN,MALE,,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13_N.22,KEDAH,P. 13,SIK,N.22,BELANTEK,BA - PAS,,15686,525,82.09,12876,13,276,12587,UMNO,SITI MERIAM,FEMALE,,6031,,PAS,UST. MOHD. ISA SHAFIE,MALE,,6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13_N.23,KEDAH,P. 13,SIK,N.23,JENERI,BA - PAS,,17384,379,82.54,14349,0,342,14007,UMNO,CIK GU MAHAZIR,MALE,,6814,,PAS,CIKGU YAHYA BIN ABDULLAH,MALE,,7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14_N.24,KEDAH,P. 14,MERBOK,N.24,BUKIT SELAMBAU,BN - MIC,,24023,5894,73.72,17710,10,498,17202,MIC,DATO' V. SARAVANAN,MALE,,11416,,PAS,DR. HAMDAN BIN MOHAMED KHALIB,MALE,,5522,,,,,,,,,,,,,,,,,,,,INDEPENDENT,KALAICHELVAN,MALE,,264,LOST DEPOSIT,,,,,,,,,,,,
P. 14_N.25,KEDAH,P. 14,MERBOK,N.25,GURUN,BN - MCA,,19529,5233,70.36,13740,16,477,13247,MCA,BEH HENG SEONG,MALE,,9240,,PAS,AHMAD RASHID,MALE,,4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14_N.26,KEDAH,P. 14,MERBOK,N.26,TANJONG DAWAI,BN - UMNO,,20113,1881,75.28,15141,12,440,14689,UMNO,HAJJAH ROSNAH MAJID,FEMALE,,8285,,PAS,USTAZ MOHD YUSOF BIN OMAR,MALE,,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15_N.27,KEDAH,P. 15,SUNGAI PETANI,N.27,PANTAI MERDEKA,BN - UMNO,,22949,504,79.45,18232,141,391,17700,UMNO,MAT AKHAIR BIN SHAFIE,MALE,,9102,,PAS,DATO' MOHD MUSLIM OTHMAN,MALE,,8598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15_N.28,KEDAH,P. 15,SUNGAI PETANI,N.28,BAKAR ARANG,BN - MCA,,25694,4887,77.71,19968,2477,246,17245,MCA,TAN HONG ENG,,,11066,,PAS,ABDUL HALIM BIN MOHD NASIR,MALE,,6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15_N.29,KEDAH,P. 15,SUNGAI PETANI,N.29,SIDAM,BN - GERAKAN,,23810,5482,71.96,17134,3,537,16594,GERAKAN,DATO' FONG CHOK GIN,MALE,,11038,,DAP,GNANAGURU A/L GANISAN,MALE,,5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16_N.30,KEDAH,P. 16,BALING,N.30,BAYU,BN - UMNO,,24601,2361,79.40,19533,311,371,18851,UMNO,DATO' HAJI ZAINOL BIN MD. ISA,MALE,,10606,,PAS,UST. HJ. RAOF B. CHE MES,MALE,,8245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16_N.31,KEDAH,P. 16,BALING,N.31,KUPANG,BA - PAS,,29285,3043,78.51,22993,0,434,22559,UMNO,ABD. WAHAB BIN DIN,MALE,,9758,,PAS,UST. SUHAIMI BIN AHMAD,MALE,,12801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16_N.32,KEDAH,P. 16,BALING,N.32,KUALA KETIL,BN - UMNO,,18129,2622,74.85,13570,256,420,12894,UMNO,MOHD. HADZIR BIN ISMAIL,MALE,,7758,,PAS,UST AHMAD BIN ZAKARIA,MALE,,5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17_N.33,KEDAH,P. 17,PADANG SERAI,N.33,MERBAU PULAS,BN - UMNO,,21684,4031,73.40,15915,15,495,15405,UMNO,MARLIA BT ABD. LATIFF,FEMALE,,9718,,PAS,ABDUL TALIB BIN YAACOB,MALE,,5687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17_N.34,KEDAH,P. 17,PADANG SERAI,N.34,LUNAS,BN - MIC,,24481,4700,72.56,17763,13,685,17065,MIC,DR. JOE FERNANDEZ,MALE,,9760,,DAP,M. KATHIRAVELO,MALE,,5060,,,,,,,,,,,,,,,,,,,,INDEPENDENT,N. LETCHUMANAN (KATU RAJAH),MALE,,87,LOST DEPOSIT,INDEPENDENT,HJ. IBRAHIM B. HJ. MOHD RASHDI,MALE,,2158,,,,,,,
P. 18_N.35,KEDAH,P. 18,KULIM-BANDAR BAHARU,N.35,KULIM,BN - MCA,,25276,5868,72.40,18299,388,473,17438,MCA,DATO' YONG PAU CHAK,MALE,,11653,,PAS,AZIZI BIN HJ. ABDULLAH,MALE,,5785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 18_N.36,KEDAH,P. 18,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,BN - UMNO,,21817,1844,75.45,16460,28,430,16002,UMNO,HAJI OSMAN BIN MD. AJI,MALE,,8923,,PAS,UST. YAAKUB BIN HUSSIN,MALE,,7079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19_N.1,KELANTAN,P. 19,TUMPAT,N.1,PENGKALAN KUBOR,BA - PAS,,16539,2432,72.82,12043,3,242,11798,UMNO,MAT NAWAWI BIN MAT JUSOH @ CIKGU HJ MAT NAWI,MALE,,4683,,PAS,WAN HUSAIN BIN WAN AHMAD @ TOK IMAM WAN HUSAIN,MALE,,7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19_N.2,KELANTAN,P. 19,TUMPAT,N.2,KELABORAN,BA - PAS,,16428,3060,76.12,12505,3,324,12178,UMNO,MANSOR BIN SALLEH,MALE,,4559,,PAS,NOORDIN BIN YAAKUB @ CIK GU HJ. NOORDIN,MALE,,7619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19_N.3,KELANTAN,P. 19,TUMPAT,N.3,PASIR PEKAN,BA - PAS,,15452,4931,78.36,12108,10,251,11847,UMNO,MUHAMMAD BIN SULAIMAN @ TOK GAWA MAT,MALE,,3458,,PAS,AHMAD BIN YAKOB @ USTAZ MAT TO' GURU KOB,MALE,,8389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20_N.4,KELANTAN,P. 20,PENGKALAN CHEPA,N.4,KIJANG,BA - PAS,,13408,4812,75.75,10157,9,256,9892,UMNO,NIK MOHD ZAIN BIN HAJI OMAR @ DR NIK ZAIN,MALE,,2540,,PAS,AB. HALIM BIN AB. RAHMAN @ USTAZ AB. HALIM,MALE,,7352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20_N.5,KELANTAN,P. 20,PENGKALAN CHEPA,N.5,CHEMPAKA,BA - PAS,,15080,6347,78.26,11801,661,189,10951,UMNO,ROPLI BIN ISHAK,MALE,,2302,,PAS,TUAN GURU NIK ABDUL AZIZ B NIK MAT,MALE,,8649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20_N.6,KELANTAN,P. 20,PENGKALAN CHEPA,N.6,PANCHOR,BA - PAS,,14321,4411,75.34,10790,51,264,10475,UMNO,MOHD ARIFFIN BIN ABDUL HAMID @ ABANG PIN,MALE,,3032,,PAS,MOHD YUSOFF BIN LUDIN @ TOK IMAM SOH,MALE,,7443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 21_N.7,KELANTAN,P. 21,KOTA BHARU,N.7,TANJONG MAS,BA - PAS,,20187,7313,72.18,14570,24,173,14373,UMNO,MOHD ZAMRI BIN RAMLI @ HAJI ZAMRI BIN HAJI RAMLI,MALE,,3530,,PAS,ABD. RAHIM BIN WAN ABDULLAH @ CIKGU RAHIM,MALE,,10843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 21_N.8,KELANTAN,P. 21,KOTA BHARU,N.8,KOTA LAMA,BA - PAS,,24495,445,68.85,16865,72,298,16495,MCA,LEONG SU SIANG,MALE,,8025,,PAS,TAN TENG LOON @ ANUAR TAN B. ABDULLAH ANUAR TAN,MALE,,8470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 21_N.9,KELANTAN,P. 21,KOTA BHARU,N.9,BUNUT PAYONG,BA - PAS,,18328,5538,72.70,13325,23,116,13186,UMNO,AHMAD RASTOM BIN AHMAD MAHER @ DATO' HAJI AHMAD RASTOM,MALE,,3824,,PAS,TAKIYUDDIN BIN HASSAN @ TAKIYUDDIN HASSAN,MALE,,9362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22_N.10,KELANTAN,P. 22,PASIR MAS,N.10,WAKAF BHARU,BA - PAS,,18348,2618,80.22,14719,13,320,14386,UMNO,RAMZI BIN AB RAHMAN @ RAMZI BIN HAJI AB RAHMAN,MALE,,5884,,PAS,RAMLI BIN ABU BAKAR @ HJ. RAMLI BIN ABU BAKAR,MALE,,8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22_N.11,KELANTAN,P. 22,PASIR MAS,N.11,TENDONG,BA - PAS,,15298,2002,79.17,12112,1,253,11858,UMNO,ZAINUDDIN BIN MOHAMAD NOR @ HAJI ZAINUDDIN FATHIL BIN HAJI MOHAMAD NOR,MALE,,4928,,PAS,WAN OTHMAN BIN WAN YUSOFF @ CIK GU HAJI WAN OTHMAN,MALE,,6930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22_N.12,KELANTAN,P. 22,PASIR MAS,N.12,PENGKALAN PASIR,BA - PAS,,17512,2862,74.98,13131,22,217,12892,UMNO,ABDUL RAHIM BIN ABDUL RAHMAN @ DATO HJ. ABDUL RAHIM BIN HJ. ABDUL RAHMAN,MALE,,5015,,PAS,HASSAN BIN ABDULLAH @ HJ. HASSAN ABDULLAH,MALE,,7877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23_N.13,KELANTAN,P. 23,RANTAU PANJANG,N.13,MERANTI,BA - PAS,,12520,3018,73.16,9160,5,207,8948,UMNO,ZAID BIN FADZIL,MALE,,2965,,PAS,MOHD. NASSURUDDIN BIN HAJI DAUD,MALE,,5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23_N.14,KELANTAN,P. 23,RANTAU PANJANG,N.14,GUAL PERIOK,BA - PAS,,17204,3156,68.97,11866,0,306,11560,UMNO,NIK MUSTAPHA BIN NIK LODING,MALE,,4202,,PAS,ABDULLAH BIN AB. RAZAK,MALE,,7358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23_N.15,KELANTAN,P. 23,RANTAU PANJANG,N.15,BUKIT TUKU,BA - PAS,,14467,2482,71.81,10389,3,238,10148,UMNO,MOHD. ZAIN BIN ISMAIL,MALE,,3833,,PAS,MOHD. YUSOF BIN ABDULLAH,MALE,,6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 24_N.16,KELANTAN,P. 24,KUBANG KERIAN,N.16,SALOR,BA - PAS,,14736,4000,77.21,11377,18,273,11086,UMNO,AHMAD ROSLI BIN IBERAHIM,MALE,,3543,,PAS,BUNI AMIN BIN HAMZAH,MALE,,7543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 24_N.17,KELANTAN,P. 24,KUBANG KERIAN,N.17,PASIR TUMBOH,BA - PAS,,13042,4191,77.50,10108,10,205,9893,UMNO,TUAN MOHAMAD HASHIM BIN TUAN YAACOB,MALE,,2851,,PAS,AHMAD BAIHAKI BIN ATIQULLAH @ HJ BAIHAKI ATIQULLAH,MALE,,7042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 24_N.18,KELANTAN,P. 24,KUBANG KERIAN,N.18,KENALI,BA - PAS,,18119,7457,74.34,13470,21,274,13175,UMNO,MOHD FAUZI BIN ISMAIL,MALE,,2859,,PAS,MOHAMED BIN DAUD @ USTAZ MOHAMED IRAQ,MALE,,10316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25_N.19,KELANTAN,P. 25,BACHOK,N.19,TAWANG,BA - PAS,,16287,3756,79.30,12915,21,296,12598,UMNO,HJ. MOHD ZAIN B. HJ. YASIN,MALE,,4421,,PAS,HASSAN B. MOHAMMOD @ USTAZ HASSAN MAHMOOD,MALE,,8177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25_N.20,KELANTAN,P. 25,BACHOK,N.20,PERUPOK,BA - PAS,,16553,3236,78.00,12912,27,309,12576,UMNO,MAKHTAR B. MOHAMED @ HJ. MAKHTAR,MALE,,4670,,PAS,OMAR B. MOHAMED,MALE,,7906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25_N.21,KELANTAN,P. 25,BACHOK,N.21,JELAWAT,BA - PAS,,18523,3198,79.23,14675,39,394,14242,UMNO,AHMAD SHAHIBUDDIN B. HJ. MOHD. NOR @ CIK GU DIN,MALE,,5522,,PAS,SHAARY BIN HAJI AWANG @ IMAM SHAARI,MALE,,8720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26_N.22,KELANTAN,P. 26,PERINGAT,N.22,MELOR,BA - PAS,,15176,2109,77.84,11813,13,215,11585,UMNO,DATUK ZAINAL ABIDIN B. HJ. AB. KADIR,MALE,,4738,,PAS,WAN ISMAIL BIN WAN JUSOH,MALE,,6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26_N.23,KELANTAN,P. 26,PERINGAT,N.23,KADOK,BA - PAS,,13506,3187,77.62,10484,9,186,10289,UMNO,MAT RIFFIN BIN SAID @ RIFFIN SAID,MALE,,3551,,PAS,SHAMSUDIN @ MOHAMED SHUKRI BIN AB. RAHMAN @ IMAM HAJI SHUKRI,MALE,,6738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26_N.24,KELANTAN,P. 26,PERINGAT,N.24,KETEREH,BA - PAS,,16628,899,84.03,13973,1087,233,12653,UMNO,MD. ALWI B. CHE MAT,MALE,,5877,,PAS,MD. ASHARI BIN MAMAT,MALE,,6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27_N.25,KELANTAN,P. 27,TANAH MERAH,N.25,CHETOK,BA - PAS,,13404,1822,76.25,10221,3,270,9948,UMNO,CHE KAMARUL WZAMAN BIN CHE HARON @ CHE KAMAL,MALE,,4063,,PAS,HANAFI BIN HAJI DAUD @ HANAFI HAJI DAUD,MALE,,5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27_N.26,KELANTAN,P. 27,TANAH MERAH,N.26,BUKIT PANAU,BA - PAS,,17086,2935,78.27,13373,31,195,13147,UMNO,MUHAMAT B. SULAIMAN @ MUHAMAT B SULAIMAN (ABANG MAT),MALE,,5106,,PAS,MAT YUSOFF BIN MAT SAH @ USTAZ SOH (MAT YUSOFF BIN MAT SAH),MALE,,8041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27_N.27,KELANTAN,P. 27,TANAH MERAH,N.27,GUAL IPOH,BA - PAS,,12334,904,78.49,9681,2,183,9496,UMNO,TENGKU ALANG B. T. SULONG @ TENGKU ALANG,MALE,,4296,,PAS,MUHAMAD KAMIL BIN HARUN @ PAK SU KAMIL,MALE,,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N.28,KELANTAN,P. 28,PASIR PUTEH,N.28,SELISING,BA - PAS,,14700,2466,77.45,11385,2,217,11166,UMNO,ABDUL RAHMAN B. YASIN @ CIKGU MAN YASIN,MALE,,4350,,PAS,SAIPUL BAHRIN B. MOHAMAD @ UST. DRS. SAIPUL BAHRIN,MALE,,6816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N.29,KELANTAN,P. 28,PASIR PUTEH,N.29,LIMBONGAN,BA - PAS,,16298,3658,74.95,12216,41,175,12000,UMNO,SAMAT B. MAMAT,MALE,,4171,,PAS,ZAINUDDIN B. AWANG HAMAT @ CIKGU DIN,MALE,,7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N.30,KELANTAN,P. 28,PASIR PUTEH,N.30,SEMERAK,BA - PAS,,13404,1475,81.52,10927,7,159,10761,UMNO,MOHAMMED JELANI B. JAAFAR @ USTAZ MOHD JAILANI JAAFAR,MALE,,4643,,PAS,HUSSIN BIN AWANG @ CIKGU HJ. HUSSIN,MALE,,6118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N.31,KELANTAN,P. 28,PASIR PUTEH,N.31,GAAL,BA - PAS,,12371,2075,77.95,9643,7,199,9437,UMNO,AB. RAHMAN B. YAACOB,MALE,,3645,,PAS,NIK MAZIAN B. NIK MOHAMAD @ DR. NIK MAZIAN,MALE,,5720,,,,,,,,AKIM,MOHD. ASRI B. MEJAH @ DR. ASRI,MALE,,72,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 29_N.32,KELANTAN,P. 29,MACHANG,N.32,PULAI CHONDONG,BA - PAS,,14027,2318,79.05,11089,12,229,10848,UMNO,ARIFIN BIN MAMAT @ CIKGU RIPIN,MALE,,4265,,PAS,ZULKIFLI BIN MAMAT @ HJ. ZULKIFLI MAMAT,MALE,,6583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 29_N.33,KELANTAN,P. 29,MACHANG,N.33,BANGGOL JUDAH,BA - PAS,,14636,2795,76.63,11216,28,197,10991,UMNO,MUHAMMAD BIN HAMZAH @ DATO' MAT HAMZAH,MALE,,4098,,PAS,ZAKARIA BIN YAACOB @ CIKGU YA,MALE,,6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 29_N.34,KELANTAN,P. 29,MACHANG,N.34,KEMUNING,BA - PAS,,14537,1591,77.71,11297,9,209,11079,UMNO,ISMAIL BIN MAMAT @ ISMAIL MAMAT,MALE,,4744,,PAS,HASSAN BIN MUHAMAD @ HJ HASSAN BIN HJ MUHAMAD,MALE,,6335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30_N.35,KELANTAN,P. 30,JELI,N.35,KEMAHANG,BA - PAS,,14746,628,84.02,12390,139,377,11874,UMNO,MOHD ADHAN BIN KECHIK,MALE,,5623,,PAS,MD. ANIZAM BIN AB RAHMAN @ MEJ (B) NIZAM,MALE,,6251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30_N.36,KELANTAN,P. 30,JELI,N.36,AIR LANAS,BA - PAS,,13069,1132,79.59,10401,27,238,10136,UMNO,ZIANON ABDIN BIN ALI,MALE,,4502,,PAS,ABDULLAH BIN YA'KUB @ UST. LAH,MALE,,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30_N.37,KELANTAN,P. 30,JELI,N.37,PERGAU,BA - PAS,,10208,329,81.91,8361,142,158,8061,UMNO,ABDUL AZIZ BIN DERASHID,MALE,,3866,,PAS,MAMAT BIN ABDULLAH @ USTAZ AB. RAZAK BIN ABDULLAH,MALE,,4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31_N.38,KELANTAN,P. 31,KUALA KRAI,N.38,GUCHIL,BA - PAS,,13273,629,73.64,9774,18,185,9571,UMNO,CIK GU MAT RAZALI,MALE,,4471,,PAS,USTAZ ZULKIFLI BIN YACOB,MALE,,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31_N.39,KELANTAN,P. 31,KUALA KRAI,N.39,MENGKEBANG,BA - PAS,,14359,1703,80.30,11530,3,316,11211,UMNO,HAJJAH KELTHUM BT MOHAMED,FEMALE,,4754,,PAS,HAJI IBRAHIM MADINAH,MALE,,6457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
