UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,AREA (SQ KM),Notes
P. 1,PERLIS,P. 1,PADANG BESAR,441,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 2,PERLIS,P. 2,KANGAR,150,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 3,PERLIS,P. 3,ARAU,211,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 4,KEDAH,P. 4,LANGKAWI,535,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 5,KEDAH,P. 5,JERLUN,309,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 6,KEDAH,P. 6,KUBANG PASU,623,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 7,KEDAH,P. 7,PADANG TERAP,1352,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 8,KEDAH,P. 8,POKOK SENA,374,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 9,KEDAH,P. 9,ALOR SETAR,41,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 10,KEDAH,P. 10,KUALA KEDAH,225,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 11,KEDAH,P. 11,PENDANG,616,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 12,KEDAH,P. 12,YAN,246,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 13,KEDAH,P. 13,SIK,1656,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 14,KEDAH,P. 14,MERBOK,654,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 15,KEDAH,P. 15,SUNGAI PETANI,232,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 16,KEDAH,P. 16,BALING,1107,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 17,KEDAH,P. 17,PADANG SERAI,783,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 18,KEDAH,P. 18,KULIM - BANDAR BAHARU,674,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 19,KELANTAN,P. 19,TUMPAT,130,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,79,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 21,KELANTAN,P. 21,KOTA BHARU,41,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 22,KELANTAN,P. 22,PASIR MAS,132,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 23,KELANTAN,P. 23,RANTAU PANJANG,367,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 24,KELANTAN,P. 24,KUBANG KERIAN,120,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 25,KELANTAN,P. 25,BACHOK,268,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 26,KELANTAN,P. 26,PERINGAT,166,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 27,KELANTAN,P. 27,TANAH MERAH,655,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 28,KELANTAN,P. 28,PASIR PUTEH,414,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 29,KELANTAN,P. 29,MACHANG,529,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 30,KELANTAN,P. 30,JELI,1658,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 31,KELANTAN,P. 31,KUALA KRAI,1430,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 32,KELANTAN,P. 32,GUA MUSANG,8943,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 33,TERENGGANU,P. 33,BESUT,1033,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 34,TERENGGANU,P. 34,SETIU,1648,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 35,TERENGGANU,P. 35,KUALA NERUS,335,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,53,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 37,TERENGGANU,P. 37,MARANG,706,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,3893,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 39,TERENGGANU,P. 39,DUNGUN,2720,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 40,TERENGGANU,P. 40,KEMAMAN,2525,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,135,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,108,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 43,PULAU PINANG,P. 43,BAGAN,34,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,97,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,122,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 46,PULAU PINANG,P. 46,NIBONG TEBAL,240,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 47,PULAU PINANG,P. 47,BUKIT BENDERA,63,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 48,PULAU PINANG,P. 48,TANJONG,5,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 49,PULAU PINANG,P. 49,JELUTONG,8,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 50,PULAU PINANG,P. 50,BAYAN BARU,43,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 51,PULAU PINANG,P. 51,BALIK PULAU,176,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 52,PERAK,P. 52,GERIK,6301,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 53,PERAK,P. 53,LARUT,1044,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 54,PERAK,P. 54,PARIT BUNTAR,146,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 55,PERAK,P. 55,BAGAN SERAI,575,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 56,PERAK,P. 56,BUKIT GANTANG,1009,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 57,PERAK,P. 57,TAIPING,186,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 58,PERAK,P. 58,CHENDEROH,685,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 59,PERAK,P. 59,SUNGAI SIPUT,1573,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 60,PERAK,P. 60,TAMBUN,525,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 61,PERAK,P. 61,IPOH TIMOR,40,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 62,PERAK,P. 62,IPOH BARAT,38,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 63,PERAK,P. 63,BATU GAJAH,133,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 64,PERAK,P. 64,KUALA KANGSAR,649,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 65,PERAK,P. 65,BERUAS,629,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 66,PERAK,P. 66,PARIT,560,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 67,PERAK,P. 67,GOPENG,584,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 68,PERAK,P. 68,KAMPAR,459,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 69,PERAK,P. 69,TAPAH,984,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 70,PERAK,P. 70,PASIR SALAK,1044,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 71,PERAK,P. 71,LUMUT,618,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 72,PERAK,P. 72,BAGAN DATOK,583,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 73,PERAK,P. 73,TELOK INTAN,783,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 74,PERAK,P. 74,TANJONG MALIM,1849,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 75,PAHANG,P. 75,LIPIS,5780,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 76,PAHANG,P. 76,RAUB,2631,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 77,PAHANG,P. 77,JERANTUT,7327,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 78,PAHANG,P. 78,KUANTAN,444,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
