UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,DATO' HAJI AZMI BIN KHALID,MALE,59,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,TAN SRI HAMID,MALE,55,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,HAJJAH MASTIKA JUNAIDAH BT HUSIN,FEMALE,,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,DATO' ABU BAKAR BIN TAIB,MALE,57,
P. 5,KEDAH,P. 5,JERLUN,BA - PAS,USTAZ DRS. HJ. ABU BAKAR HJ OTHMAN,MALE,,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,DR. MAHATHIR BIN MOHAMAD,MALE,74,
P. 7,KEDAH,P. 7,PADANG TERAP,BA - PAS,ZAWAWI BIN HJ. AHMAD,MALE,57,
P. 8,KEDAH,P. 8,POKOK SENA,BA - PAS,HJ. MAHFUZ BIN HJ. OMAR,MALE,42,
P. 9,KEDAH,P. 9,ALOR SETAR,BN - MCA,CHOR CHEE HEUNG,MALE,44,
P. 10,KEDAH,P. 10,KUALA KEDAH,BA - PAS,HAJI MOHAMAD SABU,MALE,45,
P. 11,KEDAH,P. 11,PENDANG,BA - PAS,DATO HAJI FADZIL NOOR,MALE,62,
P. 12,KEDAH,P. 12,YAN,BA - PAS,USTAZ NASHARUDDIN BIN MAT ISA,MALE,37,
P. 13,KEDAH,P. 13,SIK,BA - PAS,DATO' SHANNON AHMAD,MALE,66,
P. 14,KEDAH,P. 14,MERBOK,BN - UMNO,DAIM ZAINUDDIN,MALE,61,
P. 15,KEDAH,P. 15,SUNGAI PETANI,BN - UMNO,MAHADZIR BIN MOHD. KHIR,MALE,54,
P. 16,KEDAH,P. 16,BALING,BA - PAS,USTAZ TAIB AZAMUDDEN MD. TAIB,MALE,48,
P. 17,KEDAH,P. 17,PADANG SERAI,BN - MCA,LIM BEE KAU,FEMALE,43,
P. 18,KEDAH,P. 18,KULIM - BANDAR BAHARU,BN - UMNO,DATO' ABDUL KADIR B. HJ. SHEIKH FADZIR,MALE,60,
P. 19,KELANTAN,P. 19,TUMPAT,BA - PAS,KAMARUDIN BIN JAFFAR @ DATO HJ. KAMARUDIN JAFFAR,MALE,48,
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,BA - PAS,MOHD AMAR BIN ABDULLAH @ NIK AMAR,MALE,52,
P. 21,KELANTAN,P. 21,KOTA BHARU,BA - PKN,RAMLI BIN IBRAHIM (@ USTAZ RAMLI),MALE,,
P. 22,KELANTAN,P. 22,PASIR MAS,BA - PAS,ISMAIL BIN NOH @ USTAZ HJ. ISMAIL B. NOH,MALE,,
P. 23,KELANTAN,P. 23,RANTAU PANJANG,BA - PAS,HAJI ABDUL FATAH BIN HAJI HARON,MALE,,
P. 24,KELANTAN,P. 24,KUBANG KERIAN,BA - PAS,HAJI HUSAM HAJI MUSA,MALE,40,
P. 25,KELANTAN,P. 25,BACHOK,BA - PAS,WAN NIK BIN WAN YUSOF @ CIKGU WAN NIK,MALE,,
P. 26,KELANTAN,P. 26,PERINGAT,BA - PKN,MUHAMMAD BIN MUSTAFA,MALE,41,
P. 27,KELANTAN,P. 27,TANAH MERAH,BA - PKN,SAUPI BIN DAU @ HAJI SAUPI HAJI DAUD,MALE,49,
P. 28,KELANTAN,P. 28,PASIR PUTEH,BA - PAS,ALWI B. JUSOH @ USTAZ ALWI,MALE,49,
P. 29,KELANTAN,P. 29,MACHANG,BA - PAS,MOHD YUSSOF @ YUSOF BIN MOHD NOR @ YUSOF NOR,MALE,,
P. 30,KELANTAN,P. 30,JELI,BA - PAS,MOHD APANDI BIN HJ. MOHAMAD @ HAJI NASIR HAJI MAT,MALE,39,
P. 31,KELANTAN,P. 31,KUALA KRAI,BA - PAS,MOHD NASIR,MALE,,
P. 32,KELANTAN,P. 32,GUA MUSANG,BN - UMNO,TENGKU RAZALEIGH B. TENGKU MOHD HAMZAH,MALE,62,
P. 33,TERENGGANU,P. 33,BESUT,BA - PAS,HASSAN BIN MOHAMED,MALE,,
P. 34,TERENGGANU,P. 34,SETIU,BA - PAS,CHE GHANI BIN CHE AMBAK,MALE,,
P. 35,TERENGGANU,P. 35,KUALA NERUS,BA - PAS,CIKGU SHUKRIMUN BIN SHAMSUDIN,MALE,40,
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,BA - PAS,DR. SYED AZMAN SYED AHMAD,MALE,38,
P. 37,TERENGGANU,P. 37,MARANG,BA - PAS,TUAN GURU HJ. ABDUL HADI AWANG,MALE,52,
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,BA - PAS,HAJI MUHYIDIN BIN HAJI ABDUL RASHID,MALE,,
P. 39,TERENGGANU,P. 39,DUNGUN,BA - PAS,HAJI MUSTAFFA BIN ALI,MALE,54,
P. 40,TERENGGANU,P. 40,KEMAMAN,BA - PKN,HAJI ABD. RAHMAN BIN YUSOF,MALE,42,
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,BN - UMNO,DATO' SERI ABDULLAH HAJI AHMAD BADAWI,MALE,60,
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,BN - UMNO,DATO' SERI MOHD. SHARIFF HAJI OMAR,MALE,,
P. 43,PULAU PINANG,P. 43,BAGAN,BA - DAP,LIM HOCK SENG,MALE,51,
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,BA - PKN,DR. WAN AZIZAH WAN ISMAIL,FEMALE,47,
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,BA - DAP,CHONG ENG,FEMALE,42,
P. 46,PULAU PINANG,P. 46,NIBONG TEBAL,BA - DAP,GOH KHENG HUAT,MALE,36,
P. 47,PULAU PINANG,P. 47,BUKIT BENDERA,BN - GERAKAN,CHIA KWANG CHYE,MALE,47,
P. 48,PULAU PINANG,P. 48,TANJONG,BA - DAP,CHOW KON YEOW,MALE,41,
P. 49,PULAU PINANG,P. 49,JELUTONG,BN - GERAKAN,LEE KAH CHOON,MALE,,
P. 50,PULAU PINANG,P. 50,BAYAN BARU,BN - MCA,WONG KAM HOONG,MALE,52,
P. 51,PULAU PINANG,P. 51,BALIK PULAU,BN - UMNO,DATO MOHD ZAIN B. HJ. OMAR,MALE,57,
P. 52,PERAK,P. 52,GERIK,BN - UMNO,KHANSIYAH @ KHAMSIYAH BINTI YEOP,FEMALE,,
P. 53,PERAK,P. 53,LARUT,BN - UMNO,DATO' RAJA AHMAD ZAINUDDIN BIN RAJA HAJI OMAR,MALE,43,
P. 54,PERAK,P. 54,PARIT BUNTAR,BA - PAS,DATO' DR HASAN MOHD ALI,MALE,,
P. 55,PERAK,P. 55,BAGAN SERAI,BN - UMNO,DATO' ZAINAL ABIDIN ZIN,MALE,,
P. 56,PERAK,P. 56,BUKIT GANTANG,BN - UMNO,DATO' DR. ABDULLAH FADZIL BIN CHE WAN,MALE,54,
P. 57,PERAK,P. 57,TAIPING,BN - GERAKAN,KERK CHOO TING,MALE,58,
P. 58,PERAK,P. 58,CHENDEROH,BN - UMNO,DATUK MOHAMED NAZRI B ABDUL AZIZ,MALE,45,
P. 59,PERAK,P. 59,SUNGAI SIPUT,BN - MIC,S. SAMY VELLU,MALE,63,
P. 60,PERAK,P. 60,TAMBUN,BN - UMNO,HAJI HUSNI HANADZLAH,MALE,47,
P. 61,PERAK,P. 61,IPOH TIMOR,BN - MCA,THONG FAH CHONG,MALE,41,
P. 62,PERAK,P. 62,IPOH BARAT,BN - MCA,HO CHEONG SING,MALE,50,
P. 63,PERAK,P. 63,BATU GAJAH,BA - DAP,FONG PO KUAN,FEMALE,24,
P. 64,PERAK,P. 64,KUALA KANGSAR,BN - UMNO,RAFIDAH AZIZ,FEMALE,56,
P. 65,PERAK,P. 65,BERUAS,BN - GERAKAN,DATO SERI DR LIM KENG YAIK,MALE,60,
P. 66,PERAK,P. 66,PARIT,BA - PAS,USTAZ HAJI MAT BASIR BIN RAHMAT,MALE,,
P. 67,PERAK,P. 67,GOPENG,BN - MCA,TING CHEW PEH,MALE,56,
P. 68,PERAK,P. 68,KAMPAR,BN - MCA,HEW SEE TONG,MALE,68,
P. 69,PERAK,P. 69,TAPAH,BN - MIC,S. VEERASINGAM,MALE,,
P. 70,PERAK,P. 70,PASIR SALAK,BN - UMNO,RAMLI NGAH TALIB,MALE,58,
P. 71,PERAK,P. 71,LUMUT,BN - MCA,KENG CHO HA,MALE,,
P. 72,PERAK,P. 72,BAGAN DATOK,BN - UMNO,DATUK AHMAD ZAHID HAMIDI,MALE,46,
P. 73,PERAK,P. 73,TELOK INTAN,BN - GERAKAN,MAH SIEW KEONG,MALE,38,
P. 74,PERAK,P. 74,TANJONG MALIM,BN - MCA,LOKE YUEN YOW,MALE,47,
P. 75,PAHANG,P. 75,LIPIS,BN - UMNO,AMIHAMZAH BIN AHMAD,MALE,,
P. 76,PAHANG,P. 76,RAUB,BN - MCA,DATO DR NG YEN YEN,FEMALE,52,
P. 77,PAHANG,P. 77,JERANTUT,BN - UMNO,TENGKU AZLAN IBNI SULTAN ABU BAKAR,MALE,50,
P. 78,PAHANG,P. 78,KUANTAN,BN - UMNO,TAN SRI HAJI KHALIL YAAKOB,MALE,62,
P. 79,PAHANG,P. 79,PAYA BESAR,BN - UMNO,DATO' DR. SITI ZAHARAH SULAIMAN,FEMALE,50,
P. 80,PAHANG,P. 80,PEKAN,BN - UMNO,DATO' SRI NAJIB TUN RAZAK,MALE,46,
P. 81,PAHANG,P. 81,MARAN,BN - UMNO,MUHAMAD ABDULLAH,MALE,57,
P. 82,PAHANG,P. 82,MENTEKAB,BN - MCA,FU AH KIOW,MALE,50,
P. 83,PAHANG,P. 83,BENTUNG,BN - MCA,LIOW TIONG LAI,MALE,38,
P. 84,PAHANG,P. 84,TEMERLUH,BN - UMNO,DATO' HAJI MOHD. SARIT B. HAJI YUSOH,MALE,48,
P. 85,PAHANG,P. 85,ROMPIN,BN - UMNO,DATO' DR. JAMALUDIN BIN JARJIS,MALE,47,
P. 86,SELANGOR,P. 86,SABAK BERNAM,BN - UMNO,DATO' HJ. ZAINAL B. DAHALAN,MALE,51,
P. 87,SELANGOR,P. 87,TANJUNG KARANG,BN - UMNO,HAJI NOH BIN HAJI OMAR,MALE,41,
P. 88,SELANGOR,P. 88,HULU SELANGOR,BN - MIC,PALANIVEL A/L K. GOVINDASAMY @ DATO' G. PALANIVEL,MALE,50,
P. 89,SELANGOR,P. 89,KUALA SELANGOR,BN - UMNO,MOHAMED SAYUTI BIN SAID,MALE,,
P. 90,SELANGOR,P. 90,SELAYANG,BN - MCA,DATO' CHAN KONG CHOY,MALE,44,
P. 91,SELANGOR,P. 91,GOMBAK,BN - UMNO,DATIN PADUKA HJH ZALEHA BT ISMAIL,FEMALE,63,
P. 92,SELANGOR,P. 92,AMPANG JAYA,BN - MCA,ONG TEE KEAT,MALE,43,
P. 93,SELANGOR,P. 93,HULU LANGAT,BN - UMNO,BADRUL HISHAM ABDUL AZIZ,MALE,40,
P. 94,SELANGOR,P. 94,PJ UTARA,BN - MCA,CHEW MEI FUN,FEMALE,34,
P. 95,SELANGOR,P. 95,PJ SELATAN,BN - MCA,DONALD LIM SIANG CHAI,MALE,44,
P. 96,SELANGOR,P. 96,SERDANG,BN - MCA,DATO' YAP PIAN HON,MALE,56,
P. 97,SELANGOR,P. 97,SUBANG,BN - MIC,TAN SRI DATO' DR. K.S. NIJHAR,MALE,63,
P. 98,SELANGOR,P. 98,SHAH ALAM,BN - UMNO,DATO' IR. HJ. MOHD. ZIN BIN MOHAMED,MALE,45,
P. 99,SELANGOR,P. 99,KAPAR,BN - MIC,P. KOMALA DEVI,FEMALE,51,
P. 100,SELANGOR,P. 100,KLANG,BN - MCA,DR. TAN YEE KEW,FEMALE,46,
P. 101,SELANGOR,P. 101,KUALA LANGAT,BN - UMNO,DATO' DR HJ SHAFIE B HJ MOHD SALLEH,MALE,53,
P. 102,SELANGOR,P. 102,SEPANG,BN - UMNO,SERIPAH NOLI BINTI SYED HUSSIN,FEMALE,43,
P. 103,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 103,KEPONG,BA - DAP,DR TAN SENG GIAW,MALE,57,
P. 104,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 104,BATU,BN - GERAKAN,NG LIP YONG,MALE,,
P. 105,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 105,WANGSA MAJU,BN - UMNO,DATO' HAJI ZULHASNAN RAFIQUE,MALE,,
P. 106,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 106,SEGAMBUT,BN - GERAKAN,TAN KEE KWONG,MALE,52,
P. 107,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 107,TITIWANGSA,BN - UMNO,DATO' DR. SULEIMAN MOHAMED,MALE,52,
P. 108,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 108,BUKIT BINTANG,BA - DAP,FONG KUI LUN,MALE,53,
P. 109,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 109,LEMBAH PANTAI,BN - UMNO,SHAHRIZAT BINTI ABDUL JALIL,FEMALE,46,
P. 110,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 110,SEPUTEH,BA - DAP,TERESA KOK,FEMALE,35,
P. 111,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 111,CHERAS,BA - DAP,TAN KOK WAI,MALE,42,
P. 112,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 112,BANDAR TUN RAZAK,BN - MCA,DATUK TAN CHAI HO,MALE,53,
P. 113,NEGERI SEMBILAN,P. 113,JELEBU,BN - UMNO,DATO' DR. RAIS YATIM,MALE,57,
P. 114,NEGERI SEMBILAN,P. 114,JEMPOL,BN - UMNO,DATO HJ KHALID YUNUS,MALE,56,
P. 115,NEGERI SEMBILAN,P. 115,TAMPIN,BN - UMNO,SHAZIMAN BIN ABU MANSOR,MALE,35,
P. 116,NEGERI SEMBILAN,P. 116,KUALA PILAH,BN - UMNO,DATO' NAPSIAH BINTI OMAR,FEMALE,55,
P. 117,NEGERI SEMBILAN,P. 117,SEREMBAN,BN - MCA,DATO' HON CHOON KIM,MALE,51,
P. 118,NEGERI SEMBILAN,P. 118,RASAH,BN - MCA,GOH SIOW HUAT,MALE,,
P. 119,NEGERI SEMBILAN,P. 119,TELOK KEMANG,BN - MIC,S. ANPALAGAN,MALE,36,
P. 120,MELAKA,P. 120,ALOR GAJAH,BN - UMNO,DATUK WIRA ABU SEMAN YUSOP,MALE,55,
P. 121,MELAKA,P. 121,SELANDAR,BN - MCA,DR. FONG CHAN ONN,MALE,55,
P. 122,MELAKA,P. 122,BATU BERENDAM,BN - UMNO,ABDUL GHAFAR BIN BABA,MALE,74,
P. 123,MELAKA,P. 123,KOTA MELAKA,BA - DAP,KERK KIM HOCK,MALE,52,
