UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1_N.1,PERLIS,P. 1,PADANG BESAR,N.1,TITI TINGGI,BN - MCA,LOH YOON FOO,MALE,,
P. 1_N.2,PERLIS,P. 1,PADANG BESAR,N.2,BESERI,BN - UMNO,ZAHIDI BIN ZAINUL ABIDIN,MALE,,
P. 1_N.3,PERLIS,P. 1,PADANG BESAR,N.3,CHUPING,BN - UMNO,YAZIZ @ YAZID BIN MAT,MALE,,
P. 1_N.4,PERLIS,P. 1,PADANG BESAR,N.4,MATA AYER,BN - UMNO,ISHAK BIN ARSHAD,MALE,,
P. 1_N.5,PERLIS,P. 1,PADANG BESAR,N.5,SANTAN,BA - PAS,USTAZ ZOLKHARNAIN BIN ABIDIN,MALE,,
P. 2_N.6,PERLIS,P. 2,KANGAR,N.6,BINTONG,BN - UMNO,MD. ISA BIN SABU,MALE,,
P. 2_N.7,PERLIS,P. 2,KANGAR,N.7,SENA,BN - UMNO,AZIHANI BT. DATO' ALI,FEMALE,,
P. 2_N.8,PERLIS,P. 2,KANGAR,N.8,INDERA KAYANGAN,BN - MCA,KHOR LIAN TEE @ KHOR LIANG TEE,MALE,,
P. 2_N.9,PERLIS,P. 2,KANGAR,N.9,KUALA PERLIS,BN - UMNO,BAKAR BIN SAAD,MALE,,
P. 2_N.10,PERLIS,P. 2,KANGAR,N.10,KAYANG,BN - UMNO,MOHAMAD HADZI B. HJ. NORDIN,MALE,,
P. 3_N.11,PERLIS,P. 3,ARAU,N.11,PAUH,BN - UMNO,HJ. ABU BAKAR B. HJ. ISMAIL (CIKGU BAKAR),MALE,,
P. 3_N.12,PERLIS,P. 3,ARAU,N.12,TAMBUN TULANG,BN - UMNO,DATO' SERI SHAHIDAN KASSIM,MALE,,
P. 3_N.13,PERLIS,P. 3,ARAU,N.13,GUAR SANJI,BA - PAS,USTAZ AHMAD BIN ALI,MALE,,
P. 3_N.14,PERLIS,P. 3,ARAU,N.14,SIMPANG EMPAT,BN - UMNO,ZAHARI BIN BAKAR,MALE,,
P. 3_N.15,PERLIS,P. 3,ARAU,N.15,SANGLANG,BA - PAS,UST. HASHIM B. HJ. JASIN,MALE,,
P. 4_N.1,KEDAH,P. 4,LANGKAWI,N.1,PADANG MATSIRAT,BN - UMNO,MD. HASAN BIN BULAT,MALE,,
P. 4_N.2,KEDAH,P. 4,LANGKAWI,N.2,KUAH,BN - UMNO,SANUSI BIN JUNID,MALE,,
P. 5_N.3,KEDAH,P. 5,JERLUN,N.3,AYER HITAM,BA - PAS,UST. ABD. GHANI AHMAD,MALE,,
P. 5_N.4,KEDAH,P. 5,JERLUN,N.4,KOTA SIPUTEH,BN - UMNO,ABU HASAN BIN SARIF,MALE,,
P. 6_N.5,KEDAH,P. 6,KUBANG PASU,N.5,TUNJANG,BN - UMNO,BARISHAH BINTI SAAD,FEMALE,,
P. 6_N.6,KEDAH,P. 6,KUBANG PASU,N.6,JITRA,BN - UMNO,PROF. DATO' DR. OTHMAN ISHAK,MALE,63,
P. 7_N.7,KEDAH,P. 7,PADANG TERAP,N.7,KUALA NERANG,BA - PAS,MOHAMAD YUSOFF BIN ZAKARIA @ MUNIR BIN ZAKARIA,MALE,,
P. 7_N.8,KEDAH,P. 7,PADANG TERAP,N.8,PEDU,BA - PAS,WAN JAAFAR BIN WAN AHMAD,MALE,,
P. 8_N.9,KEDAH,P. 8,POKOK SENA,N.9,BUKIT LADA,BA - PAS,SHEIKH ISMAIL KAMIS,MALE,,
P. 8_N.10,KEDAH,P. 8,POKOK SENA,N.10,LANGGAR,BA - PAS,MOHAMAD SHAUKI BIN IBRAHIM @ USTAZ SHAUKI,MALE,,
P. 8_N.11,KEDAH,P. 8,POKOK SENA,N.11,TANJONG SERI,BN - UMNO,USTAZ FADZIL HANAFI,MALE,,
P. 9_N.12,KEDAH,P. 9,ALOR SETAR,N.12,DERGA,BN - GERAKAN,CHEUNG KHAI YAN,MALE,43,
P. 9_N.13,KEDAH,P. 9,ALOR SETAR,N.13,KOTA DARUL AMAN,BN - MCA,CHONG KAU CHAI @ CHONG ITT CHEW,MALE,,
